<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Domino.IJR250428,20210815,957160.00,957160.00,957160.00,957160.00,79348564000,82900,7,D,938400.00,957160.00
Domino.IJR250428,20201219,938400.00,938400.00,938400.00,938400.00,469200000,500,1,D,938300.00,938400.00
Domino.IJR250428,20201215,938300.00,938300.00,938300.00,938300.00,469150000,500,1,D,924150.00,938300.00
Domino.IJR250428,20201209,933300.00,933300.00,915001.00,924150.00,4620752500,5000,2,D,918052.00,915001.00
Domino.IJR250428,20201208,933300.00,933300.00,915002.00,918052.00,2754155000,3000,2,D,880000.00,915002.00
Domino.IJR250428,20201207,880000.00,880000.00,880000.00,880000.00,440000000,500,1,D,920414.00,880000.00
Domino.IJR250428,20201206,933299.00,933300.00,915002.00,920414.00,3267469950,3550,3,D,897060.00,915002.00
Domino.IJR250428,20201205,897060.00,897060.00,897060.00,897060.00,897060000,1000,1,D,915000.00,897060.00
Domino.IJR250428,20201202,915000.00,915000.00,915000.00,915000.00,2287500000,2500,2,D,880704.00,915000.00
Domino.IJR250428,20201108,897601.00,897601.00,880000.00,880704.00,440352020,500,2,D,897621.00,880000.00
Domino.IJR250428,20201104,898000.00,898000.00,897600.00,897621.00,1346432000,1500,2,D,915952.00,897600.00
Domino.IJR250428,20201028,915952.00,915952.00,915952.00,915952.00,915952000,1000,1,D,897600.00,915952.00
Domino.IJR250428,20201026,897600.00,897600.00,897600.00,897600.00,1795200000,2000,1,D,880000.00,897600.00
Domino.IJR250428,20201019,880000.00,880000.00,880000.00,880000.00,440000000,500,1,D,900000.00,880000.00
Domino.IJR250428,20201018,900000.00,900000.00,900000.00,900000.00,450000000,500,1,D,920000.00,900000.00
Domino.IJR250428,20201014,920000.00,920000.00,920000.00,920000.00,4600000,5,1,D,920000.00,920000.00
Domino.IJR250428,20201013,920000.00,920000.00,920000.00,920000.00,460000000,500,1,D,931372.00,920000.00
Domino.IJR250428,20201012,931372.00,931372.00,931372.00,931372.00,465686000,500,1,D,950000.00,931372.00
Domino.IJR250428,20201011,950000.00,950000.00,950000.00,950000.00,475000000,500,1,D,950000.00,950000.00
Domino.IJR250428,20201010,950000.00,950000.00,950000.00,950000.00,475000000,500,1,D,960000.00,950000.00
Domino.IJR250428,20201005,960000.00,960000.00,960000.00,960000.00,960000000,1000,1,D,980000.00,960000.00
Domino.IJR250428,20201004,980000.00,980000.00,980000.00,980000.00,1470000000,1500,1,D,1010000.00,980000.00
Domino.IJR250428,20200921,1020000.00,1020000.00,1000000.00,1010000.00,20200000,20,2,D,1010000.00,1000000.00
Domino.IJR250428,20200822,1020000.00,1020000.00,1000000.00,1010000.00,50500000,50,3,D,1010000.00,1000000.00
Domino.IJR250428,20200819,1020000.00,1020000.00,1000000.00,1010000.00,10100000,10,2,D,1000000.00,1000000.00
Domino.IJR250428,20200816,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1020000.00,1000000.00
Domino.IJR250428,20200809,1020000.00,1020000.00,1020000.00,1020000.00,6120000,6,1,D,1000000.00,1020000.00
Domino.IJR250428,20200804,1000000.00,1000000.00,1000000.00,1000000.00,33000000,33,2,D,1015000.00,1000000.00
Domino.IJR250428,20200802,1015000.00,1015000.00,1015000.00,1015000.00,5075000,5,1,D,1000000.00,1015000.00
Domino.IJR250428,20200801,1000000.00,1000000.00,1000000.00,1000000.00,129000000,129,2,D,1020000.00,1000000.00
Domino.IJR250428,20200727,1020000.00,1020000.00,1020000.00,1020000.00,104040000,102,1,D,1020000.00,1020000.00
Domino.IJR250428,20200726,1020000.00,1020000.00,1020000.00,1020000.00,67320000,66,3,D,1020000.00,1020000.00
Domino.IJR250428,20200720,1020000.00,1020000.00,1020000.00,1020000.00,8160000,8,1,D,1000500.00,1020000.00
Domino.IJR250428,20200701,1000500.00,1000500.00,1000500.00,1000500.00,5002500,5,1,D,1000000.00,1000500.00
Domino.IJR250428,20200630,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1020000.00,1000000.00
Domino.IJR250428,20200624,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1016667.00,1020000.00
Domino.IJR250428,20200623,1020000.00,1020000.00,1000000.00,1016667.00,6100000,6,2,D,1000000.00,1000000.00
Domino.IJR250428,20200622,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1000000.00,1000000.00
Domino.IJR250428,20200610,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1000000.00,1000000.00
Domino.IJR250428,20200608,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1020000.00,1000000.00
Domino.IJR250428,20200607,1020000.00,1020000.00,1020000.00,1020000.00,16320000,16,3,D,1010000.00,1020000.00
Domino.IJR250428,20200526,1020000.00,1020000.00,1000000.00,1010000.00,10100000,10,2,D,1019000.00,1000000.00
Domino.IJR250428,20200520,1019000.00,1019000.00,1019000.00,1019000.00,5095000,5,1,D,1000000.00,1019000.00
Domino.IJR250428,20200512,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1000060.00,1000000.00
Domino.IJR250428,20200510,1000010.00,1010000.00,1000010.00,1000060.00,1005060000,1005,2,D,1000010.00,1010000.00
Domino.IJR250428,20200428,1000010.00,1000010.00,1000010.00,1000010.00,2000020000000,2000000,23,D,1000000.00,1000010.00
