<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
HekmatLESMSH220924,20210907,987500.00,987500.00,987500.00,987500.00,49375000,50,1,D,987500.00,987500.00
HekmatLESMSH220924,20210828,987500.00,987500.00,987500.00,987500.00,4937500,5,1,D,1012500.00,987500.00
HekmatLESMSH220924,20210823,1012500.00,1012500.00,1012500.00,1012500.00,10125000,10,2,D,987500.00,1012500.00
HekmatLESMSH220924,20210627,987500.00,987500.00,987500.00,987500.00,9875000,10,1,D,1012500.00,987500.00
HekmatLESMSH220924,20210608,1012500.00,1012500.00,1012500.00,1012500.00,5062500,5,1,D,987500.00,1012500.00
HekmatLESMSH220924,20210607,987500.00,987500.00,987500.00,987500.00,11850000,12,1,D,987500.00,987500.00
HekmatLESMSH220924,20210531,987500.00,987500.00,987500.00,987500.00,9875000,10,1,D,987500.00,987500.00
HekmatLESMSH220924,20210508,987500.00,987500.00,987500.00,987500.00,4937500,5,1,D,987500.00,987500.00
HekmatLESMSH220924,20210406,987500.00,987500.00,987500.00,987500.00,21725000,22,1,D,1012188.00,987500.00
HekmatLESMSH220924,20210317,1012188.00,1012188.00,1012188.00,1012188.00,10121880,10,1,D,1012188.00,1012188.00
HekmatLESMSH220924,20210314,1012188.00,1012188.00,1012188.00,1012188.00,31377828,31,1,D,1012188.00,1012188.00
HekmatLESMSH220924,20210307,1012188.00,1012188.00,1012187.00,1012188.00,62755651,62,3,D,990000.00,1012188.00
HekmatLESMSH220924,20210303,990000.00,990000.00,990000.00,990000.00,4950000,5,1,D,987500.00,990000.00
HekmatLESMSH220924,20210301,987500.00,987500.00,987500.00,987500.00,197500000,200,1,D,987500.00,987500.00
HekmatLESMSH220924,20210227,987500.00,987500.00,987500.00,987500.00,4937500,5,1,D,987500.00,987500.00
HekmatLESMSH220924,20210224,987500.00,987500.00,987500.00,987500.00,14812500,15,1,D,1000000.00,987500.00
HekmatLESMSH220924,20210220,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,987500.00,1000000.00
HekmatLESMSH220924,20210217,987500.00,987500.00,987500.00,987500.00,9875000,10,1,D,990000.00,987500.00
HekmatLESMSH220924,20210214,990000.00,990000.00,990000.00,990000.00,123750000,125,2,D,1100000.00,990000.00
HekmatLESMSH220924,20201223,1100000.00,1100000.00,1100000.00,1100000.00,19800000,18,1,D,1100000.00,1100000.00
HekmatLESMSH220924,20200916,1205624.00,1100000.00,1100000.00,1100000.00,25300000,23,2,D,1096022.00,1100000.00
HekmatLESMSH220924,20200914,1100001.00,1100001.00,1000001.00,1096022.00,413200177,377,9,D,1000001.00,1000002.00
HekmatLESMSH220924,20200912,1000001.00,1000001.00,1000001.00,1000001.00,19000019,19,1,D,985000.00,1000001.00
HekmatLESMSH220924,20200826,984999.00,985000.00,984999.00,985000.00,25619849990,26010,4,D,985000.00,985000.00
HekmatLESMSH220924,20200825,985000.00,985000.00,985000.00,985000.00,84710000000,86000,4,D,985009.00,985000.00
HekmatLESMSH220924,20200824,1000000.00,1000000.00,985000.00,985009.00,84759000000,86049,5,D,985000.00,985000.00
HekmatLESMSH220924,20200823,985000.00,985000.00,985000.00,985000.00,4925000,5,1,D,985000.00,985000.00
HekmatLESMSH220924,20200822,985000.00,985000.00,985000.00,985000.00,4925000,5,1,D,993894.00,985000.00
HekmatLESMSH220924,20200818,1005005.00,1005005.00,980005.00,993894.00,17890090,18,4,D,1005005.00,1005005.00
HekmatLESMSH220924,20200816,1005005.00,1005005.00,1005005.00,1005005.00,10050050,10,1,D,1005005.00,1005005.00
HekmatLESMSH220924,20200810,1005005.00,1005005.00,1005005.00,1005005.00,7035035,7,1,D,980005.00,1005005.00
HekmatLESMSH220924,20200809,980005.00,980005.00,980005.00,980005.00,4900025,5,1,D,982505.00,980005.00
HekmatLESMSH220924,20200805,980005.00,1005005.00,980005.00,982505.00,49125250,50,4,D,1005005.00,980005.00
HekmatLESMSH220924,20200804,1005005.00,1005005.00,1005005.00,1005005.00,10050050,10,1,D,985005.00,1005005.00
HekmatLESMSH220924,20200803,985005.00,985005.00,985005.00,985005.00,61070310,62,2,D,1010000.00,985005.00
HekmatLESMSH220924,20200802,1010000.00,1010000.00,1010000.00,1010000.00,15150000,15,2,D,999832.00,1010000.00
HekmatLESMSH220924,20200801,1005000.00,1010000.00,985005.00,999832.00,58990095,59,4,D,985005.00,1010000.00
HekmatLESMSH220924,20200728,985005.00,985005.00,985005.00,985005.00,10835055,11,2,D,1010000.00,985005.00
HekmatLESMSH220924,20200720,1010000.00,1010000.00,1010000.00,1010000.00,18180000,18,3,D,989868.00,1010000.00
