<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lordegan.MSH230828,20210822,993000.00,993000.00,993000.00,993000.00,22839000,23,1,D,993000.00,993000.00
Lordegan.MSH230828,20210731,993000.00,993000.00,993000.00,993000.00,166824000,168,1,D,993000.00,993000.00
Lordegan.MSH230828,20210728,993000.00,993000.00,993000.00,993000.00,43692000,44,1,D,1061643.00,993000.00
Lordegan.MSH230828,20210727,1053485.00,1080000.00,1053485.00,1061643.00,13801365,13,2,D,1053485.00,1080000.00
Lordegan.MSH230828,20210712,1011840.00,1080000.00,1011840.00,1053485.00,176985520,168,3,D,1011840.00,1080000.00
Lordegan.MSH230828,20210703,1011840.00,1011840.00,1011840.00,1011840.00,10118400,10,1,D,1011840.00,1011840.00
Lordegan.MSH230828,20210626,1011840.00,1011840.00,1011840.00,1011840.00,18213120,18,2,D,1011840.00,1011840.00
Lordegan.MSH230828,20210510,1011840.00,1011840.00,1011840.00,1011840.00,44520960,44,1,D,993000.00,1011840.00
Lordegan.MSH230828,20210427,993000.00,993000.00,993000.00,993000.00,5958000,6,1,D,1011840.00,993000.00
Lordegan.MSH230828,20210421,1011840.00,1011840.00,1011840.00,1011840.00,10118400,10,1,D,1011840.00,1011840.00
Lordegan.MSH230828,20210420,1011840.00,1011840.00,1011840.00,1011840.00,22260480,22,1,D,995000.00,1011840.00
Lordegan.MSH230828,20210413,995000.00,995000.00,995000.00,995000.00,24875000000,25000,1,D,993000.00,995000.00
Lordegan.MSH230828,20210406,993000.00,993000.00,993000.00,993000.00,14895000,15,1,D,993000.00,993000.00
Lordegan.MSH230828,20210314,993000.00,993000.00,993000.00,993000.00,148950000,150,2,D,993000.00,993000.00
Lordegan.MSH230828,20210313,993000.00,993000.00,993000.00,993000.00,31776000,32,3,D,1011840.00,993000.00
Lordegan.MSH230828,20210310,1011840.00,1011840.00,1011840.00,1011840.00,184154880,182,1,D,993000.00,1011840.00
Lordegan.MSH230828,20210220,993000.00,993000.00,993000.00,993000.00,6951000,7,1,D,993000.00,993000.00
Lordegan.MSH230828,20210216,993000.00,993000.00,993000.00,993000.00,993000,1,1,D,993000.00,993000.00
Lordegan.MSH230828,20210208,993000.00,993000.00,993000.00,993000.00,9930000,10,1,D,993000.00,993000.00
Lordegan.MSH230828,20210207,993000.00,993000.00,993000.00,993000.00,19860000,20,1,D,1002420.00,993000.00
Lordegan.MSH230828,20210202,1011840.00,1011840.00,993000.00,1002420.00,76183920,76,2,D,1011840.00,993000.00
Lordegan.MSH230828,20210201,1011840.00,1011840.00,1011840.00,1011840.00,44520960,44,1,D,993000.00,1011840.00
Lordegan.MSH230828,20210127,993000.00,993000.00,993000.00,993000.00,22839000,23,1,D,993000.00,993000.00
Lordegan.MSH230828,20210113,993000.00,993000.00,993000.00,993000.00,496500000,500,1,D,1001642.00,993000.00
Lordegan.MSH230828,20210110,1011840.00,1011840.00,993000.00,1001642.00,110180600,110,5,D,993000.00,993000.00
Lordegan.MSH230828,20210104,993000.00,993000.00,993000.00,993000.00,4965000,5,1,D,992000.00,993000.00
Lordegan.MSH230828,20210102,992000.00,992000.00,992000.00,992000.00,297600000,300,1,D,996364.00,992000.00
Lordegan.MSH230828,20201230,992000.00,1000000.00,992000.00,996364.00,10960000,11,2,D,1013739.00,1000000.00
Lordegan.MSH230828,20201223,1030000.00,1030000.00,1000000.00,1013739.00,116580000,115,5,D,1000000.00,1000000.00
Lordegan.MSH230828,20201214,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1000000.00,1000000.00
Lordegan.MSH230828,20201213,1000000.00,1000000.00,1000000.00,1000000.00,14000000,14,2,D,1000000.00,1000000.00
Lordegan.MSH230828,20201209,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1006250.00,1000000.00
Lordegan.MSH230828,20201208,1040000.00,1040000.00,990000.00,1006250.00,24150000,24,5,D,1000000.00,1000000.00
Lordegan.MSH230828,20201206,990000.00,1040000.00,990000.00,1000000.00,25000000,25,4,D,994689.00,990000.00
Lordegan.MSH230828,20201205,1003700.00,1010200.00,990000.00,994689.00,61670700,62,5,D,994308.00,1010200.00
Lordegan.MSH230828,20201124,1022000.00,1022000.00,990000.00,994308.00,51704000,52,2,D,991619.00,990000.00
Lordegan.MSH230828,20201122,1022000.00,1022000.00,990100.00,991619.00,1041200000,1050,4,D,1008860.00,990100.00
Lordegan.MSH230828,20201121,990000.00,1009800.00,990000.00,1008860.00,637599600,632,2,D,990000.00,1009800.00
