<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ParsianLotus.Ijara,20201007,1010000.00,1010000.00,1000000.00,1003750.00,16060000,16,2,D,1002381.00,1000000.00
ParsianLotus.Ijara,20200923,1000000.00,1010000.00,1000000.00,1002381.00,21050000,21,4,D,1000000.00,1000000.00
ParsianLotus.Ijara,20200922,1000000.00,1000000.00,1000000.00,1000000.00,7000000,7,1,D,1000000.00,1000000.00
ParsianLotus.Ijara,20200915,1000000.00,1000000.00,1000000.00,1000000.00,30000000,30,2,D,1002000.00,1000000.00
ParsianLotus.Ijara,20200914,1010000.00,1010000.00,1000000.00,1002000.00,25050000,25,3,D,1000000.00,1000000.00
ParsianLotus.Ijara,20200913,1000000.00,1000000.00,1000000.00,1000000.00,15000000,15,1,D,1005000.00,1000000.00
ParsianLotus.Ijara,20200912,1005000.00,1005000.00,1005000.00,1005000.00,15075000,15,1,D,1001000.00,1005000.00
ParsianLotus.Ijara,20200909,1000000.00,1005000.00,1000000.00,1001000.00,25025000,25,3,D,1002537.00,1005000.00
ParsianLotus.Ijara,20200908,1000000.00,1010000.00,1000000.00,1002537.00,67170000,67,6,D,1004714.00,1010000.00
ParsianLotus.Ijara,20200907,1004400.00,1005000.00,1004400.00,1004714.00,88414800,88,5,D,1005000.00,1005000.00
ParsianLotus.Ijara,20200905,1005000.00,1005000.00,1005000.00,1005000.00,9045000,9,1,D,1005000.00,1005000.00
ParsianLotus.Ijara,20200831,1005000.00,1005000.00,1005000.00,1005000.00,11055000,11,1,D,1005000.00,1005000.00
ParsianLotus.Ijara,20200825,1005000.00,1005000.00,1005000.00,1005000.00,10050000,10,1,D,1005906.00,1005000.00
ParsianLotus.Ijara,20200819,1005906.00,1005906.00,1005906.00,1005906.00,5029530,5,1,D,1005906.00,1005906.00
ParsianLotus.Ijara,20200816,1007200.00,1007200.00,1005000.00,1005906.00,34200800,34,4,D,1007200.00,1005000.00
ParsianLotus.Ijara,20200812,505005.00,1009000.00,1000000.00,1007200.00,25180000,25,2,D,1010000.00,1000000.00
ParsianLotus.Ijara,20200811,505005.00,1010000.00,1010000.00,1010000.00,5050000,5,2,D,1010000.00,1010000.00
ParsianLotus.Ijara,20200810,505002.00,1010000.00,1010000.00,1010000.00,45450000,45,4,D,1010000.00,1010000.00
ParsianLotus.Ijara,20200729,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,1010000.00,1010000.00
