<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ReylSeir.IJR240302,20210921,936000.00,936000.00,936000.00,936000.00,468000000,500,1,D,916253.00,936000.00
ReylSeir.IJR240302,20210907,916253.00,916253.00,916253.00,916253.00,824627700,900,1,D,916253.00,916253.00
ReylSeir.IJR240302,20210906,921000.00,921000.00,895000.00,916253.00,1008795000,1101,2,D,915500.00,895000.00
ReylSeir.IJR240302,20210904,915500.00,915500.00,915500.00,915500.00,457750000,500,1,D,935500.00,915500.00
ReylSeir.IJR240302,20210804,935500.00,935500.00,935500.00,935500.00,575332500,615,1,D,940889.00,935500.00
ReylSeir.IJR240302,20210706,940000.00,942000.00,940000.00,940889.00,846800000,900,2,D,957000.00,942000.00
ReylSeir.IJR240302,20210609,957000.00,957000.00,957000.00,957000.00,382800000,400,1,D,943000.00,957000.00
ReylSeir.IJR240302,20210602,943000.00,943000.00,943000.00,943000.00,943000000,1000,1,D,965000.00,943000.00
ReylSeir.IJR240302,20210518,965000.00,965000.00,965000.00,965000.00,1158000000,1200,2,D,965000.00,965000.00
ReylSeir.IJR240302,20210505,965000.00,965000.00,965000.00,965000.00,579000000,600,1,D,970000.00,965000.00
ReylSeir.IJR240302,20210503,970000.00,970000.00,970000.00,970000.00,970000000,1000,1,D,999930.00,970000.00
ReylSeir.IJR240302,20210410,982500.00,1000000.00,982500.00,999930.00,501965000,502,3,D,982500.00,1000000.00
ReylSeir.IJR240302,20210405,982500.00,982500.00,982500.00,982500.00,49125000,50,2,D,982500.00,982500.00
ReylSeir.IJR240302,20210404,982500.00,982500.00,982500.00,982500.00,982500000,1000,1,D,1000000.00,982500.00
ReylSeir.IJR240302,20210314,1000000.00,1000000.00,1000000.00,1000000.00,2500000000,2500,1,D,982701.00,1000000.00
ReylSeir.IJR240302,20210227,982701.00,982701.00,982701.00,982701.00,9827010,10,1,D,982700.00,982701.00
ReylSeir.IJR240302,20210224,982700.00,982700.00,982700.00,982700.00,9827000,10,1,D,982700.00,982700.00
ReylSeir.IJR240302,20210214,982700.00,982701.00,982700.00,982700.00,9827005,10,2,D,982700.00,982701.00
ReylSeir.IJR240302,20201205,982700.00,982700.00,982700.00,982700.00,196540000,200,1,D,999443.00,982700.00
ReylSeir.IJR240302,20201202,1014086.00,1014086.00,999086.00,999443.00,209883060,210,3,D,1014086.00,999086.00
ReylSeir.IJR240302,20201130,1014086.00,1014087.00,1014086.00,1014086.00,101408650,100,2,D,1014086.00,1014087.00
ReylSeir.IJR240302,20201116,1014086.00,1014087.00,1014086.00,1014086.00,10140865,10,2,D,1014086.00,1014087.00
ReylSeir.IJR240302,20201104,1014086.00,1014086.00,1014086.00,1014086.00,1014086000,1000,1,D,994066.00,1014086.00
ReylSeir.IJR240302,20201101,994066.00,994066.00,994066.00,994066.00,198813200,200,1,D,974066.00,994066.00
ReylSeir.IJR240302,20201031,983500.00,983501.00,973500.00,974066.00,206502006,212,3,D,953500.00,973500.00
ReylSeir.IJR240302,20201007,953500.00,953500.00,953500.00,953500.00,190700000,200,1,D,960000.00,953500.00
ReylSeir.IJR240302,20201005,960000.00,960000.00,960000.00,960000.00,192000000,200,1,D,940000.00,960000.00
ReylSeir.IJR240302,20200929,940000.00,940001.00,940000.00,940000.00,41360022,44,2,D,940000.00,940001.00
ReylSeir.IJR240302,20200915,940000.00,940001.00,940000.00,940000.00,33840018,36,4,D,945000.00,940001.00
ReylSeir.IJR240302,20200905,945000.00,945000.00,945000.00,945000.00,945000000,1000,1,D,976975.00,945000.00
ReylSeir.IJR240302,20200902,976975.00,976975.00,976975.00,976975.00,4884875,5,1,D,976970.00,976975.00
ReylSeir.IJR240302,20200823,976970.00,976971.00,976970.00,976970.00,19539410,20,2,D,976970.00,976971.00
ReylSeir.IJR240302,20200819,976970.00,976971.00,976970.00,976970.00,431820961,442,4,D,1035522.00,976971.00
ReylSeir.IJR240302,20200816,1035522.00,1035522.00,1035522.00,1035522.00,517761000,500,1,D,1085522.00,1035522.00
ReylSeir.IJR240302,20200815,1085522.00,1085522.00,1085522.00,1085522.00,20624918,19,1,D,1085522.00,1085522.00
ReylSeir.IJR240302,20200811,1160385.00,1160385.00,949407.00,1085522.00,201907065,186,12,D,1054896.00,1160385.00
ReylSeir.IJR240302,20200809,1160354.00,1054896.00,1054896.00,1054896.00,82281888,78,4,D,1054896.00,1054896.00
ReylSeir.IJR240302,20200719,1054896.00,1054896.00,1054896.00,1054896.00,5274480,5,1,D,1054896.00,1054896.00
ReylSeir.IJR240302,20200712,1071572.00,1071572.00,1050000.00,1054896.00,532722650,505,19,D,974157.00,1050000.00
ReylSeir.IJR240302,20200630,910000.00,999990.00,906000.00,974157.00,94493262,97,6,D,919088.00,906000.00
ReylSeir.IJR240302,20200620,905000.00,980000.00,905000.00,919088.00,81798809,89,9,D,905000.00,905001.00
ReylSeir.IJR240302,20200613,905000.00,905000.00,905000.00,905000.00,5430000,6,1,D,924736.00,905000.00
ReylSeir.IJR240302,20200607,1000000.00,1000000.00,905000.00,924736.00,122989910,133,6,D,910000.00,905501.00
ReylSeir.IJR240302,20200602,910000.00,910000.00,910000.00,910000.00,2730000000,3000,1,D,930001.00,910000.00
ReylSeir.IJR240302,20200520,930000.00,930003.00,930000.00,930001.00,20460033,22,3,D,930001.00,930003.00
ReylSeir.IJR240302,20200519,930001.00,930001.00,930001.00,930001.00,27900030,30,3,D,932000.00,930001.00
ReylSeir.IJR240302,20200518,932000.00,932000.00,932000.00,932000.00,10252000,11,1,D,992141.00,932000.00
ReylSeir.IJR240302,20200517,970000.00,1043000.00,930002.00,992141.00,614135020,619,8,D,999254.00,930002.00
ReylSeir.IJR240302,20200512,1030000.00,1034000.00,930000.00,999254.00,117912000,118,8,D,940000.00,1034000.00
ReylSeir.IJR240302,20200506,940000.00,940000.00,940000.00,940000.00,15040000,16,2,D,948690.00,940000.00
ReylSeir.IJR240302,20200504,950001.00,951000.00,935000.00,948690.00,862359500,909,4,D,971731.00,935000.00
ReylSeir.IJR240302,20200503,1040000.00,1040000.00,961000.00,971731.00,1268108751,1305,15,D,972104.00,962004.00
ReylSeir.IJR240302,20200502,989400.00,1089345.00,960000.00,972104.00,699914800,720,10,D,990314.00,960003.00
ReylSeir.IJR240302,20200429,990000.00,1009800.00,990000.00,990314.00,1125987395,1137,7,D,1000274.00,990001.00
ReylSeir.IJR240302,20200428,1020000.00,1020000.00,1000000.00,1000274.00,12493420000,12490,16,D,1017917.00,1000000.00
ReylSeir.IJR240302,20200427,1020000.00,1020000.00,1000000.00,1017917.00,48860000,48,4,D,1017793.00,1000000.00
ReylSeir.IJR240302,20200426,1000000.00,1020000.00,1000000.00,1017793.00,295160000,290,4,D,1000002.00,1020000.00
ReylSeir.IJR240302,20200425,1020000.00,1020000.00,1000000.00,1000002.00,810104960000,810103,39,D,1000000.00,1020000.00
ReylSeir.IJR240302,20200422,1000000.00,1000000.00,1000000.00,1000000.00,1000000,1,1,D,1020000.00,1000000.00
ReylSeir.IJR240302,20200420,1020000.00,1020000.00,1020000.00,1020000.00,179520000,176,2,D,1020000.00,1020000.00
ReylSeir.IJR240302,20200419,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1020000.00,1020000.00
ReylSeir.IJR240302,20200418,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1000000.00,1020000.00
ReylSeir.IJR240302,20200413,1000000.00,1000000.00,1000000.00,1000000.00,7000000,7,1,D,1020000.00,1000000.00
ReylSeir.IJR240302,20200412,1020000.00,1020000.00,1020000.00,1020000.00,7140000,7,1,D,1000000.00,1020000.00
ReylSeir.IJR240302,20200411,1000000.00,1000000.00,1000000.00,1000000.00,15000000,15,1,D,1020000.00,1000000.00
ReylSeir.IJR240302,20200408,1020000.00,1020000.00,1020000.00,1020000.00,1020000,1,1,D,1020000.00,1020000.00
