<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ArvandKR.MNF220202,20210918,1004171.00,1004171.00,1004171.00,1004171.00,5020855,5,1,D,1000000.00,1004171.00
ArvandKR.MNF220202,20210808,1000000.00,1000000.00,1000000.00,1000000.00,370000000,370,1,D,1005367.00,1000000.00
ArvandKR.MNF220202,20210802,1000000.00,1005369.00,1000000.00,1005367.00,2514422500,2501,5,D,984482.00,1005369.00
ArvandKR.MNF220202,20210713,984482.00,984482.00,984482.00,984482.00,9844820,10,1,D,1000000.00,984482.00
ArvandKR.MNF220202,20210630,1000000.00,1000000.00,1000000.00,1000000.00,170000000,170,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210629,1000000.00,1000000.00,1000000.00,1000000.00,4000000,4,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210628,1000000.00,1000000.00,1000000.00,1000000.00,6000000,6,2,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210626,1000000.00,1000000.00,1000000.00,1000000.00,8000000,8,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210623,1000000.00,1000000.00,1000000.00,1000000.00,5000000,5,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210620,1000000.00,1000000.00,1000000.00,1000000.00,15000000,15,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210613,1000000.00,1000000.00,1000000.00,1000000.00,25000000,25,1,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210601,1000000.00,1000000.00,1000000.00,1000000.00,30000000,30,3,D,1000000.00,1000000.00
ArvandKR.MNF220202,20210531,1000000.00,1000000.00,1000000.00,1000000.00,10000000,10,1,D,990196.00,1000000.00
ArvandKR.MNF220202,20210529,980393.00,999999.00,980393.00,990196.00,9901960,10,2,D,989522.00,999999.00
ArvandKR.MNF220202,20210515,1000000.00,1000000.00,989205.00,989522.00,8389170445,8478,6,D,1008990.00,989205.00
ArvandKR.MNF220202,20210508,1008990.00,1008990.00,1008990.00,1008990.00,5044950,5,1,D,999000.00,1008990.00
ArvandKR.MNF220202,20210503,999000.00,999000.00,999000.00,999000.00,10989000,11,1,D,999000.00,999000.00
ArvandKR.MNF220202,20210502,999000.00,999000.00,999000.00,999000.00,239760000,240,1,D,985000.00,999000.00
ArvandKR.MNF220202,20210405,985000.00,985000.00,985000.00,985000.00,236400000,240,1,D,1006999.00,985000.00
ArvandKR.MNF220202,20210202,1009999.00,1009999.00,980000.00,1006999.00,110769901,110,3,D,1019999.00,980000.00
ArvandKR.MNF220202,20210118,1019999.00,1019999.00,1019999.00,1019999.00,11219989,11,1,D,1020000.00,1019999.00
ArvandKR.MNF220202,20201110,1020000.00,1020000.00,1020000.00,1020000.00,74460000,73,2,D,1020000.00,1020000.00
ArvandKR.MNF220202,20201010,1020000.00,1020000.00,1020000.00,1020000.00,102000000,100,1,D,1020000.00,1020000.00
ArvandKR.MNF220202,20201003,1020000.00,1020000.00,1020000.00,1020000.00,171360000,168,1,D,1020000.00,1020000.00
ArvandKR.MNF220202,20200923,1020000.00,1020000.00,1020000.00,1020000.00,275400000,270,1,D,1000000.00,1020000.00
ArvandKR.MNF220202,20200921,1000000.00,1000000.00,1000000.00,1000000.00,1250000000,1250,1,D,980379.00,1000000.00
ArvandKR.MNF220202,20200428,980379.00,980379.00,980379.00,980379.00,2941137000,3000,3,D,920000.00,980379.00
ArvandKR.MNF220202,20200405,920000.00,920000.00,920000.00,920000.00,1150000000,1250,1,D,957323.00,920000.00
ArvandKR.MNF220202,20200223,957323.00,957323.00,957323.00,957323.00,648107671,677,3,D,957256.00,957323.00
ArvandKR.MNF220202,20200222,957256.00,957256.00,957256.00,957256.00,95725600,100,1,D,956578.00,957256.00
ArvandKR.MNF220202,20200212,956578.00,956578.00,956578.00,956578.00,2869734,3,1,D,962768.00,956578.00
ArvandKR.MNF220202,20200209,956370.00,965545.00,956370.00,962768.00,2890230240,3002,4,D,965545.00,965545.00
ArvandKR.MNF220202,20200205,956090.00,975000.00,956090.00,965545.00,9655450,10,2,D,950076.00,975000.00
ArvandKR.MNF220202,20200204,950076.00,950076.00,950076.00,950076.00,142511400,150,1,D,953668.00,950076.00
ArvandKR.MNF220202,20200203,950001.00,958932.00,950000.00,953668.00,5817373025,6100,8,D,907601.00,950000.00
ArvandKR.MNF220202,20200202,890505.00,958799.00,890505.00,907601.00,8581367872,9455,25,D,987128.00,958799.00
ArvandKR.MNF220202,20200201,987128.00,987128.00,987128.00,987128.00,4935640,5,1,D,969600.00,987128.00
ArvandKR.MNF220202,20190730,969600.00,969600.00,969600.00,969600.00,97929600,101,2,D,976740.00,969600.00
ArvandKR.MNF220202,20190624,976740.00,976740.00,976740.00,976740.00,5220675300,5345,2,D,976740.00,976740.00
ArvandKR.MNF220202,20190623,976740.00,976740.00,976740.00,976740.00,1220925000,1250,1,D,955000.00,976740.00
ArvandKR.MNF220202,20190619,955000.00,955000.00,955000.00,955000.00,13159900000,13780,1,D,998000.00,955000.00
ArvandKR.MNF220202,20190618,998000.00,998000.00,998000.00,998000.00,6661650000,6675,1,D,999388.00,998000.00
ArvandKR.MNF220202,20190602,987864.00,1007620.00,987864.00,999388.00,11992660,12,2,D,949620.00,1007620.00
ArvandKR.MNF220202,20190601,949620.00,949620.00,949620.00,949620.00,11395440,12,2,D,884002.00,949620.00
ArvandKR.MNF220202,20190529,884000.00,964180.00,884000.00,884002.00,172738420900,195405,9,D,884053.00,964180.00
ArvandKR.MNF220202,20190528,964000.00,964000.00,884000.00,884053.00,131457836000,148699,13,D,961000.00,884000.00
ArvandKR.MNF220202,20190522,961000.00,961000.00,961000.00,961000.00,89373000,93,1,D,964155.00,961000.00
ArvandKR.MNF220202,20190521,964155.00,964155.00,964155.00,964155.00,89666415,93,2,D,945250.00,964155.00
ArvandKR.MNF220202,20190519,945250.00,945250.00,945250.00,945250.00,189050000,200,1,D,935569.00,945250.00
ArvandKR.MNF220202,20190515,935569.00,935569.00,935569.00,935569.00,6548983,7,1,D,930117.00,935569.00
ArvandKR.MNF220202,20190514,935000.00,935569.00,930000.00,930117.00,9068638800,9750,4,D,929500.00,935569.00
ArvandKR.MNF220202,20190504,929500.00,929500.00,929500.00,929500.00,1394250000,1500,1,D,850518.00,929500.00
ArvandKR.MNF220202,20190430,850518.00,850518.00,850518.00,850518.00,16440512940,19330,1,D,945019.00,850518.00
ArvandKR.MNF220202,20190204,945019.00,945019.00,945019.00,945019.00,945019000000,1000000,41,D,1000000.00,945019.00
