<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
ArvandSP.MNF220313,20210222,970000.00,976000.00,970000.00,973000.00,182924000,188,2,D,978982.00,976000.00
ArvandSP.MNF220313,20201110,920000.00,979000.00,920000.00,978982.00,6268419000,6403,2,D,978346.00,979000.00
ArvandSP.MNF220313,20200923,1050000.00,1050000.00,975100.00,978346.00,3785221191,3869,10,D,975012.00,978346.00
ArvandSP.MNF220313,20200916,975012.00,975012.00,975012.00,975012.00,18525228,19,1,D,973002.00,975012.00
ArvandSP.MNF220313,20200715,973002.00,973002.00,973002.00,973002.00,2919006000,3000,1,D,1020000.00,973002.00
ArvandSP.MNF220313,20200607,1020000.00,1020000.00,1020000.00,1020000.00,1227060000,1203,1,D,1010000.00,1020000.00
ArvandSP.MNF220313,20200512,1010000.00,1010000.00,1010000.00,1010000.00,101000000,100,1,D,1000000.00,1010000.00
ArvandSP.MNF220313,20200506,1000000.00,1000000.00,1000000.00,1000000.00,3000000000,3000,3,D,916301.00,1000000.00
ArvandSP.MNF220313,20200425,916301.00,916301.00,916301.00,916301.00,458150500,500,1,D,930000.00,916301.00
ArvandSP.MNF220313,20200422,930000.00,930000.00,930000.00,930000.00,18600000,20,1,D,932001.00,930000.00
ArvandSP.MNF220313,20200420,932001.00,932001.00,932001.00,932001.00,186400200,200,1,D,970000.00,932001.00
ArvandSP.MNF220313,20200418,970000.00,970000.00,970000.00,970000.00,19400000,20,1,D,970000.00,970000.00
ArvandSP.MNF220313,20200408,970000.00,970000.00,970000.00,970000.00,2900300000,2990,1,D,931500.00,970000.00
ArvandSP.MNF220313,20200407,931500.00,931500.00,931500.00,931500.00,6520500,7,3,D,930769.00,931500.00
ArvandSP.MNF220313,20200405,930000.00,931000.00,930000.00,930769.00,12100000,13,2,D,930000.00,931000.00
ArvandSP.MNF220313,20200309,930000.00,930000.00,930000.00,930000.00,9300000,10,1,D,918001.00,930000.00
ArvandSP.MNF220313,20200203,918001.00,918001.00,918001.00,918001.00,459000500,500,1,D,925754.00,918001.00
ArvandSP.MNF220313,20200127,925000.00,935001.00,925000.00,925754.00,12252355998,13235,13,D,935001.00,935001.00
ArvandSP.MNF220313,20200126,935001.00,935001.00,935001.00,935001.00,1870002,2,1,D,928896.00,935001.00
ArvandSP.MNF220313,20200105,928896.00,928896.00,928896.00,928896.00,464448000,500,1,D,935000.00,928896.00
ArvandSP.MNF220313,20191216,935000.00,935000.00,935000.00,935000.00,467500000,500,1,D,962749.00,935000.00
ArvandSP.MNF220313,20191215,950000.00,965500.00,950000.00,962749.00,14842699300,15417,11,D,970000.00,965500.00
ArvandSP.MNF220313,20191127,970000.00,970000.00,970000.00,970000.00,9700000,10,1,D,958999.00,970000.00
ArvandSP.MNF220313,20191125,958999.00,958999.00,958999.00,958999.00,2840555038,2962,4,D,920002.00,958999.00
ArvandSP.MNF220313,20191120,920002.00,920002.00,920002.00,920002.00,92000200,100,1,D,959000.00,920002.00
ArvandSP.MNF220313,20191119,959000.00,959000.00,959000.00,959000.00,959000000,1000,1,D,944445.00,959000.00
ArvandSP.MNF220313,20191118,944445.00,944445.00,944445.00,944445.00,94444500,100,1,D,958798.00,944445.00
ArvandSP.MNF220313,20191113,958795.00,958800.00,958795.00,958798.00,7667508438,7997,10,D,951968.00,958800.00
ArvandSP.MNF220313,20191109,951959.00,965960.00,951959.00,951968.00,3012026278,3164,2,D,951958.00,965960.00
ArvandSP.MNF220313,20191105,951958.00,951958.00,951958.00,951958.00,9519580,10,1,D,952000.00,951958.00
ArvandSP.MNF220313,20191030,952000.00,952000.00,952000.00,952000.00,9520000,10,1,D,958797.00,952000.00
ArvandSP.MNF220313,20191028,958700.00,958800.00,958700.00,958797.00,6127674200,6391,3,D,947563.00,958800.00
ArvandSP.MNF220313,20191023,958800.00,958800.00,947001.00,947563.00,497470500,525,2,D,948000.00,947001.00
ArvandSP.MNF220313,20191022,948000.00,948000.00,948000.00,948000.00,5925000000,6250,10,D,948000.00,948000.00
ArvandSP.MNF220313,20191016,948000.00,948000.00,948000.00,948000.00,1042800000,1100,1,D,958800.00,948000.00
ArvandSP.MNF220313,20191015,958800.00,958800.00,958800.00,958800.00,5992500000,6250,1,D,948600.00,958800.00
ArvandSP.MNF220313,20191014,948600.00,948600.00,948600.00,948600.00,5940133200,6262,4,D,947001.00,948600.00
ArvandSP.MNF220313,20191012,947001.00,947001.00,947001.00,947001.00,94700100,100,1,D,948600.00,947001.00
ArvandSP.MNF220313,20191009,948600.00,948600.00,948600.00,948600.00,5244809400,5529,2,D,947998.00,948600.00
ArvandSP.MNF220313,20191008,948600.00,948600.00,947000.00,947998.00,252167600,266,4,D,948600.00,947000.00
ArvandSP.MNF220313,20191007,948600.00,948600.00,948600.00,948600.00,526473000,555,11,D,972670.00,948600.00
ArvandSP.MNF220313,20191006,989400.00,989400.00,972001.00,972670.00,505788500,520,3,D,900000.00,972001.00
ArvandSP.MNF220313,20190907,900000.00,900000.00,900000.00,900000.00,900000000,1000,1,D,915891.00,900000.00
ArvandSP.MNF220313,20190814,981000.00,981000.00,915500.00,915891.00,460693000,503,2,D,915900.00,915500.00
ArvandSP.MNF220313,20190731,915900.00,915900.00,915900.00,915900.00,915900000,1000,1,D,941121.00,915900.00
ArvandSP.MNF220313,20190728,1000000.00,1000000.00,940002.00,941121.00,959002000,1019,2,D,929000.00,940002.00
ArvandSP.MNF220313,20190724,929000.00,929000.00,929000.00,929000.00,929000000,1000,1,D,940001.00,929000.00
ArvandSP.MNF220313,20190722,940001.00,940001.00,940001.00,940001.00,940001000,1000,1,D,953445.00,940001.00
ArvandSP.MNF220313,20190721,981000.00,981000.00,950001.00,953445.00,1072626000,1125,3,D,942413.00,981000.00
ArvandSP.MNF220313,20190716,981000.00,981000.00,940001.00,942413.00,400525400,425,3,D,912787.00,940001.00
ArvandSP.MNF220313,20190714,981000.00,981000.00,907000.00,912787.00,1072525000,1175,3,D,922150.00,907000.00
ArvandSP.MNF220313,20190626,929300.00,929300.00,915000.00,922150.00,1844300000,2000,2,D,936500.00,915000.00
ArvandSP.MNF220313,20190622,936500.00,936500.00,936500.00,936500.00,936500000,1000,1,D,940000.00,936500.00
ArvandSP.MNF220313,20190616,940000.00,940000.00,940000.00,940000.00,940000000,1000,1,D,953008.00,940000.00
ArvandSP.MNF220313,20190603,955555.00,955555.00,953000.00,953008.00,953007665,1000,2,D,956001.00,953000.00
ArvandSP.MNF220313,20190529,981000.00,981000.00,952251.00,956001.00,1099401000,1150,2,D,950250.00,952251.00
ArvandSP.MNF220313,20190528,960000.00,960000.00,947000.00,950250.00,950250000,1000,3,D,967400.00,947000.00
ArvandSP.MNF220313,20190526,967400.00,967400.00,967400.00,967400.00,967400000,1000,1,D,980000.00,967400.00
ArvandSP.MNF220313,20190522,980000.00,980000.00,980000.00,980000.00,980000000,1000,1,D,962100.00,980000.00
ArvandSP.MNF220313,20190521,962100.00,962100.00,962100.00,962100.00,962100000,1000,1,D,989000.00,962100.00
ArvandSP.MNF220313,20190514,989000.00,989000.00,989000.00,989000.00,989000000,1000,1,D,1000000.00,989000.00
ArvandSP.MNF220313,20190513,1000000.00,1000000.00,1000000.00,1000000.00,52000000000,52000,3,D,981001.00,1000000.00
ArvandSP.MNF220313,20190512,981001.00,981001.00,981001.00,981001.00,981001000,1000,1,D,951945.00,981001.00
ArvandSP.MNF220313,20190504,965600.00,965600.00,950000.00,951945.00,1903890000,2000,3,D,965024.00,950000.00
ArvandSP.MNF220313,20190429,990000.00,990000.00,960029.00,965024.00,5790145000,6000,2,D,958180.00,960029.00
ArvandSP.MNF220313,20190428,990000.00,990000.00,950000.00,958180.00,4790900000,5000,3,D,958125.00,950000.00
ArvandSP.MNF220313,20190427,981000.00,981000.00,950000.00,958125.00,3832500000,4000,3,D,964675.00,950000.00
ArvandSP.MNF220313,20190424,977500.00,977500.00,964000.00,964675.00,964675000,1000,2,D,977100.00,964000.00
ArvandSP.MNF220313,20190423,977100.00,977100.00,977100.00,977100.00,977100000,1000,1,D,979000.00,977100.00
ArvandSP.MNF220313,20190422,979000.00,979000.00,979000.00,979000.00,979000000,1000,1,D,999998.00,979000.00
ArvandSP.MNF220313,20190420,999998.00,999998.00,999990.00,999998.00,230009539900,230010,11,D,1000000.00,999990.00
ArvandSP.MNF220313,20190417,1000000.00,1000000.00,1000000.00,1000000.00,25000000000,25000,2,D,952381.00,1000000.00
ArvandSP.MNF220313,20190414,1000000.00,1000000.00,950000.00,952381.00,1000000000,1050,2,D,950000.00,950000.00
ArvandSP.MNF220313,20190316,950000.00,950000.00,950000.00,950000.00,4750000000000,5000000,28,D,1000000.00,950000.00
