<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SabaNaft.IJR220515,20210905,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,3,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210824,1000000.00,1000000.00,1000000.00,1000000.00,11000000,11,1,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210717,1000000.00,1000000.00,1000000.00,1000000.00,10000000,10,1,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210713,1000000.00,1000000.00,1000000.00,1000000.00,10000000,10,1,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210609,1000000.00,1000000.00,1000000.00,1000000.00,1000000,1,1,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210608,1000000.00,1000000.00,1000000.00,1000000.00,27000000,27,1,D,1020000.00,1000000.00
SabaNaft.IJR220515,20210529,1020000.00,1020000.00,1020000.00,1020000.00,27540000,27,1,D,1000000.00,1020000.00
SabaNaft.IJR220515,20210421,1000000.00,1000000.00,1000000.00,1000000.00,500000000,500,1,D,1000000.00,1000000.00
SabaNaft.IJR220515,20210403,1000000.00,1000000.00,1000000.00,1000000.00,43000000,43,2,D,1020000.00,1000000.00
SabaNaft.IJR220515,20210327,1020000.00,1020000.00,1020000.00,1020000.00,48960000,48,4,D,1000000.00,1020000.00
SabaNaft.IJR220515,20210310,1000000.00,1000000.00,1000000.00,1000000.00,280000000,280,1,D,988550.00,1000000.00
SabaNaft.IJR220515,20210302,988550.00,988550.00,988550.00,988550.00,18782450,19,2,D,988550.00,988550.00
SabaNaft.IJR220515,20210301,988550.00,988550.00,988550.00,988550.00,691985000,700,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210228,988550.00,988550.00,988550.00,988550.00,1482825000,1500,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210224,988550.00,988550.00,988550.00,988550.00,5931300,6,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210222,988550.00,988550.00,988550.00,988550.00,28667950,29,3,D,988550.00,988550.00
SabaNaft.IJR220515,20210220,988550.00,988550.00,988550.00,988550.00,49427500,50,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210217,988550.00,988550.00,988550.00,988550.00,13839700,14,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210216,988550.00,988550.00,988550.00,988550.00,49427500,50,1,D,988550.00,988550.00
SabaNaft.IJR220515,20210214,988550.00,988550.00,988550.00,988550.00,466595600,472,3,D,988550.00,988550.00
SabaNaft.IJR220515,20210213,990000.00,990000.00,984492.00,988550.00,37564920,38,2,D,984492.00,984492.00
SabaNaft.IJR220515,20210208,979000.00,985000.00,979000.00,984492.00,600540000,610,10,D,970305.00,985000.00
SabaNaft.IJR220515,20210207,970305.00,970305.00,970305.00,970305.00,194061000,200,2,D,983262.00,970305.00
SabaNaft.IJR220515,20210206,979000.00,987000.00,979000.00,983262.00,210418000,214,6,D,970303.00,987000.00
SabaNaft.IJR220515,20210203,970303.00,970303.00,970303.00,970303.00,20376363,21,1,D,970303.00,970303.00
SabaNaft.IJR220515,20210130,970303.00,970303.00,970303.00,970303.00,41723029,43,3,D,970303.00,970303.00
SabaNaft.IJR220515,20210126,990000.00,990000.00,965000.00,970303.00,96060000,99,4,D,960000.00,965000.00
SabaNaft.IJR220515,20210125,960000.00,960000.00,960000.00,960000.00,288000000,300,1,D,950000.00,960000.00
SabaNaft.IJR220515,20210124,950000.00,950000.00,950000.00,950000.00,394250000,415,2,D,950000.00,950000.00
SabaNaft.IJR220515,20210123,950000.00,950000.00,950000.00,950000.00,111150000,117,1,D,946656.00,950000.00
SabaNaft.IJR220515,20210120,950000.00,950000.00,943312.00,946656.00,18933120,20,2,D,943312.00,943312.00
SabaNaft.IJR220515,20210119,950000.00,950000.00,930000.00,943312.00,273560600,290,11,D,912628.00,930000.00
SabaNaft.IJR220515,20210118,912628.00,912628.00,912628.00,912628.00,1825256,2,1,D,912628.00,912628.00
SabaNaft.IJR220515,20210112,840002.00,938761.00,840002.00,912628.00,271963034,298,11,D,894016.00,910000.00
SabaNaft.IJR220515,20210109,925000.00,925000.00,883655.00,894016.00,1573467695,1760,10,D,841577.00,925000.00
SabaNaft.IJR220515,20210104,881217.00,881217.00,841162.00,841577.00,5760597795,6845,8,D,801107.00,881217.00
SabaNaft.IJR220515,20210103,799936.00,838026.00,799936.00,801107.00,755444258,943,7,D,761842.00,838026.00
SabaNaft.IJR220515,20201111,825000.00,825000.00,750000.00,761842.00,781650000,1026,5,D,750000.00,750000.00
SabaNaft.IJR220515,20200812,795471.00,750000.00,750000.00,750000.00,993750000,1325,4,D,723156.00,750000.00
SabaNaft.IJR220515,20200518,805212.00,805212.00,688090.00,723156.00,3638920174,5032,11,D,732011.00,805212.00
SabaNaft.IJR220515,20200505,800000.00,800000.00,727890.00,732011.00,5124074000,7000,2,D,774352.00,727890.00
