<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SSI-IJR2-AMN210316,20210315,980000.00,1100011.00,980000.00,1000793.00,48038061,48,6,D,1005210.00,990000.00
SSI-IJR2-AMN210316,20210314,980000.00,1009999.00,980000.00,1005210.00,214109772,213,6,D,1009196.00,1008999.00
SSI-IJR2-AMN210316,20210313,1000000.00,1019999.00,1000000.00,1009196.00,28257488,28,3,D,995200.00,1019999.00
SSI-IJR2-AMN210316,20210308,1095600.00,1000000.00,994000.00,995200.00,49760000,50,8,D,996000.00,1000000.00
SSI-IJR2-AMN210316,20210307,997000.00,997000.00,994200.00,996000.00,27888000,28,3,D,998579.00,994200.00
SSI-IJR2-AMN210316,20210303,1003000.00,1003000.00,997000.00,998579.00,18973000,19,3,D,998250.00,997000.00
SSI-IJR2-AMN210316,20210302,997000.00,1000000.00,997000.00,998250.00,23958000,24,4,D,999998.00,997000.00
SSI-IJR2-AMN210316,20210223,993401.00,1000000.00,993401.00,999998.00,17903966985,17904,3,D,992501.00,1000000.00
SSI-IJR2-AMN210316,20210222,992501.00,992501.00,992501.00,992501.00,14887515,15,2,D,999999.00,992501.00
SSI-IJR2-AMN210316,20210221,999999.00,999999.00,999999.00,999999.00,149999850,150,3,D,998403.00,999999.00
SSI-IJR2-AMN210316,20210220,990000.00,1000000.00,990000.00,998403.00,118809999,119,5,D,999998.00,1000000.00
SSI-IJR2-AMN210316,20210217,990000.00,1000000.00,990000.00,999998.00,25153949836,25154,7,D,977674.00,1000000.00
SSI-IJR2-AMN210316,20210216,975009.00,999998.00,975009.00,977674.00,146651120,150,6,D,998978.00,999998.00
SSI-IJR2-AMN210316,20210215,999998.00,1000000.00,980101.00,998978.00,155840558,156,5,D,980002.00,1000000.00
SSI-IJR2-AMN210316,20210214,980001.00,980007.00,980001.00,980002.00,272440550,278,6,D,994737.00,980003.00
SSI-IJR2-AMN210316,20210213,1000000.00,1000000.00,980001.00,994737.00,18900005,19,2,D,996538.00,980001.00
SSI-IJR2-AMN210316,20210209,971000.00,1000000.00,971000.00,996538.00,175390685,176,5,D,996504.00,1000000.00
