<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill210111,20210106,998000.00,998000.00,994001.00,995931.00,37334461685,37487,34,D,994000.00,995000.00
TreasuryBill210111,20210105,993999.00,997400.00,993999.00,994000.00,87692689982,88222,22,D,994881.00,994000.00
TreasuryBill210111,20210104,994000.00,995000.00,993111.00,994881.00,7839661440,7880,17,D,993020.00,993999.00
TreasuryBill210111,20210103,997000.00,997000.00,992111.00,993020.00,107491395688,108247,21,D,994911.00,992111.00
TreasuryBill210111,20210102,994899.00,995000.00,994000.00,994911.00,170279040190,171150,28,D,993545.00,994451.00
TreasuryBill210111,20201230,993500.00,994000.00,993000.00,993545.00,109431032119,110142,19,D,992999.00,994000.00
TreasuryBill210111,20201229,992001.00,993500.00,992000.00,992999.00,99731855009,100435,15,D,991489.00,993500.00
TreasuryBill210111,20201228,990501.00,992001.00,990501.00,991489.00,302856386802,305456,36,D,990981.00,992000.00
TreasuryBill210111,20201227,993000.00,993000.00,990600.00,990981.00,105148994195,106106,34,D,990917.00,991050.00
TreasuryBill210111,20201226,989821.00,995000.00,989821.00,990917.00,20561526762,20750,26,D,989317.00,991000.00
TreasuryBill210111,20201223,989000.00,990000.00,989000.00,989317.00,395727000,400,6,D,989003.00,989820.00
TreasuryBill210111,20201222,995299.00,995299.00,989000.00,989003.00,64386058607,65102,19,D,990000.00,989000.00
TreasuryBill210111,20201221,990000.00,990000.00,990000.00,990000.00,2387880000,2412,5,D,989998.00,990000.00
TreasuryBill210111,20201220,988011.00,990000.00,988011.00,989998.00,48868302429,49362,8,D,988000.00,990000.00
TreasuryBill210111,20201219,988000.00,988000.00,988000.00,988000.00,50883976000,51502,16,D,988967.00,988000.00
TreasuryBill210111,20201216,989000.00,989000.00,988000.00,988967.00,12121766930,12257,15,D,988499.00,988000.00
TreasuryBill210111,20201215,986701.00,988500.00,986701.00,988499.00,78085527370,78994,16,D,988500.00,988490.00
TreasuryBill210111,20201214,987001.00,988760.00,987001.00,988500.00,74197786816,75061,7,D,986063.00,988760.00
TreasuryBill210111,20201213,986000.00,988990.00,986000.00,986063.00,627135900,636,5,D,986999.00,986500.00
