<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TreasuryBill211108,20210921,973000.00,973998.00,972210.00,973123.00,362974788,373,7,D,972173.00,972210.00
TreasuryBill211108,20210920,973000.00,973799.00,968005.00,972173.00,4541991312,4672,11,D,971684.00,972911.00
TreasuryBill211108,20210919,971101.00,971752.00,971101.00,971684.00,5461836243,5621,8,D,970718.00,971750.00
TreasuryBill211108,20210918,970000.00,971400.00,965107.00,970718.00,15050011956,15504,9,D,970245.00,971400.00
TreasuryBill211108,20210915,967001.00,971500.00,967001.00,970245.00,19231222149,19821,23,D,972788.00,970000.00
TreasuryBill211108,20210914,963334.00,979000.00,963334.00,972788.00,13608326946,13989,18,D,969985.00,979000.00
TreasuryBill211108,20210913,970000.00,979000.00,962515.00,969985.00,21043819660,21695,20,D,965359.00,962515.00
TreasuryBill211108,20210912,969423.00,970000.00,962000.00,965359.00,12714742863,13171,21,D,968177.00,962000.00
TreasuryBill211108,20210911,968895.00,968895.00,967501.00,968177.00,30772543565,31784,11,D,966988.00,967501.00
TreasuryBill211108,20210908,966999.00,967000.00,965501.00,966988.00,947648559,980,5,D,966370.00,967000.00
TreasuryBill211108,20210907,966000.00,966999.00,962000.00,966370.00,23817155163,24646,29,D,964807.00,966999.00
TreasuryBill211108,20210906,965200.00,966460.00,963002.00,964807.00,3466553071,3593,20,D,966461.00,964500.00
TreasuryBill211108,20210905,963013.00,970000.00,963013.00,966461.00,30573019960,31634,21,D,965634.00,969999.00
TreasuryBill211108,20210904,962513.00,965720.00,962007.00,965634.00,30377890225,31459,21,D,965720.00,963950.00
TreasuryBill211108,20210901,957003.00,965800.00,957003.00,965720.00,11384877574,11789,10,D,963149.00,964001.00
TreasuryBill211108,20210831,963000.00,963800.00,963000.00,963149.00,26111945220,27111,17,D,961169.00,963107.00
TreasuryBill211108,20210830,957013.00,963000.00,957011.00,961169.00,6985778499,7268,24,D,961797.00,962600.00
TreasuryBill211108,20210829,960300.00,962999.00,960200.00,961797.00,3667332928,3813,12,D,960723.00,962058.00
TreasuryBill211108,20210828,957000.00,961560.00,957000.00,960723.00,14090924245,14667,19,D,959844.00,958000.00
TreasuryBill211108,20210825,961000.00,961999.00,958060.00,959844.00,16461324729,17150,8,D,957996.00,958060.00
TreasuryBill211108,20210824,958001.00,958001.00,957600.00,957996.00,3722774100,3886,11,D,957173.00,958000.00
TreasuryBill211108,20210823,912250.00,960738.00,912250.00,957173.00,4656645288,4865,26,D,960263.00,960738.00
TreasuryBill211108,20210822,959999.00,960411.00,956528.00,960263.00,35047682771,36498,19,D,957735.00,960301.00
TreasuryBill211108,20210815,957304.00,958990.00,957304.00,957735.00,20862332231,21783,15,D,956613.00,957601.00
TreasuryBill211108,20210814,954000.00,958000.00,954000.00,956613.00,19814323339,20713,20,D,954456.00,957014.00
TreasuryBill211108,20210811,953600.00,955105.00,952306.00,954456.00,22313270600,23378,23,D,954578.00,955000.00
TreasuryBill211108,20210810,954000.00,954899.00,954000.00,954578.00,7887680691,8263,10,D,953921.00,954899.00
TreasuryBill211108,20210809,952600.00,954000.00,952600.00,953921.00,37573994987,39389,25,D,953333.00,953011.00
TreasuryBill211108,20210808,953500.00,953501.00,953000.00,953333.00,9328360880,9785,16,D,951844.00,953000.00
TreasuryBill211108,20210807,952000.00,952222.00,951200.00,951844.00,2622328982,2755,7,D,950049.00,951200.00
TreasuryBill211108,20210804,950000.00,950100.00,950000.00,950049.00,9720902800,10232,9,D,948287.00,950100.00
TreasuryBill211108,20210803,952000.00,952000.00,948004.00,948287.00,1754331256,1850,8,D,951293.00,948004.00
TreasuryBill211108,20210802,946600.00,951500.00,946600.00,951293.00,14368324856,15104,14,D,949697.00,951200.00
TreasuryBill211108,20210801,949000.00,950946.00,949000.00,949697.00,38494060942,40533,20,D,947802.00,950100.00
TreasuryBill211108,20210731,947000.00,949500.00,947000.00,947802.00,29288019738,30901,36,D,947960.00,948001.00
TreasuryBill211108,20210728,946001.00,950000.00,946000.00,947960.00,19300471126,20360,32,D,945929.00,948000.00
