<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
TFardaIJRSEP240225,20210814,979200.00,990000.00,979200.00,987941.00,25911720000,26228,3,D,1000000.00,990000.00
TFardaIJRSEP240225,20210719,1000000.00,1000000.00,1000000.00,1000000.00,2500000000,2500,1,D,1000000.00,1000000.00
TFardaIJRSEP240225,20210717,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,1,D,1000000.00,1000000.00
TFardaIJRSEP240225,20210524,1000000.00,1000000.00,1000000.00,1000000.00,1000000000,1000,1,D,930000.00,1000000.00
TFardaIJRSEP240225,20210523,930000.00,930000.00,930000.00,930000.00,1860000000,2000,1,D,933300.00,930000.00
TFardaIJRSEP240225,20210522,933300.00,933300.00,933300.00,933300.00,9327400200,9994,1,D,1037000.00,933300.00
TFardaIJRSEP240225,20210228,1037000.00,1037000.00,1037000.00,1037000.00,155550000000,150000,6,D,1037000.00,1037000.00
TFardaIJRSEP240225,20210222,1037000.00,1037000.00,1037000.00,1037000.00,2074000000,2000,1,D,1016000.00,1037000.00
TFardaIJRSEP240225,20210221,1016000.00,1016000.00,1016000.00,1016000.00,2032000000,2000,1,D,1000000.00,1016000.00
TFardaIJRSEP240225,20210215,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,1,D,1000000.00,1000000.00
TFardaIJRSEP240225,20210113,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,1,D,1015000.00,1000000.00
TFardaIJRSEP240225,20201226,1015000.00,1015000.00,1015000.00,1015000.00,507500000,500,1,D,1000000.00,1015000.00
TFardaIJRSEP240225,20201202,1000000.00,1000000.00,1000000.00,1000000.00,6000000,6,1,D,1000000.00,1000000.00
TFardaIJRSEP240225,20201028,1000000.00,1000000.00,1000000.00,1000000.00,303000000000,303000,13,D,1000000.00,1000000.00
TFardaIJRSEP240225,20201020,1000000.00,1000000.00,1000000.00,1000000.00,250000000000,250000,10,D,1000000.00,1000000.00
TFardaIJRSEP240225,20201019,1000000.00,1000000.00,1000000.00,1000000.00,50000000000,50000,2,D,1000000.00,1000000.00
TFardaIJRSEP240225,20200922,1000000.00,1000000.00,1000000.00,1000000.00,1000000000,1000,1,D,1000000.00,1000000.00
TFardaIJRSEP240225,20200921,1000000.00,1000000.00,1000000.00,1000000.00,1000000000,1000,1,D,962000.00,1000000.00
TFardaIJRSEP240225,20200906,962000.00,962000.00,962000.00,962000.00,50024000000,52000,3,D,975000.00,962000.00
TFardaIJRSEP240225,20200715,975000.00,975000.00,975000.00,975000.00,2915250000,2990,20,D,975000.00,975000.00
TFardaIJRSEP240225,20200701,975000.00,975000.00,975000.00,975000.00,9750000000,10000,1,D,930000.00,975000.00
TFardaIJRSEP240225,20200630,930000.00,930000.00,930000.00,930000.00,2790000000,3000,1,D,900000.00,930000.00
TFardaIJRSEP240225,20200629,900000.00,900000.00,900000.00,900000.00,900000000,1000,1,D,870000.00,900000.00
TFardaIJRSEP240225,20200624,870000.00,870000.00,870000.00,870000.00,5220000,6,1,D,868000.00,870000.00
TFardaIJRSEP240225,20200623,868000.00,868000.00,868000.00,868000.00,156240000000,180000,8,D,897750.00,868000.00
TFardaIJRSEP240225,20200622,897750.00,897750.00,897750.00,897750.00,897750000,1000,1,D,855000.00,897750.00
TFardaIJRSEP240225,20200616,855000.00,855000.00,855000.00,855000.00,855000000,1000,1,D,950000.00,855000.00
TFardaIJRSEP240225,20200602,950000.00,950000.00,950000.00,950000.00,104500000000,110000,5,D,950000.00,950000.00
TFardaIJRSEP240225,20200519,950000.00,950000.00,950000.00,950000.00,4750000,5,2,D,954185.00,950000.00
TFardaIJRSEP240225,20200518,955000.00,955000.00,954175.00,954185.00,381674068075,400000,32,D,955000.00,954175.00
TFardaIJRSEP240225,20200517,955000.00,955000.00,955000.00,955000.00,29605000,31,5,D,955000.00,955000.00
TFardaIJRSEP240225,20200516,955000.00,955001.00,955000.00,955000.00,18145006,19,4,D,955001.00,955001.00
TFardaIJRSEP240225,20200513,955001.00,955001.00,955000.00,955001.00,25785020,27,4,D,955000.00,955000.00
TFardaIJRSEP240225,20200512,955000.00,955000.00,955000.00,955000.00,7640000,8,1,D,955100.00,955000.00
TFardaIJRSEP240225,20200510,955100.00,955100.00,955100.00,955100.00,9551000,10,1,D,960000.00,955100.00
TFardaIJRSEP240225,20200502,960000.00,960000.00,960000.00,960000.00,48000000000,50000,2,D,975000.00,960000.00
TFardaIJRSEP240225,20200419,975000.00,975000.00,975000.00,975000.00,9750000,10,2,D,974990.00,975000.00
TFardaIJRSEP240225,20200415,955000.00,975000.00,955000.00,974990.00,19494925000,19995,4,D,975000.00,975000.00
TFardaIJRSEP240225,20200412,975000.00,975000.00,975000.00,975000.00,9750000,10,1,D,975000.00,975000.00
TFardaIJRSEP240225,20200405,975000.00,975000.00,975000.00,975000.00,4875000,5,2,D,964000.00,975000.00
TFardaIJRSEP240225,20200316,964000.00,964000.00,964000.00,964000.00,66516000000,69000,3,D,964000.00,964000.00
TFardaIJRSEP240225,20200315,964000.00,964000.00,964000.00,964000.00,39524000000,41000,3,D,964000.00,964000.00
TFardaIJRSEP240225,20200314,964000.00,964000.00,964000.00,964000.00,192800000000,200000,8,D,960000.00,964000.00
TFardaIJRSEP240225,20200311,960000.00,960000.00,960000.00,960000.00,4800000000,5000,1,D,960003.00,960000.00
TFardaIJRSEP240225,20200229,960011.00,960011.00,960000.00,960003.00,2198405969825,2290000,23,D,960000.00,960000.00
TFardaIJRSEP240225,20200226,960000.00,960000.00,960000.00,960000.00,1641600000000,1710000,14,D,1000000.00,960000.00
