<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SOV.MNF74SP230702,20210921,990000.00,990000.00,990000.00,990000.00,1485000000,1500,1,D,948900.00,990000.00
SOV.MNF74SP230702,20210920,948900.00,948900.00,948900.00,948900.00,19926900000,21000,1,D,969000.00,948900.00
SOV.MNF74SP230702,20210911,969000.00,969000.00,969000.00,969000.00,1938000000,2000,1,D,1020000.00,969000.00
SOV.MNF74SP230702,20210822,1020000.00,1020000.00,1020000.00,1020000.00,2040000000,2000,1,D,1000000.00,1020000.00
SOV.MNF74SP230702,20210719,1000000.00,1000000.00,1000000.00,1000000.00,150000000000,150000,6,D,1000650.00,1000000.00
SOV.MNF74SP230702,20210621,956300.00,1045000.00,956300.00,1000650.00,10006500000,10000,2,D,1002950.00,1045000.00
SOV.MNF74SP230702,20210620,1002950.00,1002950.00,1002950.00,1002950.00,20059000000,20000,1,D,1045000.00,1002950.00
SOV.MNF74SP230702,20210420,1045000.00,1045000.00,1045000.00,1045000.00,1045000000,1000,1,D,1000000.00,1045000.00
SOV.MNF74SP230702,20210417,1000000.00,1000000.00,1000000.00,1000000.00,160000000000,160000,10,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210411,1000000.00,1000000.00,1000000.00,1000000.00,50500000000,50500,3,D,980000.00,1000000.00
SOV.MNF74SP230702,20210406,980000.00,980000.00,980000.00,980000.00,490000000,500,1,D,950000.00,980000.00
SOV.MNF74SP230702,20210405,950000.00,950000.00,950000.00,950000.00,170050000000,179000,8,D,1000000.00,950000.00
SOV.MNF74SP230702,20210307,1000000.00,1000000.00,999999.00,1000000.00,24999995000,25000,3,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210228,1000000.00,1000000.00,1000000.00,1000000.00,50000000000,50000,2,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210221,1000000.00,1000000.00,1000000.00,1000000.00,15000000000,15000,1,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210206,1000000.00,1000000.00,1000000.00,1000000.00,30000000000,30000,2,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210126,1000000.00,1000000.00,1000000.00,1000000.00,50000000000,50000,2,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210118,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,1,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210106,1000000.00,1000000.00,1000000.00,1000000.00,30000000000,30000,2,D,1000000.00,1000000.00
SOV.MNF74SP230702,20210103,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,1,D,987000.00,1000000.00
SOV.MNF74SP230702,20201220,987000.00,987000.00,987000.00,987000.00,4935000000,5000,1,D,983890.00,987000.00
SOV.MNF74SP230702,20201021,983890.00,983890.00,983890.00,983890.00,4919450000,5000,1,D,946050.00,983890.00
SOV.MNF74SP230702,20201020,946050.00,946050.00,946050.00,946050.00,47302500000,50000,2,D,901000.00,946050.00
SOV.MNF74SP230702,20201005,901000.00,901000.00,901000.00,901000.00,9010000000,10000,1,D,880000.00,901000.00
SOV.MNF74SP230702,20200831,880000.00,880000.00,880000.00,880000.00,3080000000,3500,1,D,840000.00,880000.00
SOV.MNF74SP230702,20200706,840000.00,840000.00,840000.00,840000.00,1680000000,2000,2,D,800000.00,840000.00
SOV.MNF74SP230702,20200705,800000.00,800000.00,800000.00,800000.00,800000000,1000,1,D,840000.00,800000.00
SOV.MNF74SP230702,20200701,840000.00,840000.00,840000.00,840000.00,840000000,1000,1,D,880000.00,840000.00
SOV.MNF74SP230702,20200629,880000.00,880000.00,880000.00,880000.00,880000000,1000,1,D,920000.00,880000.00
SOV.MNF74SP230702,20200518,920000.00,920000.00,920000.00,920000.00,460000000,500,1,D,962497.00,920000.00
SOV.MNF74SP230702,20200505,962497.00,962497.00,962497.00,962497.00,96249700,100,1,D,948273.00,962497.00
SOV.MNF74SP230702,20200504,948273.00,948273.00,948273.00,948273.00,189654600,200,1,D,933800.00,948273.00
SOV.MNF74SP230702,20200503,933800.00,933800.00,933800.00,933800.00,93380000,100,1,D,920000.00,933800.00
SOV.MNF74SP230702,20200229,920000.00,920000.00,920000.00,920000.00,920000000,1000,1,D,910000.00,920000.00
SOV.MNF74SP230702,20200208,910000.00,910000.00,910000.00,910000.00,45500000000,50000,2,D,910000.00,910000.00
SOV.MNF74SP230702,20200120,910000.00,910000.00,910000.00,910000.00,49140000000,54000,3,D,910000.00,910000.00
SOV.MNF74SP230702,20200118,910000.00,910000.00,910000.00,910000.00,18200000000,20000,1,D,950000.00,910000.00
SOV.MNF74SP230702,20200115,950000.00,950000.00,950000.00,950000.00,9500000000,10000,1,D,1000000.00,950000.00
SOV.MNF74SP230702,20200101,1000000.00,1000000.00,1000000.00,1000000.00,23000000000000,23000000,129,D,1000000.00,1000000.00
