<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SOV.GMR41.SP210829,20210828,999998.00,999998.00,999998.00,999998.00,139999720000,140000,14,D,999998.00,999998.00
SOV.GMR41.SP210829,20210825,999998.00,999998.00,999998.00,999998.00,8399983200,8400,1,D,999998.00,999998.00
SOV.GMR41.SP210829,20210811,999998.00,999998.00,999998.00,999998.00,154999690000,155000,8,D,999998.00,999998.00
SOV.GMR41.SP210829,20210807,999998.00,999998.00,999998.00,999998.00,9999980000,10000,1,D,999998.00,999998.00
SOV.GMR41.SP210829,20210713,999998.00,999998.00,999998.00,999998.00,26499947000,26500,2,D,999999.00,999998.00
SOV.GMR41.SP210829,20210710,999999.00,999999.00,999999.00,999999.00,9999990000,10000,1,D,999000.00,999999.00
SOV.GMR41.SP210829,20210630,999000.00,999000.00,999000.00,999000.00,7992000000,8000,1,D,999999.00,999000.00
SOV.GMR41.SP210829,20210629,999999.00,999999.00,999999.00,999999.00,174999825000,175000,8,D,999999.00,999999.00
SOV.GMR41.SP210829,20210623,999999.00,999999.00,999999.00,999999.00,4999995000,5000,1,D,999999.00,999999.00
SOV.GMR41.SP210829,20210622,999999.00,999999.00,999999.00,999999.00,4999995000,5000,1,D,1000000.00,999999.00
SOV.GMR41.SP210829,20210619,1000000.00,1000000.00,1000000.00,1000000.00,80000000000,80000,4,D,991000.00,1000000.00
SOV.GMR41.SP210829,20210615,991000.00,991000.00,991000.00,991000.00,153605000000,155000,7,D,1000000.00,991000.00
SOV.GMR41.SP210829,20210525,1000000.00,1000000.00,1000000.00,1000000.00,70000000000,70000,3,D,1019087.00,1000000.00
SOV.GMR41.SP210829,20210524,1000000.00,1019999.00,1000000.00,1019087.00,413239613000,405500,32,D,999999.00,1019999.00
SOV.GMR41.SP210829,20210508,999999.00,999999.00,999999.00,999999.00,5499994500,5500,1,D,999000.00,999999.00
SOV.GMR41.SP210829,20210502,999000.00,999000.00,999000.00,999000.00,4995000000,5000,1,D,992500.00,999000.00
