<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SOV.MushSPCL220116,20210908,989157.00,989157.00,989157.00,989157.00,52029658200,52600,3,D,983000.00,989157.00
SOV.MushSPCL220116,20210822,983000.00,983000.00,983000.00,983000.00,1966000000,2000,2,D,983000.00,983000.00
SOV.MushSPCL220116,20210803,983000.00,983000.00,983000.00,983000.00,5603100000,5700,3,D,983000.00,983000.00
SOV.MushSPCL220116,20210802,983000.00,983000.00,983000.00,983000.00,98300000,100,1,D,990000.00,983000.00
SOV.MushSPCL220116,20210727,990000.00,990000.00,990000.00,990000.00,198000000,200,1,D,984999.00,990000.00
SOV.MushSPCL220116,20210726,984999.00,984999.00,984999.00,984999.00,984999000,1000,1,D,980000.00,984999.00
SOV.MushSPCL220116,20210719,980000.00,980000.00,980000.00,980000.00,2940000000,3000,2,D,980000.00,980000.00
SOV.MushSPCL220116,20210718,980000.00,980000.00,980000.00,980000.00,980000000,1000,1,D,977501.00,980000.00
SOV.MushSPCL220116,20210717,980000.00,980000.00,975002.00,977501.00,1955002000,2000,2,D,987373.00,975002.00
SOV.MushSPCL220116,20210704,985000.00,987998.00,985000.00,987373.00,2369694600,2400,3,D,980000.00,987998.00
SOV.MushSPCL220116,20210630,980000.00,980000.00,980000.00,980000.00,196000000,200,1,D,988000.00,980000.00
SOV.MushSPCL220116,20210621,988000.00,988000.00,988000.00,988000.00,98800000,100,1,D,970000.00,988000.00
SOV.MushSPCL220116,20210619,970000.00,970000.00,970000.00,970000.00,194000000,200,1,D,980000.00,970000.00
SOV.MushSPCL220116,20210615,980000.00,980000.00,980000.00,980000.00,207466000000,211700,9,D,981000.00,980000.00
SOV.MushSPCL220116,20210607,981000.00,981000.00,981000.00,981000.00,6670800000,6800,4,D,981936.00,981000.00
SOV.MushSPCL220116,20210530,988000.00,988000.00,981000.00,981936.00,49195000000,50100,6,D,999945.00,981000.00
SOV.MushSPCL220116,20210518,999945.00,999945.00,999945.00,999945.00,199989000,200,1,D,997454.00,999945.00
SOV.MushSPCL220116,20210509,985000.00,999945.00,985000.00,997454.00,598472300,600,4,D,999945.00,999945.00
SOV.MushSPCL220116,20210505,999945.00,999945.00,999945.00,999945.00,299983500,300,1,D,997491.00,999945.00
SOV.MushSPCL220116,20210502,997480.00,997500.00,997480.00,997491.00,1097240000,1100,3,D,950000.00,997500.00
SOV.MushSPCL220116,20210501,950000.00,950000.00,950000.00,950000.00,475000000,500,1,D,999884.00,950000.00
SOV.MushSPCL220116,20210426,999884.00,999884.00,999884.00,999884.00,999884000,1000,1,D,990000.00,999884.00
SOV.MushSPCL220116,20210425,990000.00,990000.00,990000.00,990000.00,4950000000,5000,1,D,980000.00,990000.00
SOV.MushSPCL220116,20210424,980000.00,980000.00,980000.00,980000.00,19796000000,20200,2,D,990000.00,980000.00
SOV.MushSPCL220116,20210421,990000.00,990000.00,990000.00,990000.00,1188000000,1200,2,D,990000.00,990000.00
SOV.MushSPCL220116,20210420,990000.00,990000.00,990000.00,990000.00,297000000,300,1,D,999978.00,990000.00
SOV.MushSPCL220116,20210418,999978.00,999978.00,999978.00,999978.00,99997800,100,1,D,990000.00,999978.00
SOV.MushSPCL220116,20210412,990000.00,990000.00,990000.00,990000.00,198000000,200,2,D,999987.00,990000.00
SOV.MushSPCL220116,20210410,999987.00,999987.00,999987.00,999987.00,999987000,1000,1,D,990000.00,999987.00
SOV.MushSPCL220116,20210407,990000.00,990000.00,990000.00,990000.00,297000000,300,1,D,999988.00,990000.00
SOV.MushSPCL220116,20210406,999988.00,999988.00,999988.00,999988.00,999988000,1000,1,D,985000.00,999988.00
SOV.MushSPCL220116,20210404,985000.00,985000.00,985000.00,985000.00,295500000,300,1,D,990000.00,985000.00
SOV.MushSPCL220116,20210317,990000.00,990000.00,990000.00,990000.00,1980000000,2000,1,D,999999.00,990000.00
SOV.MushSPCL220116,20210303,999997.00,999999.00,999997.00,999999.00,999998600,1000,3,D,980000.00,999999.00
SOV.MushSPCL220116,20210301,980000.00,980000.00,979999.00,980000.00,9015999900,9200,5,D,970050.00,979999.00
SOV.MushSPCL220116,20210227,970050.00,970050.00,970050.00,970050.00,3783195000,3900,1,D,1000000.00,970050.00
SOV.MushSPCL220116,20210201,1000000.00,1000000.00,1000000.00,1000000.00,100000000,100,1,D,981001.00,1000000.00
SOV.MushSPCL220116,20210131,981001.00,981001.00,981001.00,981001.00,98100100,100,1,D,1000000.00,981001.00
SOV.MushSPCL220116,20210127,1000000.00,1000000.00,1000000.00,1000000.00,700000000,700,1,D,984004.00,1000000.00
SOV.MushSPCL220116,20210126,982100.00,999999.00,982000.00,984004.00,165312666000,168000,15,D,985000.00,999999.00
SOV.MushSPCL220116,20210125,985000.00,985000.00,985000.00,985000.00,65699500000,66700,12,D,997053.00,985000.00
SOV.MushSPCL220116,20210118,995000.00,1000000.00,995000.00,997053.00,121441000000,121800,10,D,995000.00,1000000.00
SOV.MushSPCL220116,20210105,995000.00,995000.00,995000.00,995000.00,6965000000,7000,2,D,985000.00,995000.00
SOV.MushSPCL220116,20210103,985000.00,985000.00,985000.00,985000.00,47575500000,48300,2,D,1000000.00,985000.00
SOV.MushSPCL220116,20201220,1000000.00,1000000.00,1000000.00,1000000.00,2900000000,2900,1,D,990000.00,1000000.00
SOV.MushSPCL220116,20201213,990000.00,990000.00,990000.00,990000.00,990000000,1000,1,D,998750.00,990000.00
SOV.MushSPCL220116,20201129,990000.00,1000000.00,990000.00,998750.00,7990000000,8000,3,D,998333.00,1000000.00
SOV.MushSPCL220116,20201102,985000.00,1000000.00,985000.00,998333.00,4492499500,4500,4,D,1025000.00,1000000.00
SOV.MushSPCL220116,20201027,1025000.00,1025000.00,1025000.00,1025000.00,1025000000,1000,1,D,1000000.00,1025000.00
SOV.MushSPCL220116,20201021,1000000.00,1000000.00,1000000.00,1000000.00,2000000000,2000,2,D,996000.00,1000000.00
SOV.MushSPCL220116,20201020,992000.00,998000.00,992000.00,996000.00,3984000000,4000,3,D,992000.00,998000.00
SOV.MushSPCL220116,20201019,992000.00,992000.00,992000.00,992000.00,1785600000,1800,1,D,989303.00,992000.00
SOV.MushSPCL220116,20201014,940500.00,990000.00,940500.00,989303.00,70240500000,71000,7,D,990000.00,990000.00
SOV.MushSPCL220116,20200922,990000.00,990000.00,990000.00,990000.00,1980000000,2000,1,D,1000000.00,990000.00
SOV.MushSPCL220116,20200920,1000000.00,1000000.00,1000000.00,1000000.00,900000000,900,1,D,992250.00,1000000.00
SOV.MushSPCL220116,20200912,992250.00,992250.00,992250.00,992250.00,893025000,900,1,D,945000.00,992250.00
SOV.MushSPCL220116,20200905,945000.00,945000.00,945000.00,945000.00,2835000000,3000,1,D,981000.00,945000.00
SOV.MushSPCL220116,20200824,981000.00,981000.00,981000.00,981000.00,49050000000,50000,2,D,981000.00,981000.00
SOV.MushSPCL220116,20200801,980999.00,981000.00,980999.00,981000.00,1079099900,1100,2,D,979500.00,981000.00
SOV.MushSPCL220116,20200722,979500.00,979500.00,979500.00,979500.00,979500000,1000,1,D,934000.00,979500.00
SOV.MushSPCL220116,20200720,934000.00,934000.00,934000.00,934000.00,93400000,100,1,D,978600.00,934000.00
SOV.MushSPCL220116,20200719,978600.00,978600.00,978600.00,978600.00,489300000,500,1,D,932000.00,978600.00
SOV.MushSPCL220116,20200715,932000.00,932000.00,932000.00,932000.00,2796000000,3000,1,D,970000.00,932000.00
SOV.MushSPCL220116,20200713,970000.00,970000.00,970000.00,970000.00,194000000,200,1,D,980000.00,970000.00
SOV.MushSPCL220116,20200615,980000.00,980000.00,980000.00,980000.00,238924000000,243800,16,D,980000.00,980000.00
SOV.MushSPCL220116,20200614,980000.00,980000.00,980000.00,980000.00,98000000,100,1,D,953500.00,980000.00
SOV.MushSPCL220116,20200609,953500.00,953500.00,953500.00,953500.00,95350000,100,1,D,912000.00,953500.00
SOV.MushSPCL220116,20200531,912000.00,912000.00,912000.00,912000.00,1824000000,2000,6,D,960000.00,912000.00
SOV.MushSPCL220116,20200512,960000.00,960000.00,960000.00,960000.00,576000000000,600000,24,D,960000.00,960000.00
SOV.MushSPCL220116,20200511,960000.00,960000.00,960000.00,960000.00,139200000000,145000,6,D,925000.00,960000.00
SOV.MushSPCL220116,20200510,925000.00,925000.00,925000.00,925000.00,208125000000,225000,9,D,921500.00,925000.00
SOV.MushSPCL220116,20200504,921500.00,921500.00,921500.00,921500.00,1843000000,2000,1,D,970000.00,921500.00
SOV.MushSPCL220116,20200503,970000.00,970000.00,970000.00,970000.00,1940000000,2000,1,D,970000.00,970000.00
SOV.MushSPCL220116,20200428,970000.00,970000.00,970000.00,970000.00,485000000,500,1,D,932000.00,970000.00
SOV.MushSPCL220116,20200422,930000.00,942000.00,930000.00,932000.00,559200000,600,2,D,920004.00,942000.00
SOV.MushSPCL220116,20200405,920004.00,920004.00,920004.00,920004.00,920004000,1000,1,D,944000.00,920004.00
SOV.MushSPCL220116,20200404,944000.00,944000.00,944000.00,944000.00,94400000,100,1,D,903005.00,944000.00
SOV.MushSPCL220116,20200316,903005.00,903005.00,903005.00,903005.00,48762270000,54000,3,D,900000.00,903005.00
SOV.MushSPCL220116,20200304,900000.00,900000.00,900000.00,900000.00,7470000000,8300,3,D,916026.00,900000.00
SOV.MushSPCL220116,20200302,916026.00,916026.00,916026.00,916026.00,9160260000,10000,1,D,940000.00,916026.00
SOV.MushSPCL220116,20200208,940000.00,940000.00,940000.00,940000.00,564000000,600,1,D,950632.00,940000.00
SOV.MushSPCL220116,20200205,949627.00,950649.00,949627.00,950632.00,24336187700,25600,6,D,912007.00,950649.00
SOV.MushSPCL220116,20200202,912007.00,912007.00,912007.00,912007.00,912007000,1000,1,D,930530.00,912007.00
SOV.MushSPCL220116,20200120,920010.00,939998.00,920010.00,930530.00,1768006500,1900,5,D,939996.00,939998.00
SOV.MushSPCL220116,20200118,939996.00,939996.00,939996.00,939996.00,10339956000,11000,5,D,925027.00,939996.00
SOV.MushSPCL220116,20200115,925000.00,925203.00,925000.00,925027.00,229129132800,247700,21,D,918002.00,925202.00
SOV.MushSPCL220116,20200114,918002.00,918002.00,918002.00,918002.00,91800200,100,1,D,939998.00,918002.00
SOV.MushSPCL220116,20200112,939998.00,940000.00,939998.00,939998.00,3101993800,3300,3,D,923324.00,940000.00
SOV.MushSPCL220116,20200108,917002.00,925000.00,916000.00,923324.00,3416299700,3700,6,D,915001.00,925000.00
SOV.MushSPCL220116,20200107,915001.00,915001.00,915001.00,915001.00,91500100,100,1,D,914019.00,915001.00
SOV.MushSPCL220116,20200101,914019.00,914019.00,914019.00,914019.00,731215200,800,1,D,938000.00,914019.00
SOV.MushSPCL220116,20191230,938000.00,938000.00,938000.00,938000.00,187600000,200,1,D,940869.00,938000.00
SOV.MushSPCL220116,20191225,939998.00,940900.00,939998.00,940869.00,37634755700,40000,6,D,905380.00,940900.00
SOV.MushSPCL220116,20191221,916020.00,939944.00,899000.00,905380.00,27433006600,30300,12,D,935671.00,939941.00
SOV.MushSPCL220116,20191218,930000.00,936150.00,930000.00,935671.00,97403400000,104100,10,D,924593.00,930000.00
SOV.MushSPCL220116,20191216,940000.00,940000.00,905002.00,924593.00,1017052800,1100,8,D,935201.00,905002.00
SOV.MushSPCL220116,20191211,940000.00,942997.00,910010.00,935201.00,467600400,500,3,D,909003.00,910010.00
SOV.MushSPCL220116,20191127,912005.00,912005.00,905001.00,909003.00,272701000,300,3,D,912008.00,905001.00
SOV.MushSPCL220116,20191126,912008.00,912008.00,912008.00,912008.00,91200800,100,1,D,942003.00,912008.00
SOV.MushSPCL220116,20191125,942999.00,942999.00,942000.00,942003.00,81106499700,86100,6,D,935000.00,942000.00
SOV.MushSPCL220116,20191124,935000.00,935000.00,935000.00,935000.00,6545000000,7000,1,D,910001.00,935000.00
SOV.MushSPCL220116,20191120,915000.00,915000.00,905001.00,910001.00,273000300,300,3,D,942999.00,905001.00
SOV.MushSPCL220116,20191119,942999.00,942999.00,942999.00,942999.00,188599800,200,1,D,908106.00,942999.00
SOV.MushSPCL220116,20191117,908106.00,908106.00,908106.00,908106.00,90810600,100,1,D,938124.00,908106.00
SOV.MushSPCL220116,20191116,935000.00,939999.00,935000.00,938124.00,1500999000,1600,3,D,925400.00,939999.00
SOV.MushSPCL220116,20191113,925000.00,930000.00,925000.00,925400.00,11567500000,12500,5,D,908020.00,930000.00
SOV.MushSPCL220116,20191111,908020.00,908020.00,908020.00,908020.00,90802000,100,1,D,929999.00,908020.00
SOV.MushSPCL220116,20191109,929999.00,930000.00,929999.00,929999.00,1859998800,2000,2,D,906005.00,930000.00
SOV.MushSPCL220116,20191028,906005.00,906005.00,906005.00,906005.00,453002500,500,1,D,910002.00,906005.00
SOV.MushSPCL220116,20191026,910002.00,910002.00,910002.00,910002.00,455001000,500,1,D,922284.00,910002.00
SOV.MushSPCL220116,20191023,919999.00,922388.00,919999.00,922284.00,10606267500,11500,3,D,878465.00,922388.00
SOV.MushSPCL220116,20191022,890013.00,890013.00,875001.00,878465.00,5710023500,6500,3,D,910000.00,875001.00
SOV.MushSPCL220116,20191014,910000.00,910000.00,910000.00,910000.00,182000000,200,1,D,891017.00,910000.00
SOV.MushSPCL220116,20191002,891017.00,891017.00,891017.00,891017.00,891017000,1000,1,D,919000.00,891017.00
SOV.MushSPCL220116,20191001,919000.00,919000.00,919000.00,919000.00,92819000000,101000,6,D,900001.00,919000.00
SOV.MushSPCL220116,20190929,900001.00,900001.00,900001.00,900001.00,4500005000,5000,1,D,901667.00,900001.00
SOV.MushSPCL220116,20190924,910000.00,910000.00,900000.00,901667.00,1082000000,1200,2,D,910000.00,900000.00
SOV.MushSPCL220116,20190923,910000.00,910000.00,910000.00,910000.00,455000000,500,1,D,933000.00,910000.00
SOV.MushSPCL220116,20190916,932999.00,933000.00,932999.00,933000.00,466499900,500,2,D,900000.00,933000.00
SOV.MushSPCL220116,20190914,900000.00,900000.00,900000.00,900000.00,90000000,100,1,D,920000.00,900000.00
SOV.MushSPCL220116,20190911,920000.00,920000.00,920000.00,920000.00,9200000000,10000,1,D,919499.00,920000.00
SOV.MushSPCL220116,20190907,918999.00,920000.00,918999.00,919499.00,919499500,1000,2,D,890001.00,920000.00
SOV.MushSPCL220116,20190904,890001.00,890001.00,890001.00,890001.00,445000500,500,1,D,915000.00,890001.00
SOV.MushSPCL220116,20190903,915000.00,915000.00,915000.00,915000.00,78415500000,85700,4,D,915000.00,915000.00
SOV.MushSPCL220116,20190902,915000.00,915000.00,915000.00,915000.00,4209000000,4600,2,D,915000.00,915000.00
SOV.MushSPCL220116,20190901,914999.00,915000.00,914999.00,915000.00,9607499500,10500,3,D,885001.00,915000.00
SOV.MushSPCL220116,20190825,885001.00,885001.00,885001.00,885001.00,442500500,500,1,D,891119.00,885001.00
SOV.MushSPCL220116,20190806,891119.00,891119.00,891119.00,891119.00,356447600,400,1,D,915990.00,891119.00
SOV.MushSPCL220116,20190731,915990.00,915991.00,915990.00,915990.00,824391200,900,2,D,882016.00,915991.00
SOV.MushSPCL220116,20190728,890000.00,890000.00,880020.00,882016.00,882016100,1000,4,D,890554.00,880020.00
SOV.MushSPCL220116,20190722,890606.00,890606.00,890501.00,890554.00,890553700,1000,3,D,919969.00,890501.00
SOV.MushSPCL220116,20190721,919890.00,919999.00,919890.00,919969.00,1287957000,1400,3,D,904265.00,919999.00
SOV.MushSPCL220116,20190720,890501.00,912000.00,890001.00,904265.00,1537250500,1700,4,D,890001.00,912000.00
SOV.MushSPCL220116,20190717,890001.00,890001.00,890001.00,890001.00,890001000,1000,4,D,890011.00,890001.00
SOV.MushSPCL220116,20190714,890011.00,890011.00,890011.00,890011.00,89001100,100,1,D,890001.00,890011.00
SOV.MushSPCL220116,20190713,890001.00,890001.00,890001.00,890001.00,445000500,500,1,D,890002.00,890001.00
SOV.MushSPCL220116,20190707,890002.00,890002.00,890002.00,890002.00,11570026000,13000,1,D,890000.00,890002.00
SOV.MushSPCL220116,20190702,890000.00,890001.00,890000.00,890000.00,623000100,700,3,D,880007.00,890001.00
SOV.MushSPCL220116,20190701,880007.00,880007.00,880007.00,880007.00,88000700,100,1,D,917511.00,880007.00
SOV.MushSPCL220116,20190630,917511.00,917511.00,917511.00,917511.00,45875550000,50000,2,D,878506.00,917511.00
SOV.MushSPCL220116,20190623,880012.00,880012.00,875000.00,878506.00,878505900,1000,5,D,919998.00,875000.00
SOV.MushSPCL220116,20190622,919998.00,919998.00,919998.00,919998.00,91999800000,100000,4,D,900000.00,919998.00
SOV.MushSPCL220116,20190619,900000.00,900000.00,900000.00,900000.00,90000000,100,1,D,866405.00,900000.00
SOV.MushSPCL220116,20190617,861000.00,901999.00,861000.00,866405.00,26945195900,31100,4,D,898430.00,901999.00
SOV.MushSPCL220116,20190616,898000.00,898885.00,895880.00,898430.00,3503878000,3900,7,D,878541.00,898885.00
SOV.MushSPCL220116,20190615,865666.00,880888.00,865666.00,878541.00,702833000,800,4,D,854006.00,880888.00
SOV.MushSPCL220116,20190612,870000.00,870000.00,846028.00,854006.00,4184629800,4900,17,D,880000.00,865000.00
SOV.MushSPCL220116,20190611,880000.00,880000.00,880000.00,880000.00,88000000,100,1,D,875385.00,880000.00
SOV.MushSPCL220116,20190610,875000.00,880000.00,875000.00,875385.00,1138000000,1300,3,D,860510.00,880000.00
SOV.MushSPCL220116,20190609,877479.00,890932.00,852713.00,860510.00,21426707700,24900,31,D,848507.00,853612.00
SOV.MushSPCL220116,20190608,860004.00,880000.00,836985.00,848507.00,2375818400,2800,7,D,855063.00,836985.00
SOV.MushSPCL220116,20190603,880000.00,880000.00,834101.00,855063.00,45403852500,53100,10,D,878001.00,834101.00
SOV.MushSPCL220116,20190602,878001.00,878001.00,878001.00,878001.00,87800100,100,1,D,918171.00,878001.00
SOV.MushSPCL220116,20190529,918213.00,918213.00,872302.00,918171.00,185011509100,201500,11,D,918116.00,880020.00
SOV.MushSPCL220116,20190528,915081.00,918213.00,915081.00,918116.00,145888595100,158900,18,D,914160.00,918200.00
SOV.MushSPCL220116,20190526,891999.00,916000.00,891999.00,914160.00,9690099500,10600,4,D,876296.00,916000.00
SOV.MushSPCL220116,20190525,849000.00,890000.00,849000.00,876296.00,2365999300,2700,12,D,848983.00,870000.00
SOV.MushSPCL220116,20190522,880612.00,880612.00,836642.00,848983.00,1613067000,1900,9,D,880612.00,880000.00
SOV.MushSPCL220116,20190521,915750.00,915750.00,830000.00,880612.00,15939083000,18100,8,D,872143.00,830000.00
SOV.MushSPCL220116,20190511,872143.00,872143.00,872143.00,872143.00,174428600,200,1,D,872128.00,872143.00
SOV.MushSPCL220116,20190507,872128.00,872128.00,872128.00,872128.00,65409600000,75000,3,D,872128.00,872128.00
SOV.MushSPCL220116,20190505,897008.00,897008.00,852158.00,872128.00,117911731600,135200,16,D,897008.00,852158.00
SOV.MushSPCL220116,20190504,897008.00,897008.00,897008.00,897008.00,89700800,100,1,D,897008.00,897008.00
SOV.MushSPCL220116,20190430,897008.00,897008.00,897008.00,897008.00,89700800,100,1,D,897008.00,897008.00
SOV.MushSPCL220116,20190409,897008.00,897008.00,897008.00,897008.00,35521516800,39600,2,D,897008.00,897008.00
