<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Murabaha.Saipa18%,20201115,982000.00,1010000.00,982000.00,1000000.00,25000000,25,4,D,1000000.00,1000000.00
Murabaha.Saipa18%,20201114,1000000.00,1000000.00,1000000.00,1000000.00,3000000000,3000,1,D,989285.00,1000000.00
Murabaha.Saipa18%,20201111,1020000.00,1000000.00,975000.00,989285.00,34624985,35,4,D,990000.00,1000000.00
Murabaha.Saipa18%,20201108,990000.00,990000.00,990000.00,990000.00,4950000,5,1,D,1003986.00,990000.00
Murabaha.Saipa18%,20201107,990000.00,1020000.00,990000.00,1003986.00,31123566,31,3,D,1002582.00,1020000.00
Murabaha.Saipa18%,20201104,982000.00,1009999.00,981010.00,1002582.00,1776575587,1772,6,D,999836.00,981010.00
Murabaha.Saipa18%,20201102,999990.00,1000000.00,985000.00,999836.00,17641099902,17644,14,D,991500.00,1000000.00
Murabaha.Saipa18%,20201101,992000.00,995000.00,990000.00,991500.00,99150000,100,5,D,972025.00,990000.00
Murabaha.Saipa18%,20201031,972025.00,972025.00,972025.00,972025.00,9720250,10,1,D,986483.00,972025.00
Murabaha.Saipa18%,20201028,990992.00,1020000.00,975625.00,986483.00,23872888564,24200,15,D,995138.00,1016000.00
Murabaha.Saipa18%,20201026,999900.00,999900.00,990000.00,995138.00,36820114,37,5,D,998489.00,990992.00
Murabaha.Saipa18%,20201024,999990.00,999990.00,990002.00,998489.00,91860972,92,5,D,990121.00,990012.00
Murabaha.Saipa18%,20201021,990122.00,990124.00,990120.00,990121.00,24753038,25,3,D,990004.00,990124.00
Murabaha.Saipa18%,20201020,990004.00,990004.00,990004.00,990004.00,9900040,10,1,D,990003.00,990004.00
Murabaha.Saipa18%,20201019,990002.00,990003.00,990002.00,990003.00,27720074,28,3,D,989758.00,990003.00
Murabaha.Saipa18%,20201018,985987.00,1001999.00,985987.00,989758.00,524571826,530,8,D,1000000.00,999999.00
Murabaha.Saipa18%,20201014,1000000.00,1000000.00,999999.00,1000000.00,568999938,569,8,D,994068.00,1000000.00
Murabaha.Saipa18%,20201013,995000.00,995000.00,985989.00,994068.00,57655934,58,5,D,999731.00,995000.00
Murabaha.Saipa18%,20201010,980985.00,1000000.00,980985.00,999731.00,2022455326,2023,9,D,993002.00,1000000.00
Murabaha.Saipa18%,20201007,993002.00,993002.00,993002.00,993002.00,32769066,33,1,D,993002.00,993002.00
Murabaha.Saipa18%,20201006,993002.00,993002.00,993002.00,993002.00,39720080,40,2,D,1000000.00,993002.00
Murabaha.Saipa18%,20201004,999999.00,1000000.00,999999.00,1000000.00,67999985,68,2,D,992002.00,1000000.00
Murabaha.Saipa18%,20201003,992002.00,992002.00,992002.00,992002.00,14880030,15,2,D,999999.00,992002.00
Murabaha.Saipa18%,20200930,999999.00,999999.00,999999.00,999999.00,6999993,7,1,D,995002.00,999999.00
Murabaha.Saipa18%,20200928,995002.00,995002.00,995002.00,995002.00,6965014,7,3,D,1000704.00,995002.00
Murabaha.Saipa18%,20200927,1001000.00,1001000.00,995000.00,1000704.00,135095000,135,5,D,999443.00,1000000.00
