<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tehran.SH.M.012,20210410,980000.00,980000.00,980000.00,980000.00,5880000,6,1,D,970300.00,980000.00
Tehran.SH.M.012,20210327,970300.00,970300.00,970300.00,970300.00,1940600000,2000,1,D,970300.00,970300.00
Tehran.SH.M.012,20210213,970300.00,970300.00,970300.00,970300.00,48515000,50,1,D,980000.00,970300.00
Tehran.SH.M.012,20210202,980000.00,980000.00,980000.00,980000.00,49000000,50,1,D,970300.00,980000.00
Tehran.SH.M.012,20210116,970300.00,970300.00,970300.00,970300.00,776240000,800,2,D,975000.00,970300.00
Tehran.SH.M.012,20210113,975000.00,975000.00,975000.00,975000.00,9750000,10,1,D,970300.00,975000.00
Tehran.SH.M.012,20201221,970300.00,970300.00,970300.00,970300.00,680180300,701,2,D,970300.00,970300.00
Tehran.SH.M.012,20201219,970300.00,970300.00,970300.00,970300.00,193089700,199,1,D,944673.00,970300.00
Tehran.SH.M.012,20201021,958000.00,958800.00,940000.00,944673.00,2975720200,3150,6,D,944728.00,940000.00
Tehran.SH.M.012,20201013,952002.00,952002.00,940000.00,944728.00,1558800600,1650,3,D,952171.00,940000.00
Tehran.SH.M.012,20201012,953051.00,953051.00,952001.00,952171.00,1761516850,1850,2,D,953050.00,952001.00
Tehran.SH.M.012,20201011,953050.00,953050.00,953050.00,953050.00,476525000,500,1,D,954815.00,953050.00
Tehran.SH.M.012,20201010,953000.00,962530.00,953000.00,954815.00,1002556000,1050,2,D,969000.00,962530.00
Tehran.SH.M.012,20201007,969000.00,969000.00,969000.00,969000.00,969000000,1000,1,D,950000.00,969000.00
Tehran.SH.M.012,20201005,950000.00,950000.00,950000.00,950000.00,950000000,1000,1,D,970000.00,950000.00
Tehran.SH.M.012,20201004,970000.00,970000.00,970000.00,970000.00,1794500000,1850,1,D,1000000.00,970000.00
