<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Murabaha.Saipa.18%,20201115,994950.00,1020000.00,994950.00,1006512.00,13084650,13,3,D,994950.00,1020000.00
Murabaha.Saipa.18%,20201114,994950.00,994950.00,994950.00,994950.00,5969700,6,1,D,994950.00,994950.00
Murabaha.Saipa.18%,20201110,994950.00,994950.00,994950.00,994950.00,16914150,17,1,D,1001316.00,994950.00
Murabaha.Saipa.18%,20201102,1000000.00,1010000.00,1000000.00,1001316.00,38050000,38,3,D,994950.00,1010000.00
Murabaha.Saipa.18%,20201020,994950.00,994950.00,994950.00,994950.00,4974750,5,1,D,1019999.00,994950.00
Murabaha.Saipa.18%,20201019,1019999.00,1019999.00,1019999.00,1019999.00,5099995,5,1,D,1011650.00,1019999.00
Murabaha.Saipa.18%,20201013,994951.00,1020000.00,994951.00,1011650.00,15174755,15,2,D,994951.00,1020000.00
Murabaha.Saipa.18%,20201011,994951.00,994951.00,994951.00,994951.00,5969706,6,1,D,994952.00,994951.00
Murabaha.Saipa.18%,20201006,994952.00,994952.00,994950.00,994952.00,172131670750,173005,19,D,994950.00,994950.00
Murabaha.Saipa.18%,20201003,994950.00,994950.00,994950.00,994950.00,8954550,9,2,D,1000000.00,994950.00
Murabaha.Saipa.18%,20200930,1000000.00,1000000.00,1000000.00,1000000.00,10000000000,10000,1,D,1000000.00,1000000.00
Murabaha.Saipa.18%,20200929,1000000.00,1000000.00,1000000.00,1000000.00,8000000000,8000,1,D,994950.00,1000000.00
Murabaha.Saipa.18%,20200921,994950.00,994950.00,994950.00,994950.00,23878800,24,2,D,1000014.00,994950.00
Murabaha.Saipa.18%,20200916,1000000.00,1004900.00,1000000.00,1000014.00,6702093100,6702,2,D,994950.00,1004900.00
Murabaha.Saipa.18%,20200915,994950.00,994950.00,994950.00,994950.00,49747500,50,1,D,1000002.00,994950.00
Murabaha.Saipa.18%,20200914,1000000.00,1004900.00,1000000.00,1000002.00,40015073500,40015,6,D,994950.00,1004900.00
Murabaha.Saipa.18%,20200913,994950.00,994950.00,994950.00,994950.00,4974750,5,1,D,999991.00,994950.00
Murabaha.Saipa.18%,20200912,1000000.00,1000000.00,994950.00,999991.00,28849747500,28850,5,D,1002512.00,994950.00
Murabaha.Saipa.18%,20200909,1004900.00,1004900.00,994950.00,1002512.00,25062800,25,5,D,1000001.00,994950.00
Murabaha.Saipa.18%,20200908,1000000.00,1004900.00,1000000.00,1000001.00,60008039200,60008,7,D,994950.00,1004900.00
Murabaha.Saipa.18%,20200907,994950.00,994950.00,994950.00,994950.00,4974750,5,1,D,998267.00,994950.00
Murabaha.Saipa.18%,20200906,994950.00,1004900.00,994950.00,998267.00,14974000,15,3,D,994950.00,994950.00
Murabaha.Saipa.18%,20200905,994950.00,994950.00,994950.00,994950.00,10944450,11,2,D,996357.00,994950.00
