<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO.SukokM0012,20210913,1010000.00,1020000.00,1010000.00,1015000.00,10150000,10,2,D,1020000.00,1020000.00
IKCO.SukokM0012,20210901,1020000.00,1020000.00,1020000.00,1020000.00,102000000,100,2,D,1010000.00,1020000.00
IKCO.SukokM0012,20210706,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,1020000.00,1010000.00
IKCO.SukokM0012,20210630,1020000.00,1020000.00,1020000.00,1020000.00,9180000,9,1,D,1010000.00,1020000.00
IKCO.SukokM0012,20210615,1010000.00,1010000.00,1010000.00,1010000.00,14140000,14,2,D,1010000.00,1010000.00
IKCO.SukokM0012,20210421,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,1015000.00,1010000.00
IKCO.SukokM0012,20210308,1020000.00,1020000.00,1010000.00,1015000.00,10150000,10,2,D,1020000.00,1010000.00
IKCO.SukokM0012,20210301,1020000.00,1020000.00,1020000.00,1020000.00,7140000,7,1,D,1010000.00,1020000.00
IKCO.SukokM0012,20210131,1010000.00,1010000.00,1010000.00,1010000.00,50500000,50,1,D,1020000.00,1010000.00
IKCO.SukokM0012,20210123,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1010000.00,1020000.00
IKCO.SukokM0012,20210104,1010000.00,1010000.00,1010000.00,1010000.00,20200000,20,1,D,1010000.00,1010000.00
IKCO.SukokM0012,20210103,1010000.00,1010000.00,1010000.00,1010000.00,30300000,30,1,D,1010000.00,1010000.00
IKCO.SukokM0012,20201230,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,1010000.00,1010000.00
IKCO.SukokM0012,20201206,1010000.00,1010000.00,1010000.00,1010000.00,16160000,16,2,D,1010000.00,1010000.00
IKCO.SukokM0012,20201202,1010000.00,1010000.00,1010000.00,1010000.00,101000000,100,1,D,1010000.00,1010000.00
IKCO.SukokM0012,20201117,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,1020000.00,1010000.00
IKCO.SukokM0012,20201116,1020000.00,1020000.00,1020000.00,1020000.00,2034900000,1995,2,D,1020000.00,1020000.00
IKCO.SukokM0012,20201027,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1030000.00,1020000.00
IKCO.SukokM0012,20201019,1030000.00,1030000.00,1030000.00,1030000.00,103000000,100,1,D,1020000.00,1030000.00
IKCO.SukokM0012,20201003,1020000.00,1020000.00,1020000.00,1020000.00,5100000,5,1,D,1020000.00,1020000.00
IKCO.SukokM0012,20200926,1020000.00,1020000.00,1020000.00,1020000.00,7140000,7,1,D,1020000.00,1020000.00
