<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO.SukokR0004,20210717,1000000.00,1000000.00,1000000.00,1000000.00,1500000000,1500,1,D,975000.00,1000000.00
IKCO.SukokR0004,20210713,975000.00,975000.00,975000.00,975000.00,1462500000,1500,1,D,960000.00,975000.00
IKCO.SukokR0004,20210706,960000.00,960000.00,960000.00,960000.00,1440000000,1500,1,D,975000.00,960000.00
IKCO.SukokR0004,20210628,975000.00,975000.00,975000.00,975000.00,1462500000,1500,1,D,990000.00,975000.00
IKCO.SukokR0004,20210626,990000.00,990000.00,990000.00,990000.00,990000000,1000,1,D,1000000.00,990000.00
IKCO.SukokR0004,20210428,1000000.00,1000000.00,1000000.00,1000000.00,1000000000,1000,1,D,985000.00,1000000.00
IKCO.SukokR0004,20210427,985000.00,985000.00,985000.00,985000.00,985000000,1000,1,D,970000.00,985000.00
IKCO.SukokR0004,20210309,970000.00,970000.00,970000.00,970000.00,9700000,10,1,D,970000.00,970000.00
IKCO.SukokR0004,20210215,970000.00,970000.00,970000.00,970000.00,14550000,15,1,D,970000.00,970000.00
IKCO.SukokR0004,20210203,970000.00,970000.00,970000.00,970000.00,6790000,7,1,D,970000.00,970000.00
IKCO.SukokR0004,20210124,970000.00,970000.00,970000.00,970000.00,6790000,7,1,D,970000.00,970000.00
IKCO.SukokR0004,20201214,970000.00,970000.00,970000.00,970000.00,8730000,9,1,D,970000.00,970000.00
IKCO.SukokR0004,20201123,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,970000.00,970000.00
IKCO.SukokR0004,20201121,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,970000.00,970000.00
IKCO.SukokR0004,20201116,970000.00,970000.00,970000.00,970000.00,194000000,200,1,D,970000.00,970000.00
IKCO.SukokR0004,20201115,970000.00,970000.00,970000.00,970000.00,6790000,7,1,D,970000.00,970000.00
IKCO.SukokR0004,20201011,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,970000.00,970000.00
IKCO.SukokR0004,20201006,970000.00,970000.00,970000.00,970000.00,27160000,28,1,D,970000.00,970000.00
IKCO.SukokR0004,20200928,970000.00,970000.00,970000.00,970000.00,9700000,10,1,D,995000.00,970000.00
IKCO.SukokR0004,20200927,995000.00,995000.00,995000.00,995000.00,9950000,10,1,D,970000.00,995000.00
IKCO.SukokR0004,20200923,970000.00,970000.00,970000.00,970000.00,970000,1,1,D,970000.00,970000.00
IKCO.SukokR0004,20200913,970000.00,970000.00,970000.00,970000.00,7760000,8,1,D,970000.00,970000.00
IKCO.SukokR0004,20200909,970000.00,970000.00,970000.00,970000.00,33950000,35,2,D,994250.00,970000.00
IKCO.SukokR0004,20200906,970000.00,1018500.00,970000.00,994250.00,19885000,20,3,D,970000.00,1018500.00
IKCO.SukokR0004,20200831,970000.00,970000.00,970000.00,970000.00,16490000,17,2,D,970000.00,970000.00
IKCO.SukokR0004,20200826,970000.00,970000.00,970000.00,970000.00,1940000,2,1,D,970000.00,970000.00
IKCO.SukokR0004,20200824,970000.00,970000.00,970000.00,970000.00,4850000,5,2,D,970000.00,970000.00
IKCO.SukokR0004,20200822,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,970000.00,970000.00
IKCO.SukokR0004,20200817,970000.00,970000.00,970000.00,970000.00,970000,1,1,D,999993.00,970000.00
IKCO.SukokR0004,20200815,970000.00,1018500.00,970000.00,999993.00,35026772000,35027,9,D,970000.00,1018500.00
IKCO.SukokR0004,20200811,970000.00,970000.00,970000.00,970000.00,15520000,16,1,D,978753.00,970000.00
IKCO.SukokR0004,20200810,970006.00,990000.00,970006.00,978753.00,15660054,16,2,D,1018500.00,990000.00
IKCO.SukokR0004,20200809,1018500.00,1018500.00,1018500.00,1018500.00,46851000,46,4,D,970000.00,1018500.00
IKCO.SukokR0004,20200804,970000.00,970000.00,970000.00,970000.00,9700000,10,2,D,970000.00,970000.00
IKCO.SukokR0004,20200802,970000.00,970000.00,970000.00,970000.00,4850000,5,1,D,970000.00,970000.00
IKCO.SukokR0004,20200729,970000.00,970000.00,970000.00,970000.00,20370000,21,4,D,970000.00,970000.00
IKCO.SukokR0004,20200728,970000.00,970000.00,970000.00,970000.00,24250000,25,2,D,1018500.00,970000.00
IKCO.SukokR0004,20200725,1018500.00,1018500.00,1018500.00,1018500.00,68239500,67,11,D,970000.00,1018500.00
IKCO.SukokR0004,20200722,970000.00,970000.00,970000.00,970000.00,28130000,29,4,D,995496.00,970000.00
IKCO.SukokR0004,20200721,978608.00,1000000.00,978608.00,995496.00,18914432,19,2,D,1030113.00,1000000.00
IKCO.SukokR0004,20200718,1042768.00,1045056.00,945528.00,1030113.00,86529472,84,12,D,995292.00,1020000.00
IKCO.SukokR0004,20200715,995292.00,995292.00,995292.00,995292.00,4976460,5,1,D,998402.00,995292.00
IKCO.SukokR0004,20200714,995292.00,1005245.00,995292.00,998402.00,15974437,16,3,D,1001559.00,1005245.00
IKCO.SukokR0004,20200713,995292.00,1005245.00,995292.00,1001559.00,27042085,27,4,D,1003737.00,1005245.00
IKCO.SukokR0004,20200712,1005245.00,1005245.00,995292.00,1003737.00,66246640,66,10,D,996910.00,1005245.00
IKCO.SukokR0004,20200711,995292.00,1005245.00,995292.00,996910.00,122619976,123,4,D,996076.00,1005245.00
IKCO.SukokR0004,20200708,995292.00,1005245.00,995292.00,996076.00,126501614,127,7,D,1003099.00,995292.00
IKCO.SukokR0004,20200707,1005245.00,1005245.00,995292.00,1003099.00,94291285,94,12,D,1002959.00,1005245.00
IKCO.SukokR0004,20200706,995292.00,1005245.00,995292.00,1002959.00,110325520,110,8,D,999341.00,1000000.00
IKCO.SukokR0004,20200705,1005245.00,1005245.00,995292.00,999341.00,92938759,93,9,D,1004349.00,995292.00
IKCO.SukokR0004,20200704,1005245.00,1005245.00,1000000.00,1004349.00,41178330,41,6,D,1003968.00,1000000.00
IKCO.SukokR0004,20200630,1005245.00,1005245.00,995292.00,1003968.00,78309505,78,8,D,1002034.00,1005240.00
IKCO.SukokR0004,20200629,1005245.00,1005245.00,995292.00,1002034.00,93189195,93,7,D,995292.00,995292.00
IKCO.SukokR0004,20200628,995292.00,995292.00,995292.00,995292.00,14929380,15,1,D,995292.00,995292.00
IKCO.SukokR0004,20200627,995292.00,995292.00,995292.00,995292.00,12938796,13,2,D,1000616.00,995292.00
IKCO.SukokR0004,20200624,1005245.00,1005245.00,995292.00,1000616.00,43026475,43,5,D,1000181.00,995292.00
IKCO.SukokR0004,20200623,1005245.00,1005245.00,995292.00,1000181.00,57010328,57,4,D,1002626.00,995292.00
IKCO.SukokR0004,20200622,1005245.00,1005245.00,995292.00,1002626.00,152399120,152,7,D,995292.00,995292.00
IKCO.SukokR0004,20200621,995292.00,995292.00,995292.00,995292.00,22891716,23,4,D,1005245.00,995292.00
IKCO.SukokR0004,20200620,1005245.00,1005245.00,1005245.00,1005245.00,38199310,38,4,D,1004864.00,1005245.00
IKCO.SukokR0004,20200616,1005245.00,1005245.00,995292.00,1004864.00,183890164,183,11,D,995292.00,1005245.00
IKCO.SukokR0004,20200615,995292.00,995292.00,995292.00,995292.00,14929380,15,2,D,1001927.00,995292.00
IKCO.SukokR0004,20200614,1005245.00,1005245.00,995292.00,1001927.00,15028910,15,2,D,1004139.00,995292.00
IKCO.SukokR0004,20200613,1005245.00,1005245.00,995292.00,1004139.00,45186260,45,4,D,998610.00,995292.00
IKCO.SukokR0004,20200610,995292.00,1005245.00,995292.00,998610.00,14979145,15,2,D,1005245.00,1005245.00
IKCO.SukokR0004,20200608,1005245.00,1005245.00,1005245.00,1005245.00,10052450,10,2,D,995292.00,1005245.00
IKCO.SukokR0004,20200607,995292.00,995292.00,995292.00,995292.00,34835220,35,3,D,999854.00,995292.00
IKCO.SukokR0004,20200602,1005245.00,1005245.00,995292.00,999854.00,23996491,24,4,D,995271.00,995292.00
IKCO.SukokR0004,20200601,993508.00,995292.00,993508.00,995271.00,843989776,848,4,D,995292.00,995292.00
IKCO.SukokR0004,20200531,1004950.00,1004950.00,995000.00,995292.00,339394500,341,2,D,997551.00,995000.00
IKCO.SukokR0004,20200530,995000.00,1004950.00,995000.00,997551.00,38904500,39,4,D,996587.00,1004950.00
IKCO.SukokR0004,20200527,995000.00,1004950.00,995000.00,996587.00,256122950,257,9,D,996196.00,995000.00
IKCO.SukokR0004,20200526,1004950.00,1004950.00,995000.00,996196.00,232113600,233,5,D,995469.00,1004950.00
