<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SukukParsian,20210920,979000.00,979000.00,979000.00,979000.00,587400000,600,1,D,969000.00,979000.00
SukukParsian,20210801,969000.00,969000.00,969000.00,969000.00,387600000,400,1,D,979000.00,969000.00
SukukParsian,20210717,979000.00,979000.00,979000.00,979000.00,391600000,400,1,D,969000.00,979000.00
SukukParsian,20210629,969000.00,969000.00,969000.00,969000.00,484500000,500,1,D,984000.00,969000.00
SukukParsian,20210621,984000.00,984000.00,984000.00,984000.00,984000000,1000,1,D,968000.00,984000.00
SukukParsian,20210612,968000.00,968000.00,968000.00,968000.00,38720000,40,1,D,968000.00,968000.00
SukukParsian,20210607,968000.00,968000.00,968000.00,968000.00,484000000,500,1,D,990000.00,968000.00
SukukParsian,20210525,990000.00,990000.00,990000.00,990000.00,69300000,70,1,D,990000.00,990000.00
SukukParsian,20210524,990000.00,990000.00,990000.00,990000.00,930600000,940,3,D,970000.00,990000.00
SukukParsian,20210518,970000.00,970000.00,970000.00,970000.00,291000000,300,1,D,950000.00,970000.00
SukukParsian,20210425,950000.00,950000.00,950000.00,950000.00,285000000,300,1,D,933851.00,950000.00
SukukParsian,20210420,933851.00,933851.00,933851.00,933851.00,933851000,1000,1,D,922351.00,933851.00
SukukParsian,20210419,922351.00,922351.00,922351.00,922351.00,184470200,200,1,D,912351.00,922351.00
SukukParsian,20210306,912351.00,912351.00,912351.00,912351.00,182470200,200,1,D,900351.00,912351.00
SukukParsian,20210228,900351.00,900351.00,900351.00,900351.00,180070200,200,1,D,908810.00,900351.00
SukukParsian,20210227,908810.00,908810.00,908810.00,908810.00,181762000,200,1,D,900310.00,908810.00
SukukParsian,20210213,900310.00,900310.00,900310.00,900310.00,180062000,200,1,D,916310.00,900310.00
SukukParsian,20210208,916310.00,916310.00,916310.00,916310.00,183262000,200,1,D,929657.00,916310.00
SukukParsian,20210206,916300.00,935000.00,916300.00,929657.00,130152000,140,2,D,930000.00,935000.00
SukukParsian,20210203,930000.00,930000.00,930000.00,930000.00,18600000,20,1,D,922290.00,930000.00
SukukParsian,20210123,922290.00,922290.00,922290.00,922290.00,92229000,100,1,D,943290.00,922290.00
SukukParsian,20210119,943290.00,943290.00,943290.00,943290.00,94329000,100,1,D,941290.00,943290.00
SukukParsian,20210116,941290.00,941290.00,941290.00,941290.00,94129000,100,1,D,926290.00,941290.00
SukukParsian,20210113,926290.00,926290.00,926290.00,926290.00,92629000,100,1,D,916290.00,926290.00
SukukParsian,20210110,916290.00,916290.00,916290.00,916290.00,595588500,650,3,D,914462.00,916290.00
SukukParsian,20201228,914462.00,914462.00,914462.00,914462.00,182892400,200,1,D,914462.00,914462.00
SukukParsian,20201223,914462.00,914462.00,914462.00,914462.00,91446200,100,1,D,924462.00,914462.00
SukukParsian,20201214,926000.00,926000.00,921000.00,924462.00,600900000,650,4,D,926000.00,921000.00
SukukParsian,20201129,926000.00,926000.00,926000.00,926000.00,231500000,250,1,D,926000.00,926000.00
SukukParsian,20201128,926000.00,926000.00,926000.00,926000.00,231500000,250,1,D,926000.00,926000.00
SukukParsian,20201124,926000.00,926000.00,926000.00,926000.00,926000000,1000,1,D,926000.00,926000.00
SukukParsian,20201122,926000.00,926000.00,926000.00,926000.00,926000000,1000,4,D,927000.00,926000.00
SukukParsian,20201118,927000.00,927000.00,927000.00,927000.00,927000000,1000,1,D,933000.00,927000.00
SukukParsian,20201110,933000.00,933000.00,933000.00,933000.00,186600000,200,1,D,937000.00,933000.00
SukukParsian,20201107,937000.00,937000.00,937000.00,937000.00,14055000,15,1,D,937000.00,937000.00
SukukParsian,20201102,937000.00,937000.00,937000.00,937000.00,14055000,15,1,D,937000.00,937000.00
SukukParsian,20201101,937000.00,937000.00,937000.00,937000.00,187400000,200,1,D,947000.00,937000.00
SukukParsian,20201018,947000.00,947001.00,947000.00,947000.00,22728012,24,2,D,947000.00,947001.00
SukukParsian,20201014,947000.00,947000.00,947000.00,947000.00,94700000,100,1,D,957000.00,947000.00
SukukParsian,20201012,957000.00,957000.00,957000.00,957000.00,287100000,300,1,D,972000.00,957000.00
SukukParsian,20201010,972000.00,972000.00,972000.00,972000.00,291600000,300,1,D,980000.00,972000.00
SukukParsian,20201007,980000.00,980000.00,980000.00,980000.00,18620000,19,1,D,980000.00,980000.00
SukukParsian,20201006,980000.00,980000.00,980000.00,980000.00,294000000,300,1,D,990000.00,980000.00
SukukParsian,20200930,990000.00,990000.00,990000.00,990000.00,297000000,300,1,D,1000000.00,990000.00
SukukParsian,20200921,1000000.00,1000000.00,1000000.00,1000000.00,1000000000,1000,1,D,990000.00,1000000.00
SukukParsian,20200920,990000.00,990000.00,990000.00,990000.00,990000000,1000,1,D,970000.00,990000.00
SukukParsian,20200919,970000.00,970000.00,970000.00,970000.00,18430000,19,1,D,970000.00,970000.00
SukukParsian,20200916,970000.00,970000.00,970000.00,970000.00,970000000,1000,1,D,990083.00,970000.00
SukukParsian,20200915,1020000.00,1020000.00,990001.00,990083.00,24740184920,24988,5,D,980356.00,990001.00
SukukParsian,20200914,1010000.00,1010000.00,980000.00,980356.00,992120000,1012,3,D,1000000.00,980000.00
SukukParsian,20200901,1000000.00,1000000.00,1000000.00,1000000.00,10000000000000,10000000,1003,D,1000000.00,1000000.00
