<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sokuk.Saipa012,20210921,1000002.00,1000002.00,1000002.00,1000002.00,80000160000,80000,8,D,1000002.00,1000002.00
Sokuk.Saipa012,20210920,1000002.00,1000002.00,1000002.00,1000002.00,83000166000,83000,9,D,1000002.00,1000002.00
Sokuk.Saipa012,20210919,1000002.00,1000002.00,1000002.00,1000002.00,350000700000,350000,35,D,1000002.00,1000002.00
Sokuk.Saipa012,20210918,1000002.00,1000002.00,1000002.00,1000002.00,2000004000,2000,1,D,1000002.00,1000002.00
Sokuk.Saipa012,20210915,1000002.00,1000002.00,1000002.00,1000002.00,2000004000,2000,1,D,1000002.00,1000002.00
Sokuk.Saipa012,20210914,1000002.00,1000002.00,1000002.00,1000002.00,30000060000,30000,3,D,1000001.00,1000002.00
Sokuk.Saipa012,20210912,1000001.00,1000001.00,1000001.00,1000001.00,5000005000,5000,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210908,1000001.00,1000001.00,1000001.00,1000001.00,5000005000,5000,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210905,1000001.00,1000001.00,1000001.00,1000001.00,6000006,6,1,D,1000002.00,1000001.00
Sokuk.Saipa012,20210901,1000002.00,1000002.00,1000002.00,1000002.00,5000010000,5000,1,D,1000002.00,1000002.00
Sokuk.Saipa012,20210824,1000001.00,1000002.00,1000001.00,1000002.00,240010480010,240010,25,D,1000002.00,1000002.00
Sokuk.Saipa012,20210807,1000002.00,1000002.00,1000002.00,1000002.00,10000020000,10000,1,D,1000010.00,1000002.00
Sokuk.Saipa012,20210726,1000010.00,1000010.00,1000010.00,1000010.00,20000200000,20000,2,D,1000010.00,1000010.00
Sokuk.Saipa012,20210717,1000010.00,1000010.00,1000010.00,1000010.00,20000200000,20000,2,D,1000010.00,1000010.00
Sokuk.Saipa012,20210704,1000010.00,1000010.00,1000010.00,1000010.00,40000400000,40000,4,D,1000010.00,1000010.00
Sokuk.Saipa012,20210703,1000010.00,1000010.00,1000010.00,1000010.00,20000200000,20000,2,D,1000010.00,1000010.00
Sokuk.Saipa012,20210623,1000010.00,1000010.00,1000010.00,1000010.00,80000800000,80000,8,D,1000002.00,1000010.00
Sokuk.Saipa012,20210622,1000002.00,1000002.00,1000002.00,1000002.00,55000110000,55000,6,D,1000002.00,1000002.00
Sokuk.Saipa012,20210621,1000002.00,1000002.00,1000002.00,1000002.00,15000030000,15000,2,D,1000002.00,1000002.00
Sokuk.Saipa012,20210620,1000002.00,1000002.00,1000002.00,1000002.00,10000020000,10000,1,D,1000002.00,1000002.00
Sokuk.Saipa012,20210614,1000002.00,1000002.00,1000002.00,1000002.00,40000080000,40000,4,D,1000002.00,1000002.00
Sokuk.Saipa012,20210608,1000001.00,1000002.00,1000001.00,1000002.00,110626220626,110626,12,D,1000002.00,1000002.00
Sokuk.Saipa012,20210531,1000002.00,1000002.00,1000002.00,1000002.00,100000200000,100000,10,D,1000002.00,1000002.00
Sokuk.Saipa012,20210517,1000002.00,1000002.00,1000002.00,1000002.00,10000020000,10000,1,D,1000002.00,1000002.00
Sokuk.Saipa012,20210516,1000002.00,1000002.00,1000002.00,1000002.00,110000220000,110000,11,D,1000002.00,1000002.00
Sokuk.Saipa012,20210509,1000002.00,1000002.00,1000002.00,1000002.00,170000340000,170000,17,D,1000002.00,1000002.00
Sokuk.Saipa012,20210508,1000002.00,1000002.00,1000002.00,1000002.00,100000200000,100000,10,D,1000002.00,1000002.00
Sokuk.Saipa012,20210503,1000002.00,1000002.00,1000002.00,1000002.00,15000030000,15000,2,D,1000002.00,1000002.00
Sokuk.Saipa012,20210502,1000002.00,1000002.00,1000002.00,1000002.00,45000090000,45000,5,D,1000002.00,1000002.00
Sokuk.Saipa012,20210501,1000002.00,1000002.00,1000002.00,1000002.00,50000100000,50000,5,D,1000002.00,1000002.00
Sokuk.Saipa012,20210426,1000002.00,1000002.00,1000002.00,1000002.00,160000320000,160000,16,D,1000002.00,1000002.00
Sokuk.Saipa012,20210425,1000002.00,1000002.00,1000002.00,1000002.00,70000140000,70000,7,D,1000001.00,1000002.00
Sokuk.Saipa012,20210410,1000001.00,1000001.00,1000001.00,1000001.00,1508001508,1508,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210307,1000001.00,1000001.00,1000001.00,1000001.00,20000020,20,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210222,1000001.00,1000001.00,1000001.00,1000001.00,1000001,1,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210206,1000001.00,1000001.00,1000001.00,1000001.00,120000120,120,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210201,1000001.00,1000001.00,1000001.00,1000001.00,20000020,20,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210131,1000001.00,1000001.00,1000001.00,1000001.00,28000028,28,2,D,1000001.00,1000001.00
Sokuk.Saipa012,20210124,1000001.00,1000001.00,1000001.00,1000001.00,12000012,12,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210119,1000001.00,1000001.00,1000001.00,1000001.00,9000009,9,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210118,1000001.00,1000001.00,1000001.00,1000001.00,50000050,50,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20210109,1000001.00,1000001.00,1000001.00,1000001.00,6000006,6,1,D,1000002.00,1000001.00
Sokuk.Saipa012,20210105,1000002.00,1000002.00,1000002.00,1000002.00,134407268814,134407,14,D,1000001.00,1000002.00
Sokuk.Saipa012,20210103,1000001.00,1000001.00,1000001.00,1000001.00,9000009,9,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20201221,1000001.00,1000001.00,1000001.00,1000001.00,15000015,15,1,D,1000001.00,1000001.00
Sokuk.Saipa012,20201220,1000001.00,1000001.00,1000001.00,1000001.00,5000005,5,1,D,1005000.00,1000001.00
Sokuk.Saipa012,20201207,1005000.00,1005000.00,1005000.00,1005000.00,13065000,13,2,D,1000001.00,1005000.00
Sokuk.Saipa012,20201202,1000001.00,1000001.00,1000001.00,1000001.00,29000029,29,3,D,1004653.00,1000001.00
Sokuk.Saipa012,20201128,1004653.00,1004653.00,1004653.00,1004653.00,5023265,5,1,D,1004652.00,1004653.00
Sokuk.Saipa012,20201125,961172.00,1005000.00,961172.00,1004652.00,1012689376,1008,2,D,980394.00,1005000.00
Sokuk.Saipa012,20201124,980394.00,980394.00,980394.00,980394.00,4901970,5,1,D,1000001.00,980394.00
Sokuk.Saipa012,20201121,1000001.00,1000001.00,1000000.00,1000001.00,4994003000,4994,2,D,980394.00,1000000.00
Sokuk.Saipa012,20201116,980394.00,980394.00,980394.00,980394.00,4901970,5,1,D,1000001.00,980394.00
Sokuk.Saipa012,20201114,1000001.00,1000001.00,1000001.00,1000001.00,10000010,10,1,D,1050000.00,1000001.00
Sokuk.Saipa012,20201109,1050000.00,1050000.00,1050000.00,1050000.00,1050000,1,1,D,1019950.00,1050000.00
Sokuk.Saipa012,20201108,1020000.00,1020000.00,1000001.00,1019950.00,2045000005,2005,2,D,1025207.00,1000001.00
Sokuk.Saipa012,20201107,1050103.00,1050103.00,980393.00,1025207.00,14352893,14,4,D,1000099.00,980394.00
Sokuk.Saipa012,20201104,1000000.00,1010000.00,1000000.00,1000099.00,1010100000,1010,2,D,985000.00,1010000.00
Sokuk.Saipa012,20201102,985000.00,985000.00,985000.00,985000.00,985985000,1001,1,D,997772.00,985000.00
Sokuk.Saipa012,20201101,980393.00,1000000.00,980393.00,997772.00,43901965,44,2,D,1000000.00,1000000.00
Sokuk.Saipa012,20201028,1000000.00,1000000.00,1000000.00,1000000.00,999000000,999,1,D,979745.00,1000000.00
Sokuk.Saipa012,20201026,975490.00,984000.00,975490.00,979745.00,39189800,40,2,D,995098.00,984000.00
Sokuk.Saipa012,20201019,990196.00,1000000.00,990196.00,995098.00,31843136,32,2,D,1010000.00,1000000.00
Sokuk.Saipa012,20201018,1010000.00,1010000.00,1010000.00,1010000.00,5050000,5,1,D,986928.00,1010000.00
Sokuk.Saipa012,20201014,980392.00,1000000.00,980392.00,986928.00,14803920,15,2,D,1000000.00,1000000.00
Sokuk.Saipa012,20201012,1000000.00,1000000.00,1000000.00,1000000.00,19000000,19,1,D,986327.00,1000000.00
Sokuk.Saipa012,20201011,1006591.00,1006591.00,973529.00,986327.00,30576143,31,2,D,993002.00,973529.00
Sokuk.Saipa012,20201006,983206.00,1000000.00,983206.00,993002.00,11916030,12,2,D,983206.00,1000000.00
Sokuk.Saipa012,20201004,979412.00,987000.00,979412.00,983206.00,23596944,24,3,D,998934.00,987000.00
Sokuk.Saipa012,20201003,939216.00,1000000.00,939216.00,998934.00,5655962656,5662,9,D,958201.00,1000000.00
Sokuk.Saipa012,20200929,951000.00,980000.00,950980.00,958201.00,105402140,110,7,D,969853.00,960000.00
Sokuk.Saipa012,20200928,961700.00,980000.00,961176.00,969853.00,405398392,418,5,D,980400.00,980000.00
Sokuk.Saipa012,20200927,980400.00,980400.00,980400.00,980400.00,135295200,138,2,D,1000000.00,980400.00
Sokuk.Saipa012,20200926,1000000.00,1000000.00,1000000.00,1000000.00,5250000000,5250,2,D,1029412.00,1000000.00
Sokuk.Saipa012,20200923,1029412.00,1029412.00,1029412.00,1029412.00,20588240,20,2,D,1049661.00,1029412.00
Sokuk.Saipa012,20200922,1049661.00,1049661.00,1049661.00,1049661.00,250868979,239,10,D,999678.00,1049661.00
Sokuk.Saipa012,20200921,986275.00,1000000.00,986275.00,999678.00,810739225,811,5,D,1005896.00,1000000.00
