<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sokuk.Saipa.203,20210810,952200.00,952200.00,952200.00,952200.00,6665400,7,1,D,952200.00,952200.00
Sokuk.Saipa.203,20210807,952200.00,952200.00,952200.00,952200.00,9522000,10,1,D,961000.00,952200.00
Sokuk.Saipa.203,20210630,961000.00,961000.00,961000.00,961000.00,2883000000,3000,1,D,966000.00,961000.00
Sokuk.Saipa.203,20210613,966000.00,966000.00,966000.00,966000.00,96600000000,100000,10,D,965000.00,966000.00
Sokuk.Saipa.203,20210510,965000.00,965000.00,965000.00,965000.00,4825000000,5000,1,D,952200.00,965000.00
Sokuk.Saipa.203,20210509,952200.00,952200.00,952200.00,952200.00,25709400,27,2,D,970000.00,952200.00
Sokuk.Saipa.203,20210418,970000.00,970000.00,970000.00,970000.00,4850000000,5000,1,D,960000.00,970000.00
Sokuk.Saipa.203,20210414,960000.00,960000.00,960000.00,960000.00,2880000000,3000,1,D,952941.00,960000.00
Sokuk.Saipa.203,20210412,990000.00,990000.00,952200.00,952941.00,972000000,1020,2,D,952201.00,952200.00
Sokuk.Saipa.203,20210406,952201.00,952201.00,952201.00,952201.00,19044020,20,1,D,952200.00,952201.00
Sokuk.Saipa.203,20210330,952200.00,952200.00,952200.00,952200.00,161874000,170,1,D,952222.00,952200.00
Sokuk.Saipa.203,20210328,952222.00,952222.00,952222.00,952222.00,161877740,170,2,D,955000.00,952222.00
Sokuk.Saipa.203,20210316,955000.00,955000.00,955000.00,955000.00,6685000000,7000,1,D,970000.00,955000.00
Sokuk.Saipa.203,20210309,970000.00,970000.00,970000.00,970000.00,4850000000,5000,1,D,974722.00,970000.00
Sokuk.Saipa.203,20210308,952200.00,975000.00,952200.00,974722.00,2960231400,3037,2,D,974067.00,975000.00
Sokuk.Saipa.203,20210307,952200.00,985000.00,952200.00,974067.00,29222000000,30000,5,D,967000.00,985000.00
Sokuk.Saipa.203,20210302,967000.00,967000.00,967000.00,967000.00,4835000000,5000,1,D,960000.00,967000.00
Sokuk.Saipa.203,20210301,960000.00,960000.00,960000.00,960000.00,240000000000,250000,25,D,955707.00,960000.00
Sokuk.Saipa.203,20210228,952131.00,960000.00,952130.00,955707.00,10512780954,11000,3,D,952131.00,960000.00
Sokuk.Saipa.203,20210217,952131.00,952131.00,952131.00,952131.00,9521310,10,1,D,952131.00,952131.00
Sokuk.Saipa.203,20210203,952131.00,952131.00,952131.00,952131.00,1904262,2,1,D,952131.00,952131.00
