<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
SouthKavehSteel,20210829,4546183.00,4546183.00,4546183.00,4546183.00,9092366,2,1,D,4329000.00,4546183.00
SouthKavehSteel,20210303,4329000.00,4329000.00,4329000.00,4329000.00,450216000000,104000,2,D,4294502.00,4329000.00
SouthKavehSteel,20210217,4221092.00,4305514.00,4221092.00,4294502.00,987735560,230,2,D,4276783.00,4305514.00
SouthKavehSteel,20210209,4207616.00,4291769.00,4207616.00,4276783.00,312205148,73,2,D,4274588.00,4291769.00
SouthKavehSteel,20210130,4274588.00,4274588.00,4274588.00,4274588.00,183807284,43,2,D,4155400.00,4274588.00
SouthKavehSteel,20210109,4155400.00,4155400.00,4155400.00,4155400.00,8310800,2,1,D,4197273.00,4155400.00
SouthKavehSteel,20201216,4197273.00,4197273.00,4197273.00,4197273.00,8394546,2,1,D,4029069.00,4197273.00
SouthKavehSteel,20201026,4029069.00,4029069.00,4029069.00,4029069.00,8058138,2,1,D,3938111.00,4029069.00
SouthKavehSteel,20201003,3938111.00,3938111.00,3938111.00,3938111.00,7876222,2,1,D,4011718.00,3938111.00
SouthKavehSteel,20200930,4011718.00,4011718.00,4011718.00,4011718.00,8023436,2,1,D,4008282.00,4011718.00
SouthKavehSteel,20200928,4008282.00,4008282.00,4008282.00,4008282.00,8016564,2,1,D,3944848.00,4008282.00
SouthKavehSteel,20200906,3944848.00,3944848.00,3944848.00,3944848.00,7889696,2,1,D,3965330.00,3944848.00
SouthKavehSteel,20200803,3965330.00,3965330.00,3965330.00,3965330.00,7930660,2,1,D,3955021.00,3965330.00
SouthKavehSteel,20200729,3955021.00,3955021.00,3955021.00,3955021.00,3955021,1,1,D,3865682.00,3955021.00
SouthKavehSteel,20200721,3865682.00,3865682.00,3865682.00,3865682.00,398165246000,103000,2,D,3852206.00,3865682.00
SouthKavehSteel,20200713,3852206.00,3852206.00,3852206.00,3852206.00,231132360000,60000,1,D,3850522.00,3852206.00
SouthKavehSteel,20200712,3850522.00,3850522.00,3850522.00,3850522.00,169422968000,44000,1,D,3903478.00,3850522.00
SouthKavehSteel,20200628,3903478.00,3903478.00,3903478.00,3903478.00,7806956,2,1,D,3719137.00,3903478.00
SouthKavehSteel,20200425,3719137.00,3719137.00,3719137.00,3719137.00,3719137,1,1,D,3517701.00,3719137.00
SouthKavehSteel,20200419,3783211.00,3783211.00,3500000.00,3517701.00,56283211,16,2,D,3290000.00,3500000.00
SouthKavehSteel,20200225,3290000.00,3290000.00,3290000.00,3290000.00,345450000,105,1,D,3462148.00,3290000.00
SouthKavehSteel,20200205,3462148.00,3462148.00,3462148.00,3462148.00,103864440,30,1,D,3569224.00,3462148.00
SouthKavehSteel,20200127,3569224.00,3569224.00,3569224.00,3569224.00,7138448,2,1,D,3521756.00,3569224.00
SouthKavehSteel,20191229,3590784.00,3590784.00,3520376.00,3521756.00,359219168,102,2,D,3473213.00,3520376.00
SouthKavehSteel,20191201,3473213.00,3473213.00,3473213.00,3473213.00,34732130,10,1,D,3540959.00,3473213.00
SouthKavehSteel,20191130,3540959.00,3540959.00,3540959.00,3540959.00,35409590,10,1,D,3454685.00,3540959.00
SouthKavehSteel,20191120,3454685.00,3454685.00,3454685.00,3454685.00,6909370000,2000,1,D,3393036.00,3454685.00
SouthKavehSteel,20191015,3393036.00,3393036.00,3393036.00,3393036.00,6786072,2,1,D,3427481.00,3393036.00
SouthKavehSteel,20190925,3427481.00,3427481.00,3427481.00,3427481.00,6854962,2,1,D,3356001.00,3427481.00
SouthKavehSteel,20190922,3356001.00,3356001.00,3356001.00,3356001.00,10068003000,3000,1,D,3324935.00,3356001.00
SouthKavehSteel,20190904,3324935.00,3324935.00,3324935.00,3324935.00,6649870,2,1,D,3323300.00,3324935.00
SouthKavehSteel,20190903,3323300.00,3323300.00,3323300.00,3323300.00,2999999406100,902717,18,D,3323300.00,3323300.00
