<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sanabad.salaf,20201004,6860520.00,6860520.00,6860520.00,6860520.00,13721040,2,2,D,6759861.00,6860520.00
Sanabad.salaf,20201003,6723189.00,6857653.00,6723189.00,6759861.00,74358471,11,3,D,6819207.00,6723189.00
Sanabad.salaf,20200930,6714756.00,6849051.00,6714756.00,6819207.00,61372869,9,4,D,6711945.00,6849051.00
Sanabad.salaf,20200929,6711945.00,6711945.00,6711945.00,6711945.00,80543340,12,2,D,6835424.00,6711945.00
Sanabad.salaf,20200928,6843317.00,6843317.00,6709134.00,6835424.00,116202206,17,4,D,6711389.00,6709134.00
Sanabad.salaf,20200926,6703512.00,6829542.00,6703512.00,6711389.00,107382222,16,6,D,6695079.00,6703512.00
Sanabad.salaf,20200923,6695079.00,6695079.00,6695079.00,6695079.00,6695079,1,1,D,6722010.00,6695079.00
Sanabad.salaf,20200922,6692268.00,6826114.00,6692268.00,6722010.00,60498090,9,5,D,6683836.00,6692268.00
Sanabad.salaf,20200919,6683836.00,6683836.00,6683836.00,6683836.00,26735344,4,2,D,6718870.00,6683836.00
Sanabad.salaf,20200916,6808911.00,6808911.00,6675403.00,6718870.00,288911441,43,6,D,6751800.00,6675403.00
Sanabad.salaf,20200915,6672592.00,6806044.00,6672592.00,6751800.00,236312992,35,6,D,6669781.00,6806044.00
Sanabad.salaf,20200914,6669781.00,6669781.00,6669781.00,6669781.00,186753868,28,3,D,6755864.00,6669781.00
Sanabad.salaf,20200913,6800309.00,6800309.00,6666970.00,6755864.00,60802774,9,5,D,6751289.00,6666980.00
Sanabad.salaf,20200912,6664159.00,6797442.00,6664159.00,6751289.00,47259025,7,7,D,6657150.00,6797442.00
Sanabad.salaf,20200909,6660000.00,6660000.00,6655726.00,6657150.00,19971452,3,3,D,6783106.00,6655726.00
Sanabad.salaf,20200908,6783106.00,6783106.00,6783106.00,6783106.00,6783106,1,1,D,6783106.00,6783106.00
Sanabad.salaf,20200907,6783106.00,6783106.00,6783106.00,6783106.00,13566212,2,1,D,6777428.00,6783106.00
Sanabad.salaf,20200906,6777371.00,6778000.00,6777371.00,6777428.00,74551710,11,5,D,6710927.00,6778000.00
Sanabad.salaf,20200905,6777372.00,6777372.00,6644482.00,6710927.00,67109270,10,8,D,6732361.00,6644482.00
Sanabad.salaf,20200902,6768770.00,6768770.00,6636049.00,6732361.00,255829740,38,8,D,6711276.00,6750000.00
Sanabad.salaf,20200901,6765903.00,6765903.00,6633238.00,6711276.00,228183392,34,3,D,6731836.00,6633238.00
Sanabad.salaf,20200831,6630427.00,6763036.00,6630427.00,6731836.00,114441216,17,7,D,6740120.00,6763036.00
Sanabad.salaf,20200826,6748700.00,6748700.00,6620000.00,6740120.00,101101800,15,7,D,6620000.00,6748700.00
Sanabad.salaf,20200825,6620000.00,6620000.00,6620000.00,6620000.00,13240000,2,2,D,6703481.00,6620000.00
Sanabad.salaf,20200824,6742966.00,6742966.00,6620000.00,6703481.00,40220888,6,5,D,6718116.00,6620000.00
Sanabad.salaf,20200823,6740099.00,6740099.00,6607940.00,6718116.00,127644216,19,12,D,6605129.00,6740099.00
Sanabad.salaf,20200822,6605129.00,6605129.00,6605129.00,6605129.00,39630774,6,3,D,6628772.00,6605129.00
Sanabad.salaf,20200819,6596696.00,6725000.00,6596696.00,6628772.00,26515088,4,3,D,6688588.00,6725000.00
Sanabad.salaf,20200818,6725763.00,6725763.00,6593885.00,6688588.00,73574470,11,6,D,6722671.00,6720000.00
Sanabad.salaf,20200817,6722895.00,6722895.00,6722000.00,6722671.00,26890685,4,4,D,6706840.00,6722000.00
Sanabad.salaf,20200816,6720028.00,6720028.00,6588263.00,6706840.00,67068403,10,7,D,6621857.00,6588263.00
Sanabad.salaf,20200815,6585452.00,6717161.00,6585452.00,6621857.00,92706003,14,6,D,6638509.00,6717161.00
Sanabad.salaf,20200812,6577019.00,6700000.00,6577019.00,6638509.00,13277019,2,2,D,6638360.00,6700000.00
Sanabad.salaf,20200811,6574208.00,6705692.00,6574208.00,6638360.00,66383600,10,6,D,6682077.00,6574208.00
Sanabad.salaf,20200810,6702825.00,6702825.00,6571397.00,6682077.00,140323625,21,11,D,6634272.00,6571397.00
Sanabad.salaf,20200809,6568586.00,6699958.00,6568586.00,6634272.00,39805632,6,3,D,6566797.00,6699958.00
Sanabad.salaf,20200805,6557342.00,6688489.00,6557342.00,6566797.00,847116852,129,7,D,6596781.00,6557350.00
Sanabad.salaf,20200804,6685622.00,6685622.00,6554532.00,6596781.00,85758154,13,10,D,6551725.00,6554532.00
Sanabad.salaf,20200803,6551721.00,6551771.00,6551721.00,6551725.00,104827611,16,8,D,6669427.00,6551726.00
Sanabad.salaf,20200802,6679888.00,6679888.00,6650000.00,6669427.00,133388544,20,10,D,6677021.00,6650000.00
Sanabad.salaf,20200801,6677021.00,6677021.00,6677021.00,6677021.00,13354042,2,2,D,6575024.00,6677021.00
Sanabad.salaf,20200729,6537666.00,6668419.00,6537666.00,6575024.00,46025168,7,5,D,6534855.00,6668419.00
Sanabad.salaf,20200728,6534855.00,6534855.00,6534855.00,6534855.00,6534855,1,1,D,6641061.00,6534855.00
Sanabad.salaf,20200727,6659818.00,6662685.00,6532044.00,6641061.00,325412017,49,8,D,6659204.00,6532044.00
Sanabad.salaf,20200726,6659000.00,6659818.00,6659000.00,6659204.00,53273636,8,4,D,6526422.00,6659818.00
Sanabad.salaf,20200725,6526422.00,6526422.00,6526422.00,6526422.00,6526422,1,1,D,6517989.00,6526422.00
Sanabad.salaf,20200722,6517989.00,6517989.00,6517989.00,6517989.00,19553967,3,2,D,6541239.00,6517989.00
Sanabad.salaf,20200721,6645482.00,6645482.00,6515178.00,6541239.00,32706194,5,3,D,6625247.00,6515178.00
Sanabad.salaf,20200720,6642614.00,6642614.00,6512367.00,6625247.00,99378716,15,7,D,6555029.00,6642614.00
Sanabad.salaf,20200719,6509556.00,6636880.00,6509556.00,6555029.00,91770404,14,9,D,6636402.00,6509556.00
