<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zaferan.9908-41,20201118,68061.00,73900.00,68061.00,70839.00,727086943,10264,34,D,67383.00,70000.00
Zaferan.9908-41,20201117,66086.00,69900.00,66086.00,67383.00,496748688,7372,44,D,68981.00,67500.00
Zaferan.9908-41,20201116,68981.00,68981.00,68981.00,68981.00,22349844,324,5,D,71080.00,68981.00
Zaferan.9908-41,20201115,71100.00,71200.00,71050.00,71080.00,113799850,1601,15,D,73550.00,71050.00
Zaferan.9908-41,20201114,73250.00,73700.00,73250.00,73550.00,22065000,300,5,D,74714.00,73700.00
Zaferan.9908-41,20201110,75000.00,75000.00,74074.00,74714.00,28988880,388,4,D,79353.00,74074.00
Zaferan.9908-41,20201104,81115.00,81115.00,77825.00,79353.00,20552509,259,4,D,81141.00,77841.00
Zaferan.9908-41,20201102,76000.00,83000.00,75217.00,81141.00,327808600,4040,15,D,77048.00,81115.00
Zaferan.9908-41,20201101,73515.00,81000.00,73515.00,77048.00,407430700,5288,21,D,72759.00,73515.00
Zaferan.9908-41,20201031,73012.00,73012.00,72001.00,72759.00,29103600,400,4,D,77846.00,72001.00
Zaferan.9908-41,20201027,78001.00,78500.00,76361.00,77846.00,56827840,730,6,D,82323.00,76361.00
Zaferan.9908-41,20201026,82323.00,82323.00,82323.00,82323.00,14818140,180,2,D,80011.00,82323.00
Zaferan.9908-41,20201024,81000.00,82323.00,77201.00,80011.00,179943710,2249,17,D,81561.00,82323.00
Zaferan.9908-41,20201021,82000.00,82477.00,79001.00,81561.00,664148994,8143,23,D,78193.00,79001.00
Zaferan.9908-41,20201020,82140.00,82140.00,74318.00,78193.00,94613738,1210,9,D,83914.00,82000.00
Zaferan.9908-41,20201019,84432.00,84432.00,76500.00,83914.00,2016612096,24032,30,D,84659.00,84000.00
Zaferan.9908-41,20201018,84999.00,85405.00,77273.00,84659.00,1686231230,19918,61,D,77470.00,85290.00
Zaferan.9908-41,20201014,77363.00,81000.00,77363.00,77470.00,133946219,1729,12,D,82274.00,81000.00
Zaferan.9908-41,20201013,89998.00,89998.00,81434.00,82274.00,51009910,620,8,D,84005.00,81434.00
Zaferan.9908-41,20201012,90000.00,90000.00,81660.00,84005.00,195395800,2326,14,D,86169.00,81660.00
