<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Gold.Coin.9912-4,20210317,1074130.00,1093800.00,1074130.00,1090417.00,51467693600,47200,120,D,1070750.00,1090000.00
Gold.Coin.9912-4,20210316,1062001.00,1079990.00,1062001.00,1070750.00,36940866500,34500,103,D,1040060.00,1073700.00
Gold.Coin.9912-4,20210315,1040002.00,1050000.00,1030000.00,1040060.00,87053038000,83700,185,D,1048120.00,1041000.00
Gold.Coin.9912-4,20210314,1047103.00,1061999.00,1032500.00,1048120.00,77665700100,74100,196,D,1062508.00,1036000.00
Gold.Coin.9912-4,20210313,1068000.00,1070000.00,1053600.00,1062508.00,143226079200,134800,231,D,1040113.00,1068000.00
Gold.Coin.9912-4,20210310,1032000.00,1042800.00,1030000.00,1040113.00,194917111600,187400,288,D,1028118.00,1030000.00
Gold.Coin.9912-4,20210309,1022999.00,1033480.00,1022999.00,1028118.00,143628035700,139700,188,D,1034988.00,1028800.00
Gold.Coin.9912-4,20210308,1032056.00,1041000.00,1021000.00,1034988.00,244257093600,236000,376,D,1028844.00,1029999.00
Gold.Coin.9912-4,20210307,1021500.00,1039000.00,1021500.00,1028844.00,97637332800,94900,218,D,1032203.00,1039000.00
Gold.Coin.9912-4,20210306,1054999.00,1054999.00,1030815.00,1032203.00,107142658000,103800,197,D,1084943.00,1030815.00
Gold.Coin.9912-4,20210303,1089490.00,1089499.00,1081011.00,1084943.00,120537205400,111100,157,D,1079523.00,1083999.00
Gold.Coin.9912-4,20210302,1106499.00,1106500.00,1074200.00,1079523.00,112810139100,104500,200,D,1105639.00,1080000.00
Gold.Coin.9912-4,20210301,1097001.00,1109999.00,1097001.00,1105639.00,69876393300,63200,105,D,1094318.00,1109101.00
Gold.Coin.9912-4,20210228,1099998.00,1099998.00,1090000.00,1094318.00,80760682300,73800,134,D,1104481.00,1093008.00
Gold.Coin.9912-4,20210227,1119999.00,1119999.00,1102500.00,1104481.00,63618094400,57600,136,D,1120016.00,1105000.00
Gold.Coin.9912-4,20210224,1112332.00,1125000.00,1112300.00,1120016.00,82433179200,73600,115,D,1101693.00,1118000.00
Gold.Coin.9912-4,20210223,1100999.00,1105555.00,1098500.00,1101693.00,114025235700,103500,114,D,1095233.00,1102999.00
Gold.Coin.9912-4,20210222,1095500.00,1111000.00,1092000.00,1095233.00,124966119800,114100,151,D,1098781.00,1095000.00
Gold.Coin.9912-4,20210221,1116150.00,1116150.00,1090000.00,1098781.00,78013489800,71000,179,D,1139936.00,1095000.00
Gold.Coin.9912-4,20210220,1125100.00,1148900.00,1125000.00,1139936.00,134056475800,117600,208,D,1177685.00,1133500.00
Gold.Coin.9912-4,20210217,1175000.00,1181000.00,1173101.00,1177685.00,50404901700,42800,111,D,1189691.00,1177000.00
Gold.Coin.9912-4,20210216,1186785.00,1199990.00,1178500.00,1189691.00,100885839600,84800,153,D,1172738.00,1192000.00
Gold.Coin.9912-4,20210215,1169500.00,1180000.00,1167000.00,1172738.00,119384752700,101800,195,D,1192903.00,1172950.00
Gold.Coin.9912-4,20210214,1199999.00,1199999.00,1190000.00,1192903.00,84696086600,71000,152,D,1198206.00,1193993.00
Gold.Coin.9912-4,20210213,1192399.00,1206499.00,1185005.00,1198206.00,113350296100,94600,221,D,1164588.00,1200000.00
Gold.Coin.9912-4,20210209,1160000.00,1169594.00,1160000.00,1164588.00,80705963300,69300,149,D,1134887.00,1161100.00
Gold.Coin.9912-4,20210208,1123500.00,1139998.00,1123500.00,1134887.00,75810457500,66800,152,D,1089824.00,1139987.00
Gold.Coin.9912-4,20210207,1082100.00,1097999.00,1082000.00,1089824.00,116066313500,106500,138,D,1078532.00,1097500.00
Gold.Coin.9912-4,20210206,1070130.00,1083997.00,1070130.00,1078532.00,221206936900,205100,214,D,1075670.00,1083997.00
Gold.Coin.9912-4,20210203,1070000.00,1079500.00,1066003.00,1075670.00,74866612000,69600,122,D,1094226.00,1078500.00
Gold.Coin.9912-4,20210202,1094010.00,1097000.00,1090141.00,1094226.00,148377008000,135600,131,D,1093395.00,1097000.00
Gold.Coin.9912-4,20210201,1089989.00,1099800.00,1087010.00,1093395.00,45922611600,42000,94,D,1097329.00,1094000.00
Gold.Coin.9912-4,20210131,1094995.00,1110000.00,1092007.00,1097329.00,127509651400,116200,144,D,1084791.00,1106000.00
Gold.Coin.9912-4,20210130,1080000.00,1090000.00,1080000.00,1084791.00,372625800700,343500,294,D,1049457.00,1085000.00
Gold.Coin.9912-4,20210127,1060000.00,1061000.00,1040000.00,1049457.00,140522246100,133900,193,D,1019506.00,1048000.00
Gold.Coin.9912-4,20210126,1050000.00,1050000.00,1010000.00,1019506.00,193502322700,189800,256,D,1062974.00,1024995.00
Gold.Coin.9912-4,20210125,1060000.00,1067000.00,1056505.00,1062974.00,80679724800,75900,119,D,1062653.00,1061600.00
Gold.Coin.9912-4,20210124,1051680.00,1069900.00,1051680.00,1062653.00,78636324600,74000,198,D,1024226.00,1067000.00
Gold.Coin.9912-4,20210123,1028400.00,1029900.00,1014201.00,1024226.00,108260724000,105700,244,D,1039358.00,1027501.00
Gold.Coin.9912-4,20210120,1041500.00,1042000.00,1030000.00,1039358.00,91671336700,88200,310,D,1015866.00,1036000.00
Gold.Coin.9912-4,20210119,1000000.00,1025331.00,1000000.00,1015866.00,132570573400,130500,251,D,976989.00,1025331.00
Gold.Coin.9912-4,20210118,985000.00,1000000.00,973452.00,976989.00,111669884700,114300,282,D,1024576.00,973501.00
Gold.Coin.9912-4,20210116,1024576.00,1024576.00,1024576.00,1024576.00,22438214400,21900,45,D,1078257.00,1024576.00
Gold.Coin.9912-4,20210113,1082000.00,1095000.00,1070002.00,1078257.00,151818655300,140800,239,D,1112668.00,1078000.00
Gold.Coin.9912-4,20210112,1109989.00,1120000.00,1100008.00,1112668.00,31711036800,28500,71,D,1104209.00,1115000.00
Gold.Coin.9912-4,20210111,1119900.00,1119900.00,1096100.00,1104209.00,58523099000,53000,125,D,1110665.00,1100000.00
Gold.Coin.9912-4,20210110,1110000.00,1116895.00,1106000.00,1110665.00,26989167600,24300,113,D,1144917.00,1114000.00
Gold.Coin.9912-4,20210109,1144917.00,1144917.00,1144917.00,1144917.00,12937562100,11300,14,D,1203708.00,1144917.00
Gold.Coin.9912-4,20210106,1204999.00,1213957.00,1200000.00,1203708.00,74990984100,62300,171,D,1207749.00,1205102.00
Gold.Coin.9912-4,20210105,1198999.00,1225000.00,1198995.00,1207749.00,140098870100,116000,320,D,1194475.00,1220001.00
Gold.Coin.9912-4,20210104,1194000.00,1198000.00,1187100.00,1194475.00,119447483700,100000,183,D,1166211.00,1197998.00
Gold.Coin.9912-4,20210103,1156500.00,1174000.00,1156500.00,1166211.00,212250330700,182000,220,D,1154716.00,1170700.00
