<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Keshmesh.Sabz.0001,20210407,542887.00,542887.00,542887.00,542887.00,5428870,10,1,D,571460.00,542887.00
Keshmesh.Sabz.0001,20210406,571460.00,571460.00,571460.00,571460.00,5143140,9,1,D,601536.00,571460.00
Keshmesh.Sabz.0001,20210313,601536.00,601536.00,601536.00,601536.00,6015360,10,1,D,633195.00,601536.00
Keshmesh.Sabz.0001,20210303,599772.00,662904.00,599772.00,633195.00,10764312,17,4,D,631338.00,662904.00
Keshmesh.Sabz.0001,20210228,620654.00,685986.00,620654.00,631338.00,235489162,373,16,D,653320.00,685986.00
Keshmesh.Sabz.0001,20210224,653320.00,653320.00,653320.00,653320.00,5226560,8,2,D,687705.00,653320.00
Keshmesh.Sabz.0001,20210214,687705.00,687705.00,687705.00,687705.00,4813935,7,1,D,723900.00,687705.00
Keshmesh.Sabz.0001,20210213,723900.00,723900.00,723900.00,723900.00,10858500,15,3,D,762000.00,723900.00
Keshmesh.Sabz.0001,20210207,762000.00,762000.00,762000.00,762000.00,5334000,7,1,D,761044.00,762000.00
Keshmesh.Sabz.0001,20210203,738559.00,775486.00,738559.00,761044.00,172757063,227,8,D,738559.00,760000.00
Keshmesh.Sabz.0001,20210202,738559.00,738559.00,738559.00,738559.00,17725416,24,3,D,703390.00,738559.00
Keshmesh.Sabz.0001,20210201,674496.00,709994.00,674496.00,703390.00,30245758,43,3,D,709994.00,709994.00
Keshmesh.Sabz.0001,20210131,690000.00,731988.00,690000.00,709994.00,14909880,21,2,D,697132.00,731988.00
Keshmesh.Sabz.0001,20210130,697132.00,697132.00,697132.00,697132.00,37645128,54,7,D,663936.00,697132.00
Keshmesh.Sabz.0001,20210127,663936.00,663936.00,663936.00,663936.00,5311488,8,1,D,632320.00,663936.00
Keshmesh.Sabz.0001,20210126,632320.00,632320.00,632320.00,632320.00,5058560,8,1,D,602210.00,632320.00
Keshmesh.Sabz.0001,20210125,602210.00,602210.00,602210.00,602210.00,12646410,21,3,D,573534.00,602210.00
Keshmesh.Sabz.0001,20210124,573534.00,573534.00,573534.00,573534.00,48176856,84,5,D,546223.00,573534.00
Keshmesh.Sabz.0001,20210123,524000.00,549927.00,524000.00,546223.00,42059182,77,3,D,523740.00,549927.00
Keshmesh.Sabz.0001,20210120,523740.00,523740.00,523740.00,523740.00,12569760,24,2,D,498800.00,523740.00
Keshmesh.Sabz.0001,20210119,498800.00,498800.00,498800.00,498800.00,498800,1,1,D,475048.00,498800.00
Keshmesh.Sabz.0001,20210118,466257.00,515335.00,466257.00,475048.00,106885750,225,6,D,490796.00,515335.00
Keshmesh.Sabz.0001,20210116,493658.00,493658.00,470000.00,490796.00,121717444,248,10,D,470151.00,493658.00
Keshmesh.Sabz.0001,20210113,429659.00,474885.00,429659.00,470151.00,434890003,925,29,D,452272.00,474000.00
Keshmesh.Sabz.0001,20210112,489999.00,489999.00,444190.00,452272.00,496142849,1097,40,D,467568.00,444190.00
Keshmesh.Sabz.0001,20210111,469000.00,470997.00,461000.00,467568.00,205729871,440,15,D,449730.00,461000.00
Keshmesh.Sabz.0001,20210110,435000.00,476147.00,430802.00,449730.00,378672705,842,37,D,453475.00,455000.00
Keshmesh.Sabz.0001,20210109,470713.00,470713.00,425885.00,453475.00,136949415,302,17,D,448299.00,459989.00
Keshmesh.Sabz.0001,20210106,453014.00,453015.00,444999.00,448299.00,15242177,34,4,D,431444.00,444999.00
Keshmesh.Sabz.0001,20210105,420217.00,440624.00,398663.00,431444.00,75934092,176,10,D,419645.00,440623.00
Keshmesh.Sabz.0001,20210104,417000.00,420218.00,417000.00,419645.00,313475118,747,37,D,400208.00,420217.00
Keshmesh.Sabz.0001,20210103,401286.00,401286.00,363070.00,400208.00,335774897,839,32,D,382178.00,401275.00
Keshmesh.Sabz.0001,20210102,382178.00,382178.00,382178.00,382178.00,5350492,14,1,D,371270.00,382178.00
Keshmesh.Sabz.0001,20201230,355391.00,382500.00,355391.00,371270.00,46037486,124,10,D,374095.00,382500.00
Keshmesh.Sabz.0001,20201229,368692.00,385000.00,368692.00,374095.00,111106222,297,11,D,366949.00,384822.00
Keshmesh.Sabz.0001,20201228,351000.00,368692.00,351000.00,366949.00,60179656,164,10,D,351136.00,368692.00
Keshmesh.Sabz.0001,20201227,340000.00,362237.00,330000.00,351136.00,157660107,449,21,D,344988.00,362237.00
Keshmesh.Sabz.0001,20201226,362915.00,367129.00,333500.00,344988.00,77277211,224,11,D,349647.00,360000.00
Keshmesh.Sabz.0001,20201223,359990.00,360851.00,336000.00,349647.00,116432430,333,13,D,343668.00,360000.00
Keshmesh.Sabz.0001,20201222,348000.00,349832.00,333000.00,343668.00,74919560,218,15,D,333174.00,349832.00
Keshmesh.Sabz.0001,20201221,347000.00,347000.00,330000.00,333174.00,57639100,173,5,D,341152.00,330000.00
Keshmesh.Sabz.0001,20201219,340630.00,343501.00,340622.00,341152.00,93134484,273,11,D,358549.00,343500.00
Keshmesh.Sabz.0001,20201216,359000.00,359000.00,358355.00,358549.00,35854900,100,3,D,377215.00,358355.00
Keshmesh.Sabz.0001,20201215,376500.00,378010.00,376500.00,377215.00,14334180,38,2,D,360010.00,378010.00
Keshmesh.Sabz.0001,20201214,360010.00,360010.00,360010.00,360010.00,28080780,78,1,D,373889.00,360010.00
Keshmesh.Sabz.0001,20201213,367000.00,384000.00,367000.00,373889.00,10095000,27,3,D,375116.00,384000.00
Keshmesh.Sabz.0001,20201212,355000.00,388010.00,355000.00,375116.00,33760411,90,12,D,369580.00,388010.00
Keshmesh.Sabz.0001,20201209,370101.00,380000.00,369102.00,369580.00,72437739,196,9,D,388528.00,369102.00
Keshmesh.Sabz.0001,20201208,388500.00,389000.00,388500.00,388528.00,6993500,18,2,D,384409.00,389000.00
Keshmesh.Sabz.0001,20201207,386900.00,386900.00,383000.00,384409.00,16914000,44,4,D,375780.00,383500.00
Keshmesh.Sabz.0001,20201206,380000.00,380970.00,355005.00,375780.00,45845110,122,11,D,362829.00,380970.00
Keshmesh.Sabz.0001,20201205,360001.00,379999.00,360000.00,362829.00,35920026,99,6,D,378215.00,379999.00
Keshmesh.Sabz.0001,20201202,375000.00,394999.00,370761.00,378215.00,26096836,69,5,D,390274.00,370761.00
Keshmesh.Sabz.0001,20201201,372250.00,399980.00,372250.00,390274.00,7805490,20,2,D,391794.00,399980.00
Keshmesh.Sabz.0001,20201130,409000.00,409000.00,388868.00,391794.00,47407095,121,9,D,409334.00,388868.00
Keshmesh.Sabz.0001,20201129,409874.00,409900.00,408500.00,409334.00,13508007,33,4,D,392804.00,408500.00
Keshmesh.Sabz.0001,20201128,398900.00,400000.00,379900.00,392804.00,33388300,85,8,D,399019.00,398500.00
Keshmesh.Sabz.0001,20201125,390386.00,412998.00,390386.00,399019.00,16359764,41,3,D,410932.00,412998.00
Keshmesh.Sabz.0001,20201124,402859.00,426999.00,402859.00,410932.00,32463615,79,7,D,424062.00,426999.00
Keshmesh.Sabz.0001,20201123,424000.00,425000.00,424000.00,424062.00,6785000,16,2,D,405690.00,425000.00
Keshmesh.Sabz.0001,20201122,390000.00,430535.00,389533.00,405690.00,205279210,506,32,D,410034.00,417499.00
Keshmesh.Sabz.0001,20201118,400000.00,420000.00,400000.00,410034.00,159913111,390,30,D,408340.00,418499.00
Keshmesh.Sabz.0001,20201117,413381.00,413381.00,386000.00,408340.00,95551651,234,13,D,393697.00,410000.00
Keshmesh.Sabz.0001,20201116,403000.00,403000.00,386000.00,393697.00,31495800,80,9,D,384498.00,402800.00
Keshmesh.Sabz.0001,20201115,373600.00,392205.00,367601.00,384498.00,184559039,480,29,D,373529.00,392204.00
Keshmesh.Sabz.0001,20201114,374803.00,374806.00,368000.00,373529.00,205814421,551,24,D,356959.00,374800.00
Keshmesh.Sabz.0001,20201111,346910.00,383000.00,346907.00,356959.00,190973284,535,36,D,365165.00,383000.00
Keshmesh.Sabz.0001,20201110,365165.00,365165.00,365165.00,365165.00,167245570,458,13,D,347777.00,365165.00
Keshmesh.Sabz.0001,20201109,347777.00,347777.00,347777.00,347777.00,117548626,338,8,D,331217.00,347777.00
Keshmesh.Sabz.0001,20201108,316533.00,349851.00,316533.00,331217.00,649516645,1961,61,D,333192.00,349851.00
Keshmesh.Sabz.0001,20201107,333192.00,333192.00,333192.00,333192.00,24323016,73,4,D,350728.00,333192.00
Keshmesh.Sabz.0001,20201104,350728.00,350728.00,350728.00,350728.00,4559464,13,1,D,369187.00,350728.00
Keshmesh.Sabz.0001,20201102,369187.00,369187.00,369187.00,369187.00,6276179,17,1,D,388617.00,369187.00
Keshmesh.Sabz.0001,20201101,388617.00,388617.00,388617.00,388617.00,4663404,12,1,D,409070.00,388617.00
Keshmesh.Sabz.0001,20201031,409070.00,409070.00,409070.00,409070.00,8181400,20,1,D,430599.00,409070.00
Keshmesh.Sabz.0001,20201028,430738.00,430738.00,430000.00,430599.00,228647856,531,24,D,410227.00,430575.00
Keshmesh.Sabz.0001,20201027,410227.00,410227.00,410227.00,410227.00,454121289,1107,36,D,390693.00,410227.00
Keshmesh.Sabz.0001,20201026,390693.00,390693.00,390693.00,390693.00,39850686,102,7,D,372089.00,390693.00
Keshmesh.Sabz.0001,20201024,372089.00,372089.00,372089.00,372089.00,85208381,229,17,D,354371.00,372089.00
Keshmesh.Sabz.0001,20201021,354371.00,354371.00,354371.00,354371.00,7087420,20,2,D,337497.00,354371.00
Keshmesh.Sabz.0001,20201020,310000.00,340848.00,310000.00,337497.00,48599584,144,9,D,324618.00,340848.00
Keshmesh.Sabz.0001,20201019,324618.00,324618.00,324618.00,324618.00,230803398,711,23,D,341703.00,324618.00
Keshmesh.Sabz.0001,20201018,341703.00,341703.00,341703.00,341703.00,17085150,50,2,D,359687.00,341703.00
Keshmesh.Sabz.0001,20201014,359687.00,359687.00,359687.00,359687.00,5395305,15,1,D,378617.00,359687.00
