<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pesteh.9908-13,20201118,1300005.00,1300005.00,1287531.00,1288692.00,373720821,290,13,D,1247277.00,1287531.00
Pesteh.9908-13,20201117,1246881.00,1350000.00,1226833.00,1247277.00,194575213,156,16,D,1200002.00,1230000.00
Pesteh.9908-13,20201116,1200001.00,1200006.00,1200000.00,1200002.00,67200128,56,7,D,1226987.00,1200005.00
Pesteh.9908-13,20201115,1181001.00,1300000.00,1180011.00,1226987.00,79754168,65,7,D,1194764.00,1200000.00
Pesteh.9908-13,20201111,1170005.00,1235000.00,1170002.00,1194764.00,25090038,21,3,D,1269166.00,1235000.00
Pesteh.9908-13,20201110,1269300.00,1269300.00,1268999.00,1269166.00,15229992,12,3,D,1225102.00,1268999.00
Pesteh.9908-13,20201109,1225000.00,1225120.00,1225000.00,1225102.00,89432440,73,11,D,1170000.00,1225120.00
Pesteh.9908-13,20201108,1170000.00,1170000.00,1170000.00,1170000.00,11700000,10,1,D,1200083.00,1170000.00
Pesteh.9908-13,20201107,1200000.00,1201000.00,1200000.00,1200083.00,72005000,60,4,D,1315214.00,1200000.00
Pesteh.9908-13,20201104,1315300.00,1315300.00,1314999.00,1315214.00,18412996,14,3,D,1280002.00,1314999.00
Pesteh.9908-13,20201102,1350000.00,1350000.00,1250002.00,1280002.00,20480032,16,3,D,1333389.00,1260003.00
Pesteh.9908-13,20201101,1333789.00,1333789.00,1332989.00,1333389.00,10667112,8,2,D,1337040.00,1332989.00
Pesteh.9908-13,20201031,1300000.00,1359997.00,1300000.00,1337040.00,65514971,49,8,D,1280688.00,1359997.00
Pesteh.9908-13,20201028,1240001.00,1350000.00,1240001.00,1280688.00,163928052,128,21,D,1259451.00,1350000.00
Pesteh.9908-13,20201027,1259451.00,1259452.00,1259451.00,1259451.00,647357844,514,12,D,1326121.00,1259451.00
Pesteh.9908-13,20201026,1330000.00,1330000.00,1325666.00,1326121.00,189635248,143,16,D,1429784.00,1325666.00
Pesteh.9908-13,20201024,1348125.00,1490031.00,1348125.00,1429784.00,180152758,126,18,D,1404001.00,1350003.00
Pesteh.9908-13,20201021,1400001.00,1410000.00,1400001.00,1404001.00,28080012,20,5,D,1427885.00,1410000.00
Pesteh.9908-13,20201020,1404962.00,1468000.00,1404962.00,1427885.00,15706734,11,2,D,1410111.00,1468000.00
Pesteh.9908-13,20201019,1404962.00,1410652.00,1404962.00,1410111.00,311634602,221,6,D,1397595.00,1404962.00
Pesteh.9908-13,20201018,1400000.00,1404962.00,1388930.00,1397595.00,1382221270,989,10,D,1462031.00,1404962.00
Pesteh.9908-13,20201014,1462031.00,1462031.00,1462031.00,1462031.00,61405302,42,8,D,1585824.00,1462031.00
Pesteh.9908-13,20201013,1619688.00,1619688.00,1538979.00,1585824.00,453545688,286,16,D,1741672.00,1538979.00
Pesteh.9908-13,20201011,1875000.00,1879500.00,1701830.00,1741672.00,416259614,239,15,D,1813924.00,1701830.00
Pesteh.9908-13,20201010,1900035.00,1900035.00,1719081.00,1813924.00,261205020,144,24,D,1758101.00,1719081.00
Pesteh.9908-13,20201007,1644002.00,1816433.00,1644002.00,1758101.00,225036927,128,11,D,1742327.00,1710500.00
