<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alvand.Tile,20210921,24480.00,24500.00,23360.00,23660.00,59793841390,2527456,939,D,24570.00,23780.00
Alvand.Tile,20210920,24660.00,24720.00,24160.00,24570.00,69985937770,2848582,1070,D,23550.00,24720.00
Alvand.Tile,20210919,23550.00,24600.00,23030.00,23550.00,67677150610,2874208,1026,D,23970.00,24200.00
Alvand.Tile,20210918,24790.00,25380.00,23730.00,23970.00,48755048740,2033998,1013,D,24970.00,23900.00
Alvand.Tile,20210915,25740.00,25950.00,24500.00,24970.00,48565391850,1945154,1292,D,25700.00,24500.00
Alvand.Tile,20210914,24520.00,25740.00,24520.00,25700.00,85697701330,3334075,1160,D,24520.00,25740.00
Alvand.Tile,20210913,24600.00,25620.00,24380.00,24520.00,87820681540,3581148,1225,D,25660.00,24640.00
Alvand.Tile,20210912,26010.00,26500.00,25620.00,25660.00,35536315040,1384868,448,D,26960.00,25620.00
Alvand.Tile,20210911,27210.00,28950.00,26680.00,26960.00,113204602690,4199059,1199,D,28080.00,26680.00
Alvand.Tile,20210908,27700.00,28970.00,27700.00,28080.00,73294875940,2609974,1491,D,28110.00,27730.00
Alvand.Tile,20210907,26800.00,29200.00,26800.00,28110.00,170541663960,6067091,2459,D,27920.00,27650.00
Alvand.Tile,20210906,27300.00,28120.00,27050.00,27920.00,256245667670,9176937,1917,D,26790.00,27450.00
Alvand.Tile,20210905,27020.00,27040.00,25770.00,26790.00,239511081660,8940930,2052,D,25760.00,27040.00
Alvand.Tile,20210904,25320.00,25900.00,24810.00,25760.00,65815757110,2554617,593,D,24670.00,25900.00
Alvand.Tile,20210901,23690.00,24870.00,23510.00,24670.00,111741579920,4529462,1229,D,23690.00,24870.00
Alvand.Tile,20210831,23400.00,25000.00,23370.00,23690.00,121953748440,5147920,1956,D,24590.00,23370.00
Alvand.Tile,20210830,24900.00,25400.00,24400.00,24590.00,69229274350,2815214,991,D,25680.00,24400.00
Alvand.Tile,20210829,25770.00,26930.00,25080.00,25680.00,287478394570,11192959,3905,D,26400.00,25140.00
Alvand.Tile,20210828,26680.00,26680.00,25570.00,26400.00,256369206360,9709970,2202,D,25410.00,25770.00
Alvand.Tile,20210825,25660.00,25660.00,25660.00,25410.00,13411712200,522670,165,D,24440.00,25660.00
Alvand.Tile,20210824,24440.00,24440.00,24440.00,24440.00,19241367600,787290,141,D,23280.00,24440.00
Alvand.Tile,20210823,22330.00,23900.00,22330.00,23280.00,159367105290,6844606,1556,D,22770.00,23900.00
Alvand.Tile,20210822,23490.00,23600.00,22280.00,22770.00,122251906580,5367914,1766,D,22770.00,22850.00
Alvand.Tile,20210815,22500.00,23140.00,22210.00,22770.00,73130629340,3211423,1094,D,22730.00,23020.00
Alvand.Tile,20210814,23100.00,23340.00,22350.00,22730.00,55291915530,2432337,1236,D,23360.00,22830.00
Alvand.Tile,20210811,23340.00,23620.00,22800.00,23360.00,99671616000,4266837,1405,D,22500.00,23140.00
Alvand.Tile,20210810,21780.00,23240.00,21780.00,22500.00,100860034600,4483065,1502,D,22270.00,23050.00
Alvand.Tile,20210809,22000.00,22640.00,22000.00,22270.00,55062941080,2472189,938,D,22170.00,22140.00
Alvand.Tile,20210808,21710.00,22600.00,21710.00,22170.00,48635734370,2193413,998,D,22180.00,22060.00
Alvand.Tile,20210807,23000.00,23000.00,21980.00,22180.00,93226337690,4203095,1530,D,23130.00,22050.00
Alvand.Tile,20210804,23420.00,23780.00,22640.00,23130.00,49634658060,2145704,1018,D,22930.00,23060.00
Alvand.Tile,20210803,23400.00,23400.00,22720.00,22930.00,39932371930,1741324,788,D,23350.00,22780.00
Alvand.Tile,20210802,24090.00,24090.00,23000.00,23350.00,41329256920,1770137,889,D,23350.00,23400.00
Alvand.Tile,20210801,22630.00,24070.00,22500.00,23350.00,58809446140,2518522,1161,D,23050.00,23890.00
Alvand.Tile,20210731,24090.00,24090.00,22530.00,23050.00,67610106130,2932949,1375,D,23700.00,23260.00
Alvand.Tile,20210728,21710.00,23890.00,21710.00,23700.00,122044089950,5150455,1460,D,22760.00,23890.00
Alvand.Tile,20210727,23700.00,23700.00,22490.00,22760.00,106298370620,4670931,1488,D,23670.00,22490.00
Alvand.Tile,20210726,23170.00,23770.00,23170.00,23670.00,242508382680,10244209,2377,D,22640.00,23600.00
Alvand.Tile,20210719,22180.00,22660.00,21620.00,22640.00,163837015070,7237454,1137,D,21590.00,22660.00
Alvand.Tile,20210718,21610.00,22050.00,21210.00,21590.00,51990387290,2407587,1013,D,22240.00,22000.00
Alvand.Tile,20210717,22050.00,22930.00,21300.00,22240.00,48919458630,2199638,1156,D,22180.00,21650.00
Alvand.Tile,20210714,21800.00,22590.00,21130.00,22180.00,82495438700,3719226,1571,D,21520.00,22030.00
Alvand.Tile,20210713,21000.00,22280.00,20900.00,21520.00,55765521550,2591653,1358,D,21780.00,21490.00
Alvand.Tile,20210712,22990.00,22990.00,21300.00,21780.00,63369168010,2908939,1811,D,22050.00,21370.00
Alvand.Tile,20210711,21370.00,22070.00,21370.00,22050.00,61701487380,2798544,707,D,21020.00,22070.00
Alvand.Tile,20210710,20490.00,21360.00,19930.00,21020.00,119823864920,5699900,1661,D,20350.00,21360.00
Alvand.Tile,20210707,20200.00,20990.00,19260.00,20350.00,85510127630,4201995,1328,D,19120.00,20290.00
Alvand.Tile,20210629,20940.00,21650.00,20510.00,20990.00,79487226910,3787730,1263,D,21370.00,20880.00
Alvand.Tile,20210628,21980.00,21990.00,20760.00,21370.00,47895733410,2241422,973,D,21460.00,20990.00
Alvand.Tile,20210627,22050.00,22250.00,20890.00,21460.00,50139493600,2336313,1192,D,21790.00,20970.00
Alvand.Tile,20210626,21850.00,22470.00,21230.00,21790.00,69639282620,3195392,1152,D,21500.00,21910.00
Alvand.Tile,20210623,21390.00,22160.00,20570.00,21500.00,75191949430,3496778,1335,D,21120.00,21700.00
