<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Amin.Pharm.,20210921,4049.00,4049.00,3778.00,3804.00,15413366199,4051815,387,D,3976.00,3799.00
Amin.Pharm.,20210920,3818.00,4038.00,3818.00,3976.00,14364868296,3612938,462,D,3857.00,3962.00
Amin.Pharm.,20210919,3826.00,4000.00,3816.00,3857.00,22038479142,5713252,477,D,4016.00,3869.00
Amin.Pharm.,20210918,4250.00,4260.00,3959.00,4016.00,25989220388,6470801,540,D,4167.00,4007.00
Amin.Pharm.,20210915,4184.00,4268.00,4060.00,4167.00,13723381189,3293309,537,D,4184.00,4209.00
Amin.Pharm.,20210914,4220.00,4270.00,4100.00,4184.00,13626932898,3254925,579,D,4077.00,4198.00
Amin.Pharm.,20210913,4100.00,4248.00,3923.00,4077.00,18249012734,4475593,651,D,4120.00,4100.00
Amin.Pharm.,20210912,4160.00,4390.00,4097.00,4120.00,23870490405,5793541,596,D,4312.00,4150.00
Amin.Pharm.,20210911,4549.00,4550.00,4257.00,4312.00,26858966392,6228902,1095,D,4481.00,4257.00
Amin.Pharm.,20210908,4610.00,4750.00,4452.00,4481.00,67619639186,15091206,1376,D,4686.00,4454.00
Amin.Pharm.,20210907,4660.00,4844.00,4449.00,4686.00,60331433284,12874174,1686,D,4683.00,4610.00
Amin.Pharm.,20210906,4600.00,4721.00,4520.00,4683.00,131259124593,28026108,2023,D,4497.00,4560.00
Amin.Pharm.,20210905,4357.00,4538.00,4321.00,4497.00,123169225170,27387488,1565,D,4322.00,4538.00
Amin.Pharm.,20210904,4290.00,4359.00,4190.00,4322.00,78774840892,18225299,1269,D,4152.00,4357.00
Amin.Pharm.,20210901,4170.00,4269.00,4050.00,4152.00,45073376412,10855068,1005,D,4129.00,4219.00
Amin.Pharm.,20210831,4059.00,4344.00,4059.00,4129.00,69554147208,16846647,1317,D,4272.00,4059.00
Amin.Pharm.,20210830,4280.00,4410.00,4193.00,4272.00,40916573069,9577682,860,D,4413.00,4193.00
Amin.Pharm.,20210829,4470.00,4490.00,4112.00,4413.00,104466258877,23670979,2338,D,4277.00,4279.00
Amin.Pharm.,20210828,4230.00,4290.00,4160.00,4277.00,77809705770,18193225,1356,D,4086.00,4290.00
Amin.Pharm.,20210825,4100.00,4160.00,3930.00,4086.00,82871458037,20283306,2014,D,3859.00,4157.00
