<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Amlah,20210921,36710.00,38090.00,36030.00,36220.00,18640427150,514636,291,D,37920.00,36030.00
Iran.Amlah,20210920,36530.00,38670.00,36530.00,37920.00,11872224680,311152,213,D,37040.00,37650.00
Iran.Amlah,20210919,37950.00,38780.00,36330.00,37040.00,29525444370,797151,194,D,38090.00,37000.00
Iran.Amlah,20210918,38980.00,39000.00,36700.00,38090.00,5316518040,139290,212,D,38040.00,37950.00
Iran.Amlah,20210915,39800.00,39800.00,37920.00,38040.00,33909707530,891387,382,D,39910.00,38710.00
Iran.Amlah,20210914,39900.00,41430.00,38870.00,39910.00,9137532560,229065,238,D,39950.00,39720.00
Iran.Amlah,20210913,38920.00,40430.00,38530.00,39950.00,6411478740,163243,168,D,40490.00,39170.00
Iran.Amlah,20210912,41440.00,41440.00,39200.00,40490.00,5377814910,135389,152,D,40950.00,39540.00
Iran.Amlah,20210911,41330.00,41340.00,40330.00,40950.00,5554481730,136117,186,D,41030.00,40770.00
Iran.Amlah,20210908,41000.00,42500.00,40000.00,41030.00,7836665560,193247,296,D,41580.00,40500.00
Iran.Amlah,20210907,41580.00,43000.00,40160.00,41580.00,8962735220,217250,271,D,42070.00,40340.00
Iran.Amlah,20210906,41090.00,42790.00,41090.00,42070.00,7910616230,189188,225,D,42360.00,41250.00
Iran.Amlah,20210905,44350.00,44350.00,41470.00,42360.00,11700730030,277850,220,D,43200.00,42250.00
Iran.Amlah,20210904,43500.00,43620.00,40000.00,43200.00,33877562810,784285,329,D,41550.00,43550.00
Iran.Amlah,20210901,41370.00,43390.00,40560.00,41550.00,6423978670,153645,169,D,41350.00,42810.00
Iran.Amlah,20210831,40550.00,43000.00,40550.00,41350.00,14062020610,340445,323,D,42680.00,40590.00
Iran.Amlah,20210830,42670.00,43530.00,42670.00,42680.00,22653083340,530765,215,D,44910.00,42670.00
Iran.Amlah,20210829,45210.00,46000.00,42500.00,44910.00,18334646440,408251,441,D,44580.00,42540.00
Iran.Amlah,20210828,43030.00,44680.00,42900.00,44580.00,68505768000,1536666,607,D,42560.00,44680.00
Iran.Amlah,20210825,43740.00,43740.00,42030.00,42560.00,22218378930,522085,451,D,42440.00,42850.00
Iran.Amlah,20210824,43380.00,43380.00,41930.00,42440.00,23587518370,555729,429,D,41900.00,42190.00
Iran.Amlah,20210823,43030.00,43540.00,41630.00,41900.00,46818615900,1117343,658,D,43820.00,42080.00
Iran.Amlah,20210822,45990.00,45990.00,42500.00,43820.00,50857004540,1160595,1024,D,44230.00,42900.00
Iran.Amlah,20210815,44000.00,44640.00,42700.00,44230.00,56366440500,1274443,522,D,42520.00,44550.00
Iran.Amlah,20210814,41990.00,43320.00,39250.00,42520.00,63727924140,1498614,763,D,41260.00,43320.00
Iran.Amlah,20210811,41450.00,41450.00,39780.00,41260.00,65976308820,1599194,692,D,39480.00,41450.00
Iran.Amlah,20210810,39480.00,39480.00,38980.00,39480.00,22936721390,581036,370,D,37600.00,39480.00
Iran.Amlah,20210809,37100.00,37970.00,36220.00,37600.00,18985336610,504948,339,D,36170.00,37970.00
Iran.Amlah,20210808,37580.00,37580.00,35000.00,36170.00,8526840960,236216,291,D,36280.00,37130.00
Iran.Amlah,20210807,36200.00,37650.00,35770.00,36280.00,22787719430,628054,404,D,37650.00,36340.00
Iran.Amlah,20210804,38790.00,39760.00,36580.00,37650.00,18469160860,490565,386,D,38010.00,36700.00
Iran.Amlah,20210803,39320.00,39320.00,37600.00,38010.00,17492553690,460267,409,D,39310.00,37600.00
Iran.Amlah,20210802,39730.00,40110.00,38150.00,39310.00,10730497170,274122,243,D,39730.00,38150.00
Iran.Amlah,20210801,40160.00,41070.00,39510.00,39730.00,5299070520,131211,201,D,39390.00,40500.00
Iran.Amlah,20210731,37510.00,40770.00,37510.00,39390.00,7841961260,196539,102,D,38870.00,40150.00
Iran.Amlah,20210728,37600.00,39600.00,37600.00,38870.00,10173771570,263088,164,D,39380.00,39290.00
Iran.Amlah,20210727,40000.00,40160.00,38500.00,39380.00,8838400800,226905,199,D,40070.00,39200.00
Iran.Amlah,20210726,39290.00,41700.00,39000.00,40070.00,25214839010,629274,338,D,40800.00,39140.00
Iran.Amlah,20210719,37700.00,41620.00,37700.00,40800.00,34194504340,838191,445,D,39640.00,41300.00
Iran.Amlah,20210718,42000.00,42000.00,39390.00,39640.00,25706192590,648521,323,D,41460.00,39430.00
Iran.Amlah,20210717,41220.00,42690.00,40200.00,41460.00,24495690270,590862,418,D,42100.00,41440.00
Iran.Amlah,20210714,42890.00,42890.00,41300.00,42100.00,31498422520,748189,502,D,41300.00,42000.00
Iran.Amlah,20210713,41000.00,41710.00,39900.00,41300.00,135400469090,3278077,1087,D,39730.00,41710.00
Iran.Amlah,20210712,39150.00,39740.00,39100.00,39730.00,103075722000,2594501,320,D,37850.00,39740.00
Iran.Amlah,20210711,37850.00,37980.00,36970.00,37850.00,31307596460,827254,311,D,36180.00,37980.00
Iran.Amlah,20210710,35110.00,37480.00,35110.00,36180.00,19983860630,552309,352,D,36770.00,37320.00
Iran.Amlah,20210707,36840.00,37440.00,36000.00,36770.00,10702689660,291979,235,D,37110.00,36700.00
Iran.Amlah,20210706,36100.00,38040.00,36100.00,37110.00,14806483690,398979,279,D,36700.00,36760.00
Iran.Amlah,20210705,37620.00,37700.00,36300.00,36700.00,19948356220,543610,378,D,38120.00,36310.00
Iran.Amlah,20210704,37610.00,39130.00,37520.00,38120.00,20972671310,550232,312,D,39490.00,37540.00
Iran.Amlah,20210703,38630.00,40410.00,38000.00,39490.00,30673283000,776645,513,D,38490.00,38880.00
Iran.Amlah,20210630,38830.00,39900.00,37680.00,38490.00,25666467950,666838,504,D,39660.00,38850.00
Iran.Amlah,20210629,39700.00,39700.00,38680.00,39660.00,57402094650,1447403,388,D,37810.00,39600.00
Iran.Amlah,20210628,37220.00,37960.00,36900.00,37810.00,52427989280,1386475,317,D,36160.00,37960.00
Iran.Amlah,20210627,35900.00,37400.00,34410.00,36160.00,14848493720,410601,279,D,36140.00,37000.00
Iran.Amlah,20210626,35500.00,38000.00,34750.00,36140.00,17795605550,492355,362,D,36570.00,35200.00
Iran.Amlah,20210623,36830.00,37500.00,36100.00,36570.00,11709264510,318598,213,D,36020.00,36360.00
