<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Absal,20210921,38100.00,38100.00,34850.00,35110.00,39161858270,1115376,592,D,36680.00,34850.00
Absal,20210920,37100.00,38250.00,35800.00,36680.00,54144050440,1476063,641,D,37360.00,37180.00
Absal,20210919,37150.00,38200.00,37100.00,37360.00,13418666290,359523,359,D,39050.00,37100.00
Absal,20210918,39270.00,42190.00,38920.00,39050.00,32564749820,833931,361,D,40960.00,38920.00
Absal,20210915,40200.00,42500.00,39700.00,40960.00,23772207390,580367,599,D,41210.00,40240.00
Absal,20210914,39500.00,42200.00,39500.00,41210.00,24642194080,597950,436,D,40460.00,40440.00
Absal,20210913,42300.00,42300.00,39630.00,40460.00,26743470320,661017,479,D,41350.00,39750.00
Absal,20210912,42010.00,43800.00,41200.00,41350.00,55396165290,1339737,674,D,43360.00,41790.00
Absal,20210911,44740.00,45000.00,42100.00,43360.00,31703735230,731184,478,D,43750.00,43000.00
Absal,20210908,40610.00,44160.00,40500.00,43750.00,63475356110,1450885,1033,D,42060.00,44160.00
Absal,20210907,41360.00,43900.00,41330.00,42060.00,41441808280,985189,697,D,43500.00,41750.00
Absal,20210906,41600.00,45000.00,41600.00,43500.00,68345996220,1571113,1054,D,42960.00,42150.00
Absal,20210905,43020.00,43020.00,41070.00,42960.00,73502344440,1710909,799,D,40980.00,43020.00
Absal,20210904,42040.00,42050.00,39000.00,40980.00,83002634120,2025397,1039,D,40120.00,42050.00
Absal,20210901,40100.00,40190.00,39220.00,40120.00,63480978670,1582221,563,D,38280.00,40190.00
Absal,20210831,38040.00,40000.00,38040.00,38280.00,128807574710,3364819,1109,D,40040.00,39080.00
Absal,20210830,40030.00,41000.00,40030.00,40040.00,50260535300,1255251,408,D,42130.00,40030.00
Absal,20210829,44700.00,45370.00,41240.00,42130.00,109177985620,2591171,1518,D,43410.00,41240.00
Absal,20210828,41500.00,43570.00,41500.00,43410.00,65028208190,1497914,1123,D,41500.00,43570.00
Absal,20210825,42970.00,43000.00,40470.00,41500.00,80812682260,1947401,1242,D,41920.00,42010.00
Absal,20210824,42950.00,43000.00,40750.00,41920.00,54040365120,1289093,1049,D,41350.00,41980.00
Absal,20210823,40680.00,41630.00,38910.00,41350.00,69613570910,1683619,944,D,39650.00,41630.00
Absal,20210822,39500.00,40700.00,38900.00,39650.00,68830021490,1735813,1215,D,40910.00,39580.00
Absal,20210815,40820.00,42760.00,39030.00,40910.00,95655047290,2338207,1621,D,40730.00,39350.00
Absal,20210814,39750.00,40820.00,39150.00,40730.00,27470190600,674375,462,D,38880.00,40820.00
Absal,20210811,37800.00,39010.00,36810.00,38880.00,69701670560,1792658,770,D,37160.00,39010.00
Absal,20210810,36300.00,37700.00,36300.00,37160.00,35816751310,963803,605,D,36770.00,37210.00
Absal,20210809,36170.00,37390.00,36170.00,36770.00,29514813410,802789,534,D,36740.00,36880.00
Absal,20210808,38000.00,38800.00,35970.00,36740.00,46199897250,1257509,975,D,37860.00,36610.00
Absal,20210807,36700.00,37920.00,36700.00,37860.00,37058245870,978913,506,D,36120.00,37920.00
Absal,20210804,35130.00,37550.00,35130.00,36120.00,18088501940,500768,478,D,36760.00,36650.00
Absal,20210803,38590.00,38590.00,36380.00,36760.00,25216462800,685959,612,D,38290.00,36700.00
Absal,20210802,39900.00,39900.00,36630.00,38290.00,32450489870,847506,704,D,38550.00,37000.00
Absal,20210801,38000.00,38800.00,37000.00,38550.00,45126278790,1170502,719,D,36960.00,38800.00
Absal,20210731,35060.00,37850.00,35060.00,36960.00,45052795170,1218829,747,D,36050.00,37850.00
Absal,20210728,35750.00,37840.00,35750.00,36050.00,27101698040,751776,626,D,37630.00,36140.00
Absal,20210727,37990.00,38390.00,36920.00,37630.00,28101400380,746845,631,D,36610.00,36920.00
Absal,20210726,36490.00,36940.00,35600.00,36610.00,44722192430,1221495,627,D,35190.00,36940.00
Absal,20210719,33780.00,36330.00,33780.00,35190.00,37426311360,1063699,695,D,34620.00,36290.00
Absal,20210718,35500.00,35500.00,33730.00,34620.00,10444083760,303565,224,D,35180.00,34400.00
Absal,20210713,36630.00,37100.00,35590.00,35980.00,48147945150,1338310,910,D,37460.00,35590.00
Absal,20210712,36990.00,38890.00,36620.00,37460.00,42555846720,1136169,608,D,37720.00,37420.00
Absal,20210711,36610.00,38340.00,36600.00,37720.00,31240962700,828265,473,D,37450.00,37980.00
Absal,20210710,37160.00,39180.00,36980.00,37450.00,23926197540,638833,618,D,38920.00,37200.00
Absal,20210707,38900.00,39800.00,37820.00,38920.00,28517662540,732693,600,D,38320.00,38640.00
Absal,20210706,36010.00,38610.00,36010.00,38320.00,59092396060,1542191,738,D,36780.00,38610.00
Absal,20210705,35650.00,38000.00,35650.00,36780.00,28747708180,781509,506,D,36310.00,36700.00
Absal,20210704,35810.00,37500.00,35650.00,36310.00,36630367700,1008892,697,D,37510.00,36500.00
Absal,20210703,36600.00,37640.00,36600.00,37510.00,49965356450,1332001,879,D,35850.00,36920.00
Absal,20210630,36000.00,36410.00,34650.00,35850.00,33455530690,933168,877,D,34680.00,36410.00
Absal,20210629,35010.00,35980.00,34110.00,34680.00,27971775750,806493,786,D,35750.00,35010.00
Absal,20210628,34800.00,37300.00,34800.00,35750.00,26664640370,745907,675,D,36210.00,35270.00
Absal,20210627,38360.00,38360.00,35160.00,36210.00,55054121600,1520472,1255,D,37010.00,35210.00
