<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Azarab.Ind.,20210921,1258.00,1297.00,1201.00,1228.00,94685518022,77119469,2391,D,1264.00,1229.00
S*Azarab.Ind.,20210920,1223.00,1281.00,1223.00,1264.00,130921436577,103550822,3000,D,1220.00,1257.00
S*Azarab.Ind.,20210919,1240.00,1259.00,1197.00,1220.00,130698260939,107153771,2738,D,1260.00,1242.00
S*Azarab.Ind.,20210918,1339.00,1339.00,1254.00,1260.00,140402299019,111400098,2692,D,1319.00,1254.00
S*Azarab.Ind.,20210915,1318.00,1357.00,1282.00,1319.00,133204565140,101008460,3421,D,1306.00,1330.00
S*Azarab.Ind.,20210914,1300.00,1335.00,1268.00,1306.00,123769359836,94751798,2808,D,1293.00,1290.00
S*Azarab.Ind.,20210913,1300.00,1326.00,1286.00,1293.00,158715121135,122729775,2880,D,1353.00,1286.00
S*Azarab.Ind.,20210912,1399.00,1399.00,1348.00,1353.00,43502185116,32146681,1076,D,1418.00,1348.00
S*Azarab.Ind.,20210911,1480.00,1480.00,1375.00,1418.00,243064603934,171409542,4848,D,1447.00,1399.00
S*Azarab.Ind.,20210908,1376.00,1451.00,1376.00,1447.00,382459164879,264330705,5797,D,1382.00,1451.00
S*Azarab.Ind.,20210907,1365.00,1415.00,1324.00,1382.00,192565896034,139385234,4789,D,1351.00,1369.00
S*Azarab.Ind.,20210906,1326.00,1376.00,1317.00,1351.00,241240185292,178537215,3987,D,1352.00,1324.00
S*Azarab.Ind.,20210905,1360.00,1379.00,1326.00,1352.00,150960809087,111635019,2840,D,1363.00,1345.00
S*Azarab.Ind.,20210904,1350.00,1387.00,1321.00,1363.00,140549768187,103135586,2980,D,1321.00,1359.00
S*Azarab.Ind.,20210901,1290.00,1350.00,1271.00,1321.00,176826688960,133900277,3298,D,1308.00,1347.00
S*Azarab.Ind.,20210831,1305.00,1331.00,1305.00,1308.00,233526051650,178532604,3161,D,1373.00,1305.00
S*Azarab.Ind.,20210830,1372.00,1396.00,1372.00,1373.00,76748270547,55905710,1130,D,1444.00,1372.00
S*Azarab.Ind.,20210829,1479.00,1490.00,1405.00,1444.00,233597714977,161769044,4265,D,1478.00,1405.00
S*Azarab.Ind.,20210828,1448.00,1493.00,1430.00,1478.00,429987330873,290840818,5851,D,1422.00,1479.00
S*Azarab.Ind.,20210825,1435.00,1469.00,1386.00,1422.00,287221662457,201995237,5352,D,1434.00,1433.00
S*Azarab.Ind.,20210824,1437.00,1437.00,1402.00,1434.00,433000415988,302050367,4588,D,1369.00,1427.00
S*Azarab.Ind.,20210823,1369.00,1369.00,1369.00,1369.00,48959244451,35762779,604,D,1304.00,1369.00
S*Azarab.Ind.,20210822,1268.00,1331.00,1268.00,1304.00,188088373372,144233570,3332,D,1268.00,1331.00
S*Azarab.Ind.,20210815,1280.00,1297.00,1245.00,1268.00,106974844777,84349431,2559,D,1274.00,1279.00
S*Azarab.Ind.,20210814,1317.00,1317.00,1259.00,1274.00,135533866418,106360212,2599,D,1302.00,1270.00
S*Azarab.Ind.,20210811,1320.00,1333.00,1288.00,1302.00,136062194906,104480630,2586,D,1297.00,1295.00
S*Azarab.Ind.,20210810,1293.00,1325.00,1260.00,1297.00,135586353796,104549104,2508,D,1295.00,1303.00
S*Azarab.Ind.,20210809,1310.00,1325.00,1274.00,1295.00,100477462538,77591648,2772,D,1273.00,1280.00
S*Azarab.Ind.,20210808,1239.00,1285.00,1235.00,1273.00,125470994420,98559879,2516,D,1224.00,1285.00
S*Azarab.Ind.,20210807,1181.00,1241.00,1181.00,1224.00,118809869299,97079096,2624,D,1209.00,1239.00
S*Azarab.Ind.,20210804,1250.00,1260.00,1197.00,1209.00,115592452526,95577970,2899,D,1250.00,1200.00
S*Azarab.Ind.,20210803,1250.00,1278.00,1231.00,1250.00,55835594771,44658774,1652,D,1249.00,1241.00
S*Azarab.Ind.,20210802,1257.00,1287.00,1230.00,1249.00,61690723593,49376609,1847,D,1269.00,1260.00
S*Azarab.Ind.,20210801,1273.00,1300.00,1240.00,1269.00,71668282428,56496286,1801,D,1273.00,1256.00
S*Azarab.Ind.,20210731,1268.00,1301.00,1235.00,1273.00,96727706434,75960969,2174,D,1257.00,1275.00
S*Azarab.Ind.,20210728,1260.00,1319.00,1233.00,1257.00,101948271081,81099516,2364,D,1297.00,1265.00
S*Azarab.Ind.,20210727,1360.00,1360.00,1286.00,1297.00,79369939950,61175655,1611,D,1353.00,1286.00
S*Azarab.Ind.,20210726,1378.00,1378.00,1320.00,1353.00,24316556489,17978429,557,D,1361.00,1323.00
S*Azarab.Ind.,20210719,1380.00,1400.00,1341.00,1361.00,169052992368,124205633,3623,D,1411.00,1357.00
S*Azarab.Ind.,20210718,1441.00,1489.00,1400.00,1411.00,73369126907,51986001,1720,D,1473.00,1400.00
S*Azarab.Ind.,20210717,1470.00,1530.00,1440.00,1473.00,124013660174,84213877,2653,D,1473.00,1446.00
S*Azarab.Ind.,20210714,1484.00,1517.00,1435.00,1473.00,103177397124,70027357,2352,D,1477.00,1470.00
S*Azarab.Ind.,20210713,1430.00,1517.00,1401.00,1477.00,192242685772,130160171,3256,D,1445.00,1462.00
S*Azarab.Ind.,20210712,1469.00,1477.00,1401.00,1445.00,152102921267,105272055,3312,D,1407.00,1420.00
S*Azarab.Ind.,20210711,1335.00,1418.00,1320.00,1407.00,122575551389,87111624,1466,D,1351.00,1418.00
S*Azarab.Ind.,20210710,1340.00,1386.00,1333.00,1351.00,84218559330,62355383,2048,D,1386.00,1349.00
S*Azarab.Ind.,20210707,1388.00,1425.00,1333.00,1386.00,116883488955,84342582,2432,D,1377.00,1374.00
S*Azarab.Ind.,20210706,1339.00,1384.00,1320.00,1377.00,207196380019,150483207,2947,D,1319.00,1384.00
S*Azarab.Ind.,20210705,1311.00,1339.00,1301.00,1319.00,99035039891,75109103,2150,D,1311.00,1337.00
S*Azarab.Ind.,20210704,1310.00,1341.00,1288.00,1311.00,99084386274,75598943,2641,D,1330.00,1311.00
S*Azarab.Ind.,20210703,1341.00,1341.00,1291.00,1330.00,299802223105,225379062,5073,D,1278.00,1307.00
S*Azarab.Ind.,20210630,1278.00,1278.00,1275.00,1278.00,89621559465,70127136,946,D,1218.00,1278.00
S*Azarab.Ind.,20210629,1190.00,1253.00,1185.00,1218.00,143550946071,117831572,2827,D,1194.00,1253.00
S*Azarab.Ind.,20210628,1225.00,1225.00,1185.00,1194.00,122495007228,102561258,2712,D,1208.00,1190.00
S*Azarab.Ind.,20210627,1211.00,1242.00,1175.00,1208.00,122866879450,101711667,3131,D,1225.00,1226.00
S*Azarab.Ind.,20210626,1280.00,1289.00,1195.00,1225.00,250311957404,204271540,5363,D,1257.00,1206.00
S*Azarab.Ind.,20210623,1270.00,1278.00,1232.00,1257.00,260419211724,207192217,5372,D,1218.00,1268.00
S*Azarab.Ind.,20210622,1190.00,1249.00,1151.00,1218.00,223266547431,183269311,3187,D,1290.00,1249.00
S*Azarab.Ind.,20210426,22830.00,22830.00,22830.00,23370.00,11205032490,490803,324,D,23530.00,22830.00
S*Azarab.Ind.,20210425,22910.00,22910.00,22910.00,23530.00,5550886810,242291,82,D,23610.00,22910.00
S*Azarab.Ind.,20210424,22950.00,22950.00,22950.00,23610.00,2567623050,111879,47,D,23650.00,22950.00
S*Azarab.Ind.,20210421,22980.00,22980.00,22980.00,23650.00,2479312200,107890,48,D,23690.00,22980.00
S*Azarab.Ind.,20210420,23230.00,23230.00,23230.00,23690.00,1296489530,55811,42,D,23700.00,23230.00
S*Azarab.Ind.,20210419,23240.00,23240.00,23240.00,23700.00,1106526120,47613,35,D,23710.00,23240.00
S*Azarab.Ind.,20210418,23240.00,23240.00,23240.00,23710.00,451111640,19411,19,D,23710.00,23240.00
S*Azarab.Ind.,20210417,23240.00,23240.00,23240.00,23710.00,309277920,13308,11,D,23710.00,23240.00
S*Azarab.Ind.,20210412,23690.00,23690.00,23690.00,23710.00,46787607860,1974994,706,D,24170.00,23690.00
S*Azarab.Ind.,20210411,23780.00,23780.00,23780.00,24170.00,9020681420,379339,219,D,24260.00,23780.00
S*Azarab.Ind.,20210410,23830.00,23830.00,23830.00,24260.00,5470033520,229544,167,D,24310.00,23830.00
S*Azarab.Ind.,20210407,23880.00,23880.00,23880.00,24310.00,5123119680,214536,117,D,24360.00,23880.00
S*Azarab.Ind.,20210406,23960.00,23960.00,23960.00,24360.00,8226761840,343354,138,D,24440.00,23960.00
S*Azarab.Ind.,20210405,24200.00,24200.00,24200.00,24440.00,24117599000,996595,176,D,24690.00,24200.00
