<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Bafgh.Mining,20210921,40640.00,41770.00,39520.00,39700.00,75988155980,1913993,1360,D,41600.00,39530.00
Bafgh.Mining,20210920,41100.00,42370.00,41100.00,41600.00,39294597640,944634,949,D,40880.00,41770.00
Bafgh.Mining,20210919,43790.00,43790.00,40470.00,40880.00,96067771420,2350076,1410,D,42600.00,41100.00
Bafgh.Mining,20210918,45400.00,45400.00,41830.00,42600.00,96373251310,2262182,1669,D,44030.00,42000.00
Bafgh.Mining,20210915,43800.00,44500.00,41000.00,44030.00,133294325880,3027584,2501,D,42390.00,44500.00
Bafgh.Mining,20210914,41450.00,42470.00,40530.00,42390.00,81243008160,1916531,1507,D,40450.00,42470.00
Bafgh.Mining,20210913,41000.00,42000.00,39960.00,40450.00,65231941000,1612684,1616,D,42060.00,40450.00
Bafgh.Mining,20210912,44570.00,44570.00,41910.00,42060.00,91815540850,2183000,1618,D,44110.00,42190.00
Bafgh.Mining,20210911,44000.00,44490.00,43090.00,44110.00,94541218630,2143266,1540,D,42450.00,44050.00
Bafgh.Mining,20210908,43650.00,43700.00,41820.00,42450.00,76054260710,1791803,2263,D,43080.00,42200.00
Bafgh.Mining,20210907,44950.00,44950.00,42160.00,43080.00,65894035430,1529620,1743,D,44020.00,42400.00
Bafgh.Mining,20210906,43210.00,45400.00,42160.00,44020.00,84491885550,1919273,2062,D,43510.00,43530.00
Bafgh.Mining,20210905,44470.00,44790.00,43040.00,43510.00,108133870590,2485237,2280,D,45300.00,43220.00
Bafgh.Mining,20210904,45700.00,46990.00,43800.00,45300.00,89238488600,1969956,1957,D,45260.00,45060.00
Bafgh.Mining,20210901,43000.00,45720.00,43000.00,45260.00,100591706990,2222549,1821,D,43550.00,45720.00
Bafgh.Mining,20210831,42570.00,46000.00,42570.00,43550.00,126245653260,2898671,2045,D,44810.00,43000.00
Bafgh.Mining,20210830,44780.00,45900.00,44780.00,44810.00,104730323180,2337243,1253,D,47130.00,44780.00
Bafgh.Mining,20210829,47000.00,48120.00,45000.00,47130.00,172559656960,3661224,3154,D,45830.00,45780.00
Bafgh.Mining,20210828,46000.00,47000.00,45000.00,45830.00,150142504980,3276182,2668,D,44830.00,47000.00
Bafgh.Mining,20210825,43330.00,46650.00,42910.00,44830.00,189710147110,4231968,3822,D,45000.00,45920.00
Bafgh.Mining,20210824,45850.00,46700.00,44000.00,45000.00,194276960310,4317437,3488,D,44580.00,44120.00
Bafgh.Mining,20210823,45100.00,45110.00,42010.00,44580.00,315206995720,7071113,4384,D,42970.00,45110.00
Bafgh.Mining,20210822,42970.00,42970.00,42970.00,42970.00,38517921270,896391,390,D,40930.00,42970.00
Bafgh.Mining,20210815,40930.00,40930.00,40930.00,40930.00,21166949500,517150,214,D,38990.00,40930.00
Bafgh.Mining,20210814,39080.00,39690.00,36910.00,38990.00,140840026570,3612217,2350,D,37800.00,39690.00
Bafgh.Mining,20210811,37790.00,38800.00,36330.00,37800.00,88488268850,2340899,1846,D,37060.00,38590.00
Bafgh.Mining,20210810,37380.00,37800.00,36260.00,37060.00,46885673810,1265239,1085,D,36820.00,37100.00
Bafgh.Mining,20210809,37600.00,37600.00,36100.00,36820.00,65167589710,1769847,1374,D,37030.00,37380.00
Bafgh.Mining,20210808,37400.00,37800.00,36000.00,37030.00,56107148430,1514985,1276,D,36140.00,37400.00
Bafgh.Mining,20210807,37000.00,37100.00,35610.00,36140.00,55356065520,1531617,1425,D,37390.00,36400.00
Bafgh.Mining,20210804,37800.00,38370.00,37240.00,37390.00,105500918400,2821504,2117,D,39190.00,37270.00
Bafgh.Mining,20210803,39750.00,39760.00,37500.00,39190.00,173941674220,4438187,2945,D,37870.00,38360.00
Bafgh.Mining,20210802,37890.00,37990.00,36850.00,37870.00,90430617940,2387910,1690,D,36190.00,37990.00
Bafgh.Mining,20210801,36200.00,37900.00,34410.00,36190.00,133712538650,3694451,3069,D,36220.00,37300.00
Bafgh.Mining,20210731,35000.00,37150.00,35000.00,36220.00,66148856510,1826204,1605,D,35830.00,35700.00
Bafgh.Mining,20210728,37570.00,37570.00,35710.00,35830.00,85382676310,2382839,2093,D,37580.00,35720.00
Bafgh.Mining,20210727,38690.00,38690.00,35980.00,37580.00,82458960590,2194233,1927,D,37650.00,36670.00
Bafgh.Mining,20210726,37600.00,37990.00,37330.00,37650.00,34393732560,913480,544,D,37240.00,37910.00
Bafgh.Mining,20210714,36900.00,37430.00,36060.00,37340.00,150170832690,4021732,2402,D,35650.00,37430.00
Bafgh.Mining,20210713,35310.00,36700.00,34000.00,35650.00,94593661750,2653623,2414,D,35510.00,36660.00
Bafgh.Mining,20210712,36970.00,36970.00,34970.00,35510.00,94547294070,2662209,2173,D,36810.00,35010.00
Bafgh.Mining,20210711,36650.00,37440.00,36010.00,36810.00,37967988330,1031360,1109,D,35990.00,36760.00
Bafgh.Mining,20210710,36000.00,37900.00,35660.00,35990.00,75028161750,2084516,1732,D,37530.00,36070.00
Bafgh.Mining,20210707,38400.00,38400.00,36400.00,37530.00,61700500110,1644047,1501,D,37620.00,36700.00
Bafgh.Mining,20210706,37600.00,37740.00,36710.00,37620.00,47804436360,1270786,852,D,35950.00,37740.00
Bafgh.Mining,20210705,34920.00,36640.00,34920.00,35950.00,57747701090,1606182,1650,D,35210.00,36400.00
Bafgh.Mining,20210704,35520.00,37000.00,35130.00,35210.00,100911003230,2865638,2109,D,36970.00,35130.00
Bafgh.Mining,20210703,36910.00,38410.00,36700.00,36970.00,105716852180,2859302,2054,D,38630.00,36700.00
Bafgh.Mining,20210630,38350.00,40650.00,37790.00,38630.00,80658476230,2087779,2039,D,39760.00,37950.00
Bafgh.Mining,20210629,39500.00,41990.00,39260.00,39760.00,124835616420,3139337,2492,D,41320.00,39260.00
Bafgh.Mining,20210628,43450.00,43450.00,39880.00,41320.00,160321697780,3879779,3376,D,41560.00,40750.00
Bafgh.Mining,20210627,41550.00,41660.00,40200.00,41560.00,104048357030,2503283,1845,D,39680.00,41660.00
Bafgh.Mining,20210626,38470.00,42000.00,38470.00,39680.00,321716197280,8108017,5551,D,40490.00,41320.00
Bafgh.Mining,20210623,38950.00,38950.00,38950.00,40490.00,4739747600,121688,144,D,41000.00,38950.00
Bafgh.Mining,20210622,39520.00,39520.00,39520.00,41000.00,5496283520,139076,122,D,41590.00,39520.00
Bafgh.Mining,20210621,39730.00,39730.00,39730.00,41590.00,2168662050,54585,55,D,41820.00,39730.00
Bafgh.Mining,20210620,39860.00,39860.00,39860.00,41820.00,1171923860,29401,31,D,41950.00,39860.00
Bafgh.Mining,20210619,40140.00,40140.00,40140.00,41950.00,2789328600,69490,53,D,42250.00,40140.00
Bafgh.Mining,20210616,40210.00,40210.00,40210.00,42250.00,678302490,16869,20,D,42320.00,40210.00
Bafgh.Mining,20210615,40230.00,40230.00,40230.00,42320.00,205213230,5101,16,D,42340.00,40230.00
Bafgh.Mining,20210614,40290.00,40290.00,40290.00,42340.00,622037310,15439,20,D,42410.00,40290.00
Bafgh.Mining,20210613,40470.00,40470.00,40470.00,42410.00,1742921490,43067,25,D,42600.00,40470.00
Bafgh.Mining,20210612,40510.00,40510.00,40510.00,42600.00,335908920,8292,22,D,42640.00,40510.00
Bafgh.Mining,20210609,40540.00,40540.00,40540.00,42640.00,288928580,7127,18,D,42670.00,40540.00
Bafgh.Mining,20210608,40650.00,40650.00,40650.00,42670.00,981941400,24156,34,D,42780.00,40650.00
Bafgh.Mining,20210607,40680.00,40680.00,40680.00,42780.00,372588120,9159,25,D,42820.00,40680.00
Bafgh.Mining,20210602,41020.00,41020.00,41020.00,42820.00,3287547900,80145,94,D,43170.00,41020.00
Bafgh.Mining,20210601,41040.00,41040.00,41040.00,43170.00,259454880,6322,17,D,43200.00,41040.00
Bafgh.Mining,20210531,41090.00,41090.00,41090.00,43200.00,455071750,11075,19,D,43250.00,41090.00
Bafgh.Mining,20210530,42560.00,42560.00,42560.00,43250.00,14283093440,335599,85,D,44790.00,42560.00
Bafgh.Mining,20210529,42770.00,42770.00,42770.00,44790.00,2109330860,49318,118,D,45020.00,42770.00
Bafgh.Mining,20210526,44270.00,44270.00,44270.00,45020.00,14529856700,328210,73,D,46590.00,44270.00
Bafgh.Mining,20210525,44280.00,44280.00,44280.00,46590.00,230034600,5195,12,D,46610.00,44280.00
Bafgh.Mining,20210524,44290.00,44290.00,44290.00,46610.00,66036390,1491,9,D,46620.00,44290.00
Bafgh.Mining,20210523,44290.00,44290.00,44290.00,46620.00,36096350,815,5,D,46620.00,44290.00
Bafgh.Mining,20210522,44310.00,44310.00,44310.00,46620.00,152027610,3431,8,D,46640.00,44310.00
Bafgh.Mining,20210519,44330.00,44330.00,44330.00,46640.00,159366350,3595,11,D,46660.00,44330.00
Bafgh.Mining,20210518,45410.00,45410.00,45410.00,46660.00,10489664590,230999,44,D,47800.00,45410.00
Bafgh.Mining,20210517,45440.00,45440.00,45440.00,47800.00,263779200,5805,16,D,47830.00,45440.00
Bafgh.Mining,20210516,45470.00,45470.00,45470.00,47830.00,276366660,6078,20,D,47860.00,45470.00
Bafgh.Mining,20210515,45780.00,45780.00,45780.00,47860.00,2975333760,64992,46,D,48180.00,45780.00
Bafgh.Mining,20210512,46830.00,46830.00,46830.00,48180.00,2889645150,61705,26,D,48270.00,46830.00
Bafgh.Mining,20210511,46860.00,46860.00,46860.00,48270.00,1018220940,21729,35,D,48300.00,46860.00
