<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kerman.Tire,20210921,24500.00,25240.00,24210.00,24310.00,32526020080,1338021,316,D,25480.00,24220.00
Kerman.Tire,20210920,24640.00,25990.00,24640.00,25480.00,7803213270,311083,272,D,25650.00,24810.00
Kerman.Tire,20210919,25700.00,26000.00,24470.00,25650.00,33402009140,1302441,283,D,25730.00,25460.00
Kerman.Tire,20210918,26900.00,26900.00,25390.00,25730.00,31528798620,1225459,351,D,26720.00,25400.00
Kerman.Tire,20210915,26610.00,27000.00,26230.00,26720.00,15837786270,599475,388,D,27170.00,26400.00
Kerman.Tire,20210914,27080.00,27830.00,26820.00,27170.00,14221468130,525444,411,D,27290.00,26970.00
Kerman.Tire,20210913,26890.00,27990.00,26230.00,27290.00,12772961480,474240,243,D,27610.00,27150.00
Kerman.Tire,20210912,27200.00,28700.00,26880.00,27610.00,14711097610,544315,360,D,28280.00,27210.00
Kerman.Tire,20210911,28520.00,29450.00,27200.00,28280.00,30306132230,1071757,442,D,28520.00,27820.00
Kerman.Tire,20210908,28450.00,29230.00,28200.00,28520.00,19231176500,671672,445,D,28310.00,28400.00
Kerman.Tire,20210907,27890.00,28850.00,27890.00,28310.00,24816041940,881419,531,D,29340.00,27910.00
Kerman.Tire,20210906,29400.00,29800.00,28500.00,29340.00,26275925810,896565,487,D,29580.00,28830.00
Kerman.Tire,20210905,27610.00,29910.00,27610.00,29580.00,45460085120,1536692,654,D,28490.00,29790.00
Kerman.Tire,20210904,29430.00,29430.00,27500.00,28490.00,23194442330,814155,485,D,28470.00,28470.00
Kerman.Tire,20210901,27300.00,28650.00,26640.00,28470.00,84539569380,2969535,530,D,27290.00,28650.00
Kerman.Tire,20210831,26880.00,28250.00,26880.00,27290.00,37574235470,1376683,569,D,28290.00,27480.00
Kerman.Tire,20210830,28140.00,29540.00,28120.00,28290.00,65863828190,2328214,491,D,29600.00,28120.00
Kerman.Tire,20210829,30550.00,30600.00,28680.00,29600.00,59668008690,2015963,1070,D,30180.00,29000.00
Kerman.Tire,20210828,30660.00,30660.00,29680.00,30180.00,88061324320,2917408,1335,D,29750.00,30170.00
Kerman.Tire,20210825,29700.00,30440.00,29320.00,29750.00,59034941180,1984525,1061,D,30590.00,29630.00
Kerman.Tire,20210824,32000.00,32000.00,30010.00,30590.00,82425974090,2694511,1425,D,30660.00,30300.00
Kerman.Tire,20210823,30500.00,31030.00,29000.00,30660.00,90460428740,2950745,1132,D,29560.00,30970.00
Kerman.Tire,20210822,28650.00,29640.00,28500.00,29560.00,113763754990,3848555,896,D,28230.00,29640.00
