<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Nahad.Mali.Energy,20210124,365650.00,365650.00,365650.00,384790.00,466569400,1276,9,D,384890.00,365650.00
Nahad.Mali.Energy,20201213,360570.00,360570.00,360570.00,379450.00,396987570,1101,8,D,379540.00,360570.00
Nahad.Mali.Energy,20201123,266890.00,266890.00,266890.00,280920.00,46705750,175,1,D,280930.00,266890.00
Nahad.Mali.Energy,20200916,441340.00,441340.00,441340.00,464510.00,220670000,500,1,D,464560.00,441340.00
Nahad.Mali.Energy,20200726,320620.00,320620.00,320620.00,337450.00,160310000,500,1,D,337490.00,320620.00
Nahad.Mali.Energy,20200713,247900.00,247900.00,247900.00,260920.00,74370000,300,1,D,260940.00,247900.00
Nahad.Mali.Energy,20200706,214830.00,214830.00,214830.00,224040.00,10741500000,50000,1,D,226130.00,214830.00
Nahad.Mali.Energy,20200705,204610.00,204610.00,204610.00,215350.00,102305000,500,1,D,215370.00,204610.00
Nahad.Mali.Energy,20200701,188730.00,188730.00,188730.00,185320.00,14928543000,79100,13,D,183920.00,188730.00
Nahad.Mali.Energy,20200630,203260.00,183920.00,183920.00,183920.00,88097680000,479000,21,D,193590.00,183920.00
