<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Behnoush.Iran,20210921,72290.00,72290.00,65410.00,70800.00,146769700890,2073070,2197,D,68850.00,72290.00
Behnoush.Iran,20210920,65550.00,69240.00,65550.00,68850.00,81213210720,1179493,978,D,65950.00,69240.00
Behnoush.Iran,20210919,66230.00,68940.00,65540.00,65950.00,144122147060,2185207,1595,D,68980.00,65550.00
Behnoush.Iran,20210918,68960.00,70000.00,68940.00,68980.00,43250478070,627011,512,D,72560.00,68940.00
Behnoush.Iran,20210915,74590.00,75000.00,72390.00,72560.00,76725709230,1057414,806,D,76190.00,72390.00
Behnoush.Iran,20210912,76190.00,76190.00,76190.00,76190.00,28533840710,374509,311,D,80200.00,76190.00
Behnoush.Iran,20210911,82160.00,83390.00,79290.00,80200.00,71800457340,895214,921,D,83460.00,79290.00
Behnoush.Iran,20210908,85000.00,87300.00,81630.00,83460.00,95334876520,1142279,1918,D,85820.00,82800.00
Behnoush.Iran,20210907,85000.00,88650.00,84010.00,85820.00,98821908000,1151462,1963,D,87600.00,84740.00
Behnoush.Iran,20210906,86000.00,88290.00,84620.00,87600.00,255867530330,2920975,2953,D,84090.00,85500.00
Behnoush.Iran,20210905,82500.00,86700.00,81400.00,84090.00,112043109870,1332372,1870,D,83150.00,85210.00
Behnoush.Iran,20210904,85890.00,87330.00,81560.00,83150.00,219131162270,2635485,3311,D,85850.00,83150.00
Behnoush.Iran,20210901,86980.00,87480.00,83130.00,85850.00,236552204540,2755387,3070,D,83320.00,84000.00
Behnoush.Iran,20210831,80000.00,84550.00,76600.00,83320.00,243157065700,2918234,2286,D,80530.00,84550.00
Behnoush.Iran,20210830,80010.00,82210.00,76020.00,80530.00,405907307380,5040139,3674,D,78300.00,77820.00
Behnoush.Iran,20210829,78720.00,78720.00,75260.00,78300.00,260569312270,3327697,1830,D,74980.00,78720.00
Behnoush.Iran,20210828,74980.00,74980.00,74980.00,74980.00,23764686060,316947,160,D,71410.00,74980.00
Behnoush.Iran,20210825,71410.00,71410.00,71410.00,71410.00,75012705910,1050451,273,D,68010.00,71410.00
Behnoush.Iran,20210824,65600.00,68080.00,65600.00,68010.00,104707019590,1539496,861,D,64840.00,68080.00
Behnoush.Iran,20210823,62670.00,65510.00,62670.00,64840.00,36158283320,557687,722,D,64010.00,65120.00
Behnoush.Iran,20210822,62990.00,65240.00,62790.00,64010.00,50184519610,784014,941,D,62650.00,64000.00
Behnoush.Iran,20210815,63000.00,63500.00,62120.00,62650.00,34513995880,550936,722,D,62880.00,62990.00
Behnoush.Iran,20210814,65050.00,65050.00,60840.00,62880.00,46755703390,743611,810,D,64040.00,64280.00
Behnoush.Iran,20210811,66890.00,66890.00,62590.00,64040.00,35804121300,559100,832,D,63800.00,64100.00
Behnoush.Iran,20210810,63670.00,65990.00,61000.00,63800.00,64546455720,1011719,1221,D,63200.00,65100.00
Behnoush.Iran,20210809,60410.00,63990.00,60410.00,63200.00,41237480520,652497,775,D,60950.00,63670.00
Behnoush.Iran,20210808,60800.00,61900.00,60000.00,60950.00,23052436330,378205,617,D,59400.00,61150.00
Behnoush.Iran,20210807,60330.00,61850.00,57520.00,59400.00,33800790550,569016,707,D,59540.00,60800.00
Behnoush.Iran,20210804,60260.00,61200.00,58030.00,59540.00,49953277120,839020,926,D,60260.00,61100.00
Behnoush.Iran,20210803,61000.00,61000.00,59110.00,60260.00,27175982110,450986,638,D,59070.00,59530.00
Behnoush.Iran,20210802,57500.00,60680.00,57500.00,59070.00,34450624630,583176,875,D,58690.00,60550.00
Behnoush.Iran,20210801,61500.00,61500.00,58000.00,58690.00,17912599290,305232,637,D,60040.00,58110.00
Behnoush.Iran,20210731,59500.00,62070.00,58150.00,60040.00,23302061660,388119,639,D,60790.00,59150.00
Behnoush.Iran,20210728,59860.00,62910.00,59860.00,60790.00,29538098810,485910,596,D,62990.00,60500.00
Behnoush.Iran,20210727,66450.00,66790.00,61990.00,62990.00,42003054280,666820,783,D,65250.00,61990.00
Behnoush.Iran,20210726,64900.00,66660.00,63480.00,65250.00,42785981330,655693,989,D,63610.00,66190.00
Behnoush.Iran,20210719,62360.00,65000.00,62360.00,63610.00,16555145740,260248,424,D,60920.00,63540.00
Behnoush.Iran,20210714,62000.00,65300.00,62000.00,63440.00,47456051670,748090,1182,D,63110.00,63010.00
Behnoush.Iran,20210713,63000.00,64340.00,61600.00,63110.00,49149038580,778776,717,D,63240.00,63510.00
Behnoush.Iran,20210712,65940.00,65940.00,61710.00,63240.00,34155746190,540097,801,D,63690.00,62450.00
Behnoush.Iran,20210711,63200.00,64570.00,62160.00,63690.00,29360253710,461005,717,D,62150.00,64380.00
Behnoush.Iran,20210710,63710.00,64000.00,61500.00,62150.00,39335779200,632882,1047,D,64730.00,63200.00
Behnoush.Iran,20210707,64000.00,68890.00,62680.00,64730.00,57140086630,882738,1173,D,65970.00,63710.00
Behnoush.Iran,20210706,63950.00,66820.00,63910.00,65970.00,81117045680,1229601,1215,D,63640.00,66800.00
Behnoush.Iran,20210705,61080.00,67000.00,61080.00,63640.00,98545738040,1548546,1781,D,64270.00,65280.00
Behnoush.Iran,20210704,65830.00,65830.00,62980.00,64270.00,71365140140,1110464,1407,D,62720.00,63660.00
Behnoush.Iran,20210703,61100.00,62970.00,61000.00,62720.00,72970171340,1163385,1134,D,59980.00,62970.00
Behnoush.Iran,20210630,60000.00,60150.00,58250.00,59980.00,58612158290,977223,853,D,57290.00,60150.00
Behnoush.Iran,20210629,55100.00,58230.00,53000.00,57290.00,79126983050,1381104,1488,D,55460.00,58230.00
Behnoush.Iran,20210628,57850.00,57850.00,55070.00,55460.00,72093396780,1300021,1770,D,57960.00,55100.00
Behnoush.Iran,20210627,59800.00,60000.00,56350.00,57960.00,73460384690,1267515,1972,D,59150.00,56610.00
Behnoush.Iran,20210626,59230.00,59380.00,57600.00,59150.00,106949125140,1807994,1918,D,56560.00,59380.00
Behnoush.Iran,20210623,56260.00,57220.00,56260.00,56560.00,119884200750,2119773,1813,D,59220.00,57220.00
Behnoush.Iran,20210622,57240.00,57240.00,57240.00,59220.00,4572102240,79876,121,D,60250.00,57240.00
Behnoush.Iran,20210621,57600.00,57600.00,57600.00,60250.00,7885612800,136903,154,D,64000.00,57600.00
Behnoush.Iran,20210620,60930.00,60930.00,60930.00,64000.00,565491330,9281,15,D,64130.00,60930.00
Behnoush.Iran,20210619,60960.00,60960.00,60960.00,64130.00,146974560,2411,16,D,64160.00,60960.00
Behnoush.Iran,20210616,60980.00,60980.00,60980.00,64160.00,82993780,1361,6,D,64180.00,60980.00
Behnoush.Iran,20210615,61010.00,61010.00,61010.00,64180.00,197245330,3233,5,D,64220.00,61010.00
Behnoush.Iran,20210614,61030.00,61030.00,61030.00,64220.00,103384820,1694,5,D,64240.00,61030.00
Behnoush.Iran,20210613,61050.00,61050.00,61050.00,64240.00,79853400,1308,8,D,64260.00,61050.00
Behnoush.Iran,20210612,61080.00,61080.00,61080.00,64260.00,145431480,2381,8,D,64290.00,61080.00
Behnoush.Iran,20210609,61130.00,61130.00,61130.00,64290.00,217928450,3565,9,D,64340.00,61130.00
Behnoush.Iran,20210608,61220.00,61220.00,61220.00,64340.00,423948500,6925,15,D,64440.00,61220.00
Behnoush.Iran,20210607,61280.00,61280.00,61280.00,64440.00,262952480,4291,14,D,64500.00,61280.00
Behnoush.Iran,20210602,61700.00,61700.00,61700.00,64500.00,7941653800,128714,200,D,68550.00,61700.00
Behnoush.Iran,20210601,65140.00,65140.00,65140.00,68550.00,58626000,900,4,D,68560.00,65140.00
Behnoush.Iran,20210531,65160.00,65160.00,65160.00,68560.00,70959240,1089,3,D,68580.00,65160.00
Behnoush.Iran,20210530,65190.00,65190.00,65190.00,68580.00,180706680,2772,17,D,68620.00,65190.00
Behnoush.Iran,20210529,65380.00,65380.00,65380.00,68620.00,807966040,12358,26,D,68820.00,65380.00
Behnoush.Iran,20210526,65400.00,65400.00,65400.00,68820.00,78153000,1195,6,D,68840.00,65400.00
Behnoush.Iran,20210525,65420.00,65420.00,65420.00,68840.00,62868620,961,4,D,68860.00,65420.00
Behnoush.Iran,20210524,65420.00,65420.00,65420.00,68860.00,11775600,180,3,D,68860.00,65420.00
Behnoush.Iran,20210523,65420.00,65420.00,65420.00,68860.00,17532560,268,3,D,68860.00,65420.00
Behnoush.Iran,20210522,65420.00,65420.00,65420.00,68860.00,19626000,300,2,D,68860.00,65420.00
Behnoush.Iran,20210519,65420.00,65420.00,65420.00,68860.00,17009200,260,3,D,68860.00,65420.00
Behnoush.Iran,20210518,64260.00,64260.00,64260.00,68860.00,4787562780,74503,101,D,71400.00,64260.00
Behnoush.Iran,20210517,67830.00,67830.00,67830.00,71400.00,11802420,174,2,D,71400.00,67830.00
Behnoush.Iran,20210516,67900.00,67900.00,67900.00,71400.00,284229400,4186,11,D,71470.00,67900.00
Behnoush.Iran,20210515,67930.00,67930.00,67930.00,71470.00,134297610,1977,8,D,71500.00,67930.00
Behnoush.Iran,20210512,69360.00,69360.00,69360.00,71500.00,17270640,249,2,D,71500.00,69360.00
Behnoush.Iran,20210511,69360.00,69360.00,69360.00,71500.00,45846960,661,6,D,71500.00,69360.00
Behnoush.Iran,20210510,69380.00,69380.00,69380.00,71500.00,412186580,5941,10,D,71520.00,69380.00
Behnoush.Iran,20210509,69390.00,69390.00,69390.00,71520.00,208447560,3004,3,D,71530.00,69390.00
Behnoush.Iran,20210508,69390.00,69390.00,69390.00,71530.00,32821470,473,2,D,71530.00,69390.00
Behnoush.Iran,20210505,69410.00,69410.00,69410.00,71530.00,395706410,5701,5,D,71550.00,69410.00
Behnoush.Iran,20210503,69410.00,69410.00,69410.00,71550.00,26306390,379,3,D,71550.00,69410.00
Behnoush.Iran,20210502,69410.00,69410.00,69410.00,71550.00,47684670,687,2,D,71550.00,69410.00
Behnoush.Iran,20210501,69410.00,69410.00,69410.00,71550.00,63648970,917,2,D,71550.00,69410.00
Behnoush.Iran,20210428,69420.00,69420.00,69420.00,71550.00,283997220,4091,12,D,71560.00,69420.00
Behnoush.Iran,20210427,69430.00,69430.00,69430.00,71560.00,216621600,3120,6,D,71570.00,69430.00
Behnoush.Iran,20210426,69440.00,69440.00,69440.00,71570.00,309494080,4457,9,D,71580.00,69440.00
Behnoush.Iran,20210425,69440.00,69440.00,69440.00,71580.00,102562880,1477,6,D,71580.00,69440.00
Behnoush.Iran,20210424,69440.00,69440.00,69440.00,71580.00,37705920,543,3,D,71580.00,69440.00
Behnoush.Iran,20210421,69440.00,69440.00,69440.00,71580.00,45899840,661,5,D,71580.00,69440.00
Behnoush.Iran,20210420,70150.00,70150.00,70150.00,71580.00,26657000,380,2,D,71580.00,70150.00
Behnoush.Iran,20210419,70150.00,70150.00,70150.00,71580.00,71061950,1013,4,D,71580.00,70150.00
Behnoush.Iran,20210418,70150.00,70150.00,70150.00,71580.00,48754250,695,3,D,71580.00,70150.00
Behnoush.Iran,20210417,70150.00,70150.00,70150.00,71580.00,31146600,444,3,D,71580.00,70150.00
Behnoush.Iran,20210414,70160.00,70160.00,70160.00,71580.00,349817760,4986,11,D,71590.00,70160.00
Behnoush.Iran,20210413,70180.00,70180.00,70180.00,71590.00,654919760,9332,20,D,71610.00,70180.00
