<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Good.Exch.Brk.,20210525,29480.00,29480.00,29480.00,30870.00,2948000000,100000,1,D,31030.00,29480.00
Good.Exch.Brk.,20210523,29540.00,29540.00,29540.00,30930.00,2954000000,100000,1,D,31090.00,29540.00
Good.Exch.Brk.,20210516,29800.00,29800.00,29800.00,30810.00,10430000000,350000,7,D,31360.00,29800.00
Good.Exch.Brk.,20210501,31470.00,31470.00,31470.00,32050.00,19442889810,617823,7,D,32440.00,31470.00
Good.Exch.Brk.,20210419,31920.00,31920.00,31920.00,32520.00,3830400000,120000,3,D,32570.00,31920.00
Good.Exch.Brk.,20210418,32620.00,32620.00,31970.00,32410.00,32295000000,1000000,10,D,32620.00,31970.00
Good.Exch.Brk.,20210123,40210.00,40210.00,40210.00,40210.00,763990,19,1,D,40210.00,40210.00
Good.Exch.Brk.,20200811,70080.00,70080.00,70080.00,72410.00,4555200000,65000,1,D,72570.00,70080.00
Good.Exch.Brk.,20200726,67260.00,67260.00,67260.00,70790.00,33630000,500,1,D,70790.00,67260.00
Good.Exch.Brk.,20200615,79510.00,79510.00,79510.00,83530.00,2244408280,28228,1,D,83690.00,79510.00
Good.Exch.Brk.,20200608,83768.00,83768.00,83768.00,87822.00,4998771632,59674,2,D,88176.00,83768.00
Good.Exch.Brk.,20200219,47885.00,47885.00,47885.00,45651.00,239425000,5000,1,D,45605.00,47885.00
Good.Exch.Brk.,20200119,23994.00,23994.00,23994.00,23994.00,27033224004,1126666,41,D,22865.00,23994.00
Good.Exch.Brk.,20191217,19150.00,19150.00,19150.00,18973.00,9575000000,500000,5,D,18252.00,19150.00
Good.Exch.Brk.,20191216,18360.00,18360.00,18360.00,18049.00,7344000000,400000,16,D,17490.00,18360.00
Good.Exch.Brk.,20191210,15070.00,14802.00,14802.00,15348.00,2960400000,200000,4,D,15581.00,14802.00
Good.Exch.Brk.,20191204,15500.00,14617.00,14617.00,14953.00,5847881658,400074,7,D,15386.00,14617.00
Good.Exch.Brk.,20191202,14270.00,13783.00,13783.00,14133.00,5074239016,368152,7,D,14508.00,13783.00
Good.Exch.Brk.,20190930,14559.00,14559.00,14559.00,13866.00,7133910,490,1,D,13866.00,14559.00
Good.Exch.Brk.,20190923,14170.00,14390.00,14170.00,14390.00,19911565440,1383716,15,D,13977.00,14390.00
Good.Exch.Brk.,20190914,14302.00,14970.00,14306.00,14273.00,224721672,15012,2,D,14258.00,14970.00
Good.Exch.Brk.,20190413,9770.00,9770.00,9770.00,9347.00,390809770,40001,2,D,9310.00,9770.00
Good.Exch.Brk.,20190409,8340.00,8340.00,8340.00,8340.00,13816369260,1656639,17,D,8522.00,8340.00
