<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*TehranStockExch.,20210719,37290.00,37400.00,35370.00,36490.00,477162069510,13074983,5706,D,36580.00,37000.00
S*TehranStockExch.,20210718,37000.00,37500.00,36480.00,36580.00,445838985930,12188619,4561,D,38400.00,36480.00
S*TehranStockExch.,20210717,39900.00,40300.00,36840.00,38400.00,571621896930,14885516,7377,D,38460.00,37250.00
S*TehranStockExch.,20210714,37460.00,38940.00,37450.00,38460.00,344101417350,8946813,2352,D,37090.00,38940.00
S*TehranStockExch.,20210713,34300.00,37320.00,34300.00,37090.00,613915837250,16550313,4494,D,35550.00,37320.00
S*TehranStockExch.,20210712,36300.00,36890.00,35060.00,35550.00,324474762040,9127777,4558,D,36900.00,35060.00
S*TehranStockExch.,20210711,38400.00,38400.00,35400.00,36900.00,713273834810,19330482,7065,D,36950.00,36000.00
S*TehranStockExch.,20210710,36970.00,36970.00,36970.00,36950.00,58505061970,1582501,346,D,35210.00,36970.00
S*TehranStockExch.,20210706,36020.00,36020.00,36020.00,35210.00,30174638380,837719,112,D,34310.00,36020.00
S*TehranStockExch.,20210705,34310.00,34310.00,34310.00,34310.00,61076706330,1780143,314,D,32680.00,34310.00
S*TehranStockExch.,20210704,30790.00,34030.00,30790.00,32680.00,467502182330,14307015,3971,D,32410.00,34030.00
S*TehranStockExch.,20210703,33300.00,33300.00,32290.00,32410.00,165189969340,5096201,2215,D,33980.00,32290.00
S*TehranStockExch.,20210630,34140.00,34140.00,32700.00,33980.00,709618121170,20883108,5182,D,32520.00,33260.00
S*TehranStockExch.,20210629,32520.00,32520.00,32520.00,32520.00,74142250440,2279897,336,D,30980.00,32520.00
S*TehranStockExch.,20210628,31000.00,32110.00,29070.00,30980.00,497765899090,16067174,4518,D,30590.00,32110.00
S*TehranStockExch.,20210627,30610.00,30610.00,30080.00,30590.00,418787689360,13690658,2216,D,29160.00,30610.00
S*TehranStockExch.,20210626,29210.00,29210.00,29210.00,29160.00,45192602020,1547162,249,D,27820.00,29210.00
S*TehranStockExch.,20210623,27820.00,27820.00,27820.00,27820.00,44681507260,1606093,258,D,26500.00,27820.00
S*TehranStockExch.,20210622,26800.00,26800.00,26800.00,26500.00,32681501200,1219459,191,D,25530.00,26800.00
S*TehranStockExch.,20210621,25590.00,25590.00,25590.00,25530.00,38813043930,1516727,338,D,24380.00,25590.00
S*TehranStockExch.,20210620,24600.00,24650.00,23830.00,24380.00,171248595010,7025242,2537,D,23480.00,24650.00
S*TehranStockExch.,20210619,21920.00,24220.00,21920.00,23480.00,459371136070,19567581,5133,D,23070.00,24220.00
S*TehranStockExch.,20210616,22300.00,22300.00,22300.00,23070.00,12055647600,540612,123,D,23470.00,22300.00
S*TehranStockExch.,20210615,22920.00,22920.00,22920.00,23470.00,19898387640,868167,122,D,24120.00,22920.00
S*TehranStockExch.,20210614,23490.00,23490.00,23490.00,24120.00,18391166640,782936,129,D,24720.00,23490.00
S*TehranStockExch.,20210613,23810.00,23810.00,23810.00,24720.00,10311991950,433095,58,D,25060.00,23810.00
S*TehranStockExch.,20210612,24130.00,24130.00,24130.00,25060.00,10248011000,424700,76,D,25400.00,24130.00
S*TehranStockExch.,20210609,24610.00,24610.00,24610.00,25400.00,15247642310,619571,138,D,25900.00,24610.00
S*TehranStockExch.,20210608,25370.00,25370.00,25370.00,25900.00,24552020460,967758,234,D,26700.00,25370.00
S*TehranStockExch.,20210607,25800.00,25800.00,25800.00,26700.00,13682694600,530337,145,D,27150.00,25800.00
S*TehranStockExch.,20210602,26200.00,26200.00,26200.00,27150.00,12837240200,489971,107,D,27570.00,26200.00
S*TehranStockExch.,20210601,26540.00,26540.00,26540.00,27570.00,10987878480,414012,62,D,27930.00,26540.00
S*TehranStockExch.,20210531,26920.00,26920.00,26920.00,27930.00,12308443160,457223,60,D,28330.00,26920.00
S*TehranStockExch.,20210530,27220.00,27220.00,27220.00,28330.00,9855980920,362086,140,D,28650.00,27220.00
S*TehranStockExch.,20210529,27570.00,27570.00,27570.00,28650.00,11164113090,404937,232,D,29020.00,27570.00
S*TehranStockExch.,20210526,27590.00,27590.00,27590.00,29020.00,534363120,19368,35,D,29040.00,27590.00
S*TehranStockExch.,20210525,27660.00,27660.00,27660.00,29040.00,2019401280,73008,38,D,29110.00,27660.00
S*TehranStockExch.,20210524,28000.00,28000.00,28000.00,29110.00,10917648000,389916,40,D,29470.00,28000.00
S*TehranStockExch.,20210523,28350.00,28350.00,28350.00,29470.00,11126155950,392457,48,D,29840.00,28350.00
S*TehranStockExch.,20210522,29160.00,29160.00,29160.00,29840.00,25900670160,888226,56,D,30690.00,29160.00
S*TehranStockExch.,20210519,30590.00,30590.00,30590.00,30690.00,45826206020,1498078,72,D,32200.00,30590.00
S*TehranStockExch.,20210518,31000.00,31000.00,31000.00,32200.00,13147844000,424124,28,D,32630.00,31000.00
S*TehranStockExch.,20210517,31400.00,31400.00,31400.00,32630.00,12834655800,408747,31,D,33050.00,31400.00
S*TehranStockExch.,20210516,31480.00,31480.00,31480.00,33050.00,2483772000,78900,30,D,33130.00,31480.00
S*TehranStockExch.,20210515,31880.00,31880.00,31880.00,33130.00,12882421080,404091,58,D,33550.00,31880.00
S*TehranStockExch.,20210512,32890.00,32890.00,32890.00,33550.00,18148142870,551783,48,D,33900.00,32890.00
S*TehranStockExch.,20210511,32920.00,32920.00,32920.00,33900.00,1452627920,44126,65,D,33930.00,32920.00
S*TehranStockExch.,20210510,33150.00,33150.00,33150.00,33930.00,12698936250,383075,41,D,34170.00,33150.00
S*TehranStockExch.,20210509,33380.00,33380.00,33380.00,34170.00,12697685240,380398,24,D,34410.00,33380.00
S*TehranStockExch.,20210508,33630.00,33630.00,33630.00,34410.00,12891522420,383334,27,D,34660.00,33630.00
S*TehranStockExch.,20210505,33870.00,33870.00,33870.00,34660.00,13147859820,388186,39,D,34910.00,33870.00
S*TehranStockExch.,20210503,33880.00,33880.00,33880.00,34910.00,308545160,9107,11,D,34920.00,33880.00
S*TehranStockExch.,20210502,33880.00,33880.00,33880.00,34920.00,74129440,2188,12,D,34920.00,33880.00
S*TehranStockExch.,20210501,33900.00,33900.00,33900.00,34920.00,1187245800,35022,13,D,34940.00,33900.00
S*TehranStockExch.,20210428,34170.00,34170.00,34170.00,34940.00,14706357960,430388,72,D,35220.00,34170.00
S*TehranStockExch.,20210427,34190.00,34190.00,34190.00,35220.00,789412910,23089,45,D,35240.00,34190.00
