<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Butane.Group,20210921,57550.00,62500.00,57280.00,58500.00,25995087800,444344,449,D,60290.00,57890.00
Butane.Group,20210920,62500.00,64900.00,59380.00,60290.00,33712823860,559194,392,D,60310.00,59380.00
Butane.Group,20210918,63640.00,65340.00,59820.00,60310.00,28053751670,465141,378,D,62960.00,61190.00
Butane.Group,20210915,65070.00,65080.00,62820.00,62960.00,75250139200,1195223,781,D,66120.00,62820.00
Butane.Group,20210914,66680.00,67940.00,63410.00,66120.00,16852058640,254346,384,D,64840.00,65330.00
Butane.Group,20210913,65680.00,68400.00,63610.00,64840.00,15530803450,240828,393,D,66950.00,63810.00
Butane.Group,20210912,72770.00,72770.00,66640.00,66950.00,19865973280,296730,398,D,70140.00,66640.00
Butane.Group,20210911,69060.00,71390.00,69000.00,70140.00,40399308130,576006,561,D,69090.00,70600.00
Butane.Group,20210908,69010.00,70900.00,67610.00,69090.00,26288764140,380480,552,D,69140.00,70200.00
Butane.Group,20210907,66010.00,71400.00,65000.00,69140.00,30739323810,444608,647,D,68070.00,70900.00
Butane.Group,20210906,68850.00,70000.00,66210.00,68070.00,32660459840,479803,684,D,66870.00,66900.00
Butane.Group,20210905,67440.00,68980.00,63130.00,66870.00,31817556600,475808,629,D,65770.00,68840.00
Butane.Group,20210904,65150.00,66970.00,65000.00,65770.00,23621558680,359154,479,D,63800.00,66150.00
Butane.Group,20210901,61770.00,64280.00,61320.00,63800.00,35905514740,562823,379,D,61220.00,64280.00
Butane.Group,20210831,59720.00,64840.00,59720.00,61220.00,43397906120,708842,676,D,62860.00,61620.00
Butane.Group,20210830,61880.00,64980.00,61880.00,62860.00,26805105220,426402,522,D,65130.00,61880.00
Butane.Group,20210829,67000.00,67480.00,62000.00,65130.00,43456804530,667188,784,D,64790.00,62200.00
Butane.Group,20210828,64000.00,65640.00,61560.00,64790.00,61998446610,956927,723,D,62520.00,65640.00
Butane.Group,20210825,63500.00,64120.00,61000.00,62520.00,24045336690,384617,472,D,61810.00,63130.00
Butane.Group,20210824,60010.00,62120.00,58020.00,61810.00,34294797130,554871,596,D,59170.00,62120.00
Butane.Group,20210823,62600.00,62730.00,58510.00,59170.00,65836119800,1112713,921,D,61580.00,59000.00
Butane.Group,20210822,62670.00,62670.00,59910.00,61580.00,35964166780,583999,636,D,59900.00,61610.00
Butane.Group,20210815,59500.00,60010.00,58750.00,59900.00,96992946570,1619335,1045,D,57160.00,60010.00
Butane.Group,20210814,57180.00,57190.00,55220.00,57160.00,29449665880,515220,261,D,54470.00,57190.00
Butane.Group,20210811,54800.00,54850.00,53130.00,54470.00,32375005360,594389,636,D,52240.00,54850.00
Butane.Group,20210810,51040.00,52400.00,51040.00,52240.00,36229278070,693556,507,D,49910.00,52400.00
Butane.Group,20210809,50000.00,51190.00,49260.00,49910.00,12636615780,253371,336,D,50100.00,50890.00
Butane.Group,20210808,50370.00,50390.00,49200.00,50100.00,7798924530,156185,157,D,50290.00,49640.00
Butane.Group,20210807,50700.00,51500.00,49490.00,50290.00,11004019050,219311,246,D,50600.00,50370.00
Butane.Group,20210804,50900.00,51400.00,50100.00,50600.00,14642100060,289157,277,D,49570.00,51400.00
Butane.Group,20210803,50060.00,51550.00,48710.00,49570.00,34502514540,696064,327,D,49670.00,50060.00
Butane.Group,20210802,49130.00,50400.00,49120.00,49670.00,7480925060,150205,203,D,49530.00,49800.00
Butane.Group,20210801,49200.00,50300.00,48820.00,49530.00,8674456640,174077,299,D,49100.00,49710.00
Butane.Group,20210731,50020.00,50990.00,47810.00,49100.00,16429143950,334623,393,D,50130.00,48810.00
Butane.Group,20210728,49250.00,51390.00,49020.00,50130.00,4507678710,90625,115,D,50300.00,50340.00
Butane.Group,20210719,48990.00,51160.00,48870.00,50300.00,14702451750,292266,372,D,48730.00,51160.00
Butane.Group,20210718,49640.00,52290.00,47750.00,48730.00,49211630600,1009820,521,D,50260.00,49390.00
Butane.Group,20210717,48580.00,51000.00,48580.00,50260.00,13832140500,274780,250,D,49080.00,50990.00
Butane.Group,20210710,52800.00,53870.00,49700.00,51280.00,34444193660,671691,717,D,52310.00,50000.00
Butane.Group,20210707,54390.00,54400.00,51770.00,52310.00,53590072180,1024431,708,D,54490.00,52600.00
Butane.Group,20210706,53550.00,56020.00,51360.00,54490.00,53642244210,984460,804,D,53360.00,53660.00
Butane.Group,20210705,53520.00,55370.00,51330.00,53360.00,83540060860,1565576,1039,D,52740.00,52750.00
Butane.Group,20210704,49360.00,52800.00,49360.00,52740.00,121040864520,2295100,517,D,50290.00,52800.00
Butane.Group,20210703,49030.00,50600.00,49030.00,50290.00,6737227140,134970,214,D,50600.00,50100.00
Butane.Group,20210630,52190.00,52190.00,48850.00,50600.00,6542962240,131722,215,D,51290.00,49990.00
Butane.Group,20210629,49030.00,51410.00,49030.00,51290.00,3250349010,64723,162,D,51570.00,49650.00
Butane.Group,20210628,54980.00,54980.00,50380.00,51570.00,14674008470,285235,404,D,53030.00,50400.00
Butane.Group,20210627,50980.00,53160.00,50980.00,53030.00,21956661460,414038,459,D,50630.00,52880.00
Butane.Group,20210626,49000.00,50980.00,47000.00,50630.00,19176804050,378777,296,D,48560.00,50980.00
Butane.Group,20210623,47200.00,49970.00,46110.00,48560.00,6376907690,130166,219,D,48230.00,48800.00
Butane.Group,20210622,48990.00,48990.00,46690.00,48230.00,7806630510,163958,218,D,48990.00,47200.00
Butane.Group,20210621,48000.00,48500.00,47170.00,48990.00,4347516780,91306,160,D,49610.00,47500.00
Butane.Group,20210620,50980.00,50980.00,47990.00,49610.00,6657283220,137092,195,D,50510.00,48100.00
Butane.Group,20210619,48730.00,50350.00,48720.00,50510.00,2996207740,60345,87,D,50730.00,50250.00
Butane.Group,20210616,50790.00,50790.00,48720.00,50730.00,3458415360,70453,154,D,51280.00,48720.00
Butane.Group,20210615,51050.00,52350.00,49980.00,51280.00,7307660700,146016,192,D,52610.00,49980.00
Butane.Group,20210614,50390.00,53900.00,50390.00,52610.00,3507907400,68234,183,D,53000.00,51050.00
