<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Charkheshgar,20210921,11750.00,12160.00,11340.00,11630.00,38581042540,3317565,567,D,11930.00,11370.00
Charkheshgar,20210920,11510.00,12400.00,11510.00,11930.00,19201921420,1608998,435,D,12050.00,11760.00
Charkheshgar,20210919,12440.00,12960.00,11780.00,12050.00,43736995170,3629678,611,D,12390.00,11820.00
Charkheshgar,20210918,12910.00,13270.00,12210.00,12390.00,58077986800,4686757,744,D,12850.00,12440.00
Charkheshgar,20210915,12830.00,12870.00,12280.00,12850.00,84108118410,6546788,984,D,12260.00,12870.00
Charkheshgar,20210914,12250.00,12280.00,11820.00,12260.00,26541852450,2165439,381,D,11700.00,12280.00
Charkheshgar,20210913,11240.00,12420.00,11240.00,11700.00,40751301460,3482642,804,D,11830.00,11920.00
Charkheshgar,20210912,12250.00,12250.00,11810.00,11830.00,15680216760,1325976,225,D,12430.00,11810.00
Charkheshgar,20210911,13190.00,13190.00,12250.00,12430.00,39941434450,3212075,810,D,12890.00,12260.00
Charkheshgar,20210908,13450.00,13450.00,12780.00,12890.00,37054117710,2875016,895,D,13020.00,12780.00
Charkheshgar,20210906,13040.00,13040.00,12590.00,13020.00,93342773490,7167743,854,D,12420.00,12940.00
Charkheshgar,20210905,12380.00,12790.00,11590.00,12420.00,107681095460,8666509,1422,D,12190.00,12790.00
Charkheshgar,20210904,12370.00,12370.00,11800.00,12190.00,86886925230,7128438,1281,D,11790.00,12090.00
Charkheshgar,20210901,11200.00,11910.00,10900.00,11790.00,54828040000,4648936,617,D,11350.00,11910.00
Charkheshgar,20210831,11240.00,11810.00,11230.00,11350.00,39551062080,3485098,713,D,11820.00,11230.00
Charkheshgar,20210830,11800.00,12260.00,11620.00,11820.00,40375157120,3415471,659,D,12230.00,11620.00
Charkheshgar,20210829,12400.00,12400.00,11630.00,12230.00,123362725720,10082937,1694,D,11810.00,11800.00
Charkheshgar,20210828,11900.00,11900.00,11900.00,11810.00,13281923200,1116128,118,D,11340.00,11900.00
Charkheshgar,20210825,11200.00,11630.00,10800.00,11340.00,71405189130,6295253,1005,D,11080.00,11630.00
Charkheshgar,20210824,10870.00,11190.00,10600.00,11080.00,48899027850,4412039,783,D,10660.00,11190.00
Charkheshgar,20210823,10610.00,10950.00,10350.00,10660.00,40489575050,3798334,783,D,10810.00,10600.00
Charkheshgar,20210822,10480.00,11200.00,10480.00,10810.00,53972173880,4991602,955,D,10760.00,10610.00
Charkheshgar,20210815,10880.00,11040.00,10450.00,10760.00,28846963710,2681136,745,D,10530.00,10750.00
Charkheshgar,20210814,10230.00,10550.00,10130.00,10530.00,69772237720,6627589,958,D,10050.00,10550.00
Charkheshgar,20210811,10330.00,10330.00,9960.00,10050.00,46397722970,4615206,983,D,10180.00,10130.00
Charkheshgar,20210810,10010.00,10400.00,10010.00,10180.00,22892962880,2247925,537,D,10130.00,10210.00
Charkheshgar,20210809,10040.00,10370.00,9730.00,10130.00,24371621030,2406345,686,D,10190.00,10250.00
Charkheshgar,20210808,10240.00,10350.00,9920.00,10190.00,19421144680,1905805,640,D,9900.00,10090.00
Charkheshgar,20210807,10270.00,10270.00,9700.00,9900.00,48278415210,4876545,1267,D,10210.00,10120.00
Charkheshgar,20210804,10550.00,10820.00,10080.00,10210.00,30313681360,2969530,890,D,10610.00,10200.00
Charkheshgar,20210803,10800.00,11120.00,10440.00,10610.00,29096572200,2743220,657,D,10980.00,10550.00
Charkheshgar,20210802,10770.00,11420.00,10600.00,10980.00,23044900980,2099167,771,D,11040.00,10740.00
Charkheshgar,20210801,11560.00,11560.00,10700.00,11040.00,24299450530,2200188,625,D,11130.00,10910.00
Charkheshgar,20210731,10880.00,11230.00,10470.00,11130.00,43021410690,3865225,807,D,10700.00,11230.00
Charkheshgar,20210728,10380.00,10900.00,10380.00,10700.00,12352606350,1153718,384,D,10680.00,10700.00
Charkheshgar,20210727,10980.00,10980.00,10300.00,10680.00,24217979770,2267800,573,D,10740.00,10640.00
Charkheshgar,20210726,10760.00,11180.00,10560.00,10740.00,25042036650,2332459,568,D,10920.00,10700.00
Charkheshgar,20210719,11390.00,11390.00,10760.00,10920.00,20456328650,1873643,533,D,11040.00,10820.00
