<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Cement.INV..Co.,20210921,6610.00,6890.00,6480.00,6560.00,15215985660,2323408,281,D,6820.00,6540.00
Cement.INV..Co.,20210920,6830.00,6980.00,6610.00,6820.00,8774203160,1287029,273,D,6830.00,6880.00
Cement.INV..Co.,20210919,7040.00,7100.00,6610.00,6830.00,12015924830,1769590,415,D,6930.00,6770.00
Cement.INV..Co.,20210918,7160.00,7420.00,6870.00,6930.00,38124367010,5498407,494,D,7230.00,6940.00
Cement.INV..Co.,20210915,7050.00,7450.00,7050.00,7230.00,13291553260,1841410,511,D,7260.00,7210.00
Cement.INV..Co.,20210914,7200.00,7440.00,7080.00,7260.00,14864333310,2042746,371,D,7140.00,7270.00
Cement.INV..Co.,20210913,7070.00,7290.00,7000.00,7140.00,44971116520,6295514,425,D,7270.00,7280.00
Cement.INV..Co.,20210912,7550.00,7550.00,7100.00,7270.00,29444450050,4051030,408,D,7460.00,7300.00
Cement.INV..Co.,20210911,7800.00,7800.00,7330.00,7460.00,30348032810,4070421,635,D,7600.00,7500.00
Cement.INV..Co.,20210908,7700.00,7800.00,7500.00,7600.00,11780556400,1555750,520,D,7640.00,7670.00
Cement.INV..Co.,20210907,7810.00,7810.00,7500.00,7640.00,18180982720,2380698,379,D,7780.00,7590.00
Cement.INV..Co.,20210906,7900.00,8060.00,7660.00,7780.00,14756721620,1903666,562,D,7870.00,7690.00
Cement.INV..Co.,20210905,7880.00,8080.00,7650.00,7870.00,20830491380,2646102,635,D,7760.00,7780.00
Cement.INV..Co.,20210904,7800.00,7900.00,7690.00,7760.00,21108224360,2719474,524,D,7700.00,7820.00
Cement.INV..Co.,20210901,7510.00,7900.00,7510.00,7700.00,13710024770,1770983,433,D,7570.00,7660.00
Cement.INV..Co.,20210831,7510.00,8030.00,7500.00,7570.00,66292565880,8756375,713,D,7890.00,7750.00
Cement.INV..Co.,20210830,7900.00,8120.00,7880.00,7890.00,73834788210,9358183,647,D,8290.00,7880.00
Cement.INV..Co.,20210829,8630.00,8630.00,7990.00,8290.00,58566649220,7062956,1138,D,8410.00,8030.00
Cement.INV..Co.,20210828,8470.00,8470.00,8300.00,8410.00,24878097770,2958107,743,D,8080.00,8450.00
Cement.INV..Co.,20210825,7920.00,8310.00,7820.00,8080.00,38714586760,4793387,1102,D,7920.00,8300.00
