<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Carbon,20210921,131000.00,133930.00,124450.00,126720.00,140610305130,1109630,946,D,131000.00,124450.00
Iran.Carbon,20210920,128830.00,132890.00,128830.00,131000.00,86808978120,662652,784,D,132870.00,130990.00
Iran.Carbon,20210919,135750.00,137000.00,127760.00,132870.00,210427263450,1583681,1480,D,134420.00,130000.00
Iran.Carbon,20210918,133600.00,138090.00,130750.00,134420.00,347735465660,2586915,2936,D,131520.00,135730.00
Iran.Carbon,20210915,131570.00,131570.00,126620.00,131520.00,233979218410,1778996,1581,D,125310.00,131570.00
Iran.Carbon,20210914,125310.00,125430.00,122500.00,125310.00,75369071040,601469,327,D,119460.00,125430.00
Iran.Carbon,20210913,116900.00,119750.00,110000.00,119460.00,133616029390,1118461,1047,D,114050.00,119750.00
Iran.Carbon,20210912,121970.00,121970.00,112770.00,114050.00,89027815590,780585,806,D,118700.00,113000.00
Iran.Carbon,20210911,124000.00,124000.00,117910.00,118700.00,120695519680,1016833,959,D,124110.00,117920.00
Iran.Carbon,20210908,126000.00,127000.00,121180.00,124110.00,84248405750,678811,1017,D,124220.00,124010.00
Iran.Carbon,20210907,117310.00,125460.00,116840.00,124220.00,212035081360,1706900,1756,D,119490.00,124000.00
Iran.Carbon,20210906,125750.00,125800.00,118670.00,119490.00,259712670600,2173570,2306,D,124910.00,118670.00
Iran.Carbon,20210905,131500.00,131500.00,124580.00,124910.00,288483879030,2309501,1750,D,131130.00,125000.00
Iran.Carbon,20210904,135200.00,135400.00,128010.00,131130.00,128919268670,983135,1521,D,129020.00,129440.00
Iran.Carbon,20210901,120000.00,131630.00,120000.00,129020.00,236293823840,1831415,1894,D,125370.00,131620.00
Iran.Carbon,20210831,130990.00,130990.00,121200.00,125370.00,137820561130,1099277,1627,D,127570.00,123000.00
Iran.Carbon,20210830,120000.00,129430.00,117310.00,127570.00,304697772370,2388436,2086,D,123270.00,128100.00
Iran.Carbon,20210829,127000.00,128000.00,116390.00,123270.00,290199871820,2354268,2088,D,122510.00,123000.00
Iran.Carbon,20210828,122770.00,122770.00,120150.00,122510.00,356249470050,2907993,1655,D,116930.00,122770.00
Iran.Carbon,20210825,116940.00,116940.00,114000.00,116930.00,314469413400,2689297,1635,D,111380.00,116940.00
Iran.Carbon,20210824,106670.00,113900.00,106670.00,111380.00,474842647740,4263266,928,D,108480.00,113900.00
Iran.Carbon,20210823,106390.00,111500.00,106390.00,108480.00,67977586310,626623,808,D,110530.00,106700.00
Iran.Carbon,20210822,108380.00,111390.00,107100.00,110530.00,58945441310,533274,753,D,106300.00,109410.00
Iran.Carbon,20210815,105380.00,108000.00,103690.00,106300.00,69173509460,650717,874,D,104920.00,107000.00
Iran.Carbon,20210814,100270.00,105280.00,100100.00,104920.00,182797196690,1742200,1298,D,100270.00,105250.00
Iran.Carbon,20210811,99500.00,103000.00,97110.00,100270.00,92580311690,923348,962,D,99470.00,102800.00
Iran.Carbon,20210810,101970.00,102000.00,98660.00,99470.00,28390574050,285415,573,D,98740.00,99490.00
Iran.Carbon,20210809,98230.00,99840.00,96120.00,98740.00,32697966310,331160,455,D,96730.00,99590.00
Iran.Carbon,20210808,98190.00,98190.00,95350.00,96730.00,22282188920,230348,438,D,98190.00,96700.00
Iran.Carbon,20210807,100000.00,100500.00,95820.00,98190.00,23423671930,238553,385,D,98580.00,97560.00
Iran.Carbon,20210804,102970.00,102970.00,96990.00,98580.00,38064665510,386147,660,D,100370.00,98800.00
Iran.Carbon,20210803,100090.00,103100.00,98000.00,100370.00,29120004530,290115,575,D,99260.00,99000.00
Iran.Carbon,20210802,99480.00,99480.00,97200.00,99260.00,54237482630,546429,778,D,94750.00,99370.00
Iran.Carbon,20210801,91000.00,95400.00,90540.00,94750.00,63657321750,671823,289,D,90860.00,95400.00
Iran.Carbon,20210731,86110.00,93800.00,86110.00,90860.00,49720876980,547220,927,D,90580.00,92000.00
Iran.Carbon,20210728,88770.00,93430.00,88770.00,90580.00,58490176710,645716,935,D,93430.00,92990.00
Iran.Carbon,20210727,94500.00,97000.00,93060.00,93430.00,65655322510,702717,453,D,97950.00,93060.00
