<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Abouraihan.P.,20210921,29350.00,29350.00,28540.00,28580.00,23036494640,806048,315,D,30040.00,28540.00
Abouraihan.P.,20210920,28260.00,30810.00,28260.00,30040.00,31906607160,1062241,609,D,29350.00,29370.00
Abouraihan.P.,20210919,31010.00,31010.00,29120.00,29350.00,25214768660,859172,474,D,30650.00,29120.00
Abouraihan.P.,20210918,29670.00,31010.00,29670.00,30650.00,91275323460,2978353,1435,D,29540.00,30990.00
Abouraihan.P.,20210915,29020.00,29670.00,28260.00,29540.00,62537638710,2116875,904,D,28260.00,29670.00
Abouraihan.P.,20210914,27000.00,28420.00,27000.00,28260.00,19721853760,697952,440,D,27070.00,28420.00
Abouraihan.P.,20210913,27000.00,28070.00,26600.00,27070.00,12857712870,474770,289,D,26990.00,27200.00
Abouraihan.P.,20210912,27140.00,27880.00,26850.00,26990.00,17339843670,642353,338,D,28260.00,27340.00
Abouraihan.P.,20210911,28110.00,29430.00,27520.00,28260.00,8666406490,306719,225,D,28260.00,28170.00
Abouraihan.P.,20210908,28450.00,29120.00,28000.00,28260.00,16740356810,592460,514,D,29140.00,28380.00
Abouraihan.P.,20210907,28770.00,29800.00,28750.00,29140.00,15505567670,532045,363,D,30250.00,28760.00
Abouraihan.P.,20210906,31420.00,31420.00,29300.00,30250.00,31986561770,1057521,672,D,30660.00,29310.00
Abouraihan.P.,20210905,29700.00,30910.00,28500.00,30660.00,111590504470,3639836,985,D,29440.00,30910.00
Abouraihan.P.,20210904,28580.00,29570.00,28250.00,29440.00,48450220150,1645630,639,D,28170.00,29570.00
Abouraihan.P.,20210901,26770.00,28580.00,26770.00,28170.00,70264731000,2494115,672,D,27270.00,28570.00
Abouraihan.P.,20210831,25910.00,27840.00,25200.00,27270.00,63805559540,2340016,723,D,26520.00,27300.00
Abouraihan.P.,20210830,26580.00,27850.00,26150.00,26520.00,46367782720,1748315,506,D,27520.00,26480.00
Abouraihan.P.,20210829,28280.00,28380.00,26500.00,27520.00,28522176190,1036487,628,D,27630.00,26620.00
Abouraihan.P.,20210828,27390.00,28300.00,27050.00,27630.00,72757355230,2633066,1203,D,27390.00,28080.00
Abouraihan.P.,20210825,28100.00,28100.00,26140.00,27390.00,27869036840,1017415,616,D,27240.00,27280.00
Abouraihan.P.,20210824,26470.00,27340.00,25930.00,27240.00,51651128340,1896024,482,D,26040.00,27340.00
Abouraihan.P.,20210823,26100.00,26400.00,25520.00,26040.00,14693714010,564198,350,D,26090.00,26320.00
Abouraihan.P.,20210822,25600.00,26390.00,25600.00,26090.00,16801948450,644056,403,D,25790.00,26100.00
Abouraihan.P.,20210815,25950.00,26500.00,25010.00,25790.00,25410587230,985260,487,D,26240.00,26000.00
Abouraihan.P.,20210814,27570.00,27840.00,25950.00,26240.00,18082148460,689182,451,D,26820.00,26000.00
Abouraihan.P.,20210811,26920.00,27340.00,26050.00,26820.00,44644984290,1664401,652,D,27200.00,26900.00
Abouraihan.P.,20210810,28270.00,28270.00,26600.00,27200.00,21585308570,793520,514,D,27220.00,27000.00
