<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alborz.Darou,20210921,16090.00,16500.00,15490.00,15670.00,16007905690,1029989,264,D,16300.00,15500.00
Alborz.Darou,20210920,16000.00,16820.00,15980.00,16300.00,23792082330,1459647,509,D,16820.00,16360.00
Alborz.Darou,20210919,16710.00,17400.00,16000.00,16820.00,22301212190,1325717,530,D,16670.00,16570.00
Alborz.Darou,20210918,16790.00,16990.00,16180.00,16670.00,22511705070,1350743,582,D,16190.00,16500.00
Alborz.Darou,20210915,16000.00,16500.00,15860.00,16190.00,21656551660,1338042,559,D,15420.00,16240.00
Alborz.Darou,20210913,15060.00,15670.00,15060.00,15420.00,32311160300,2095196,368,D,15260.00,15600.00
Alborz.Darou,20210912,14630.00,15500.00,14630.00,15260.00,31541682640,2067461,382,D,15280.00,15390.00
Alborz.Darou,20210911,15970.00,15970.00,14550.00,15280.00,7735806470,507991,181,D,15310.00,14630.00
Alborz.Darou,20210908,15100.00,15450.00,14960.00,15310.00,7442316950,491345,302,D,15420.00,15000.00
Alborz.Darou,20210907,15280.00,15540.00,14930.00,15420.00,9015474020,595108,338,D,15680.00,15000.00
Alborz.Darou,20210906,16250.00,16250.00,15500.00,15680.00,22654060800,1445099,717,D,15640.00,15690.00
Alborz.Darou,20210905,15770.00,15790.00,15160.00,15640.00,21957395150,1403502,478,D,15040.00,15780.00
Alborz.Darou,20210904,14350.00,15200.00,14350.00,15040.00,23190424140,1541741,459,D,14480.00,15200.00
Alborz.Darou,20210901,13860.00,14980.00,13860.00,14480.00,11153803170,767433,293,D,14380.00,14560.00
Alborz.Darou,20210831,14070.00,14900.00,14070.00,14380.00,15834590410,1105145,408,D,14810.00,14500.00
Alborz.Darou,20210830,14510.00,15170.00,14510.00,14810.00,11438974740,785905,234,D,15270.00,14510.00
Alborz.Darou,20210829,15740.00,15740.00,14680.00,15270.00,26294008500,1721957,551,D,15000.00,15000.00
Alborz.Darou,20210828,14390.00,15100.00,14080.00,15000.00,39634869180,2641932,439,D,14390.00,15100.00
Alborz.Darou,20210825,14680.00,14730.00,14030.00,14390.00,38077270810,2645311,842,D,14030.00,14380.00
Alborz.Darou,20210824,13650.00,14090.00,13610.00,14030.00,20369240770,1451772,327,D,13420.00,14090.00
Alborz.Darou,20210823,13300.00,13780.00,13200.00,13420.00,9740698670,719653,289,D,13250.00,13670.00
Alborz.Darou,20210822,13200.00,13430.00,13120.00,13250.00,14579028040,1099677,366,D,13190.00,13300.00
Alborz.Darou,20210815,13240.00,13300.00,12820.00,13190.00,13294677380,1009392,305,D,13260.00,13280.00
Alborz.Darou,20210814,13180.00,13540.00,13120.00,13260.00,15074058600,1135639,342,D,13110.00,13240.00
Alborz.Darou,20210811,13350.00,13460.00,12920.00,13110.00,21912010310,1671323,492,D,13340.00,12930.00
Alborz.Darou,20210810,13790.00,13790.00,13400.00,13340.00,6529055160,482895,228,D,13220.00,13540.00
Alborz.Darou,20210809,13070.00,13390.00,12940.00,13220.00,23977777860,1813245,584,D,12760.00,13390.00
Alborz.Darou,20210808,12200.00,12770.00,12200.00,12760.00,22955723650,1799261,416,D,12170.00,12770.00
Alborz.Darou,20210807,12450.00,12500.00,12030.00,12170.00,4567285430,373217,191,D,12140.00,12140.00
Alborz.Darou,20210804,12030.00,12300.00,12030.00,12140.00,5447306350,446394,226,D,12100.00,12280.00
Alborz.Darou,20210803,11830.00,12300.00,11830.00,12100.00,6577435450,544806,246,D,12120.00,12030.00
Alborz.Darou,20210802,12250.00,12350.00,11810.00,12120.00,8021858130,670819,229,D,12310.00,11880.00
Alborz.Darou,20210801,12600.00,12720.00,12090.00,12310.00,11194994870,920121,326,D,12720.00,12250.00
Alborz.Darou,20210731,13000.00,13080.00,12500.00,12720.00,14652934250,1154808,391,D,13150.00,12710.00
Alborz.Darou,20210728,12730.00,13410.00,12730.00,13150.00,9881458680,760273,193,D,13390.00,12960.00
Alborz.Darou,20210727,13330.00,13690.00,12980.00,13390.00,7979216250,608117,210,D,13660.00,12980.00
Alborz.Darou,20210726,13350.00,14020.00,13350.00,13660.00,8028291530,588519,225,D,13680.00,13690.00
Alborz.Darou,20210719,14300.00,14300.00,13640.00,13680.00,3943062500,285695,146,D,13640.00,13800.00
Alborz.Darou,20210718,13230.00,13770.00,13230.00,13640.00,5610003010,418609,161,D,13770.00,13300.00
Alborz.Darou,20210717,14300.00,14300.00,13410.00,13770.00,7102667290,522807,237,D,13900.00,13480.00
Alborz.Darou,20210714,14290.00,14290.00,13640.00,13900.00,16455466380,1184168,365,D,13920.00,13900.00
Alborz.Darou,20210713,13210.00,14300.00,13210.00,13920.00,37571177520,2698737,675,D,13620.00,14220.00
Alborz.Darou,20210712,13180.00,13970.00,13180.00,13620.00,7760004660,571326,214,D,13650.00,13300.00
Alborz.Darou,20210711,14350.00,14350.00,13240.00,13650.00,9817913500,719834,323,D,13670.00,13640.00
Alborz.Darou,20210710,13650.00,13860.00,12920.00,13670.00,31450237650,2300254,431,D,13320.00,13640.00
Alborz.Darou,20210707,12990.00,13360.00,12760.00,13320.00,38190486390,2867890,387,D,12730.00,13360.00
Alborz.Darou,20210706,12570.00,12910.00,12180.00,12730.00,16664209680,1308667,299,D,12300.00,12910.00
Alborz.Darou,20210705,11850.00,12640.00,11850.00,12300.00,5680888510,457986,156,D,12240.00,12400.00
Alborz.Darou,20210704,12370.00,12400.00,11790.00,12240.00,5651508950,464553,167,D,12280.00,12320.00
Alborz.Darou,20210703,12490.00,12490.00,11810.00,12280.00,4499077160,372874,172,D,12380.00,11830.00
