<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Derakhshan.Teh.,20210921,31540.00,31540.00,31540.00,32640.00,4527819320,143558,60,D,33190.00,31540.00
Derakhshan.Teh.,20210920,32520.00,32520.00,32520.00,33190.00,8426679960,259123,100,D,34230.00,32520.00
Derakhshan.Teh.,20210919,33380.00,33380.00,33380.00,34230.00,7322971160,219382,68,D,35130.00,33380.00
Derakhshan.Teh.,20210918,36860.00,36860.00,33360.00,35130.00,171655952270,4886687,1717,D,35110.00,33360.00
Derakhshan.Teh.,20210915,35110.00,35110.00,35110.00,35110.00,23007828770,655307,411,D,33440.00,35110.00
Derakhshan.Teh.,20210914,33870.00,33870.00,33870.00,33440.00,12946062360,382228,180,D,32260.00,33870.00
Derakhshan.Teh.,20210913,31890.00,32370.00,31000.00,32260.00,61881752400,1918048,776,D,30830.00,32370.00
Derakhshan.Teh.,20210912,31590.00,31590.00,28620.00,30830.00,310975731920,10085361,3797,D,30090.00,31590.00
Derakhshan.Teh.,20210911,29800.00,30120.00,29090.00,30090.00,49370796190,1640672,595,D,28690.00,30120.00
Derakhshan.Teh.,20210908,27210.00,29000.00,27210.00,28690.00,54001499040,1881934,1047,D,27620.00,29000.00
Derakhshan.Teh.,20210907,26900.00,28230.00,25900.00,27620.00,60614149600,2194943,1455,D,26910.00,27780.00
Derakhshan.Teh.,20210906,27400.00,27400.00,26170.00,26910.00,40472754000,1503730,1043,D,26420.00,26820.00
Derakhshan.Teh.,20210905,26000.00,27190.00,25500.00,26420.00,47323000220,1791277,1033,D,26000.00,27100.00
Derakhshan.Teh.,20210904,26140.00,26140.00,25030.00,26000.00,55151759800,2121470,1017,D,24900.00,26140.00
Derakhshan.Teh.,20210901,23620.00,25300.00,23600.00,24900.00,32297684260,1297133,616,D,24100.00,25300.00
Derakhshan.Teh.,20210831,23920.00,25000.00,23920.00,24100.00,48441339350,2010191,990,D,25170.00,23920.00
Derakhshan.Teh.,20210830,25870.00,25870.00,25050.00,25170.00,15078871740,599005,355,D,26360.00,25050.00
Derakhshan.Teh.,20210829,27220.00,27680.00,25420.00,26360.00,73545196810,2790209,1639,D,26750.00,25420.00
Derakhshan.Teh.,20210828,27230.00,27230.00,25600.00,26750.00,121633028940,4546204,2256,D,25940.00,26920.00
Derakhshan.Teh.,20210825,25940.00,25940.00,25940.00,25940.00,18420953780,710137,197,D,24710.00,25940.00
Derakhshan.Teh.,20210824,25300.00,25300.00,25300.00,24710.00,8699809800,343866,142,D,24100.00,25300.00
Derakhshan.Teh.,20210823,24100.00,24100.00,23710.00,24100.00,23042610890,956166,296,D,22960.00,24100.00
Derakhshan.Teh.,20210822,22970.00,23650.00,22100.00,22960.00,29387346370,1279895,730,D,21690.00,23650.00
Derakhshan.Teh.,20210811,22610.00,22980.00,21910.00,22190.00,64749626660,2918512,1650,D,23060.00,22250.00
Derakhshan.Teh.,20210810,23900.00,24180.00,22610.00,23060.00,43695623170,1894822,1188,D,23590.00,22850.00
Derakhshan.Teh.,20210809,23450.00,23700.00,22860.00,23590.00,45356051750,1922426,868,D,22580.00,23700.00
Derakhshan.Teh.,20210808,22620.00,23050.00,22160.00,22580.00,25685651400,1137770,852,D,22070.00,22860.00
Derakhshan.Teh.,20210807,20890.00,22320.00,20890.00,22070.00,21689396250,982799,592,D,21260.00,22320.00
Derakhshan.Teh.,20210804,20900.00,21850.00,20550.00,21260.00,34403070190,1618399,921,D,21550.00,21400.00
Derakhshan.Teh.,20210803,22890.00,22890.00,21470.00,21550.00,36401332310,1689334,841,D,22590.00,21470.00
Derakhshan.Teh.,20210802,23880.00,23880.00,22420.00,22590.00,40599643100,1797480,1086,D,23590.00,22420.00
Derakhshan.Teh.,20210801,23580.00,23770.00,22700.00,23590.00,46297563090,1962639,1152,D,22640.00,23400.00
Derakhshan.Teh.,20210731,22000.00,23500.00,21900.00,22640.00,43932612130,1940519,1323,D,23050.00,22950.00
Derakhshan.Teh.,20210728,22980.00,23800.00,22980.00,23050.00,44317432420,1922579,849,D,24180.00,22980.00
Derakhshan.Teh.,20210727,25570.00,25570.00,24040.00,24180.00,28690650850,1186744,582,D,25300.00,24040.00
Derakhshan.Teh.,20210726,25400.00,25800.00,24820.00,25300.00,10305817570,407450,235,D,25320.00,25190.00
Derakhshan.Teh.,20210719,26500.00,26570.00,24960.00,25320.00,72921372480,2880552,1791,D,26270.00,25200.00
Derakhshan.Teh.,20210718,26600.00,27060.00,25720.00,26270.00,36873111670,1403491,882,D,26550.00,25800.00
Derakhshan.Teh.,20210717,27590.00,27950.00,26240.00,26550.00,58132699310,2189291,1447,D,27620.00,26240.00
Derakhshan.Teh.,20210714,28120.00,28780.00,26800.00,27620.00,59063975480,2138081,1324,D,27750.00,27000.00
Derakhshan.Teh.,20210713,26690.00,28420.00,26200.00,27750.00,112133166940,4040441,1503,D,27070.00,28420.00
Derakhshan.Teh.,20210712,27210.00,28260.00,26490.00,27070.00,68181043500,2519154,1315,D,27880.00,26490.00
Derakhshan.Teh.,20210711,28900.00,28910.00,26690.00,27880.00,40460346910,1451122,1107,D,28090.00,27650.00
Derakhshan.Teh.,20210710,28290.00,28980.00,27450.00,28090.00,25664781270,913681,828,D,28110.00,28380.00
Derakhshan.Teh.,20210707,27700.00,28990.00,27010.00,28110.00,37235067240,1324836,767,D,28050.00,28290.00
Derakhshan.Teh.,20210706,28000.00,28200.00,26200.00,28050.00,51387055210,1831817,860,D,26860.00,27430.00
Derakhshan.Teh.,20210705,26260.00,27570.00,25850.00,26860.00,61003418410,2271519,924,D,26260.00,27570.00
Derakhshan.Teh.,20210704,25630.00,27300.00,25630.00,26260.00,21821406180,830966,571,D,26950.00,26000.00
Derakhshan.Teh.,20210703,27980.00,27980.00,26800.00,26950.00,46535814440,1727065,936,D,28210.00,26800.00
Derakhshan.Teh.,20210630,28290.00,28420.00,27320.00,28210.00,85396165270,3027144,1460,D,27070.00,27980.00
Derakhshan.Teh.,20210629,27290.00,27320.00,26250.00,27070.00,58395379300,2157307,1370,D,26020.00,27320.00
Derakhshan.Teh.,20210628,26010.00,27800.00,25390.00,26020.00,106387650860,4088985,2318,D,26720.00,26780.00
Derakhshan.Teh.,20210627,26450.00,27530.00,26390.00,26720.00,30189848260,1129706,826,D,27770.00,26390.00
Derakhshan.Teh.,20210626,28740.00,28740.00,26430.00,27770.00,58071013960,2091134,1679,D,27740.00,27130.00
Derakhshan.Teh.,20210623,27000.00,28900.00,27000.00,27740.00,131284595980,4732100,2415,D,28420.00,27730.00
Derakhshan.Teh.,20210622,27110.00,27110.00,27110.00,28420.00,1049292550,38705,48,D,28530.00,27110.00
Derakhshan.Teh.,20210621,27170.00,27170.00,27170.00,28530.00,647270910,23823,34,D,28590.00,27170.00
Derakhshan.Teh.,20210620,27200.00,27200.00,27200.00,28590.00,405116800,14894,27,D,28630.00,27200.00
Derakhshan.Teh.,20210619,27360.00,27360.00,27360.00,28630.00,1594951200,58295,90,D,28790.00,27360.00
Derakhshan.Teh.,20210616,30000.00,30000.00,28500.00,28790.00,55836709060,1939115,935,D,42900.00,28500.00
Derakhshan.Teh.,20210314,126400.00,126400.00,126400.00,128700.00,5222974400,41321,143,D,128970.00,126400.00
Derakhshan.Teh.,20210313,126610.00,126610.00,126610.00,128970.00,4119382960,32536,27,D,129190.00,126610.00
Derakhshan.Teh.,20210310,126670.00,126670.00,126670.00,129190.00,1217552040,9612,22,D,129250.00,126670.00
Derakhshan.Teh.,20210309,126760.00,126760.00,126760.00,129250.00,1661823600,13110,19,D,129340.00,126760.00
Derakhshan.Teh.,20210308,126800.00,126800.00,126800.00,129340.00,682437600,5382,29,D,129380.00,126800.00
Derakhshan.Teh.,20210307,126810.00,126810.00,126810.00,129380.00,264652470,2087,10,D,129390.00,126810.00
Derakhshan.Teh.,20210306,126820.00,126820.00,126820.00,129390.00,141911580,1119,11,D,129400.00,126820.00
Derakhshan.Teh.,20210303,126860.00,126860.00,126860.00,129400.00,717900740,5659,13,D,129440.00,126860.00
Derakhshan.Teh.,20210302,126900.00,126900.00,126900.00,129440.00,692747100,5459,20,D,129480.00,126900.00
Derakhshan.Teh.,20210301,126940.00,126940.00,126940.00,129480.00,882867700,6955,14,D,129530.00,126940.00
