<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Razak.Lab.,20210921,44010.00,46960.00,43040.00,45610.00,51964241690,1139364,679,D,45080.00,46680.00
Razak.Lab.,20210920,44840.00,45300.00,43560.00,45080.00,45545798390,1010231,605,D,43150.00,44890.00
Razak.Lab.,20210919,42370.00,44350.00,41330.00,43150.00,51821448470,1200856,554,D,42990.00,44330.00
Razak.Lab.,20210918,41800.00,44800.00,41800.00,42990.00,19406584080,451423,306,D,43190.00,42520.00
Razak.Lab.,20210915,43010.00,44850.00,42510.00,43190.00,33868088030,784162,449,D,43790.00,43340.00
Razak.Lab.,20210914,41120.00,44010.00,41120.00,43790.00,47002665710,1073310,585,D,41920.00,43970.00
Razak.Lab.,20210913,43440.00,43440.00,40800.00,41920.00,41629947780,993036,378,D,42300.00,42290.00
Razak.Lab.,20210912,42300.00,45020.00,42090.00,42300.00,36488673130,862714,458,D,44300.00,43300.00
Razak.Lab.,20210911,44620.00,45970.00,43020.00,44300.00,20284278740,457895,313,D,45000.00,43900.00
Razak.Lab.,20210908,43790.00,46000.00,43790.00,45000.00,24251096670,538894,416,D,44240.00,45240.00
Razak.Lab.,20210907,44680.00,44910.00,42650.00,44240.00,32217783980,728276,430,D,44730.00,44500.00
Razak.Lab.,20210906,43970.00,46000.00,43970.00,44730.00,54669910930,1222348,648,D,45460.00,44000.00
Razak.Lab.,20210905,44310.00,45900.00,44310.00,45460.00,20518397690,451374,361,D,44780.00,45590.00
Razak.Lab.,20210904,45680.00,45680.00,43510.00,44780.00,120322483460,2687108,869,D,43530.00,45400.00
Razak.Lab.,20210901,42500.00,44760.00,41010.00,43530.00,57228658740,1314673,706,D,42630.00,44300.00
Razak.Lab.,20210831,41390.00,44570.00,41390.00,42630.00,73548257360,1725095,763,D,43560.00,42640.00
Razak.Lab.,20210830,43800.00,45000.00,42780.00,43560.00,80598941380,1850131,530,D,45030.00,42780.00
Razak.Lab.,20210829,46990.00,46990.00,43360.00,45030.00,159021585470,3531077,1178,D,45640.00,43360.00
Razak.Lab.,20210828,46400.00,46620.00,44630.00,45640.00,160007325480,3506064,1064,D,44400.00,45800.00
Razak.Lab.,20210825,43170.00,45090.00,42030.00,44400.00,122094146840,2749762,639,D,42950.00,45090.00
Razak.Lab.,20210824,42950.00,43800.00,42320.00,42950.00,42515959090,989978,484,D,41770.00,43490.00
Razak.Lab.,20210823,41580.00,42320.00,39700.00,41770.00,103270175350,2472477,747,D,40310.00,42320.00
Razak.Lab.,20210822,39480.00,40990.00,39220.00,40310.00,47766588630,1185103,614,D,39180.00,40840.00
Razak.Lab.,20210815,39140.00,40050.00,38210.00,39180.00,38420742490,980678,438,D,38900.00,39760.00
Razak.Lab.,20210814,39900.00,39900.00,38430.00,38900.00,28399979810,730057,401,D,38750.00,38950.00
Razak.Lab.,20210811,38500.00,39770.00,38110.00,38750.00,34903953910,900667,394,D,38030.00,39770.00
Razak.Lab.,20210810,36980.00,38490.00,36980.00,38030.00,34091577440,896445,477,D,37500.00,38490.00
Razak.Lab.,20210809,37970.00,39000.00,36520.00,37500.00,44944441340,1198463,796,D,37740.00,37060.00
Razak.Lab.,20210808,35710.00,37860.00,35710.00,37740.00,71278230380,1888839,719,D,36060.00,37860.00
Razak.Lab.,20210807,35190.00,36850.00,34510.00,36060.00,68221610690,1891711,649,D,35220.00,36580.00
Razak.Lab.,20210804,34320.00,35900.00,34320.00,35220.00,43316911940,1229741,647,D,35080.00,34630.00
Razak.Lab.,20210803,34420.00,36300.00,34420.00,35080.00,35486053330,1011696,459,D,34900.00,34990.00
Razak.Lab.,20210802,34300.00,35940.00,34300.00,34900.00,25307022550,725140,319,D,35690.00,35000.00
Razak.Lab.,20210801,36500.00,36500.00,35000.00,35690.00,20398448250,571620,518,D,36480.00,35300.00
Razak.Lab.,20210731,36290.00,37640.00,35190.00,36480.00,30014045830,822669,641,D,35900.00,36000.00
Razak.Lab.,20210728,33500.00,36100.00,33140.00,35900.00,127258186270,3544962,1096,D,34390.00,36030.00
Razak.Lab.,20210727,33630.00,34890.00,33630.00,34390.00,149345834650,4342506,1089,D,32220.00,34570.00
Razak.Lab.,20210719,32000.00,32990.00,31210.00,32220.00,6986530190,216289,201,D,32150.00,31990.00
Razak.Lab.,20210718,30750.00,32800.00,30750.00,32150.00,20380124790,633950,389,D,32030.00,32360.00
Razak.Lab.,20210717,33200.00,33200.00,31730.00,32030.00,37248037910,1162784,583,D,32870.00,31800.00
Razak.Lab.,20210714,32760.00,33390.00,32480.00,32870.00,20124238540,612159,433,D,32740.00,32910.00
Razak.Lab.,20210713,31000.00,32910.00,31000.00,32740.00,91677202730,2799825,530,D,31350.00,32910.00
Razak.Lab.,20210712,30420.00,32070.00,30420.00,31350.00,7151195880,226882,237,D,31200.00,31000.00
Razak.Lab.,20210711,30300.00,32070.00,30300.00,31200.00,8241224810,264794,294,D,31290.00,31520.00
Razak.Lab.,20210710,30300.00,31970.00,30290.00,31290.00,13184004310,419663,370,D,30560.00,31130.00
Razak.Lab.,20210707,30770.00,31790.00,30030.00,30560.00,12796453120,419205,249,D,30770.00,30590.00
Razak.Lab.,20210706,31120.00,31130.00,29710.00,30770.00,23516966490,764245,398,D,29650.00,30790.00
Razak.Lab.,20210705,29180.00,30300.00,28120.00,29650.00,11418311820,382045,238,D,28870.00,30000.00
Razak.Lab.,20210704,28050.00,29800.00,28050.00,28870.00,11483150150,399677,284,D,29410.00,28500.00
Razak.Lab.,20210703,29330.00,31500.00,28630.00,29410.00,14634032930,497672,347,D,30110.00,28650.00
Razak.Lab.,20210630,30030.00,30990.00,29610.00,30110.00,19167889510,636602,343,D,30320.00,29990.00
Razak.Lab.,20210629,30450.00,31080.00,29100.00,30320.00,23697854790,781520,375,D,30440.00,30580.00
Razak.Lab.,20210628,30400.00,32000.00,29460.00,30440.00,17218601110,565693,406,D,30960.00,30520.00
Razak.Lab.,20210627,30300.00,31540.00,28540.00,30960.00,50657424100,1635961,1073,D,30040.00,30580.00
Razak.Lab.,20210626,29980.00,30190.00,29000.00,30040.00,35880080800,1194524,535,D,28760.00,29950.00
Razak.Lab.,20210623,28900.00,29000.00,28200.00,28760.00,25399138430,883010,428,D,27620.00,29000.00
Razak.Lab.,20210622,26010.00,27680.00,26010.00,27620.00,28500653510,1032067,346,D,26370.00,27680.00
Razak.Lab.,20210621,26490.00,26900.00,25870.00,26370.00,8408745000,316877,159,D,26160.00,26840.00
Razak.Lab.,20210620,26690.00,26690.00,25610.00,26160.00,4702460630,181184,125,D,26260.00,26200.00
Razak.Lab.,20210619,26020.00,26780.00,25900.00,26260.00,5644653650,216671,147,D,26390.00,26100.00
Razak.Lab.,20210616,25820.00,26970.00,25820.00,26390.00,6930546630,263737,108,D,26480.00,26020.00
Razak.Lab.,20210615,26800.00,26830.00,26250.00,26480.00,17010362790,642302,192,D,26250.00,26600.00
Razak.Lab.,20210614,26410.00,26490.00,26000.00,26250.00,25416063330,968076,242,D,25960.00,26490.00
Razak.Lab.,20210613,26010.00,26390.00,25500.00,25960.00,9391490870,360440,194,D,25800.00,25830.00
Razak.Lab.,20210612,26450.00,26450.00,25350.00,25800.00,6609080880,255489,161,D,25740.00,25500.00
Razak.Lab.,20210609,25770.00,26030.00,25100.00,25740.00,19865272950,771624,234,D,25550.00,25490.00
Razak.Lab.,20210608,25510.00,26000.00,25100.00,25550.00,28026181600,1096937,225,D,25240.00,25770.00
Razak.Lab.,20210607,24010.00,25990.00,24010.00,25240.00,22649082180,897370,271,D,24960.00,25800.00
Razak.Lab.,20210602,23890.00,25800.00,23890.00,24960.00,12258977070,491726,173,D,25110.00,25050.00
Razak.Lab.,20210601,24530.00,25680.00,24500.00,25110.00,5537404900,221624,114,D,25180.00,24610.00
Razak.Lab.,20210531,24710.00,25880.00,24540.00,25180.00,15961966100,633927,182,D,25560.00,25550.00
Razak.Lab.,20210530,26700.00,26700.00,24950.00,25560.00,58390687630,2284573,685,D,25530.00,25600.00
Razak.Lab.,20210529,24550.00,25910.00,24100.00,25530.00,52304103680,2048951,795,D,24680.00,25910.00
Razak.Lab.,20210526,23600.00,24780.00,23600.00,24680.00,71910064900,2913454,319,D,23050.00,24780.00
Razak.Lab.,20210523,24520.00,26510.00,24520.00,26030.00,48780278260,1874136,648,D,25770.00,25990.00
Razak.Lab.,20210522,26510.00,26590.00,25650.00,25770.00,14012916740,544295,244,D,26990.00,26000.00
Razak.Lab.,20210519,27880.00,27880.00,26650.00,26990.00,9334157290,348185,171,D,27370.00,26880.00
Razak.Lab.,20210518,27100.00,28280.00,27000.00,27370.00,15834813930,578500,273,D,27860.00,27580.00
Razak.Lab.,20210517,27050.00,28490.00,27050.00,27860.00,6600007230,240758,199,D,28260.00,27350.00
Razak.Lab.,20210516,29300.00,29400.00,27900.00,28260.00,27513812590,973550,343,D,29280.00,28260.00
Razak.Lab.,20210515,29000.00,30490.00,28200.00,29280.00,17643981090,602676,297,D,29510.00,28500.00
Razak.Lab.,20210512,31100.00,31100.00,28950.00,29510.00,27724796520,946909,413,D,29840.00,28950.00
Razak.Lab.,20210511,29350.00,31900.00,29350.00,29840.00,31232353030,1054473,479,D,30250.00,30510.00
