<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sina.Darou.Lab.,20210921,20050.00,20890.00,19650.00,20360.00,34265015330,1683285,297,D,19900.00,20890.00
Sina.Darou.Lab.,20210920,19110.00,20200.00,19110.00,19900.00,8520675420,428041,131,D,19900.00,19910.00
Sina.Darou.Lab.,20210919,21100.00,21100.00,19530.00,19900.00,12445377910,626662,175,D,20250.00,19620.00
Sina.Darou.Lab.,20210918,20420.00,22020.00,20120.00,20250.00,21160060330,1044974,220,D,21170.00,20150.00
Sina.Darou.Lab.,20210915,21070.00,21600.00,20820.00,21170.00,11012861280,522080,250,D,21470.00,21000.00
Sina.Darou.Lab.,20210914,21000.00,22000.00,21000.00,21470.00,16048266110,747375,261,D,21320.00,21310.00
Sina.Darou.Lab.,20210913,21020.00,21600.00,20890.00,21320.00,10239210650,485577,180,D,21980.00,20890.00
Sina.Darou.Lab.,20210912,23000.00,23000.00,21680.00,21980.00,12587215180,575905,180,D,22820.00,21900.00
Sina.Darou.Lab.,20210911,23840.00,23840.00,22510.00,22820.00,9901689090,434129,142,D,22840.00,22520.00
Sina.Darou.Lab.,20210908,22500.00,23300.00,22500.00,22840.00,11447641440,501870,264,D,22940.00,22840.00
Sina.Darou.Lab.,20210907,22260.00,23300.00,22260.00,22940.00,11003162180,482984,163,D,23400.00,22790.00
Sina.Darou.Lab.,20210906,23400.00,23880.00,22500.00,23400.00,15729354150,672246,284,D,23380.00,22510.00
Sina.Darou.Lab.,20210905,23550.00,24000.00,22680.00,23380.00,19395487890,829458,297,D,23680.00,23740.00
Sina.Darou.Lab.,20210904,24220.00,24220.00,23140.00,23680.00,27914623100,1178992,450,D,23140.00,23500.00
Sina.Darou.Lab.,20210901,22610.00,23690.00,22300.00,23140.00,28386721400,1226844,327,D,22570.00,23690.00
Sina.Darou.Lab.,20210831,22120.00,23590.00,22050.00,22570.00,27021103740,1197312,441,D,23210.00,22260.00
Sina.Darou.Lab.,20210830,23060.00,24090.00,23060.00,23210.00,23628590360,1017932,248,D,24270.00,23060.00
Sina.Darou.Lab.,20210829,24330.00,24980.00,23110.00,24270.00,51549399420,2124346,719,D,24320.00,23500.00
Sina.Darou.Lab.,20210828,24320.00,24320.00,24320.00,24320.00,81640051200,3356910,282,D,23170.00,24320.00
Sina.Darou.Lab.,20210825,22530.00,23200.00,22530.00,23170.00,35768211970,1543951,331,D,22100.00,23200.00
Sina.Darou.Lab.,20210824,21500.00,22350.00,21310.00,22100.00,26464539770,1197577,379,D,21450.00,22350.00
Sina.Darou.Lab.,20210823,21210.00,21900.00,21100.00,21450.00,13502107820,628735,291,D,21290.00,21480.00
Sina.Darou.Lab.,20210822,21500.00,21600.00,21100.00,21290.00,23278527610,1093397,296,D,20940.00,21380.00
Sina.Darou.Lab.,20210815,21400.00,21400.00,20600.00,20940.00,18634906710,890038,192,D,20840.00,21100.00
Sina.Darou.Lab.,20210814,20800.00,21390.00,20600.00,20840.00,26678903500,1280212,291,D,20980.00,20880.00
Sina.Darou.Lab.,20210811,21670.00,21670.00,20710.00,20980.00,22082645850,1052727,253,D,21290.00,20750.00
Sina.Darou.Lab.,20210810,21800.00,21800.00,21050.00,21290.00,10130307310,476788,172,D,21380.00,21100.00
Sina.Darou.Lab.,20210809,22200.00,22200.00,21050.00,21380.00,22930868020,1072767,239,D,21240.00,21580.00
Sina.Darou.Lab.,20210808,21510.00,22000.00,21000.00,21240.00,41726230790,1964206,371,D,22100.00,21470.00
Sina.Darou.Lab.,20210807,21550.00,23130.00,21350.00,22100.00,6863602560,312490,188,D,22220.00,21620.00
Sina.Darou.Lab.,20210804,22320.00,22800.00,21800.00,22220.00,25296174120,1138494,331,D,22310.00,21870.00
Sina.Darou.Lab.,20210803,22890.00,22890.00,22000.00,22310.00,17104368960,766787,303,D,21870.00,22350.00
Sina.Darou.Lab.,20210802,21310.00,22300.00,21000.00,21870.00,33605007550,1536251,460,D,21240.00,22300.00
Sina.Darou.Lab.,20210801,21300.00,21500.00,21010.00,21240.00,8708852790,409442,223,D,21200.00,21370.00
Sina.Darou.Lab.,20210731,20570.00,21450.00,20570.00,21200.00,15650594860,738283,252,D,20510.00,21180.00
Sina.Darou.Lab.,20210728,20360.00,20990.00,20320.00,20510.00,23699891610,1155385,335,D,21380.00,20600.00
Sina.Darou.Lab.,20210727,22450.00,22450.00,20950.00,21380.00,20601265090,963574,283,D,22050.00,20950.00
Sina.Darou.Lab.,20210726,21210.00,22270.00,21210.00,22050.00,53870358920,2442762,535,D,21210.00,22030.00
Sina.Darou.Lab.,20210719,21020.00,21640.00,21000.00,21210.00,25629908040,1208502,317,D,20780.00,21150.00
Sina.Darou.Lab.,20210718,20040.00,21010.00,20030.00,20780.00,29826090540,1435421,402,D,20010.00,21010.00
Sina.Darou.Lab.,20210717,19820.00,20340.00,19700.00,20010.00,25288484970,1264048,336,D,19690.00,19990.00
Sina.Darou.Lab.,20210714,19020.00,19900.00,19020.00,19690.00,17397602560,883413,491,D,19350.00,19800.00
Sina.Darou.Lab.,20210713,19380.00,19700.00,19010.00,19350.00,12577654240,648661,328,D,19180.00,19300.00
Sina.Darou.Lab.,20210712,19040.00,19490.00,18940.00,19180.00,14252513560,743374,254,D,19280.00,19200.00
Sina.Darou.Lab.,20210711,20000.00,20000.00,18860.00,19280.00,16084526220,834347,344,D,19440.00,19090.00
Sina.Darou.Lab.,20210710,19000.00,19700.00,19000.00,19440.00,24207160630,1245313,329,D,18450.00,19490.00
Sina.Darou.Lab.,20210704,18380.00,18930.00,18380.00,18890.00,7149481720,382646,210,D,19080.00,18600.00
Sina.Darou.Lab.,20210703,19300.00,19390.00,18590.00,19080.00,10791478530,567881,250,D,19290.00,18590.00
Sina.Darou.Lab.,20210630,19750.00,19750.00,19020.00,19290.00,8342747730,434565,243,D,19390.00,19330.00
Sina.Darou.Lab.,20210629,19480.00,19700.00,19140.00,19390.00,14338068070,738214,338,D,19050.00,19390.00
Sina.Darou.Lab.,20210628,18650.00,19460.00,18360.00,19050.00,36572490260,1920058,627,D,18540.00,19400.00
Sina.Darou.Lab.,20210627,17960.00,18800.00,17960.00,18540.00,11554393630,623555,249,D,18570.00,18200.00
Sina.Darou.Lab.,20210626,18780.00,18780.00,18200.00,18570.00,13058836910,702859,343,D,18490.00,18650.00
Sina.Darou.Lab.,20210623,18190.00,18750.00,18170.00,18490.00,16461921460,890471,356,D,18390.00,18360.00
Sina.Darou.Lab.,20210622,18200.00,18690.00,18200.00,18390.00,8856257130,482562,212,D,18440.00,18320.00
Sina.Darou.Lab.,20210621,18760.00,18760.00,18060.00,18440.00,6388379920,347525,244,D,18480.00,18300.00
Sina.Darou.Lab.,20210620,18300.00,18850.00,18090.00,18480.00,14162453540,764484,307,D,18020.00,18600.00
Sina.Darou.Lab.,20210619,17620.00,18380.00,17610.00,18020.00,17427220000,967275,324,D,17910.00,18300.00
Sina.Darou.Lab.,20210616,18000.00,18000.00,17530.00,17910.00,4099162550,232121,118,D,18010.00,17780.00
Sina.Darou.Lab.,20210615,18370.00,18370.00,17700.00,18010.00,8089283890,447974,196,D,17960.00,17820.00
Sina.Darou.Lab.,20210614,18100.00,18270.00,17650.00,17960.00,9993901600,555279,281,D,17890.00,18250.00
Sina.Darou.Lab.,20210613,17610.00,18000.00,17260.00,17890.00,5636721010,316669,188,D,17950.00,17990.00
Sina.Darou.Lab.,20210612,17720.00,18190.00,17500.00,17950.00,5170896900,292730,111,D,18110.00,17630.00
Sina.Darou.Lab.,20210609,17480.00,18230.00,17480.00,18110.00,4177935560,233353,107,D,18190.00,17700.00
Sina.Darou.Lab.,20210608,18000.00,18540.00,17970.00,18190.00,13524612450,742217,314,D,17970.00,18010.00
Sina.Darou.Lab.,20210607,17450.00,18400.00,17450.00,17970.00,19103218720,1063183,326,D,17820.00,17950.00
Sina.Darou.Lab.,20210602,18350.00,18350.00,17530.00,17820.00,17954811270,1007307,292,D,18230.00,17810.00
Sina.Darou.Lab.,20210601,18400.00,18500.00,17700.00,18230.00,7393527330,412576,230,D,18620.00,17820.00
Sina.Darou.Lab.,20210531,18840.00,18840.00,18300.00,18620.00,10626362950,575497,281,D,19120.00,18300.00
Sina.Darou.Lab.,20210530,19250.00,19950.00,18560.00,19120.00,43264204190,2263018,979,D,19530.00,19190.00
Sina.Darou.Lab.,20210529,19020.00,20100.00,19020.00,19530.00,62013952810,3174783,1235,D,20020.00,19980.00
Sina.Darou.Lab.,20210526,19510.00,20530.00,19510.00,20020.00,7337415140,375185,140,D,20530.00,19510.00
