<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khorasan.Steel.Co.,20210921,28050.00,28060.00,27040.00,28270.00,14660381700,538340,122,D,28460.00,27040.00
Khorasan.Steel.Co.,20210920,27840.00,28300.00,27320.00,28460.00,27626423790,995253,387,D,28750.00,27430.00
Khorasan.Steel.Co.,20210919,27840.00,28300.00,27830.00,28750.00,35213187660,1264892,246,D,29290.00,27830.00
Khorasan.Steel.Co.,20210918,28310.00,30000.00,28020.00,29290.00,43624943640,1502836,295,D,29490.00,28020.00
Khorasan.Steel.Co.,20210915,30190.00,30190.00,28350.00,29490.00,20061977440,702757,417,D,29760.00,28800.00
Khorasan.Steel.Co.,20210914,28890.00,30150.00,28850.00,29760.00,66057561290,2238805,712,D,30360.00,29850.00
Khorasan.Steel.Co.,20210913,29530.00,30480.00,29210.00,30360.00,26153564330,883933,327,D,30650.00,29470.00
Khorasan.Steel.Co.,20210912,29620.00,30910.00,29530.00,30650.00,27194576960,919797,316,D,31080.00,29800.00
Khorasan.Steel.Co.,20210911,31200.00,31240.00,29920.00,31080.00,28835010090,935969,288,D,31190.00,30260.00
Khorasan.Steel.Co.,20210908,30250.00,31400.00,30250.00,31190.00,22889940790,739597,472,D,31270.00,30760.00
Khorasan.Steel.Co.,20210907,31020.00,31220.00,30510.00,31270.00,33444237440,1083677,462,D,31480.00,31200.00
Khorasan.Steel.Co.,20210906,31180.00,31990.00,31000.00,31480.00,74694372350,2374328,782,D,31540.00,31600.00
Khorasan.Steel.Co.,20210905,31000.00,31950.00,31000.00,31540.00,34055244540,1079388,492,D,31530.00,31910.00
Khorasan.Steel.Co.,20210904,31820.00,32380.00,31000.00,31530.00,64070304820,2037091,809,D,31680.00,31500.00
Khorasan.Steel.Co.,20210901,32250.00,32950.00,30660.00,31680.00,63536069940,1995123,756,D,31450.00,31800.00
Khorasan.Steel.Co.,20210831,30620.00,32100.00,29060.00,31450.00,120036754920,3816276,1145,D,30580.00,32100.00
Khorasan.Steel.Co.,20210830,30000.00,32000.00,29240.00,30580.00,57552641880,1888720,915,D,30720.00,30000.00
Khorasan.Steel.Co.,20210829,30800.00,30800.00,29400.00,30720.00,138231850450,4499402,1070,D,29340.00,30500.00
Khorasan.Steel.Co.,20210828,28160.00,30380.00,27720.00,29340.00,126481910130,4310846,1267,D,28940.00,30380.00
Khorasan.Steel.Co.,20210825,30100.00,30350.00,28020.00,28940.00,71155846310,2473855,1245,D,29290.00,28160.00
Khorasan.Steel.Co.,20210824,28680.00,29870.00,28680.00,29290.00,72677809000,2444188,893,D,28450.00,29870.00
Khorasan.Steel.Co.,20210823,28100.00,29190.00,28100.00,28450.00,56545450530,1946321,604,D,27800.00,29190.00
Khorasan.Steel.Co.,20210822,28150.00,28150.00,27570.00,27800.00,81617736090,2906719,1003,D,26810.00,28150.00
Khorasan.Steel.Co.,20210815,26350.00,27570.00,26350.00,26810.00,49171553540,1791353,556,D,26260.00,27570.00
Khorasan.Steel.Co.,20210814,27000.00,27160.00,25520.00,26260.00,53217863000,1998125,1095,D,25870.00,27110.00
Khorasan.Steel.Co.,20210811,26100.00,26290.00,25320.00,25870.00,81850982830,3127593,830,D,25040.00,26290.00
Khorasan.Steel.Co.,20210810,24520.00,25630.00,23500.00,25040.00,67241855950,2643526,804,D,24410.00,25630.00
Khorasan.Steel.Co.,20210809,23140.00,24750.00,23140.00,24410.00,84105331960,3416649,541,D,23580.00,24750.00
Khorasan.Steel.Co.,20210808,23400.00,24000.00,23400.00,23580.00,17678942410,747684,392,D,23570.00,23710.00
Khorasan.Steel.Co.,20210807,24520.00,24520.00,23520.00,23570.00,36955723080,1544026,487,D,23360.00,23880.00
Khorasan.Steel.Co.,20210804,21910.00,24100.00,21910.00,23360.00,59589917580,2512912,755,D,22960.00,24100.00
Khorasan.Steel.Co.,20210803,23500.00,23640.00,22830.00,22960.00,41259789790,1768754,559,D,22730.00,23430.00
Khorasan.Steel.Co.,20210802,22900.00,23400.00,22600.00,22730.00,51035963180,2212979,1121,D,22440.00,23320.00
Khorasan.Steel.Co.,20210801,22000.00,22530.00,21350.00,22440.00,139245028690,6205622,1233,D,21460.00,22530.00
Khorasan.Steel.Co.,20210731,20500.00,22040.00,20500.00,21460.00,27470457030,1265027,480,D,21370.00,21780.00
Khorasan.Steel.Co.,20210728,21640.00,22200.00,21340.00,21370.00,134381334560,6287349,1094,D,22460.00,21500.00
Khorasan.Steel.Co.,20210727,22350.00,22350.00,21780.00,22460.00,10738481810,489346,300,D,22520.00,21890.00
Khorasan.Steel.Co.,20210726,22380.00,23410.00,22000.00,22520.00,78353731750,3473322,1221,D,22390.00,22390.00
Khorasan.Steel.Co.,20210719,21370.00,22300.00,21370.00,22390.00,14181009800,648718,527,D,22480.00,21810.00
Khorasan.Steel.Co.,20210718,21610.00,22440.00,21550.00,22480.00,18240816520,842230,402,D,22680.00,21810.00
Khorasan.Steel.Co.,20210717,22900.00,22960.00,21990.00,22680.00,43100293950,1948505,979,D,23140.00,21990.00
Khorasan.Steel.Co.,20210714,22420.00,22920.00,22420.00,23140.00,34694575170,1546063,645,D,23590.00,22420.00
Khorasan.Steel.Co.,20210713,22620.00,23400.00,22580.00,23590.00,17465636810,763925,382,D,23760.00,22750.00
Khorasan.Steel.Co.,20210712,23400.00,23790.00,22750.00,23760.00,13974624510,602185,527,D,23860.00,22860.00
Khorasan.Steel.Co.,20210711,24500.00,24500.00,23580.00,23860.00,14763146340,609559,231,D,23800.00,23800.00
Khorasan.Steel.Co.,20210706,25500.00,25750.00,23950.00,25200.00,96732719690,3830731,833,D,24680.00,25620.00
Khorasan.Steel.Co.,20210705,24910.00,25450.00,24910.00,24680.00,43400086930,1713001,421,D,24240.00,25170.00
Khorasan.Steel.Co.,20210704,23850.00,24960.00,23850.00,24240.00,42387608260,1700044,503,D,23780.00,24950.00
Khorasan.Steel.Co.,20210703,23910.00,24690.00,23910.00,23780.00,26382866630,1074613,682,D,23520.00,24680.00
Khorasan.Steel.Co.,20210630,23320.00,24380.00,23320.00,23520.00,28880599580,1185837,442,D,23220.00,24380.00
Khorasan.Steel.Co.,20210629,23000.00,24060.00,23000.00,23220.00,32106106000,1341197,491,D,22920.00,24000.00
Khorasan.Steel.Co.,20210628,22180.00,23820.00,22180.00,22920.00,26276511290,1111268,379,D,22690.00,23820.00
Khorasan.Steel.Co.,20210627,23000.00,23490.00,23000.00,22690.00,32124295450,1372097,469,D,22380.00,23470.00
Khorasan.Steel.Co.,20210626,23160.00,23170.00,22940.00,22380.00,29951940260,1294093,490,D,22070.00,23130.00
Khorasan.Steel.Co.,20210623,20600.00,22740.00,20600.00,22070.00,60465145480,2705288,655,D,21660.00,22740.00
Khorasan.Steel.Co.,20210622,21000.00,21390.00,20700.00,21660.00,8574367380,407392,246,D,21720.00,21380.00
Khorasan.Steel.Co.,20210621,20810.00,21460.00,20730.00,21720.00,3995680700,190272,149,D,21750.00,21170.00
Khorasan.Steel.Co.,20210620,21000.00,21690.00,21000.00,21750.00,4944396000,233969,152,D,21780.00,21030.00
Khorasan.Steel.Co.,20210619,20760.00,21800.00,20760.00,21780.00,10802548350,509440,215,D,21850.00,21780.00
Khorasan.Steel.Co.,20210616,20820.00,21310.00,20820.00,21850.00,5636536970,270514,154,D,21910.00,20980.00
Khorasan.Steel.Co.,20210615,20870.00,21880.00,20870.00,21910.00,4666671690,220735,162,D,21950.00,20980.00
Khorasan.Steel.Co.,20210614,20920.00,21610.00,20910.00,21950.00,7489772870,353451,229,D,22010.00,21150.00
Khorasan.Steel.Co.,20210613,20960.00,21180.00,20960.00,22010.00,4604922900,219493,104,D,22060.00,20970.00
Khorasan.Steel.Co.,20210612,21010.00,21530.00,21010.00,22060.00,4680376730,221150,129,D,22110.00,21200.00
Khorasan.Steel.Co.,20210609,21060.00,21610.00,21060.00,22110.00,4100646080,194262,149,D,22160.00,21300.00
Khorasan.Steel.Co.,20210608,21170.00,21730.00,21170.00,22160.00,11022201890,518110,290,D,22280.00,21320.00
Khorasan.Steel.Co.,20210607,21270.00,22000.00,21260.00,22280.00,10651944340,495027,278,D,22370.00,21570.00
Khorasan.Steel.Co.,20210602,21330.00,21840.00,21330.00,22370.00,7419192110,344921,270,D,22450.00,21570.00
Khorasan.Steel.Co.,20210601,21430.00,22350.00,21430.00,22450.00,8561056670,398877,170,D,22550.00,21430.00
Khorasan.Steel.Co.,20210531,22230.00,22880.00,22230.00,22550.00,69337326210,3116406,232,D,23390.00,22270.00
Khorasan.Steel.Co.,20210530,22830.00,23980.00,22360.00,23390.00,18349172570,805918,371,D,23530.00,22360.00
Khorasan.Steel.Co.,20210529,22390.00,24100.00,22390.00,23530.00,33770738830,1438604,557,D,23560.00,23400.00
Khorasan.Steel.Co.,20210526,22560.00,23650.00,22560.00,23560.00,16673766520,734224,260,D,23740.00,22560.00
Khorasan.Steel.Co.,20210525,22750.00,23640.00,22750.00,23740.00,15890004050,697586,214,D,23940.00,22750.00
Khorasan.Steel.Co.,20210524,22900.00,24080.00,22900.00,23940.00,13466461030,586418,125,D,24100.00,22900.00
Khorasan.Steel.Co.,20210523,23060.00,23060.00,23060.00,24100.00,13662865520,592492,16,D,24270.00,23060.00
Khorasan.Steel.Co.,20210522,23180.00,23180.00,23180.00,24270.00,9266506340,399763,33,D,24390.00,23180.00
Khorasan.Steel.Co.,20210519,23290.00,23980.00,23290.00,24390.00,9451543600,405803,70,D,24510.00,23290.00
Khorasan.Steel.Co.,20210518,23420.00,24590.00,23420.00,24510.00,17603574970,737422,191,D,24650.00,23430.00
Khorasan.Steel.Co.,20210517,23570.00,23780.00,23570.00,24650.00,12239650640,519262,105,D,24810.00,23570.00
Khorasan.Steel.Co.,20210516,23720.00,24180.00,23720.00,24810.00,11425987150,481513,202,D,24960.00,23720.00
Khorasan.Steel.Co.,20210515,23800.00,24980.00,23790.00,24960.00,7406165860,307852,239,D,25040.00,23820.00
Khorasan.Steel.Co.,20210512,24700.00,24910.00,24400.00,25040.00,15327681790,625469,245,D,25150.00,24400.00
Khorasan.Steel.Co.,20210511,24910.00,25590.00,24910.00,25150.00,66671592800,2674457,546,D,25680.00,24910.00
Khorasan.Steel.Co.,20210510,25210.00,25440.00,25210.00,25680.00,37444314540,1485178,234,D,25980.00,25210.00
Khorasan.Steel.Co.,20210509,25280.00,25280.00,25280.00,25980.00,9867896320,390344,8,D,26060.00,25280.00
Khorasan.Steel.Co.,20210508,25360.00,25360.00,25360.00,26060.00,9956843200,392620,19,D,26140.00,25360.00
Khorasan.Steel.Co.,20210505,25440.00,25440.00,25440.00,26140.00,10016160480,393717,17,D,26220.00,25440.00
Khorasan.Steel.Co.,20210503,25520.00,25520.00,25520.00,26220.00,10029232400,392995,22,D,26300.00,25520.00
