<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Ferr.,20210921,6740.00,6740.00,6370.00,6390.00,46923539730,7341067,659,D,6700.00,6370.00
Iran.Ferr.,20210920,6700.00,6740.00,6470.00,6700.00,76799486920,11467946,1506,D,6420.00,6720.00
Iran.Ferr.,20210919,6280.00,6680.00,6080.00,6420.00,112110900310,17449459,1268,D,6390.00,6610.00
Iran.Ferr.,20210918,6680.00,6700.00,6360.00,6390.00,60178794330,9416209,700,D,6690.00,6370.00
Iran.Ferr.,20210915,6750.00,6780.00,6570.00,6690.00,27662952780,4136780,827,D,6700.00,6750.00
Iran.Ferr.,20210914,6560.00,6900.00,6560.00,6700.00,53878000240,8036690,917,D,6700.00,6750.00
Iran.Ferr.,20210913,6890.00,6980.00,6550.00,6700.00,55622540410,8300214,1014,D,6790.00,6600.00
Iran.Ferr.,20210912,6860.00,7130.00,6780.00,6790.00,106857488160,15747149,979,D,7130.00,6780.00
Iran.Ferr.,20210911,7200.00,7420.00,7000.00,7130.00,68091575280,9551742,1168,D,7360.00,7000.00
Iran.Ferr.,20210908,7600.00,7600.00,7150.00,7360.00,89924043640,12210080,1763,D,7410.00,7400.00
Iran.Ferr.,20210907,7230.00,7700.00,7090.00,7410.00,119176659940,16084467,2231,D,7350.00,7410.00
Iran.Ferr.,20210906,7380.00,7380.00,7110.00,7350.00,229182547330,31171867,2361,D,7030.00,7170.00
Iran.Ferr.,20210905,7000.00,7070.00,6800.00,7030.00,189750993150,26980962,1915,D,6740.00,7070.00
Iran.Ferr.,20210904,6730.00,6740.00,6550.00,6740.00,47006884690,6978404,536,D,6420.00,6740.00
Iran.Ferr.,20210901,6060.00,6440.00,6060.00,6420.00,64652382770,10072926,780,D,6140.00,6440.00
Iran.Ferr.,20210831,6100.00,6330.00,6030.00,6140.00,57144560490,9300098,1119,D,6340.00,6140.00
