<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Iran.Mineral.P.,20210921,31790.00,31900.00,29640.00,29870.00,70269884290,2352372,996,D,31190.00,30490.00
Iran.Mineral.P.,20210920,31100.00,31740.00,30230.00,31190.00,32160267490,1031002,565,D,31070.00,31360.00
Iran.Mineral.P.,20210919,33450.00,33450.00,30660.00,31070.00,51668314280,1663110,888,D,32270.00,31340.00
Iran.Mineral.P.,20210918,33310.00,34240.00,32160.00,32270.00,57729712970,1788830,782,D,33850.00,32160.00
Iran.Mineral.P.,20210915,34450.00,35000.00,33100.00,33850.00,41698042460,1231863,1117,D,34700.00,33260.00
Iran.Mineral.P.,20210914,33080.00,35640.00,33080.00,34700.00,29115262570,839014,826,D,34030.00,34450.00
Iran.Mineral.P.,20210913,33870.00,35280.00,33870.00,34030.00,111552647500,3277818,1301,D,35650.00,33990.00
Iran.Mineral.P.,20210912,37350.00,37350.00,35530.00,35650.00,55655512510,1561167,614,D,37400.00,35530.00
Iran.Mineral.P.,20210911,37000.00,37950.00,36200.00,37400.00,170616715050,4561375,2092,D,36150.00,36890.00
Iran.Mineral.P.,20210908,35000.00,36950.00,35000.00,36150.00,107103249010,2962578,1882,D,35220.00,36320.00
Iran.Mineral.P.,20210907,33040.00,35750.00,33040.00,35220.00,187423072470,5322084,2356,D,34050.00,35080.00
Iran.Mineral.P.,20210906,33000.00,35100.00,32390.00,34050.00,119058694390,3497032,1579,D,33560.00,33540.00
Iran.Mineral.P.,20210905,33400.00,35100.00,32700.00,33560.00,87762653690,2615344,1212,D,33770.00,33000.00
Iran.Mineral.P.,20210904,33700.00,33960.00,33040.00,33770.00,125900610610,3728051,1492,D,32350.00,33450.00
Iran.Mineral.P.,20210901,32170.00,32790.00,30160.00,32350.00,83517579210,2581801,1061,D,31230.00,32790.00
Iran.Mineral.P.,20210831,30970.00,32490.00,30970.00,31230.00,101409194290,3247091,1272,D,32590.00,30970.00
Iran.Mineral.P.,20210830,32580.00,33370.00,32580.00,32590.00,85998399960,2639076,730,D,34290.00,32580.00
Iran.Mineral.P.,20210829,34500.00,35300.00,33590.00,34290.00,176873607630,5158235,2333,D,35350.00,33590.00
Iran.Mineral.P.,20210828,35590.00,36250.00,34550.00,35350.00,143809447390,4067829,2181,D,35610.00,34920.00
Iran.Mineral.P.,20210825,35100.00,36670.00,35090.00,35610.00,127340271340,3576261,1486,D,35120.00,35110.00
Iran.Mineral.P.,20210824,34600.00,35650.00,33500.00,35120.00,114119794490,3249257,1309,D,33970.00,34730.00
