<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Isfahan.Sugar,20210921,104340.00,104340.00,96700.00,97320.00,28252978750,290315,611,D,101780.00,96700.00
Isfahan.Sugar,20210920,95100.00,104370.00,95100.00,101780.00,20634872630,202744,461,D,99400.00,102960.00
Isfahan.Sugar,20210919,99000.00,102300.00,98740.00,99400.00,15464844260,155579,471,D,103930.00,98740.00
Isfahan.Sugar,20210918,107240.00,107500.00,103650.00,103930.00,19334827650,186043,444,D,109100.00,103650.00
Isfahan.Sugar,20210915,112000.00,113000.00,107610.00,109100.00,40089067280,367468,934,D,113270.00,108700.00
Isfahan.Sugar,20210914,115000.00,116000.00,110590.00,113270.00,18718094140,165257,702,D,112900.00,112580.00
Isfahan.Sugar,20210913,112760.00,116150.00,112760.00,112900.00,61396129800,543792,814,D,118690.00,112760.00
Isfahan.Sugar,20210912,126490.00,126490.00,117820.00,118690.00,35059908650,295380,453,D,124020.00,117820.00
Isfahan.Sugar,20210911,132650.00,132650.00,122950.00,124020.00,55034363970,443758,1067,D,129420.00,122960.00
Isfahan.Sugar,20210908,128000.00,132000.00,127900.00,129420.00,48264063000,372928,995,D,126340.00,128490.00
Isfahan.Sugar,20210907,118200.00,126960.00,118200.00,126340.00,131737209690,1042701,1234,D,120920.00,126960.00
Isfahan.Sugar,20210906,122860.00,122860.00,119860.00,120920.00,85354802010,705887,1055,D,120600.00,122190.00
Isfahan.Sugar,20210905,120010.00,123950.00,119600.00,120600.00,32742124030,271499,616,D,121070.00,121800.00
Isfahan.Sugar,20210904,124000.00,127480.00,119850.00,121070.00,63476445600,524309,1190,D,121520.00,121500.00
Isfahan.Sugar,20210901,124000.00,125600.00,119500.00,121520.00,84555336670,695832,1534,D,123410.00,121300.00
Isfahan.Sugar,20210831,118000.00,127270.00,118000.00,123410.00,159995601100,1296437,1639,D,121210.00,121210.00
Isfahan.Sugar,20210830,115500.00,124570.00,115500.00,121210.00,130025885130,1072739,1708,D,118640.00,121790.00
Isfahan.Sugar,20210829,122390.00,122390.00,110750.00,118640.00,154287429600,1300419,1931,D,116570.00,116000.00
Isfahan.Sugar,20210828,118400.00,118400.00,118400.00,116570.00,10621190400,89706,123,D,112770.00,118400.00
Isfahan.Sugar,20210825,112770.00,112770.00,112770.00,112770.00,19213752600,170380,226,D,107400.00,112770.00
Isfahan.Sugar,20210824,107910.00,107910.00,107910.00,107400.00,14988159450,138895,177,D,102780.00,107910.00
Isfahan.Sugar,20210823,102000.00,104640.00,97290.00,102780.00,47414397990,461339,526,D,99660.00,104640.00
Isfahan.Sugar,20210822,99240.00,102000.00,95170.00,99660.00,61991284540,622012,1001,D,97300.00,101190.00
Isfahan.Sugar,20210815,97550.00,99700.00,95300.00,97300.00,26285812760,270159,722,D,97440.00,96990.00
Isfahan.Sugar,20210814,95650.00,98630.00,94500.00,97440.00,43230731200,443661,1019,D,93940.00,97650.00
Isfahan.Sugar,20210811,93060.00,95990.00,92260.00,93940.00,45542438500,484801,927,D,93700.00,95640.00
Isfahan.Sugar,20210810,95500.00,95500.00,92080.00,93700.00,29338071970,313117,582,D,93060.00,93800.00
Isfahan.Sugar,20210809,92700.00,95500.00,90510.00,93060.00,37066377150,398311,814,D,92690.00,93600.00
Isfahan.Sugar,20210808,89900.00,94000.00,89900.00,92690.00,20012832750,215912,578,D,92130.00,92700.00
Isfahan.Sugar,20210807,96000.00,96000.00,90650.00,92130.00,29626157500,321560,758,D,92820.00,90900.00
