<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lorestan.Sugar,20210921,23150.00,23280.00,22200.00,23210.00,87540225990,3771364,1304,D,22180.00,23280.00
Lorestan.Sugar,20210920,22040.00,23530.00,21550.00,22180.00,43377793740,1956057,1008,D,22680.00,22700.00
Lorestan.Sugar,20210919,22600.00,23490.00,22520.00,22680.00,22613761460,996884,440,D,23700.00,22520.00
Lorestan.Sugar,20210918,23900.00,24580.00,23670.00,23700.00,25100020950,1058946,397,D,24910.00,23670.00
Lorestan.Sugar,20210915,26500.00,26500.00,24800.00,24910.00,35628170290,1430248,842,D,26100.00,24800.00
Lorestan.Sugar,20210914,25430.00,26900.00,25430.00,26100.00,27925563070,1069854,674,D,26150.00,25850.00
Lorestan.Sugar,20210913,26710.00,27580.00,26010.00,26150.00,31732741210,1213630,714,D,27370.00,26010.00
Lorestan.Sugar,20210912,28620.00,28620.00,27320.00,27370.00,21362089200,780450,412,D,28750.00,27320.00
Lorestan.Sugar,20210911,28830.00,29990.00,28370.00,28750.00,46083018110,1602750,901,D,29860.00,28370.00
Lorestan.Sugar,20210908,30800.00,30800.00,29220.00,29860.00,39457888540,1321340,1105,D,29710.00,29460.00
Lorestan.Sugar,20210907,28020.00,30010.00,28020.00,29710.00,111208297680,3743132,1887,D,28590.00,30010.00
Lorestan.Sugar,20210906,28850.00,29250.00,27900.00,28590.00,48985557960,1713648,1122,D,28050.00,28020.00
Lorestan.Sugar,20210905,27500.00,28880.00,27170.00,28050.00,38482667640,1371796,861,D,28100.00,28320.00
Lorestan.Sugar,20210904,28880.00,28900.00,27540.00,28100.00,37140310890,1321542,940,D,27880.00,27810.00
Lorestan.Sugar,20210901,27980.00,28260.00,26020.00,27880.00,40439129850,1450295,733,D,26920.00,28260.00
Lorestan.Sugar,20210831,26310.00,27960.00,26290.00,26920.00,57877787180,2149622,1399,D,27670.00,27130.00
Lorestan.Sugar,20210830,27640.00,28200.00,27640.00,27670.00,48478304600,1751787,647,D,29090.00,27640.00
Lorestan.Sugar,20210829,30000.00,30000.00,28650.00,29090.00,95370957080,3278673,1994,D,30150.00,28650.00
Lorestan.Sugar,20210828,29890.00,30900.00,29200.00,30150.00,113926114540,3778068,2179,D,29600.00,29650.00
Lorestan.Sugar,20210825,29170.00,30030.00,28620.00,29600.00,141462376320,4779429,2449,D,28600.00,29940.00
Lorestan.Sugar,20210824,27420.00,28650.00,27420.00,28600.00,134816891820,4713396,1600,D,27290.00,28650.00
Lorestan.Sugar,20210823,27660.00,28100.00,26820.00,27290.00,119658013790,4384339,2138,D,28230.00,27470.00
Lorestan.Sugar,20210822,28010.00,29220.00,27500.00,28230.00,110564524430,3916852,2247,D,28360.00,27830.00
Lorestan.Sugar,20210815,28590.00,29060.00,27350.00,28360.00,112774929820,3976902,2358,D,28460.00,28360.00
Lorestan.Sugar,20210814,28040.00,29790.00,28040.00,28460.00,368735570750,12955613,5778,D,29510.00,28140.00
Lorestan.Sugar,20210811,29440.00,30200.00,29440.00,29510.00,146354186220,4959123,1484,D,30980.00,29440.00
Lorestan.Sugar,20210810,30940.00,31600.00,30940.00,30980.00,337388187360,10888822,2735,D,32560.00,30940.00
Lorestan.Sugar,20210809,30960.00,30960.00,30960.00,32560.00,184986000,5975,12,D,32580.00,30960.00
Lorestan.Sugar,20210808,31000.00,31000.00,31000.00,32580.00,418252000,13492,13,D,32630.00,31000.00
Lorestan.Sugar,20210807,31000.00,31000.00,31000.00,32630.00,31000000,1000,1,D,32630.00,31000.00
Lorestan.Sugar,20210804,31000.00,31000.00,31000.00,32630.00,13950000,450,2,D,32630.00,31000.00
Lorestan.Sugar,20210802,31010.00,31010.00,31010.00,32630.00,73524710,2371,3,D,32640.00,31010.00
Lorestan.Sugar,20210801,29640.00,29640.00,29640.00,32640.00,1179286680,39787,58,D,32930.00,29640.00
Lorestan.Sugar,20210731,31300.00,31300.00,31300.00,32930.00,48953200,1564,6,D,32940.00,31300.00
Lorestan.Sugar,20210728,31300.00,31300.00,31300.00,32940.00,6260000,200,1,D,32940.00,31300.00
Lorestan.Sugar,20210726,31310.00,31310.00,31310.00,32940.00,84850100,2710,7,D,32950.00,31310.00
Lorestan.Sugar,20210719,31310.00,31310.00,31310.00,32950.00,5322700,170,1,D,32950.00,31310.00
Lorestan.Sugar,20210717,31310.00,31310.00,31310.00,32950.00,10958500,350,2,D,32950.00,31310.00
