<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Marvdasht.Sugar,20210921,28590.00,28590.00,26430.00,27300.00,5921271140,217608,239,D,27370.00,26590.00
Marvdasht.Sugar,20210920,27150.00,28600.00,27110.00,27370.00,14645580080,535133,277,D,28530.00,28440.00
Marvdasht.Sugar,20210919,28500.00,29890.00,28490.00,28530.00,18585228590,651429,133,D,29980.00,28490.00
Marvdasht.Sugar,20210918,29990.00,32000.00,29780.00,29980.00,24851733320,828845,190,D,31340.00,29780.00
Marvdasht.Sugar,20210915,31440.00,32590.00,30300.00,31340.00,5631893400,178829,228,D,31230.00,31210.00
Marvdasht.Sugar,20210914,30030.00,31240.00,30030.00,31230.00,23238864200,744229,233,D,29760.00,31240.00
Marvdasht.Sugar,20210913,29000.00,31000.00,28970.00,29760.00,14130162240,474869,247,D,30490.00,30050.00
Marvdasht.Sugar,20210912,30490.00,31810.00,30490.00,30490.00,16853337130,552680,219,D,32090.00,30490.00
Marvdasht.Sugar,20210911,32900.00,32920.00,31820.00,32090.00,23662129890,737400,280,D,33490.00,31820.00
Marvdasht.Sugar,20210908,34850.00,34850.00,33010.00,33490.00,33222916420,991914,472,D,33490.00,33500.00
Marvdasht.Sugar,20210907,33500.00,33550.00,32430.00,33490.00,58192971190,1737575,693,D,31960.00,33550.00
Marvdasht.Sugar,20210906,30850.00,32490.00,30850.00,31960.00,40120599680,1255220,494,D,30950.00,32490.00
Marvdasht.Sugar,20210905,31700.00,31700.00,29790.00,30950.00,40247106910,1300572,458,D,31340.00,31370.00
Marvdasht.Sugar,20210904,31890.00,31890.00,30500.00,31340.00,26969873650,860522,488,D,30380.00,31160.00
Marvdasht.Sugar,20210901,30350.00,30380.00,30350.00,30380.00,19567097310,644110,170,D,28940.00,30380.00
Marvdasht.Sugar,20210831,28300.00,30300.00,28280.00,28940.00,39783214300,1374587,513,D,29760.00,30000.00
Marvdasht.Sugar,20210830,29600.00,31110.00,29560.00,29760.00,25074504420,842496,312,D,31110.00,29560.00
Marvdasht.Sugar,20210829,31570.00,31570.00,28770.00,31110.00,92087318790,2960186,756,D,30070.00,29760.00
Marvdasht.Sugar,20210828,30070.00,30070.00,30070.00,30070.00,30538941650,1015595,183,D,28640.00,30070.00
Marvdasht.Sugar,20210825,28640.00,28640.00,28640.00,28640.00,40965854080,1430372,224,D,27280.00,28640.00
Marvdasht.Sugar,20210824,27280.00,27280.00,27280.00,27280.00,17885313600,655620,183,D,25990.00,27280.00
Marvdasht.Sugar,20210823,25350.00,26250.00,24510.00,25990.00,32147882810,1236816,528,D,25000.00,26250.00
Marvdasht.Sugar,20210822,24700.00,25280.00,24120.00,25000.00,14022607080,561340,381,D,25260.00,25020.00
Marvdasht.Sugar,20210815,26400.00,26400.00,24870.00,25260.00,24125243510,955095,502,D,26170.00,25270.00
Marvdasht.Sugar,20210814,26300.00,26360.00,25340.00,26170.00,31714307910,1211816,545,D,25110.00,26290.00
Marvdasht.Sugar,20210811,25210.00,25220.00,24160.00,25110.00,45118637080,1796488,456,D,24020.00,25220.00
Marvdasht.Sugar,20210810,23680.00,24130.00,22510.00,24020.00,18810545890,783183,281,D,22990.00,24130.00
Marvdasht.Sugar,20210809,22670.00,23640.00,22150.00,22990.00,10126444940,439311,343,D,22850.00,23320.00
Marvdasht.Sugar,20210808,23300.00,23330.00,22500.00,22850.00,12472526340,547686,320,D,23400.00,22860.00
Marvdasht.Sugar,20210807,24050.00,24050.00,23000.00,23400.00,11580115600,498523,323,D,24060.00,23030.00
Marvdasht.Sugar,20210804,24110.00,24440.00,23200.00,24060.00,7271765830,306175,280,D,24370.00,23600.00
Marvdasht.Sugar,20210803,25000.00,25000.00,23710.00,24370.00,7671834190,314105,269,D,24310.00,23890.00
Marvdasht.Sugar,20210802,24100.00,24760.00,23730.00,24310.00,4786659160,199021,257,D,24440.00,24270.00
Marvdasht.Sugar,20210801,24100.00,24850.00,24100.00,24440.00,8468939220,347583,277,D,24540.00,24350.00
Marvdasht.Sugar,20210731,24010.00,25030.00,24010.00,24540.00,7827642070,319850,238,D,24620.00,24450.00
Marvdasht.Sugar,20210728,24580.00,25120.00,23910.00,24620.00,7214171520,296118,266,D,24880.00,24070.00
Marvdasht.Sugar,20210727,25420.00,26890.00,24630.00,24880.00,25586297140,1028517,393,D,25920.00,24630.00
Marvdasht.Sugar,20210726,25490.00,26480.00,25460.00,25920.00,11693199020,450309,333,D,25740.00,26070.00
Marvdasht.Sugar,20210719,25500.00,26350.00,25400.00,25740.00,13546936460,526197,449,D,25710.00,25780.00
Marvdasht.Sugar,20210718,25160.00,26340.00,25000.00,25710.00,11840538260,460897,333,D,25790.00,25820.00
Marvdasht.Sugar,20210717,26490.00,26490.00,25450.00,25790.00,10595262970,410527,279,D,25760.00,25700.00
Marvdasht.Sugar,20210714,25460.00,26100.00,25180.00,25760.00,9177427080,358259,285,D,25960.00,26000.00
Marvdasht.Sugar,20210713,26980.00,26980.00,25460.00,25960.00,22166892620,853760,537,D,26800.00,25660.00
Marvdasht.Sugar,20210712,26940.00,27060.00,26010.00,26800.00,43452056810,1621583,804,D,25780.00,27060.00
Marvdasht.Sugar,20210711,24500.00,25830.00,24500.00,25780.00,21635688320,839262,301,D,24600.00,25830.00
Marvdasht.Sugar,20210710,24130.00,25000.00,24130.00,24600.00,13528823370,549830,367,D,24520.00,24650.00
Marvdasht.Sugar,20210707,24040.00,24990.00,24040.00,24520.00,11591016890,473619,293,D,24670.00,24500.00
Marvdasht.Sugar,20210706,24510.00,24970.00,24500.00,24670.00,8256794020,333879,258,D,24590.00,24530.00
Marvdasht.Sugar,20210705,24010.00,25000.00,24010.00,24590.00,12929073490,524592,288,D,24260.00,24820.00
