<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Goltash,20210921,7540.00,7820.00,7400.00,7660.00,4120060530,551105,208,D,7740.00,7460.00
Goltash,20210920,7750.00,7830.00,7530.00,7740.00,4995152260,648020,205,D,7750.00,7650.00
Goltash,20210919,7620.00,7800.00,7540.00,7750.00,5150711140,679128,234,D,7840.00,7620.00
Goltash,20210918,7880.00,8130.00,7600.00,7840.00,7154142100,931396,267,D,8000.00,7630.00
Goltash,20210915,8360.00,8360.00,7730.00,8000.00,6903934510,867934,399,D,8040.00,8060.00
Goltash,20210914,7840.00,8220.00,7840.00,8040.00,10410059100,1294357,423,D,8030.00,8140.00
Goltash,20210913,7750.00,8390.00,7710.00,8030.00,7147400620,890091,315,D,8040.00,7950.00
Goltash,20210912,8420.00,8420.00,8000.00,8040.00,14555704350,1809585,400,D,8420.00,8010.00
Goltash,20210911,8430.00,8900.00,8270.00,8420.00,13359303880,1590822,441,D,8700.00,8290.00
Goltash,20210908,8990.00,8990.00,8420.00,8700.00,3432822610,401631,231,D,8740.00,8550.00
Goltash,20210904,8970.00,8970.00,8520.00,8740.00,10986065720,1251630,308,D,8630.00,8750.00
Goltash,20210901,8940.00,8940.00,8250.00,8630.00,7237464260,832100,344,D,8550.00,8750.00
Goltash,20210831,8510.00,8870.00,8510.00,8550.00,32982264590,3856847,642,D,8950.00,8510.00
Goltash,20210830,8950.00,9000.00,8950.00,8950.00,21087879040,2355697,265,D,9420.00,8950.00
Goltash,20210829,9900.00,9900.00,9130.00,9420.00,25363788580,2692988,733,D,9610.00,9130.00
Goltash,20210828,9570.00,9700.00,9250.00,9610.00,34808641180,3621545,720,D,9240.00,9690.00
Goltash,20210825,9460.00,9480.00,9060.00,9240.00,31804680710,3443910,765,D,9060.00,9140.00
Goltash,20210824,8800.00,9080.00,8580.00,9060.00,23419599170,2585179,317,D,8650.00,9080.00
Goltash,20210823,9060.00,9060.00,8570.00,8650.00,46247962390,5348721,1056,D,9020.00,8770.00
Goltash,20210822,9100.00,9180.00,8660.00,9020.00,43086025650,4776341,982,D,8760.00,8860.00
Goltash,20210815,8780.00,8780.00,8410.00,8760.00,20616469530,2354279,246,D,8370.00,8780.00
Goltash,20210814,8340.00,8380.00,8150.00,8370.00,49249628350,5883817,741,D,7990.00,8380.00
Goltash,20210811,7570.00,8020.00,7570.00,7990.00,30522982380,3821743,470,D,7640.00,8020.00
Goltash,20210810,7690.00,7730.00,7610.00,7640.00,9062520530,1182319,327,D,7600.00,7630.00
Goltash,20210809,7730.00,7760.00,7460.00,7600.00,10804187080,1423146,413,D,7620.00,7650.00
Goltash,20210808,7790.00,7790.00,7410.00,7620.00,6026478260,799283,349,D,7680.00,7540.00
Goltash,20210807,7970.00,7970.00,7550.00,7680.00,10096897070,1322713,374,D,7790.00,7560.00
Goltash,20210804,7660.00,8000.00,7660.00,7790.00,10916492060,1402314,334,D,7800.00,7730.00
Goltash,20210803,7950.00,7950.00,7590.00,7800.00,3318167180,427492,223,D,7810.00,7720.00
Goltash,20210802,8000.00,8200.00,7550.00,7810.00,8438349440,1083564,387,D,7840.00,7790.00
Goltash,20210801,7560.00,8110.00,7530.00,7840.00,10762413580,1368034,391,D,7770.00,8000.00
Goltash,20210731,7600.00,7900.00,7540.00,7770.00,16184311420,2083838,466,D,7870.00,7600.00
Goltash,20210728,7620.00,7920.00,7620.00,7870.00,4821388710,622423,270,D,7930.00,7640.00
Goltash,20210727,7730.00,8070.00,7680.00,7930.00,6534963620,840093,268,D,8070.00,7690.00
Goltash,20210726,8290.00,8290.00,7870.00,8070.00,8768333030,1104975,384,D,8280.00,7900.00
Goltash,20210719,8150.00,8330.00,7970.00,8280.00,7255663310,888163,347,D,8380.00,8080.00
Goltash,20210718,8590.00,8590.00,8200.00,8380.00,14444896540,1721207,510,D,8280.00,8230.00
Goltash,20210717,8010.00,8380.00,7890.00,8280.00,31159719860,3762707,472,D,7990.00,8380.00
Goltash,20210714,7900.00,8110.00,7870.00,7990.00,6646372310,835551,213,D,8020.00,8010.00
Goltash,20210713,7860.00,8150.00,7860.00,8020.00,4455800110,553743,230,D,8010.00,8010.00
Goltash,20210712,7900.00,8260.00,7860.00,8010.00,12300342710,1539742,349,D,8080.00,7920.00
Goltash,20210711,8330.00,8330.00,8090.00,8080.00,7634027180,928838,302,D,7950.00,8140.00
Goltash,20210710,7650.00,8140.00,7650.00,7950.00,19255095700,2423126,451,D,7760.00,8140.00
Goltash,20210707,7850.00,7850.00,7540.00,7760.00,13544151740,1741841,305,D,7680.00,7830.00
Goltash,20210706,7520.00,7870.00,7500.00,7680.00,8456351160,1095568,303,D,7640.00,7730.00
