<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khalij.Fars.Trans,20210921,4463.00,4463.00,4237.00,4396.00,142253710733,32361290,2096,D,4251.00,4460.00
Khalij.Fars.Trans,20210920,4050.00,4296.00,4050.00,4251.00,54473283220,12815128,936,D,4092.00,4296.00
Khalij.Fars.Trans,20210919,4210.00,4210.00,4062.00,4092.00,52724607768,12884158,641,D,4275.00,4064.00
Khalij.Fars.Trans,20210918,4500.00,4500.00,4190.00,4275.00,94064568518,22004024,954,D,4335.00,4273.00
Khalij.Fars.Trans,20210915,4500.00,4500.00,4215.00,4335.00,74041236014,17079714,1628,D,4351.00,4381.00
Khalij.Fars.Trans,20210914,4020.00,4374.00,4020.00,4351.00,98305828153,22596294,1774,D,4166.00,4374.00
Khalij.Fars.Trans,20210913,4260.00,4420.00,4134.00,4166.00,130812892714,31396661,1524,D,4351.00,4190.00
Khalij.Fars.Trans,20210912,4380.00,4480.00,4164.00,4351.00,96744456418,22236601,1743,D,4675.00,4300.00
Khalij.Fars.Trans,20210908,4630.00,4817.00,4500.00,4675.00,82724566650,17693432,1192,D,4588.00,4690.00
Khalij.Fars.Trans,20210907,4320.00,4679.00,4236.00,4588.00,318639818512,69446482,4054,D,4457.00,4550.00
Khalij.Fars.Trans,20210906,4488.00,4488.00,4221.00,4457.00,309599045086,69462642,2458,D,4275.00,4318.00
Khalij.Fars.Trans,20210905,4240.00,4313.00,4130.00,4275.00,212410768899,49685018,1839,D,4108.00,4313.00
Khalij.Fars.Trans,20210904,4108.00,4108.00,4108.00,4108.00,31446045748,7654831,455,D,3913.00,4108.00
Khalij.Fars.Trans,20210901,3850.00,3997.00,3713.00,3913.00,100617292138,25711053,1473,D,3807.00,3997.00
Khalij.Fars.Trans,20210831,3790.00,3930.00,3640.00,3807.00,116396154229,30572069,1965,D,3831.00,3772.00
Khalij.Fars.Trans,20210830,3799.00,3989.00,3708.00,3831.00,160084547087,41792007,2458,D,3903.00,3730.00
Khalij.Fars.Trans,20210829,3997.00,4090.00,3798.00,3903.00,232160443552,59480715,3903,D,3582.00,3799.00
Khalij.Fars.Trans,20210823,3650.00,3650.00,3463.00,3582.00,86928432278,24268309,1556,D,3526.00,3590.00
Khalij.Fars.Trans,20210822,3440.00,3541.00,3373.00,3526.00,93498936369,26514823,1918,D,3373.00,3541.00
Khalij.Fars.Trans,20210815,3300.00,3449.00,3261.00,3373.00,44880695919,13305615,1229,D,3308.00,3371.00
Khalij.Fars.Trans,20210814,3409.00,3410.00,3251.00,3308.00,62751463919,18968359,1619,D,3414.00,3318.00
Khalij.Fars.Trans,20210811,3459.00,3480.00,3351.00,3414.00,70051240216,20518685,1821,D,3442.00,3410.00
Khalij.Fars.Trans,20210810,3400.00,3494.00,3345.00,3442.00,47356350692,13760242,1341,D,3339.00,3459.00
Khalij.Fars.Trans,20210809,3349.00,3400.00,3285.00,3339.00,63854227246,19126007,1553,D,3246.00,3376.00
Khalij.Fars.Trans,20210808,3150.00,3285.00,3100.00,3246.00,54048763514,16651854,1274,D,3129.00,3285.00
Khalij.Fars.Trans,20210807,3150.00,3247.00,3065.00,3129.00,65612706475,20971450,1847,D,3194.00,3120.00
Khalij.Fars.Trans,20210804,3250.00,3315.00,3115.00,3194.00,50829199380,15912342,1527,D,3193.00,3140.00
Khalij.Fars.Trans,20210803,3234.00,3300.00,3151.00,3193.00,45177134278,14150738,1344,D,3298.00,3221.00
Khalij.Fars.Trans,20210802,3340.00,3433.00,3265.00,3298.00,75843491526,22994424,1881,D,3436.00,3310.00
Khalij.Fars.Trans,20210801,3610.00,3610.00,3354.00,3436.00,63508592682,18483965,1755,D,3530.00,3402.00
