<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*North.Drilling,20210921,6140.00,6270.00,5880.00,5900.00,86695813930,14684239,1509,D,6180.00,5880.00
S*North.Drilling,20210920,6130.00,6330.00,6090.00,6180.00,46781743030,7572378,1280,D,6200.00,6130.00
S*North.Drilling,20210919,6200.00,6450.00,6070.00,6200.00,61247600360,9880396,1256,D,6370.00,6190.00
S*North.Drilling,20210918,6510.00,6690.00,6310.00,6370.00,86909623930,13636385,1456,D,6640.00,6310.00
S*North.Drilling,20210915,6630.00,6840.00,6510.00,6640.00,55877507310,8414152,2014,D,6630.00,6590.00
S*North.Drilling,20210914,6500.00,6750.00,6420.00,6630.00,46348869040,6993418,1499,D,6490.00,6680.00
S*North.Drilling,20210913,6510.00,6800.00,6440.00,6490.00,98567648270,15185263,1976,D,6770.00,6500.00
S*North.Drilling,20210912,6870.00,7070.00,6750.00,6770.00,112734219110,16641868,1480,D,7100.00,6750.00
S*North.Drilling,20210911,7190.00,7350.00,6870.00,7100.00,72833352530,10251935,1801,D,7130.00,6960.00
S*North.Drilling,20210908,7040.00,7220.00,6930.00,7130.00,98113689920,13760500,2677,D,6920.00,7180.00
S*North.Drilling,20210907,6900.00,7070.00,6660.00,6920.00,128806987470,18619879,2770,D,6910.00,6960.00
S*North.Drilling,20210906,7140.00,7140.00,6800.00,6910.00,82814586920,11976744,1406,D,7150.00,6810.00
S*North.Drilling,20210904,7290.00,7290.00,7000.00,7150.00,171852949600,24021239,2674,D,7070.00,7140.00
S*North.Drilling,20210901,6890.00,7230.00,6790.00,7070.00,140622136880,19879568,2202,D,6950.00,7150.00
S*North.Drilling,20210831,6930.00,7140.00,6930.00,6950.00,476744914920,68636204,3892,D,7290.00,6930.00
S*North.Drilling,20210830,7310.00,7450.00,7280.00,7290.00,144925520680,19873338,1430,D,7660.00,7280.00
S*North.Drilling,20210829,7950.00,7950.00,7550.00,7660.00,404854721400,52870079,5022,D,7940.00,7550.00
S*North.Drilling,20210828,7790.00,8100.00,7410.00,7940.00,225026465450,28323222,3627,D,7730.00,7840.00
S*North.Drilling,20210825,7730.00,8000.00,7470.00,7730.00,430556648800,55680512,4715,D,7730.00,7710.00
S*North.Drilling,20210824,7540.00,7740.00,7500.00,7730.00,827920828060,107164710,5095,D,7380.00,7740.00
S*North.Drilling,20210823,7320.00,7420.00,7120.00,7380.00,270463084380,36650926,1758,D,7070.00,7420.00
S*North.Drilling,20210822,7070.00,7070.00,6880.00,7070.00,565072721530,79976266,3682,D,6740.00,7070.00
S*North.Drilling,20210815,6490.00,6780.00,6370.00,6740.00,120657885590,17913632,1360,D,6460.00,6780.00
S*North.Drilling,20210814,6650.00,6650.00,6360.00,6460.00,79412975250,12298032,1537,D,6530.00,6530.00
S*North.Drilling,20210811,6600.00,6710.00,6400.00,6530.00,174985951780,26784002,2437,D,6460.00,6650.00
S*North.Drilling,20210810,6320.00,6600.00,6200.00,6460.00,157453169910,24374323,2089,D,6310.00,6600.00
S*North.Drilling,20210809,6300.00,6410.00,6180.00,6310.00,93129365310,14767398,1929,D,6280.00,6320.00
S*North.Drilling,20210808,6040.00,6320.00,5950.00,6280.00,149437567380,23800825,1750,D,6020.00,6320.00
S*North.Drilling,20210807,6020.00,6090.00,5850.00,6020.00,84636513650,14068570,1795,D,5840.00,6040.00
S*North.Drilling,20210804,5830.00,6000.00,5690.00,5840.00,101017306670,17310760,2076,D,5720.00,6000.00
S*North.Drilling,20210803,5780.00,5860.00,5620.00,5720.00,71092609520,12419851,1950,D,5850.00,5710.00
S*North.Drilling,20210802,5890.00,6080.00,5730.00,5850.00,85936986110,14681748,2244,D,5980.00,5780.00
S*North.Drilling,20210801,6100.00,6190.00,5850.00,5980.00,94884431660,15862679,2221,D,6100.00,5940.00
S*North.Drilling,20210731,6050.00,6210.00,5950.00,6100.00,105726539240,17345867,2183,D,5930.00,6120.00
S*North.Drilling,20210728,5900.00,6080.00,5900.00,5930.00,237381848000,39999289,3646,D,6210.00,5960.00
S*North.Drilling,20210727,6200.00,6320.00,6200.00,6210.00,294153963170,47340240,3001,D,6520.00,6200.00
S*North.Drilling,20210726,6520.00,6610.00,6520.00,6520.00,93079963800,14273080,964,D,6860.00,6520.00
S*North.Drilling,20210719,6730.00,6950.00,6730.00,6860.00,62690896890,9139999,1660,D,6780.00,6820.00
S*North.Drilling,20210718,6750.00,6830.00,6700.00,6780.00,45661615810,6738430,1261,D,6880.00,6770.00
S*North.Drilling,20210717,6720.00,7000.00,6720.00,6880.00,79306435030,11531136,1604,D,6750.00,6810.00
S*North.Drilling,20210714,6620.00,6880.00,6590.00,6750.00,49766536770,7373099,1338,D,6720.00,6770.00
S*North.Drilling,20210713,6800.00,6950.00,6590.00,6720.00,56276875780,8376227,1344,D,6870.00,6610.00
S*North.Drilling,20210712,6810.00,7030.00,6770.00,6870.00,86309957150,12567348,1735,D,6860.00,6800.00
S*North.Drilling,20210711,6800.00,6970.00,6670.00,6860.00,64308928110,9367888,1355,D,6760.00,6890.00
S*North.Drilling,20210710,6940.00,6980.00,6660.00,6760.00,63329257650,9373183,1634,D,6970.00,6800.00
S*North.Drilling,20210707,6850.00,7110.00,6700.00,6970.00,143753054960,20620755,2651,D,6780.00,6930.00
S*North.Drilling,20210706,6700.00,6890.00,6590.00,6780.00,88802320640,13088395,1695,D,6590.00,6850.00
S*North.Drilling,20210705,6410.00,6670.00,6410.00,6590.00,53779624750,8166285,1214,D,6490.00,6620.00
S*North.Drilling,20210704,6260.00,6630.00,6190.00,6490.00,31252078780,4817049,922,D,6480.00,6470.00
S*North.Drilling,20210703,6700.00,6830.00,6380.00,6480.00,144125488680,22244363,2207,D,6710.00,6400.00
S*North.Drilling,20210630,6410.00,6740.00,6300.00,6710.00,222440343570,33173282,2201,D,6420.00,6740.00
S*North.Drilling,20210629,6420.00,6640.00,6280.00,6420.00,44250833060,6893556,1042,D,6460.00,6380.00
S*North.Drilling,20210628,6570.00,6650.00,6370.00,6460.00,62125334430,9620071,1277,D,6670.00,6500.00
S*North.Drilling,20210627,6660.00,6880.00,6520.00,6670.00,66236949640,9937351,1286,D,6750.00,6570.00
S*North.Drilling,20210626,6590.00,6800.00,6450.00,6750.00,135959780480,20153623,1928,D,6480.00,6670.00
S*North.Drilling,20210623,6290.00,6560.00,6140.00,6480.00,167104818010,25785601,2018,D,6250.00,6560.00
S*North.Drilling,20210622,6160.00,6350.00,6130.00,6250.00,80394175370,12867245,1389,D,6050.00,6240.00
S*North.Drilling,20210621,6060.00,6180.00,5950.00,6050.00,41025327190,6778658,851,D,5980.00,6180.00
S*North.Drilling,20210620,6130.00,6130.00,5880.00,5980.00,38537325600,6444962,909,D,6010.00,6020.00
S*North.Drilling,20210619,5790.00,6070.00,5790.00,6010.00,79809106650,13278399,1175,D,5790.00,6070.00
S*North.Drilling,20210616,5930.00,5930.00,5740.00,5790.00,28916172860,4994800,798,D,5890.00,5790.00
S*North.Drilling,20210615,6130.00,6130.00,5730.00,5890.00,42846861050,7278092,1091,D,6000.00,5800.00
S*North.Drilling,20210614,6080.00,6230.00,5890.00,6000.00,72297756470,12056742,1458,D,6080.00,6110.00
S*North.Drilling,20210613,5880.00,6200.00,5850.00,6080.00,55982846070,9203846,994,D,5950.00,6100.00
S*North.Drilling,20210612,5930.00,6110.00,5850.00,5950.00,45121091650,7583440,832,D,6060.00,5970.00
S*North.Drilling,20210609,6000.00,6200.00,5900.00,6060.00,44936894650,7410230,944,D,6180.00,6080.00
S*North.Drilling,20210608,6350.00,6410.00,6050.00,6180.00,123475088080,19974931,2257,D,6360.00,6080.00
S*North.Drilling,20210607,6410.00,6410.00,6250.00,6360.00,159366049760,25057399,2188,D,6110.00,6330.00
S*North.Drilling,20210602,5760.00,6120.00,5760.00,6110.00,123724358680,20257566,1387,D,5830.00,6120.00
S*North.Drilling,20210601,5720.00,5960.00,5700.00,5830.00,63042974940,10809728,1024,D,5860.00,5840.00
S*North.Drilling,20210531,5890.00,6080.00,5660.00,5860.00,63748322530,10883671,1441,D,5860.00,5780.00
S*North.Drilling,20210530,5880.00,5880.00,5650.00,5860.00,218852772660,37354911,2426,D,5600.00,5880.00
S*North.Drilling,20210529,5570.00,5610.00,5500.00,5600.00,35211631380,6285191,418,D,5350.00,5610.00
S*North.Drilling,20210526,5130.00,5390.00,5130.00,5350.00,80229058360,14992373,1364,D,5140.00,5390.00
S*North.Drilling,20210525,5040.00,5280.00,5040.00,5140.00,49612842220,9658449,1376,D,5070.00,5190.00
S*North.Drilling,20210524,5050.00,5250.00,5030.00,5070.00,63563390390,12544716,1502,D,5290.00,5040.00
S*North.Drilling,20210523,5300.00,5440.00,5260.00,5290.00,19592307290,3704378,551,D,5530.00,5260.00
S*North.Drilling,20210522,5750.00,5750.00,5500.00,5530.00,27564814790,4988404,681,D,5780.00,5500.00
S*North.Drilling,20210519,5750.00,6000.00,5590.00,5780.00,78072731290,13518512,2162,D,5830.00,5820.00
S*North.Drilling,20210518,5810.00,5980.00,5680.00,5830.00,41801138450,7173676,1051,D,5860.00,5750.00
S*North.Drilling,20210517,5860.00,6010.00,5780.00,5860.00,75482657980,12873166,1189,D,6010.00,5910.00
S*North.Drilling,20210516,5990.00,6180.00,5900.00,6010.00,84996010140,14139349,1675,D,6050.00,6000.00
S*North.Drilling,20210515,6100.00,6280.00,5950.00,6050.00,108141158260,17873050,2251,D,6260.00,6010.00
S*North.Drilling,20210512,6230.00,6390.00,6150.00,6260.00,33363363690,5356636,821,D,6340.00,6150.00
S*North.Drilling,20210511,6200.00,6490.00,6160.00,6340.00,95651845490,15098848,2179,D,6330.00,6270.00
