<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Tuka.Trans.,20210921,19950.00,20270.00,18940.00,19110.00,30569037960,1599982,504,D,19930.00,18940.00
Tuka.Trans.,20210920,19050.00,20390.00,19050.00,19930.00,37451784790,1879094,776,D,19770.00,19940.00
Tuka.Trans.,20210919,20460.00,21000.00,19540.00,19770.00,44269180400,2239413,734,D,20560.00,19540.00
Tuka.Trans.,20210918,21450.00,21520.00,20460.00,20560.00,42842522070,2083705,718,D,21530.00,20460.00
Tuka.Trans.,20210915,21500.00,21900.00,20900.00,21530.00,66339963870,3081625,1696,D,20900.00,21260.00
Tuka.Trans.,20210914,19970.00,20960.00,19970.00,20900.00,78850778380,3773319,1290,D,19970.00,20960.00
Tuka.Trans.,20210913,19520.00,20850.00,19420.00,19970.00,102099422960,5113203,1703,D,20440.00,20330.00
Tuka.Trans.,20210912,20970.00,21340.00,20350.00,20440.00,18248095820,892653,436,D,21420.00,20350.00
Tuka.Trans.,20210911,21900.00,22540.00,20810.00,21420.00,77771197860,3630982,1480,D,21900.00,20890.00
Tuka.Trans.,20210908,21850.00,22390.00,21540.00,21900.00,69106148660,3155977,1693,D,21850.00,21700.00
Tuka.Trans.,20210907,21150.00,22420.00,20600.00,21850.00,122186244180,5591395,2383,D,21480.00,21500.00
Tuka.Trans.,20210906,21630.00,21630.00,20810.00,21480.00,103984956390,4840778,1414,D,20600.00,20890.00
Tuka.Trans.,20210905,19910.00,21290.00,19700.00,20600.00,117149956820,5687938,1886,D,20280.00,21290.00
Tuka.Trans.,20210904,20510.00,20980.00,19600.00,20280.00,90444108980,4460414,1491,D,20210.00,20520.00
Tuka.Trans.,20210901,19500.00,20510.00,19220.00,20210.00,108520066650,5369708,1510,D,19540.00,20490.00
Tuka.Trans.,20210831,19550.00,20100.00,19420.00,19540.00,97397756430,4984692,1214,D,20440.00,19420.00
Tuka.Trans.,20210830,20260.00,21260.00,20210.00,20440.00,116622010700,5706446,1346,D,21270.00,20210.00
Tuka.Trans.,20210829,22500.00,22700.00,20870.00,21270.00,166512320070,7826856,2854,D,21960.00,20870.00
Tuka.Trans.,20210828,21960.00,21960.00,21960.00,21960.00,41327073000,1881925,393,D,20920.00,21960.00
Tuka.Trans.,20210825,20330.00,21040.00,20250.00,20920.00,93757202490,4480771,1392,D,20040.00,21040.00
Tuka.Trans.,20210824,19310.00,20270.00,19310.00,20040.00,96165156920,4797980,1261,D,19310.00,20270.00
Tuka.Trans.,20210823,19630.00,19670.00,18950.00,19310.00,79633234950,4123191,1503,D,19370.00,19360.00
Tuka.Trans.,20210822,18540.00,19450.00,18300.00,19370.00,113526334400,5862250,1641,D,18530.00,19450.00
Tuka.Trans.,20210815,18120.00,18970.00,17900.00,18530.00,79633037650,4297484,1234,D,18330.00,18590.00
Tuka.Trans.,20210814,19210.00,19330.00,18160.00,18330.00,96801739270,5280893,1739,D,19110.00,18210.00
Tuka.Trans.,20210811,19180.00,19360.00,18680.00,19110.00,96262972680,5037079,1497,D,18570.00,19100.00
Tuka.Trans.,20210810,18910.00,18980.00,18190.00,18570.00,129748301190,6987589,1928,D,19010.00,18980.00
Tuka.Trans.,20210809,18560.00,19390.00,18560.00,19010.00,55184773610,2902323,930,D,18870.00,19020.00
Tuka.Trans.,20210808,19060.00,19310.00,18300.00,18870.00,50681111610,2685728,1051,D,18700.00,18870.00
