<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Indamin,20210921,21500.00,21500.00,20320.00,20440.00,36280639450,1775399,541,D,21380.00,20320.00
Indamin,20210920,21360.00,22140.00,20940.00,21380.00,48755161430,2280508,987,D,21570.00,21110.00
Indamin,20210919,21300.00,22700.00,21160.00,21570.00,43239126490,2004937,822,D,22270.00,21360.00
Indamin,20210918,23650.00,23890.00,21970.00,22270.00,48619682260,2182908,1131,D,23120.00,21970.00
Indamin,20210915,22650.00,23460.00,21790.00,23120.00,88197777430,3814850,1883,D,22350.00,23200.00
Indamin,20210914,21810.00,22360.00,21810.00,22350.00,54688302360,2447185,904,D,21300.00,22360.00
Indamin,20210913,21230.00,21990.00,20260.00,21300.00,47551160370,2232832,1216,D,21320.00,21530.00
Indamin,20210912,21800.00,22280.00,21230.00,21320.00,29912713020,1403349,626,D,22340.00,21230.00
Indamin,20210911,22460.00,23300.00,21660.00,22340.00,70055655140,3135461,1239,D,22800.00,22000.00
Indamin,20210908,24000.00,24000.00,22450.00,22800.00,76962780590,3375302,1551,D,23350.00,22520.00
Indamin,20210907,22800.00,24480.00,22740.00,23350.00,89625936890,3838242,1696,D,23630.00,23000.00
Indamin,20210906,24000.00,24490.00,22660.00,23630.00,84358157250,3569320,1695,D,23480.00,22810.00
Indamin,20210905,23000.00,23780.00,22140.00,23480.00,83923032060,3574224,1560,D,22650.00,23780.00
Indamin,20210904,23580.00,23580.00,22000.00,22650.00,81295269100,3588669,1467,D,22530.00,23000.00
Indamin,20210901,22470.00,23080.00,21000.00,22530.00,89969689200,3992604,1233,D,21990.00,23080.00
Indamin,20210831,21840.00,23100.00,21350.00,21990.00,111798616000,5084689,1666,D,22470.00,21900.00
Indamin,20210830,21820.00,24000.00,21810.00,22470.00,103895187000,4624452,1695,D,22950.00,21810.00
Indamin,20210829,23490.00,23670.00,21430.00,22950.00,138294790000,6025419,2155,D,22550.00,21920.00
Indamin,20210828,22400.00,22560.00,21740.00,22550.00,133315444940,5911713,1031,D,21490.00,22560.00
Indamin,20210825,21690.00,21710.00,20690.00,21490.00,69688134570,3242906,1087,D,20680.00,21710.00
Indamin,20210824,19770.00,20750.00,19370.00,20680.00,83482506740,4036222,1157,D,19770.00,20710.00
Indamin,20210823,20620.00,20620.00,19120.00,19770.00,56310971700,2847712,1222,D,20120.00,19330.00
Indamin,20210822,19790.00,20170.00,19220.00,20120.00,66068716010,3283636,935,D,19210.00,20170.00
Indamin,20210815,18900.00,19700.00,18000.00,19210.00,68402076620,3561083,1043,D,18770.00,19600.00
Indamin,20210814,18020.00,18820.00,17600.00,18770.00,83273176180,4435979,1111,D,17930.00,18820.00
Indamin,20210811,18590.00,18590.00,17510.00,17930.00,48915903480,2728805,1037,D,18430.00,17820.00
Indamin,20210810,18440.00,18620.00,18060.00,18430.00,57276829410,3107774,1015,D,17740.00,18360.00
Indamin,20210809,16670.00,17890.00,16660.00,17740.00,42622642620,2402555,492,D,17040.00,17890.00
Indamin,20210808,16640.00,17470.00,16220.00,17040.00,42887151480,2516960,907,D,16640.00,17300.00
Indamin,20210807,16230.00,17070.00,16230.00,16640.00,18231286920,1095934,473,D,16570.00,16480.00
Indamin,20210804,16450.00,17140.00,16210.00,16570.00,44236563840,2669870,767,D,17060.00,16350.00
Indamin,20210803,17550.00,17550.00,16700.00,17060.00,28917625240,1694636,686,D,17060.00,16750.00
Indamin,20210802,16520.00,17140.00,16140.00,17060.00,61624172690,3612438,933,D,16330.00,17140.00
Indamin,20210801,16300.00,16960.00,16000.00,16330.00,16042886930,982553,527,D,16310.00,16260.00
Indamin,20210731,16290.00,16680.00,16060.00,16310.00,14690398290,900667,538,D,16280.00,16120.00
Indamin,20210728,16550.00,16880.00,15890.00,16280.00,20607937380,1265967,671,D,16720.00,16340.00
Indamin,20210727,17320.00,17670.00,16560.00,16720.00,19113695250,1143417,419,D,17430.00,16560.00
Indamin,20210726,17050.00,17590.00,17050.00,17430.00,19672429630,1128895,587,D,17190.00,17400.00
Indamin,20210719,16820.00,17700.00,16770.00,17190.00,28948228310,1684342,669,D,17200.00,17170.00
Indamin,20210718,18100.00,18100.00,16980.00,17200.00,24526016370,1425683,660,D,17780.00,17000.00
Indamin,20210717,17800.00,18140.00,17420.00,17780.00,34376508700,1933358,1011,D,17330.00,17600.00
Indamin,20210714,17550.00,17990.00,17100.00,17330.00,65247759800,3765033,1632,D,18000.00,17250.00
Indamin,20210713,18380.00,18700.00,17860.00,18000.00,33791283330,1877271,726,D,18790.00,17860.00
Indamin,20210712,18780.00,19400.00,18340.00,18790.00,21403587780,1139133,621,D,18670.00,18410.00
Indamin,20210711,19440.00,19440.00,18260.00,18670.00,25881760030,1386379,768,D,19000.00,18390.00
Indamin,20210710,19350.00,19350.00,18250.00,19000.00,29567343340,1556494,939,D,18890.00,18930.00
Indamin,20210707,18400.00,19040.00,18140.00,18890.00,60348348520,3195162,1016,D,18140.00,18850.00
Indamin,20210706,17700.00,18640.00,17510.00,18140.00,36323004470,2002494,837,D,18150.00,18350.00
Indamin,20210705,18710.00,18790.00,17720.00,18150.00,36120146980,1990231,912,D,18130.00,17740.00
Indamin,20210704,17430.00,18290.00,17220.00,18130.00,45134668270,2489020,757,D,17420.00,18290.00
Indamin,20210703,17600.00,17660.00,17180.00,17420.00,39959300530,2293983,891,D,16870.00,17400.00
Indamin,20210630,16580.00,17270.00,16030.00,16870.00,71039072750,4210705,1247,D,16450.00,17270.00
Indamin,20210629,16320.00,16990.00,16110.00,16450.00,36262449170,2205017,784,D,16700.00,16470.00
Indamin,20210628,17000.00,17200.00,16200.00,16700.00,37050896820,2218913,767,D,16920.00,16600.00
Indamin,20210627,16900.00,17500.00,16390.00,16920.00,58220109480,3441538,1264,D,16870.00,16700.00
Indamin,20210626,16270.00,16970.00,15650.00,16870.00,92113791170,5459080,1451,D,16170.00,16970.00
Indamin,20210623,16100.00,16700.00,15900.00,16170.00,51313247920,3173620,1388,D,16390.00,16030.00
Indamin,20210622,16500.00,17050.00,15980.00,16390.00,50342671050,3071747,1393,D,16400.00,16100.00
Indamin,20210621,15900.00,16980.00,15860.00,16400.00,116674760280,7113002,2275,D,16690.00,16250.00
Indamin,20210620,16680.00,17310.00,16580.00,16690.00,130472607950,7819510,1037,D,17450.00,16580.00
Indamin,20210619,18000.00,18750.00,17100.00,17450.00,111458836330,6388461,1201,D,25000.00,17100.00
Indamin,20210614,23950.00,23950.00,23950.00,25000.00,2347555050,98019,21,D,25210.00,23950.00
Indamin,20210613,23950.00,23950.00,23950.00,25210.00,19615050,819,3,D,25210.00,23950.00
Indamin,20210612,24220.00,24220.00,24220.00,25210.00,3168823700,130835,9,D,25490.00,24220.00
Indamin,20210609,24320.00,24320.00,24320.00,25490.00,1106000640,45477,10,D,25590.00,24320.00
Indamin,20210608,24410.00,24410.00,24410.00,25590.00,1096716890,44929,23,D,25690.00,24410.00
Indamin,20210607,24940.00,24940.00,24940.00,25690.00,6091420420,244243,34,D,26250.00,24940.00
Indamin,20210602,25000.00,25000.00,25000.00,26250.00,659600000,26384,14,D,26310.00,25000.00
Indamin,20210601,25010.00,25010.00,25010.00,26310.00,88585420,3542,16,D,26320.00,25010.00
Indamin,20210531,25040.00,25040.00,25040.00,26320.00,304210960,12149,39,D,26350.00,25040.00
Indamin,20210530,25050.00,25050.00,25050.00,26350.00,131061600,5232,10,D,26360.00,25050.00
Indamin,20210529,25090.00,25090.00,25090.00,26360.00,552958510,22039,15,D,26410.00,25090.00
Indamin,20210526,25330.00,25330.00,25330.00,26410.00,2685511930,106021,11,D,26660.00,25330.00
Indamin,20210525,25330.00,25330.00,25330.00,26660.00,48380300,1910,2,D,26660.00,25330.00
Indamin,20210524,25450.00,25450.00,25450.00,26660.00,1313220000,51600,6,D,26780.00,25450.00
Indamin,20210522,25750.00,25750.00,25750.00,26780.00,3352650000,130200,6,D,27100.00,25750.00
Indamin,20210519,25750.00,25750.00,25750.00,27100.00,5175750,201,1,D,27100.00,25750.00
Indamin,20210518,25750.00,25750.00,25750.00,27100.00,5150000,200,1,D,27100.00,25750.00
Indamin,20210516,25770.00,25770.00,25770.00,27100.00,189821820,7366,15,D,27120.00,25770.00
Indamin,20210515,25780.00,25780.00,25780.00,27120.00,81387460,3157,6,D,27130.00,25780.00
Indamin,20210512,26320.00,26320.00,26320.00,27130.00,43059520,1636,1,D,27130.00,26320.00
Indamin,20210511,26320.00,26320.00,26320.00,27130.00,52640000,2000,2,D,27130.00,26320.00
Indamin,20210510,26320.00,26320.00,26320.00,27130.00,26320000,1000,1,D,27130.00,26320.00
Indamin,20210509,26320.00,26320.00,26320.00,27130.00,87671920,3331,4,D,27130.00,26320.00
Indamin,20210508,26320.00,26320.00,26320.00,27130.00,26320000,1000,1,D,27130.00,26320.00
Indamin,20210505,26320.00,26320.00,26320.00,27130.00,14239120,541,2,D,27130.00,26320.00
Indamin,20210503,26320.00,26320.00,26320.00,27130.00,276360000,10500,2,D,27130.00,26320.00
Indamin,20210502,26320.00,26320.00,26320.00,27130.00,149760800,5690,4,D,27130.00,26320.00
Indamin,20210501,26320.00,26320.00,26320.00,27130.00,54087600,2055,3,D,27130.00,26320.00
Indamin,20210428,26320.00,26320.00,26320.00,27130.00,78696800,2990,3,D,27130.00,26320.00
Indamin,20210427,26320.00,26320.00,26320.00,27130.00,34821360,1323,4,D,27130.00,26320.00
Indamin,20210425,26320.00,26320.00,26320.00,27130.00,7896000,300,1,D,27130.00,26320.00
Indamin,20210424,26320.00,26320.00,26320.00,27130.00,28083440,1067,3,D,27130.00,26320.00
Indamin,20210421,26320.00,26320.00,26320.00,27130.00,160841520,6111,4,D,27130.00,26320.00
Indamin,20210420,26590.00,26590.00,26590.00,27130.00,23931000,900,3,D,27130.00,26590.00
Indamin,20210419,26590.00,26590.00,26590.00,27130.00,95139020,3578,6,D,27130.00,26590.00
Indamin,20210418,26590.00,26590.00,26590.00,27130.00,62167420,2338,2,D,27130.00,26590.00
Indamin,20210417,26590.00,26590.00,26590.00,27130.00,11699600,440,1,D,27130.00,26590.00
Indamin,20210414,26590.00,26590.00,26590.00,27130.00,16406030,617,3,D,27130.00,26590.00
Indamin,20210413,26590.00,26590.00,26590.00,27130.00,409007380,15382,27,D,27130.00,26590.00
Indamin,20210412,26590.00,26590.00,26590.00,27130.00,183869850,6915,5,D,27130.00,26590.00
Indamin,20210411,26590.00,26590.00,26590.00,27130.00,58577770,2203,3,D,27130.00,26590.00
Indamin,20210410,26590.00,26590.00,26590.00,27130.00,24994600,940,2,D,27130.00,26590.00
Indamin,20210407,26590.00,26590.00,26590.00,27130.00,40629520,1528,6,D,27130.00,26590.00
Indamin,20210406,26850.00,27290.00,26850.00,27130.00,23887825720,889280,235,D,27390.00,26850.00
Indamin,20210405,26850.00,26850.00,26850.00,27390.00,33777300,1258,4,D,27390.00,26850.00
Indamin,20210404,26850.00,26850.00,26850.00,27390.00,232494150,8659,9,D,27390.00,26850.00
Indamin,20210403,26880.00,26880.00,26880.00,27390.00,2633702400,97980,39,D,27420.00,26880.00
Indamin,20210331,27080.00,27200.00,27070.00,27420.00,17568286830,648937,287,D,27620.00,27070.00
Indamin,20210330,27550.00,28390.00,27550.00,27620.00,45944599050,1666036,571,D,28110.00,27550.00
Indamin,20210328,28500.00,29400.00,27920.00,28110.00,87566753300,3115037,1337,D,28480.00,27920.00
Indamin,20210327,27330.00,29550.00,27330.00,28480.00,189219340740,6644123,2181,D,27880.00,28950.00
Indamin,20210317,27750.00,27750.00,27750.00,27880.00,37264309500,1342858,208,D,28310.00,27750.00
Indamin,20210316,28130.00,28130.00,28130.00,28310.00,33650540630,1196251,167,D,28700.00,28130.00
Indamin,20210315,28130.00,28130.00,28130.00,28700.00,273086040,9708,22,D,28700.00,28130.00
Indamin,20210309,28130.00,28130.00,28130.00,28700.00,357869860,12722,12,D,28700.00,28130.00
Indamin,20210308,28130.00,28130.00,28130.00,28700.00,211987680,7536,14,D,28700.00,28130.00
Indamin,20210307,28130.00,28130.00,28130.00,28700.00,108075460,3842,4,D,28700.00,28130.00
Indamin,20210306,28150.00,28150.00,28150.00,28700.00,1431455650,50851,14,D,28720.00,28150.00
Indamin,20210303,28150.00,28150.00,28150.00,28720.00,154430900,5486,8,D,28720.00,28150.00
Indamin,20210302,28190.00,28190.00,28190.00,28720.00,3212137740,113946,20,D,28760.00,28190.00
Indamin,20210301,28200.00,28200.00,28200.00,28760.00,1258791600,44638,9,D,28770.00,28200.00
Indamin,20210228,28200.00,28200.00,28200.00,28770.00,324356400,11502,8,D,28770.00,28200.00
Indamin,20210227,28200.00,28200.00,28200.00,28770.00,77239800,2739,10,D,28770.00,28200.00
Indamin,20210224,28480.00,28490.00,28480.00,28770.00,25855231290,907837,236,D,29060.00,28480.00
Indamin,20210223,28490.00,28490.00,28490.00,29060.00,959856590,33691,20,D,29070.00,28490.00
Indamin,20210222,28490.00,28490.00,28490.00,29070.00,368062310,12919,16,D,29070.00,28490.00
Indamin,20210221,28520.00,28520.00,28520.00,29070.00,2893867360,101468,60,D,29100.00,28520.00
Indamin,20210220,28480.00,29490.00,27280.00,29100.00,409491672340,14071035,4428,D,27830.00,28410.00
Indamin,20210217,27910.00,28700.00,27790.00,27830.00,77820583950,2795831,961,D,28350.00,27790.00
Indamin,20210216,28120.00,29620.00,28120.00,28350.00,148870640950,5250673,1427,D,28690.00,28290.00
Indamin,20210215,28190.00,28190.00,28190.00,28690.00,6311712810,223899,88,D,28760.00,28190.00
Indamin,20210214,29540.00,29540.00,28540.00,28760.00,34249024760,1198076,490,D,29120.00,28540.00
Indamin,20210213,29970.00,29980.00,28540.00,29120.00,125721872200,4317054,1886,D,28290.00,29200.00
Indamin,20210209,28500.00,29940.00,27330.00,28290.00,235670205100,8329459,3162,D,28760.00,28800.00
Indamin,20210208,31040.00,31040.00,28100.00,28760.00,350444842750,12185628,3443,D,29570.00,28100.00
Indamin,20210207,29750.00,29750.00,29750.00,29570.00,48121487750,1617529,437,D,28340.00,29750.00
Indamin,20210206,28360.00,28360.00,27300.00,28340.00,195964669440,6914693,1800,D,27010.00,28360.00
Indamin,20210203,27400.00,28380.00,25680.00,27010.00,260234241210,9635978,3612,D,27030.00,28380.00
Indamin,20210202,26770.00,28160.00,26770.00,27030.00,165611963800,6126457,2285,D,28170.00,26780.00
Indamin,20210201,28000.00,29200.00,28000.00,28170.00,96969665390,3441747,1170,D,29470.00,28000.00
Indamin,20210131,31800.00,31800.00,28920.00,29470.00,178902039820,6071269,2420,D,30440.00,28920.00
Indamin,20210130,30550.00,31900.00,29110.00,30440.00,363553381390,11943444,5279,D,30640.00,31470.00
Indamin,20210127,30630.00,31130.00,30630.00,30640.00,198760851670,6486279,1782,D,32240.00,30630.00
Indamin,20210126,32050.00,33420.00,31920.00,32240.00,48724450460,1511488,682,D,33600.00,31920.00
Indamin,20210125,33780.00,34500.00,33430.00,33600.00,274911559900,8181717,2580,D,35180.00,33430.00
Indamin,20210124,34710.00,36520.00,33060.00,35180.00,458028863210,13020558,4919,D,34790.00,33760.00
Indamin,20210123,34700.00,35980.00,34700.00,34790.00,100300795370,2883224,1072,D,36520.00,34700.00
Indamin,20210120,37500.00,38000.00,36280.00,36520.00,138425274930,3790275,1551,D,38180.00,36280.00
Indamin,20210119,38140.00,38810.00,38140.00,38180.00,219517395360,5749782,2138,D,40140.00,38140.00
Indamin,20210118,38220.00,38220.00,38220.00,40140.00,2039075220,53351,55,D,40230.00,38220.00
Indamin,20210116,39980.00,42040.00,39980.00,40230.00,55319533380,1374929,508,D,42080.00,39980.00
Indamin,20210113,42100.00,44210.00,42000.00,42080.00,161427901950,3835936,1607,D,44210.00,42000.00
Indamin,20210112,44060.00,46000.00,44050.00,44210.00,248829573230,5627772,2670,D,46360.00,44050.00
Indamin,20210111,49300.00,49300.00,44620.00,46360.00,521932351380,11257220,6096,D,46960.00,44620.00
Indamin,20210110,47130.00,47130.00,47130.00,46960.00,48779550000,1035000,469,D,44890.00,47130.00
Indamin,20210109,42620.00,46810.00,42370.00,44890.00,557462579300,12418168,5878,D,44590.00,46810.00
Indamin,20210106,44220.00,47300.00,43630.00,44590.00,134097406090,3007271,1320,D,45920.00,43630.00
Indamin,20210105,48000.00,48000.00,45540.00,45920.00,227586543500,4956294,2743,D,47930.00,45540.00
Indamin,20210104,48500.00,50570.00,45780.00,47930.00,1188534341920,24799832,12903,D,48180.00,48000.00
Indamin,20210103,48180.00,48180.00,48180.00,48180.00,110226974880,2287816,903,D,45890.00,48180.00
Indamin,20210102,45890.00,45890.00,45890.00,45890.00,88996496160,1939344,870,D,43710.00,45890.00
Indamin,20201230,43710.00,43710.00,43710.00,43710.00,88547630580,2025798,701,D,41630.00,43710.00
Indamin,20201229,41900.00,42170.00,40100.00,41630.00,246900125190,5930930,2467,D,40170.00,42170.00
Indamin,20201228,38500.00,41500.00,38270.00,40170.00,354777299200,8832464,5198,D,39590.00,40890.00
Indamin,20201227,39250.00,41180.00,39140.00,39590.00,299535385650,7565980,4773,D,41190.00,39140.00
Indamin,20201226,42800.00,43790.00,40740.00,41190.00,340079013690,8256535,6584,D,42880.00,40740.00
Indamin,20201223,45800.00,45840.00,41500.00,42880.00,446994928940,10423461,8004,D,43680.00,42030.00
Indamin,20201222,41040.00,45360.00,41040.00,43680.00,732969510830,16779989,8826,D,43200.00,45270.00
Indamin,20201221,42700.00,42700.00,42700.00,43200.00,33925363500,794505,517,D,44940.00,42700.00
Indamin,20201220,45000.00,46850.00,44650.00,44940.00,64454310170,1434209,947,D,47000.00,44650.00
Indamin,20201219,47030.00,50500.00,46520.00,47000.00,287766701650,6122120,4532,D,48960.00,46520.00
Indamin,20201216,48870.00,50350.00,48870.00,48960.00,162748145940,3324044,1874,D,51440.00,48870.00
Indamin,20201215,50340.00,50500.00,50340.00,51440.00,29397389800,583811,405,D,52980.00,50340.00
Indamin,20201214,54670.00,54670.00,49510.00,52980.00,625268482640,11802854,9029,D,52070.00,50300.00
Indamin,20201213,49500.00,52640.00,49500.00,52070.00,444082075980,8528828,4637,D,50140.00,52640.00
Indamin,20201212,52400.00,52400.00,48440.00,50140.00,390425451100,7787338,6399,D,50360.00,49500.00
Indamin,20201209,49350.00,51460.00,48500.00,50360.00,467827734000,9288790,6864,D,49350.00,50400.00
Indamin,20201208,50010.00,52000.00,48910.00,49350.00,510782549490,10349826,6569,D,51480.00,48910.00
Indamin,20201207,53170.00,54500.00,49770.00,51480.00,531360888880,10320920,8626,D,52380.00,49770.00
Indamin,20201206,51000.00,52820.00,50310.00,52380.00,940093377520,17949016,9814,D,50310.00,52820.00
Indamin,20201205,50850.00,52000.00,48460.00,50310.00,649644601080,12912456,9318,D,51010.00,50020.00
Indamin,20201202,51600.00,52900.00,48080.00,51010.00,1012830482490,19854527,13639,D,50610.00,49640.00
Indamin,20201201,48300.00,51740.00,47000.00,50610.00,1227692538900,24259485,12366,D,49280.00,51740.00
Indamin,20201130,50160.00,51700.00,47660.00,49280.00,1918121053350,38923809,25679,D,50160.00,48380.00
Indamin,20201129,49750.00,52350.00,49750.00,50160.00,4159037450310,82918665,26507,D,52360.00,49900.00
Indamin,20201128,49780.00,49780.00,49780.00,52360.00,456034580,9161,28,D,52390.00,49780.00
Indamin,20201125,50130.00,50130.00,50130.00,52390.00,6689347200,133440,17,D,52760.00,50130.00
Indamin,20201124,50200.00,50200.00,50200.00,52760.00,1394254800,27774,43,D,52840.00,50200.00
Indamin,20201123,50220.00,50220.00,50220.00,52840.00,290171160,5778,13,D,52860.00,50220.00
Indamin,20201122,50230.00,50230.00,50230.00,52860.00,133310420,2654,8,D,52870.00,50230.00
Indamin,20201121,50310.00,50310.00,50310.00,52870.00,1449682650,28815,31,D,52950.00,50310.00
Indamin,20201118,51300.00,51300.00,51300.00,52950.00,18107412300,352971,82,D,53990.00,51300.00
Indamin,20201117,51300.00,51300.00,51300.00,53990.00,163903500,3195,15,D,54000.00,51300.00
Indamin,20201116,51870.00,51870.00,51870.00,54000.00,10441949700,201310,11,D,54600.00,51870.00
Indamin,20201115,51870.00,51870.00,51870.00,54600.00,35945910,693,4,D,54600.00,51870.00
Indamin,20201114,51880.00,51880.00,51880.00,54600.00,181164960,3492,13,D,54610.00,51880.00
Indamin,20201111,51890.00,51890.00,51890.00,54610.00,220636280,4252,6,D,54620.00,51890.00
Indamin,20201108,51890.00,51890.00,51890.00,54620.00,21171120,408,2,D,54620.00,51890.00
Indamin,20201107,52670.00,52670.00,52670.00,54620.00,13976774550,265365,16,D,55440.00,52670.00
Indamin,20201104,52690.00,52690.00,52690.00,55440.00,390327520,7408,6,D,55460.00,52690.00
Indamin,20201102,52740.00,52740.00,52740.00,55460.00,869313420,16483,4,D,55510.00,52740.00
Indamin,20201101,50100.00,50100.00,50100.00,55510.00,1240826700,24767,55,D,55660.00,50100.00
