<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
S*Ir.Inv.Petr.,20210921,3912.00,3912.00,3721.00,3747.00,170891676753,45609604,5490,D,3916.00,3750.00
S*Ir.Inv.Petr.,20210920,3930.00,3990.00,3880.00,3916.00,107747310801,27509706,3673,D,3892.00,3912.00
S*Ir.Inv.Petr.,20210919,3954.00,4046.00,3811.00,3892.00,147006129193,37767726,5009,D,3990.00,3930.00
S*Ir.Inv.Petr.,20210918,4121.00,4205.00,3954.00,3990.00,171109285814,42886041,5933,D,4162.00,3961.00
S*Ir.Inv.Petr.,20210915,4239.00,4250.00,4110.00,4162.00,135006128116,32438527,5802,D,4216.00,4150.00
S*Ir.Inv.Petr.,20210914,4158.00,4270.00,4111.00,4216.00,156906103901,37214530,5447,D,4095.00,4259.00
S*Ir.Inv.Petr.,20210913,4145.00,4206.00,3991.00,4095.00,150936643740,36863077,5524,D,4133.00,4129.00
S*Ir.Inv.Petr.,20210912,4280.00,4280.00,4089.00,4133.00,195142690961,47214190,6836,D,4304.00,4145.00
S*Ir.Inv.Petr.,20210911,4399.00,4413.00,4236.00,4304.00,134762841925,31309451,4829,D,4316.00,4249.00
S*Ir.Inv.Petr.,20210908,4280.00,4410.00,4252.00,4316.00,154248563302,35737205,7721,D,4320.00,4330.00
S*Ir.Inv.Petr.,20210907,4315.00,4450.00,4250.00,4320.00,164811988897,38147096,6747,D,4443.00,4285.00
S*Ir.Inv.Petr.,20210906,4581.00,4610.00,4339.00,4443.00,482301503775,108543103,13518,D,4567.00,4347.00
S*Ir.Inv.Petr.,20210905,4500.00,4640.00,4370.00,4567.00,715976361513,156757023,15026,D,4429.00,4546.00
S*Ir.Inv.Petr.,20210904,4431.00,4431.00,4355.00,4429.00,533602915660,120475681,8681,D,4220.00,4431.00
S*Ir.Inv.Petr.,20210901,4049.00,4290.00,4049.00,4220.00,349747247999,82877614,7343,D,4086.00,4290.00
S*Ir.Inv.Petr.,20210831,4040.00,4230.00,4030.00,4086.00,393837492112,96387117,11021,D,4242.00,4069.00
S*Ir.Inv.Petr.,20210830,4232.00,4315.00,4232.00,4242.00,240290333403,56646312,6254,D,4454.00,4232.00
S*Ir.Inv.Petr.,20210829,4596.00,4596.00,4315.00,4454.00,596706126983,133957806,16375,D,4542.00,4317.00
S*Ir.Inv.Petr.,20210828,4450.00,4591.00,4449.00,4542.00,512018855506,112719348,13339,D,4450.00,4570.00
S*Ir.Inv.Petr.,20210825,4560.00,4560.00,4400.00,4450.00,660685900946,148479753,18842,D,4561.00,4441.00
S*Ir.Inv.Petr.,20210824,4680.00,4680.00,4410.00,4561.00,1086367344896,238181729,30691,D,4620.00,4513.00
S*Ir.Inv.Petr.,20210823,4770.00,4890.00,4540.00,4620.00,1800951305690,389509185,29993,D,3670.00,4590.00
S*Ir.Inv.Petr.,20210809,10650.00,10900.00,10440.00,10680.00,1418039138490,132730673,19452,D,10460.00,10640.00
S*Ir.Inv.Petr.,20210808,10500.00,10600.00,10320.00,10460.00,677582506140,64754941,10657,D,10610.00,10440.00
S*Ir.Inv.Petr.,20210807,10870.00,10870.00,10450.00,10610.00,766528967330,72275052,11808,D,10720.00,10520.00
S*Ir.Inv.Petr.,20210804,10680.00,10930.00,10450.00,10720.00,1248439738090,116494793,17342,D,10780.00,10800.00
S*Ir.Inv.Petr.,20210803,10930.00,10930.00,10550.00,10780.00,2701393950820,250615018,29688,D,10420.00,10590.00
S*Ir.Inv.Petr.,20210802,10420.00,10420.00,10420.00,10420.00,211068270240,20256072,1877,D,9930.00,10420.00
S*Ir.Inv.Petr.,20210801,9750.00,9970.00,9680.00,9930.00,405768487960,40878225,3752,D,9500.00,9970.00
S*Ir.Inv.Petr.,20210731,9320.00,9640.00,9240.00,9500.00,392857192720,41354889,6411,D,9320.00,9510.00
S*Ir.Inv.Petr.,20210728,9400.00,9580.00,9170.00,9320.00,368068925240,39479251,6155,D,9470.00,9240.00
S*Ir.Inv.Petr.,20210727,9590.00,9800.00,9290.00,9470.00,319204684830,33689772,6238,D,9600.00,9370.00
S*Ir.Inv.Petr.,20210726,9430.00,9760.00,9350.00,9600.00,600663484910,62600021,9863,D,9300.00,9540.00
S*Ir.Inv.Petr.,20210719,9290.00,9490.00,9180.00,9300.00,290602390250,31258755,5931,D,9270.00,9310.00
S*Ir.Inv.Petr.,20210718,9350.00,9450.00,9200.00,9270.00,258080049210,27852069,5553,D,9510.00,9230.00
S*Ir.Inv.Petr.,20210717,9610.00,9730.00,9370.00,9510.00,334031137220,35108959,6295,D,9400.00,9410.00
S*Ir.Inv.Petr.,20210714,9410.00,9500.00,9300.00,9400.00,236761061210,25176139,5857,D,9520.00,9440.00
S*Ir.Inv.Petr.,20210713,9590.00,9790.00,9400.00,9520.00,280371606280,29438375,6040,D,9700.00,9450.00
S*Ir.Inv.Petr.,20210712,9680.00,9900.00,9540.00,9700.00,370694940030,38230825,6599,D,9670.00,9600.00
S*Ir.Inv.Petr.,20210711,9590.00,9860.00,9410.00,9670.00,352707239490,36473600,5959,D,9530.00,9780.00
S*Ir.Inv.Petr.,20210710,9770.00,9770.00,9450.00,9530.00,322232792220,33801732,6543,D,9780.00,9480.00
S*Ir.Inv.Petr.,20210707,9770.00,9980.00,9590.00,9780.00,560384306560,57285218,10248,D,9650.00,9750.00
S*Ir.Inv.Petr.,20210706,9350.00,9710.00,9330.00,9650.00,896493138560,92919936,11150,D,9250.00,9710.00
S*Ir.Inv.Petr.,20210705,9240.00,9390.00,9090.00,9250.00,362504251870,39178123,5828,D,9170.00,9290.00
S*Ir.Inv.Petr.,20210704,8890.00,9400.00,8880.00,9170.00,399426775740,43547944,6624,D,9110.00,9160.00
S*Ir.Inv.Petr.,20210703,9370.00,9400.00,8920.00,9110.00,473268823130,51946987,9067,D,9380.00,8920.00
S*Ir.Inv.Petr.,20210630,9310.00,9460.00,9310.00,9380.00,315093214600,33586980,6937,D,9390.00,9370.00
S*Ir.Inv.Petr.,20210629,9350.00,9520.00,9200.00,9390.00,398928740330,42475732,7308,D,9280.00,9400.00
S*Ir.Inv.Petr.,20210628,9360.00,9480.00,9190.00,9280.00,372939782120,40174270,7663,D,9430.00,9270.00
S*Ir.Inv.Petr.,20210627,9280.00,9650.00,9170.00,9430.00,470705007590,49936234,9931,D,9340.00,9370.00
S*Ir.Inv.Petr.,20210626,9100.00,9690.00,9000.00,9340.00,965922466910,103417973,15806,D,9330.00,9300.00
S*Ir.Inv.Petr.,20210623,9360.00,9550.00,9110.00,9330.00,470835705330,50485230,7162,D,9280.00,9390.00
S*Ir.Inv.Petr.,20210622,9220.00,9440.00,9200.00,9280.00,275597812240,29684690,5040,D,9210.00,9280.00
S*Ir.Inv.Petr.,20210621,9010.00,9340.00,8970.00,9210.00,288547192000,31312817,5272,D,9180.00,9170.00
S*Ir.Inv.Petr.,20210620,9350.00,9450.00,8990.00,9180.00,393475125230,42860957,7251,D,9190.00,9040.00
S*Ir.Inv.Petr.,20210619,9220.00,9240.00,9010.00,9190.00,635160780590,69094063,7214,D,8800.00,9240.00
S*Ir.Inv.Petr.,20210616,8700.00,8860.00,8500.00,8800.00,295697592100,33595592,4155,D,8440.00,8860.00
S*Ir.Inv.Petr.,20210615,8500.00,8600.00,8160.00,8440.00,312256689410,36991863,4743,D,8420.00,8570.00
S*Ir.Inv.Petr.,20210614,8300.00,8530.00,8300.00,8420.00,111384094640,13226247,2764,D,8270.00,8500.00
S*Ir.Inv.Petr.,20210613,8250.00,8400.00,8130.00,8270.00,90735550960,10977954,2494,D,8370.00,8330.00
S*Ir.Inv.Petr.,20210612,8500.00,8570.00,8210.00,8370.00,109948655300,13142699,2615,D,8470.00,8260.00
S*Ir.Inv.Petr.,20210609,8570.00,8650.00,8360.00,8470.00,126563027160,14940318,2655,D,8710.00,8440.00
S*Ir.Inv.Petr.,20210608,8600.00,8920.00,8510.00,8710.00,148996570710,17099288,3793,D,8620.00,8570.00
S*Ir.Inv.Petr.,20210607,8670.00,8750.00,8430.00,8620.00,185224041310,21488027,4453,D,8500.00,8690.00
S*Ir.Inv.Petr.,20210602,8300.00,8640.00,8250.00,8500.00,155510350280,18299759,3445,D,8380.00,8540.00
S*Ir.Inv.Petr.,20210601,8320.00,8610.00,8210.00,8380.00,104501890510,12463855,2800,D,8570.00,8310.00
S*Ir.Inv.Petr.,20210531,8730.00,8890.00,8450.00,8570.00,169088213810,19726260,3516,D,8890.00,8450.00
S*Ir.Inv.Petr.,20210530,9010.00,9200.00,8550.00,8890.00,317074630160,35668274,6614,D,8800.00,8700.00
S*Ir.Inv.Petr.,20210529,8550.00,8830.00,8550.00,8800.00,186976950670,21251035,2791,D,8410.00,8830.00
S*Ir.Inv.Petr.,20210526,8230.00,8590.00,8230.00,8410.00,136423479440,16229299,4030,D,8360.00,8390.00
S*Ir.Inv.Petr.,20210525,8110.00,8440.00,8050.00,8360.00,247747040490,29632011,4687,D,8040.00,8350.00
S*Ir.Inv.Petr.,20210524,7850.00,8190.00,7810.00,8040.00,216024809330,26853527,4023,D,8020.00,8110.00
S*Ir.Inv.Petr.,20210523,8000.00,8250.00,7850.00,8020.00,237111650360,29551116,4003,D,8210.00,7900.00
S*Ir.Inv.Petr.,20210522,8380.00,8500.00,8180.00,8210.00,155543818700,18956244,2198,D,8610.00,8180.00
S*Ir.Inv.Petr.,20210519,8760.00,8960.00,8370.00,8610.00,214351795270,24890346,4040,D,8810.00,8400.00
S*Ir.Inv.Petr.,20210518,8470.00,9010.00,8400.00,8810.00,190614808940,21636427,3422,D,8790.00,8740.00
S*Ir.Inv.Petr.,20210517,8900.00,8980.00,8550.00,8790.00,211246964480,24025783,3820,D,8890.00,8630.00
S*Ir.Inv.Petr.,20210516,9030.00,9030.00,8640.00,8890.00,217523413850,24458801,4314,D,8910.00,8780.00
S*Ir.Inv.Petr.,20210515,8500.00,9110.00,8400.00,8910.00,250948552930,28177052,4913,D,8780.00,8850.00
S*Ir.Inv.Petr.,20210512,9070.00,9070.00,8500.00,8780.00,543582693480,61880810,8836,D,8620.00,8750.00
S*Ir.Inv.Petr.,20210511,8610.00,8630.00,8510.00,8620.00,189017574640,21931466,2255,D,8150.00,8630.00
S*Ir.Inv.Petr.,20210510,7660.00,8210.00,7660.00,8150.00,476306863210,58451505,5989,D,7750.00,8210.00
S*Ir.Inv.Petr.,20210509,7760.00,8000.00,7700.00,7750.00,252074756700,32508443,4778,D,7930.00,7710.00
S*Ir.Inv.Petr.,20210508,8130.00,8200.00,7850.00,7930.00,294044283240,37062219,6069,D,8090.00,7900.00
S*Ir.Inv.Petr.,20210505,8000.00,8230.00,8000.00,8090.00,212755544450,26283764,5583,D,8030.00,8120.00
S*Ir.Inv.Petr.,20210503,8030.00,8190.00,8020.00,8030.00,261095073260,32498140,5141,D,8260.00,8020.00
S*Ir.Inv.Petr.,20210502,8210.00,8320.00,8200.00,8260.00,64096253420,7813335,1431,D,8450.00,8200.00
S*Ir.Inv.Petr.,20210501,8670.00,8700.00,8420.00,8450.00,213737468490,25283240,2959,D,8680.00,8420.00
S*Ir.Inv.Petr.,20210428,8740.00,8910.00,8550.00,8680.00,260431353680,29994203,5304,D,8620.00,8660.00
S*Ir.Inv.Petr.,20210427,8410.00,8700.00,8390.00,8620.00,562216327780,65218550,7929,D,8210.00,8590.00
S*Ir.Inv.Petr.,20210426,8030.00,8500.00,8030.00,8210.00,512096987920,62343300,9679,D,8270.00,8430.00
S*Ir.Inv.Petr.,20210425,8270.00,8270.00,8270.00,8270.00,82677985260,9997338,960,D,8520.00,8270.00
