<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Alborz.Cable,20210921,32500.00,32500.00,29640.00,30450.00,33205042860,1090335,665,D,31200.00,29640.00
Alborz.Cable,20210920,31140.00,32000.00,31140.00,31200.00,49184745180,1576214,1017,D,32770.00,31140.00
Alborz.Cable,20210919,32710.00,33390.00,32710.00,32770.00,18919838860,577336,359,D,34430.00,32710.00
Alborz.Cable,20210918,34500.00,34500.00,33400.00,34430.00,6201665860,185169,259,D,35150.00,33400.00
Alborz.Cable,20210915,36590.00,36590.00,34220.00,35150.00,40473915930,1151612,1263,D,35510.00,34600.00
Alborz.Cable,20210914,35100.00,36640.00,35100.00,35510.00,132814981330,3740737,2504,D,36940.00,36260.00
Alborz.Cable,20210913,35800.00,35800.00,35800.00,36940.00,5257409000,146855,180,D,37680.00,35800.00
Alborz.Cable,20210912,37910.00,37910.00,37060.00,37680.00,9986231890,268740,423,D,39010.00,37060.00
Alborz.Cable,20210911,40000.00,41000.00,38000.00,39010.00,54679100260,1401629,1190,D,40000.00,38000.00
Alborz.Cable,20210908,40020.00,41150.00,39210.00,40000.00,50247122690,1256118,1495,D,41230.00,39990.00
Alborz.Cable,20210907,42560.00,42700.00,40660.00,41230.00,62222886670,1509159,1383,D,42790.00,40660.00
Alborz.Cable,20210906,42820.00,42870.00,41600.00,42790.00,99671815650,2329295,1830,D,40830.00,42470.00
Alborz.Cable,20210905,40000.00,42140.00,38500.00,40830.00,109885812120,2691091,2127,D,40140.00,42140.00
Alborz.Cable,20210904,40000.00,41170.00,39600.00,40140.00,72771207680,1812967,1671,D,39670.00,40050.00
Alborz.Cable,20210901,42590.00,42590.00,39330.00,39670.00,122188388320,3079975,2294,D,41390.00,39770.00
Alborz.Cable,20210831,41700.00,43320.00,39590.00,41390.00,81575421690,1971030,1838,D,41670.00,40460.00
Alborz.Cable,20210830,42900.00,42900.00,41250.00,41670.00,66047355270,1585136,1547,D,43420.00,41950.00
Alborz.Cable,20210829,45790.00,45790.00,41430.00,43420.00,380220081300,8757785,5716,D,43610.00,41990.00
Alborz.Cable,20210828,43610.00,43610.00,43610.00,43610.00,34371177890,788149,507,D,41540.00,43610.00
Alborz.Cable,20210825,40210.00,42050.00,40210.00,41540.00,145432605890,3500708,1534,D,40050.00,42050.00
Alborz.Cable,20210824,40050.00,40050.00,40050.00,40050.00,15822513450,395069,558,D,42150.00,40050.00
Alborz.Cable,20210823,40090.00,40090.00,40090.00,42150.00,328136650,8185,17,D,42200.00,40090.00
Alborz.Cable,20210822,40190.00,40190.00,40190.00,42200.00,646054250,16075,32,D,42300.00,40190.00
Alborz.Cable,20210815,40270.00,40270.00,40270.00,42300.00,515496270,12801,19,D,42380.00,40270.00
Alborz.Cable,20210814,40410.00,40410.00,40410.00,42380.00,1029404340,25474,44,D,42530.00,40410.00
Alborz.Cable,20210811,40870.00,40870.00,40870.00,42530.00,8532715990,208777,175,D,45410.00,40870.00
Alborz.Cable,20210810,43220.00,43220.00,43220.00,45410.00,516954420,11961,11,D,45490.00,43220.00
Alborz.Cable,20210809,43230.00,43230.00,43230.00,45490.00,89442870,2069,8,D,45500.00,43230.00
Alborz.Cable,20210807,43240.00,43240.00,43240.00,45500.00,66978760,1549,4,D,45510.00,43240.00
Alborz.Cable,20210804,43320.00,43320.00,43320.00,45510.00,491248800,11340,12,D,45590.00,43320.00
Alborz.Cable,20210802,43320.00,43320.00,43320.00,45590.00,68662200,1585,8,D,45600.00,43320.00
Alborz.Cable,20210801,43460.00,43460.00,43460.00,45600.00,890886540,20499,10,D,45740.00,43460.00
Alborz.Cable,20210731,43990.00,43990.00,43990.00,45740.00,3431000050,77995,26,D,46300.00,43990.00
Alborz.Cable,20210728,43880.00,43880.00,43880.00,46300.00,6722898680,153211,100,D,48750.00,43880.00
Alborz.Cable,20210727,46670.00,46670.00,46670.00,48750.00,2129925460,45638,12,D,49120.00,46670.00
Alborz.Cable,20210726,46730.00,46730.00,46730.00,49120.00,357204120,7644,11,D,49180.00,46730.00
Alborz.Cable,20210719,46740.00,46740.00,46740.00,49180.00,83804820,1793,5,D,49190.00,46740.00
Alborz.Cable,20210718,46750.00,46750.00,46750.00,49190.00,126412000,2704,12,D,49210.00,46750.00
Alborz.Cable,20210717,46870.00,46870.00,46870.00,49210.00,668272460,14258,12,D,49330.00,46870.00
Alborz.Cable,20210714,46890.00,46890.00,46890.00,49330.00,113848920,2428,9,D,49350.00,46890.00
Alborz.Cable,20210713,46900.00,46900.00,46900.00,49350.00,71897700,1533,6,D,49360.00,46900.00
Alborz.Cable,20210712,46950.00,46950.00,46950.00,49360.00,287568750,6125,17,D,49420.00,46950.00
Alborz.Cable,20210711,47540.00,47540.00,47540.00,49420.00,3166164000,66600,44,D,50040.00,47540.00
Alborz.Cable,20210710,50040.00,50040.00,50040.00,50040.00,18204552000,363800,120,D,55600.00,50040.00
Alborz.Cable,20210707,52830.00,52830.00,52830.00,55600.00,57848850,1095,2,D,55610.00,52830.00
Alborz.Cable,20210706,52850.00,52850.00,52850.00,55610.00,87836700,1662,6,D,55630.00,52850.00
Alborz.Cable,20210705,52860.00,52860.00,52860.00,55630.00,75695520,1432,15,D,55640.00,52860.00
Alborz.Cable,20210703,52870.00,52870.00,52870.00,55640.00,25694820,486,2,D,55650.00,52870.00
Alborz.Cable,20210630,52880.00,52880.00,52880.00,55650.00,69484320,1314,4,D,55660.00,52880.00
