<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Pars.Paper.Ind.Grp,20210921,3706.00,3805.00,3627.00,3648.00,95197585387,26095269,2015,D,3817.00,3627.00
Pars.Paper.Ind.Grp,20210920,3821.00,3980.00,3734.00,3817.00,226834015334,59430336,5206,D,3930.00,3736.00
Pars.Paper.Ind.Grp,20210919,3922.00,4040.00,3921.00,3930.00,170736643185,43440352,2401,D,4127.00,3921.00
Pars.Paper.Ind.Grp,20210918,4150.00,4340.00,4059.00,4127.00,54578369043,13223650,1323,D,4272.00,4059.00
Pars.Paper.Ind.Grp,20210915,4410.00,4450.00,4193.00,4272.00,205637355778,48139441,6350,D,4413.00,4195.00
Pars.Paper.Ind.Grp,20210914,4363.00,4570.00,4363.00,4413.00,535675697455,121384574,11054,D,4592.00,4379.00
Pars.Paper.Ind.Grp,20210913,4517.00,4517.00,4517.00,4592.00,11545149361,2555933,280,D,4754.00,4517.00
Pars.Paper.Ind.Grp,20210904,4790.00,4793.00,4642.00,4754.00,486855187097,102409118,7808,D,4565.00,4793.00
Pars.Paper.Ind.Grp,20210901,4350.00,4642.00,4230.00,4565.00,354719014904,77706209,4874,D,4421.00,4642.00
Pars.Paper.Ind.Grp,20210831,4377.00,4670.00,4377.00,4421.00,447975682801,101327317,4876,D,4607.00,4377.00
Pars.Paper.Ind.Grp,20210830,4600.00,4740.00,4561.00,4607.00,129406705173,28091948,2382,D,4801.00,4561.00
Pars.Paper.Ind.Grp,20210829,4960.00,4962.00,4517.00,4801.00,571817251698,119099783,9314,D,4726.00,4620.00
Pars.Paper.Ind.Grp,20210828,4640.00,4761.00,4550.00,4726.00,339933888169,71930415,4202,D,4535.00,4761.00
Pars.Paper.Ind.Grp,20210825,4571.00,4571.00,4400.00,4535.00,637672673709,140608488,7853,D,4354.00,4540.00
Pars.Paper.Ind.Grp,20210824,4340.00,4365.00,4230.00,4354.00,169188754138,38862147,1544,D,4158.00,4365.00
Pars.Paper.Ind.Grp,20210823,4060.00,4201.00,3901.00,4158.00,262283905013,63080689,3488,D,4001.00,4201.00
Pars.Paper.Ind.Grp,20210822,3850.00,4025.00,3850.00,4001.00,279639344634,69884317,4168,D,3834.00,4025.00
Pars.Paper.Ind.Grp,20210815,3790.00,3889.00,3700.00,3834.00,179661164176,46860139,3458,D,3806.00,3820.00
Pars.Paper.Ind.Grp,20210814,3950.00,3950.00,3750.00,3806.00,166754374824,43813278,4118,D,3943.00,3802.00
Pars.Paper.Ind.Grp,20210811,3960.00,4021.00,3888.00,3943.00,151508415514,38428818,3471,D,3855.00,3906.00
Pars.Paper.Ind.Grp,20210810,3890.00,3902.00,3789.00,3855.00,164246132549,42606538,3924,D,3717.00,3902.00
Pars.Paper.Ind.Grp,20210809,3700.00,3822.00,3610.00,3717.00,185051996481,49787435,4300,D,3708.00,3822.00
Pars.Paper.Ind.Grp,20210808,3600.00,3819.00,3600.00,3708.00,144692177764,39020405,3934,D,3717.00,3698.00
Pars.Paper.Ind.Grp,20210807,3740.00,3850.00,3677.00,3717.00,134799982538,36267862,2773,D,3870.00,3677.00
Pars.Paper.Ind.Grp,20210719,3860.00,3948.00,3810.00,3870.00,100876399510,26063690,2384,D,3789.00,3836.00
Pars.Paper.Ind.Grp,20210718,3832.00,3870.00,3740.00,3789.00,120466843194,31792464,2684,D,3923.00,3813.00
Pars.Paper.Ind.Grp,20210717,4090.00,4090.00,3833.00,3923.00,184292926687,46977531,3885,D,4029.00,3850.00
Pars.Paper.Ind.Grp,20210714,4010.00,4080.00,3959.00,4029.00,108843273016,27016932,2349,D,4066.00,4030.00
Pars.Paper.Ind.Grp,20210713,4110.00,4188.00,4000.00,4066.00,160616398353,39501502,2999,D,4111.00,4060.00
Pars.Paper.Ind.Grp,20210712,4000.00,4130.00,3960.00,4111.00,267898526551,65166659,4418,D,3934.00,4081.00
Pars.Paper.Ind.Grp,20210711,3845.00,4030.00,3845.00,3934.00,172096281453,43741943,4172,D,3949.00,3980.00
Pars.Paper.Ind.Grp,20210710,3980.00,4040.00,3885.00,3949.00,167592655687,42436743,3694,D,3884.00,3920.00
Pars.Paper.Ind.Grp,20210707,3750.00,3924.00,3663.00,3884.00,316764234417,81558653,4628,D,3738.00,3924.00
Pars.Paper.Ind.Grp,20210706,3746.00,3820.00,3661.00,3738.00,123049406324,32916673,2846,D,3691.00,3731.00
Pars.Paper.Ind.Grp,20210705,3650.00,3785.00,3610.00,3691.00,94221807023,25529481,2519,D,3676.00,3700.00
Pars.Paper.Ind.Grp,20210704,3623.00,3770.00,3570.00,3676.00,71657384081,19492216,2083,D,3685.00,3662.00
Pars.Paper.Ind.Grp,20210703,3810.00,3810.00,3617.00,3685.00,169040540596,45871314,3160,D,3807.00,3622.00
Pars.Paper.Ind.Grp,20210630,3810.00,3881.00,3720.00,3807.00,131526164949,34550081,3076,D,3750.00,3750.00
Pars.Paper.Ind.Grp,20210629,3622.00,3837.00,3580.00,3750.00,182829000001,48751661,3679,D,3660.00,3810.00
Pars.Paper.Ind.Grp,20210628,3620.00,3750.00,3584.00,3660.00,145211430554,39673991,3214,D,3695.00,3595.00
Pars.Paper.Ind.Grp,20210627,3700.00,3772.00,3620.00,3695.00,128300669994,34719529,2954,D,3772.00,3654.00
Pars.Paper.Ind.Grp,20210626,3740.00,3860.00,3655.00,3772.00,122382316610,32447997,3323,D,3802.00,3735.00
