<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Khavar.Spring,20210921,9050.00,9050.00,9050.00,9400.00,3449597550,381171,36,D,9520.00,9050.00
Khavar.Spring,20210920,9200.00,9200.00,9200.00,9520.00,4547661200,494311,90,D,9680.00,9200.00
Khavar.Spring,20210919,9360.00,9360.00,9360.00,9680.00,4908243600,524385,72,D,9850.00,9360.00
Khavar.Spring,20210918,10470.00,10470.00,9490.00,9850.00,205100025080,20817170,1646,D,9980.00,9490.00
Khavar.Spring,20210915,9980.00,9980.00,9980.00,9980.00,32512883920,3257804,577,D,9510.00,9980.00
Khavar.Spring,20210914,9500.00,9520.00,9310.00,9510.00,27830822920,2926591,445,D,9070.00,9520.00
Khavar.Spring,20210913,8890.00,9100.00,8820.00,9070.00,140898958470,15540500,1661,D,8670.00,9100.00
Khavar.Spring,20210912,8720.00,8720.00,8350.00,8670.00,189774708110,21884370,2448,D,8310.00,8720.00
Khavar.Spring,20210911,8100.00,8320.00,8100.00,8310.00,90272188080,10856724,860,D,7930.00,8320.00
Khavar.Spring,20210908,7830.00,8150.00,7570.00,7930.00,59893438380,7550240,1075,D,7890.00,8020.00
Khavar.Spring,20210907,8260.00,8260.00,7830.00,7890.00,66702107900,8457169,918,D,8240.00,7830.00
Khavar.Spring,20210906,7800.00,8310.00,7790.00,8240.00,137046157810,16628517,1739,D,7920.00,8200.00
Khavar.Spring,20210905,8120.00,8120.00,7490.00,7920.00,38400256380,4847491,795,D,7760.00,7980.00
Khavar.Spring,20210904,7800.00,7810.00,7510.00,7760.00,58219893920,7502953,924,D,7440.00,7810.00
Khavar.Spring,20210901,7190.00,7490.00,7000.00,7440.00,83169739590,11182994,1112,D,7140.00,7490.00
Khavar.Spring,20210831,7120.00,7400.00,7120.00,7140.00,62704308030,8784958,838,D,7490.00,7120.00
Khavar.Spring,20210830,7480.00,7490.00,7460.00,7490.00,13303764580,1783207,141,D,7850.00,7460.00
Khavar.Spring,20210829,8190.00,8190.00,7660.00,7850.00,58892630330,7503072,993,D,8060.00,7660.00
Khavar.Spring,20210828,7770.00,8150.00,7770.00,8060.00,68172959290,8462517,1130,D,7770.00,8060.00
Khavar.Spring,20210825,7890.00,8000.00,7590.00,7770.00,68266344980,8780823,1289,D,7890.00,7900.00
Khavar.Spring,20210824,7800.00,8000.00,7670.00,7890.00,48775424190,6182106,902,D,7800.00,7880.00
Khavar.Spring,20210823,7890.00,7980.00,7620.00,7800.00,60990981480,7824234,1192,D,7890.00,7720.00
Khavar.Spring,20210822,7860.00,8200.00,7810.00,7890.00,151704173450,19225431,2844,D,8220.00,7820.00
Khavar.Spring,20210815,8630.00,8630.00,8210.00,8220.00,70149460100,8531603,658,D,8640.00,8210.00
Khavar.Spring,20210814,9000.00,9000.00,8320.00,8640.00,81219540200,9403480,1471,D,8630.00,8670.00
Khavar.Spring,20210811,8640.00,8660.00,8260.00,8630.00,47883798990,5548239,863,D,8250.00,8660.00
Khavar.Spring,20210810,8210.00,8290.00,8050.00,8250.00,111810154150,13545927,1306,D,7900.00,8290.00
Khavar.Spring,20210809,7820.00,8250.00,7610.00,7900.00,76102761450,9635648,1263,D,7910.00,8100.00
Khavar.Spring,20210808,7860.00,8200.00,7700.00,7910.00,40170982120,5076290,877,D,8050.00,8000.00
Khavar.Spring,20210807,8450.00,8450.00,7860.00,8050.00,53111793870,6600120,969,D,8090.00,7990.00
Khavar.Spring,20210804,8080.00,8100.00,7810.00,8090.00,45257917750,5597186,728,D,7720.00,8100.00
Khavar.Spring,20210803,7700.00,8090.00,7400.00,7720.00,67097920200,8687732,1097,D,7720.00,8000.00
Khavar.Spring,20210802,7980.00,7990.00,7300.00,7720.00,128479885920,16634419,2237,D,7610.00,7550.00
Khavar.Spring,20210801,7610.00,7610.00,7290.00,7610.00,42407378140,5573462,357,D,7250.00,7610.00
Khavar.Spring,20210731,6970.00,7290.00,6970.00,7250.00,36634725700,5050857,644,D,6950.00,7290.00
Khavar.Spring,20210728,6690.00,6970.00,6420.00,6950.00,40736557920,5857815,649,D,6640.00,6970.00
Khavar.Spring,20210727,6880.00,6920.00,6530.00,6640.00,65590767850,9878881,1140,D,6870.00,6550.00
Khavar.Spring,20210726,6870.00,6870.00,6870.00,6870.00,18317900070,2666361,296,D,6550.00,6870.00
Khavar.Spring,20210719,6110.00,6630.00,6110.00,6550.00,47255646990,7213728,656,D,6320.00,6630.00
Khavar.Spring,20210718,6310.00,6590.00,6280.00,6320.00,58720280370,9296923,761,D,6610.00,6280.00
Khavar.Spring,20210717,7150.00,7150.00,6470.00,6610.00,144786630730,21889514,2335,D,6810.00,6470.00
Khavar.Spring,20210714,6820.00,6820.00,6530.00,6810.00,23043466230,3383542,382,D,6500.00,6820.00
Khavar.Spring,20210713,6520.00,6530.00,6230.00,6500.00,63225284570,9732101,783,D,6220.00,6530.00
Khavar.Spring,20210712,6260.00,6260.00,6260.00,6220.00,14545185120,2323512,95,D,5970.00,6260.00
Khavar.Spring,20210711,6120.00,6120.00,6120.00,5970.00,7921238400,1294320,83,D,5830.00,6120.00
Khavar.Spring,20210710,5920.00,5920.00,5790.00,5830.00,10787957530,1822406,234,D,5640.00,5920.00
Khavar.Spring,20210707,5450.00,5780.00,5250.00,5640.00,59605018110,10566542,1115,D,5510.00,5780.00
Khavar.Spring,20210706,5900.00,5900.00,5440.00,5510.00,51490724580,9347102,1317,D,5720.00,5440.00
Khavar.Spring,20210705,5600.00,5880.00,5520.00,5720.00,58765980790,10267265,1349,D,5200.00,5870.00
Khavar.Spring,20210628,5326.00,5326.00,5160.00,5320.00,42360422172,7963096,485,D,5073.00,5326.00
Khavar.Spring,20210627,5110.00,5118.00,4840.00,5073.00,14061071504,2755272,211,D,4875.00,5118.00
